date,BR,BR_EPS,PE Ratio
2008-11-11,12.37,0.25,49.48
2008-11-12,11.61,0.25,46.44
2008-11-13,12.17,0.25,48.68
2008-11-14,11.1,0.25,44.4
2008-11-17,11.05,0.25,44.2
2008-11-18,10.92,0.25,43.68
2008-11-19,10.72,0.25,42.88
2008-11-20,9.72,0.25,38.88
2008-11-21,10.13,0.25,40.52
2008-11-24,10.21,0.25,40.84
2008-11-25,10.93,0.25,43.72
2008-11-26,11.18,0.25,44.72
2008-11-28,11.4,0.25,45.6
2008-12-01,10.07,0.25,40.28
2008-12-02,11.1,0.25,44.4
2008-12-03,11.42,0.25,45.68
2008-12-04,11.01,0.25,44.04
2008-12-05,12.25,0.25,49.0
2008-12-08,12.41,0.25,49.64
2008-12-09,12.56,0.25,50.24
2008-12-10,12.2,0.25,48.8
2008-12-11,12.05,0.25,48.2
2008-12-12,12.08,0.25,48.32
2008-12-15,11.91,0.25,47.64
2008-12-16,12.64,0.25,50.56
2008-12-17,12.7,0.25,50.8
2008-12-18,12.47,0.25,49.88
2008-12-19,13.02,0.25,52.08
2008-12-22,12.23,0.25,48.92
2008-12-23,11.98,0.25,47.92
2008-12-24,12.35,0.25,49.4
2008-12-26,12.63,0.25,50.52
2008-12-29,12.53,0.25,50.12
2008-12-30,12.58,0.25,50.32
2008-12-31,12.54,0.25,50.16
2009-01-02,14.21,0.25,56.84
2009-01-05,13.95,0.25,55.8
2009-01-06,14.26,0.25,57.04
2009-01-07,13.71,0.25,54.84
2009-01-08,13.77,0.25,55.08
2009-01-09,13.58,0.25,54.32
2009-01-12,13.25,0.25,53.0
2009-01-13,13.71,0.25,54.84
2009-01-14,13.24,0.25,52.96
2009-01-15,13.31,0.25,53.24
2009-01-16,13.61,0.25,54.44
2009-01-20,12.84,0.25,51.36
2009-01-21,13.24,0.25,52.96
2009-01-22,13.19,0.25,52.76
2009-01-23,13.14,0.25,52.56
2009-01-26,13.33,0.25,53.32
2009-01-27,13.49,0.25,53.96
2009-01-28,14.06,0.25,56.24
2009-01-29,13.72,0.25,54.88
2009-01-30,13.49,0.25,53.96
2009-02-02,13.79,0.25,55.16
2009-02-03,14.85,0.47,31.595744680851066
2009-02-04,14.7,0.47,31.27659574468085
2009-02-05,15.11,0.47,32.148936170212764
2009-02-06,15.76,0.47,33.53191489361702
2009-02-09,16.05,0.47,34.14893617021277
2009-02-10,15.89,0.47,33.808510638297875
2009-02-11,16.11,0.47,34.276595744680854
2009-02-12,16.51,0.47,35.12765957446809
2009-02-13,16.89,0.47,35.93617021276596
2009-02-17,16.54,0.47,35.191489361702125
2009-02-18,16.27,0.47,34.61702127659574
2009-02-19,16.29,0.47,34.659574468085104
2009-02-20,15.95,0.47,33.93617021276596
2009-02-23,15.68,0.47,33.361702127659576
2009-02-24,15.9,0.47,33.829787234042556
2009-02-25,15.76,0.47,33.53191489361702
2009-02-26,15.75,0.47,33.51063829787234
2009-02-27,15.98,0.47,34.0
2009-03-02,15.17,0.47,32.276595744680854
2009-03-03,15.82,0.47,33.65957446808511
2009-03-04,16.39,0.47,34.87234042553192
2009-03-05,16.04,0.47,34.12765957446808
2009-03-06,16.03,0.47,34.10638297872341
2009-03-09,15.82,0.47,33.65957446808511
2009-03-10,16.42,0.47,34.936170212765965
2009-03-11,16.87,0.47,35.8936170212766
2009-03-12,17.59,0.47,37.42553191489362
2009-03-13,17.9,0.47,38.08510638297872
2009-03-16,17.49,0.47,37.212765957446805
2009-03-17,18.0,0.47,38.297872340425535
2009-03-18,18.24,0.47,38.80851063829787
2009-03-19,18.09,0.47,38.48936170212766
2009-03-20,17.78,0.47,37.829787234042556
2009-03-23,18.96,0.47,40.340425531914896
2009-03-24,18.68,0.47,39.74468085106383
2009-03-25,19.27,0.47,41.0
2009-03-26,19.07,0.47,40.57446808510639
2009-03-27,18.58,0.47,39.53191489361702
2009-03-30,18.29,0.47,38.91489361702128
2009-03-31,18.61,0.47,39.59574468085106
2009-04-01,18.5,0.47,39.361702127659576
2009-04-02,19.22,0.47,40.8936170212766
2009-04-03,19.37,0.47,41.21276595744681
2009-04-06,19.35,0.47,41.17021276595745
2009-04-07,19.2,0.47,40.851063829787236
2009-04-08,19.44,0.47,41.361702127659576
2009-04-09,19.82,0.47,42.17021276595745
2009-04-13,19.5,0.47,41.48936170212766
2009-04-14,19.15,0.47,40.744680851063826
2009-04-15,19.17,0.47,40.787234042553195
2009-04-16,19.67,0.47,41.85106382978724
2009-04-17,19.61,0.47,41.72340425531915
2009-04-20,18.89,0.47,40.19148936170213
2009-04-21,19.36,0.47,41.19148936170213
2009-04-22,19.36,0.47,41.19148936170213
2009-04-23,18.95,0.47,40.319148936170215
2009-04-24,19.09,0.47,40.61702127659575
2009-04-27,19.33,0.47,41.12765957446808
2009-04-28,19.39,0.47,41.255319148936174
2009-04-29,19.58,0.47,41.659574468085104
2009-04-30,19.35,0.47,41.17021276595745
2009-05-01,19.1,0.47,40.63829787234043
2009-05-04,18.67,0.47,39.72340425531915
2009-05-05,18.86,0.47,40.12765957446808
2009-05-06,19.08,0.47,40.59574468085106
2009-05-07,18.91,0.47,40.23404255319149
2009-05-08,19.65,0.47,41.808510638297875
2009-05-11,17.74,0.76,23.342105263157894
2009-05-12,17.51,0.76,23.039473684210527
2009-05-13,17.66,0.76,23.236842105263158
2009-05-14,17.58,0.76,23.131578947368418
2009-05-15,17.62,0.76,23.18421052631579
2009-05-18,17.98,0.76,23.657894736842106
2009-05-19,17.62,0.76,23.18421052631579
2009-05-20,17.61,0.76,23.171052631578945
2009-05-21,17.41,0.76,22.907894736842106
2009-05-22,17.39,0.76,22.88157894736842
2009-05-26,17.65,0.76,23.223684210526315
2009-05-27,17.25,0.76,22.69736842105263
2009-05-28,16.87,0.76,22.197368421052634
2009-05-29,16.56,0.76,21.789473684210524
2009-06-01,17.44,0.76,22.947368421052634
2009-06-02,17.64,0.76,23.210526315789473
2009-06-03,17.64,0.76,23.210526315789473
2009-06-04,17.72,0.76,23.31578947368421
2009-06-05,17.69,0.76,23.276315789473685
2009-06-08,17.72,0.76,23.31578947368421
2009-06-09,17.37,0.76,22.855263157894736
2009-06-10,17.4,0.76,22.89473684210526
2009-06-11,17.27,0.76,22.723684210526315
2009-06-12,17.18,0.76,22.605263157894736
2009-06-15,16.73,0.76,22.013157894736842
2009-06-16,16.44,0.76,21.63157894736842
2009-06-17,16.6,0.76,21.842105263157897
2009-06-18,16.59,0.76,21.82894736842105
2009-06-19,16.68,0.76,21.94736842105263
2009-06-22,16.15,0.76,21.249999999999996
2009-06-23,16.0,0.76,21.05263157894737
2009-06-24,16.21,0.76,21.328947368421055
2009-06-25,16.24,0.76,21.368421052631575
2009-06-26,16.48,0.76,21.68421052631579
2009-06-29,16.58,0.76,21.81578947368421
2009-06-30,16.58,0.76,21.81578947368421
2009-07-01,16.78,0.76,22.078947368421055
2009-07-02,16.3,0.76,21.447368421052634
2009-07-06,16.33,0.76,21.486842105263154
