date,BSX,BSX_EPS,PE Ratio
,,0.02,
1992-05-19,4.28,0.02,214.0
1992-05-20,4.38,0.02,219.0
1992-05-21,4.38,0.02,219.0
1992-05-22,4.53,0.02,226.5
1992-05-26,4.38,0.02,219.0
1992-05-27,4.44,0.02,222.00000000000003
1992-05-28,4.47,0.02,223.49999999999997
1992-05-29,4.56,0.02,227.99999999999997
1992-06-01,4.63,0.02,231.5
1992-06-02,4.66,0.02,233.0
1992-06-03,4.5,0.02,225.0
1992-06-04,4.38,0.02,219.0
1992-06-05,4.31,0.02,215.49999999999997
1992-06-08,4.31,0.02,215.49999999999997
1992-06-09,4.13,0.02,206.5
1992-06-10,4.13,0.02,206.5
1992-06-11,4.09,0.02,204.5
1992-06-12,4.19,0.02,209.50000000000003
1992-06-15,4.16,0.02,208.0
1992-06-16,4.13,0.02,206.5
1992-06-17,3.94,0.02,197.0
1992-06-18,3.94,0.02,197.0
1992-06-19,3.94,0.02,197.0
1992-06-22,3.59,0.02,179.5
1992-06-23,3.97,0.02,198.5
1992-06-24,3.94,0.02,197.0
1992-06-25,3.88,0.02,194.0
1992-06-26,3.88,0.02,194.0
1992-06-29,4.22,0.02,210.99999999999997
1992-06-30,4.28,0.02,214.0
1992-07-01,4.22,0.02,210.99999999999997
1992-07-02,4.44,0.02,222.00000000000003
1992-07-06,4.59,0.02,229.5
1992-07-07,4.59,0.02,229.5
1992-07-08,4.47,0.02,223.49999999999997
1992-07-09,4.53,0.02,226.5
1992-07-10,4.47,0.02,223.49999999999997
1992-07-13,4.53,0.02,226.5
1992-07-14,4.66,0.02,233.0
1992-07-15,4.56,0.02,227.99999999999997
1992-07-16,4.75,0.02,237.5
1992-07-17,4.66,0.02,233.0
1992-07-20,4.5,0.02,225.0
1992-07-21,4.75,0.02,237.5
1992-07-22,4.84,0.02,242.0
1992-07-23,4.81,0.02,240.49999999999997
1992-07-24,4.72,0.02,235.99999999999997
1992-07-27,4.63,0.02,231.5
1992-07-28,4.84,0.02,242.0
1992-07-29,5.0,0.02,250.0
1992-07-30,5.0,0.02,250.0
1992-07-31,5.0,0.02,250.0
1992-08-03,4.97,0.02,248.49999999999997
1992-08-04,4.97,0.02,248.49999999999997
1992-08-05,4.94,0.02,247.00000000000003
1992-08-06,5.0,0.02,250.0
1992-08-07,4.91,0.02,245.5
1992-08-10,4.84,0.02,242.0
1992-08-11,4.63,0.02,231.5
1992-08-12,4.56,0.02,227.99999999999997
1992-08-13,4.5,0.02,225.0
1992-08-14,4.34,0.02,217.0
1992-08-17,4.44,0.02,222.00000000000003
1992-08-18,4.41,0.02,220.5
1992-08-19,4.53,0.02,226.5
1992-08-20,4.56,0.02,227.99999999999997
1992-08-21,4.56,0.02,227.99999999999997
1992-08-24,4.5,0.02,225.0
1992-08-25,4.63,0.02,231.5
1992-08-26,4.75,0.02,237.5
1992-08-27,4.81,0.02,240.49999999999997
1992-08-28,4.84,0.02,242.0
1992-08-31,4.84,0.02,242.0
1992-09-01,4.78,0.02,239.0
1992-09-02,4.78,0.02,239.0
1992-09-03,4.5,0.02,225.0
1992-09-04,4.59,0.02,229.5
1992-09-08,4.63,0.02,231.5
1992-09-09,4.78,0.02,239.0
1992-09-10,4.91,0.02,245.5
1992-09-11,4.97,0.02,248.49999999999997
1992-09-14,4.94,0.02,247.00000000000003
1992-09-15,4.97,0.02,248.49999999999997
1992-09-16,4.94,0.02,247.00000000000003
1992-09-17,5.09,0.02,254.5
1992-09-18,4.91,0.02,245.5
1992-09-21,4.91,0.02,245.5
1992-09-22,4.78,0.02,239.0
1992-09-23,4.72,0.02,235.99999999999997
1992-09-24,4.72,0.02,235.99999999999997
1992-09-25,4.59,0.02,229.5
1992-09-28,4.44,0.02,222.00000000000003
1992-09-29,4.47,0.02,223.49999999999997
1992-09-30,4.44,0.02,222.00000000000003
1992-10-01,4.47,0.02,223.49999999999997
1992-10-02,4.19,0.02,209.50000000000003
1992-10-05,4.13,0.02,206.5
1992-10-06,4.22,0.02,210.99999999999997
1992-10-07,4.38,0.02,219.0
1992-10-08,4.56,0.02,227.99999999999997
1992-10-09,4.44,0.02,222.00000000000003
1992-10-12,4.44,0.02,222.00000000000003
1992-10-13,4.44,0.02,222.00000000000003
1992-10-14,4.5,0.02,225.0
1992-10-15,4.47,0.02,223.49999999999997
1992-10-16,4.5,0.02,225.0
1992-10-19,4.56,0.02,227.99999999999997
1992-10-20,4.66,0.02,233.0
1992-10-21,4.56,0.02,227.99999999999997
1992-10-22,4.59,0.02,229.5
1992-10-23,4.56,0.02,227.99999999999997
1992-10-26,4.66,0.02,233.0
1992-10-27,4.78,0.02,239.0
