date,GPC,GPC_EPS,PE Ratio
,,0.29,
1980-03-17,4.2,0.29,14.482758620689657
1980-03-18,4.35,0.29,15.0
1980-03-19,4.42,0.29,15.24137931034483
1980-03-20,4.44,0.29,15.31034482758621
1980-03-21,4.35,0.29,15.0
1980-03-24,4.25,0.29,14.655172413793105
1980-03-25,4.22,0.29,14.551724137931034
1980-03-26,4.44,0.29,15.31034482758621
1980-03-27,4.35,0.29,15.0
1980-03-28,4.49,0.29,15.482758620689657
1980-03-31,4.52,0.29,15.586206896551724
1980-04-01,4.54,0.29,15.655172413793105
1980-04-02,4.47,0.29,15.413793103448276
1980-04-03,4.54,0.29,15.655172413793105
1980-04-07,4.44,0.29,15.31034482758621
1980-04-08,4.52,0.29,15.586206896551724
1980-04-09,4.54,0.29,15.655172413793105
1980-04-10,4.54,0.29,15.655172413793105
1980-04-11,4.4,0.29,15.17241379310345
1980-04-14,4.07,0.29,14.034482758620692
1980-04-15,4.1,0.29,14.137931034482758
1980-04-16,4.05,0.29,13.965517241379311
1980-04-17,4.02,0.29,13.86206896551724
1980-04-18,4.05,0.29,13.965517241379311
1980-04-21,4.05,0.29,13.965517241379311
1980-04-22,4.05,0.29,13.965517241379311
1980-04-23,3.95,0.29,13.620689655172415
1980-04-24,3.98,0.29,13.724137931034484
1980-04-25,3.98,0.29,13.724137931034484
1980-04-28,4.02,0.29,13.86206896551724
1980-04-29,4.12,0.29,14.206896551724139
1980-04-30,4.07,0.29,14.034482758620692
1980-05-01,4.0,0.29,13.793103448275863
1980-05-02,3.95,0.29,13.620689655172415
1980-05-05,4.0,0.29,13.793103448275863
1980-05-06,4.02,0.29,13.86206896551724
1980-05-07,3.98,0.29,13.724137931034484
1980-05-08,4.0,0.29,13.793103448275863
1980-05-09,3.95,0.29,13.620689655172415
1980-05-12,3.95,0.29,13.620689655172415
1980-05-13,4.15,0.29,14.31034482758621
1980-05-14,4.3,0.29,14.827586206896552
1980-05-15,4.54,0.29,15.655172413793105
1980-05-16,4.52,0.29,15.586206896551724
1980-05-19,4.54,0.29,15.655172413793105
1980-05-20,4.57,0.29,15.758620689655174
1980-05-21,4.57,0.29,15.758620689655174
1980-05-22,4.54,0.29,15.655172413793105
1980-05-23,4.47,0.29,15.413793103448276
1980-05-27,4.54,0.29,15.655172413793105
1980-05-28,4.59,0.29,15.827586206896552
1980-05-29,4.54,0.29,15.655172413793105
1980-05-30,4.52,0.29,15.586206896551724
1980-06-02,4.47,0.29,15.413793103448276
1980-06-03,4.57,0.29,15.758620689655174
1980-06-04,4.52,0.29,15.586206896551724
1980-06-05,4.57,0.29,15.758620689655174
1980-06-06,4.52,0.29,15.586206896551724
1980-06-09,4.72,0.29,16.275862068965516
1980-06-10,4.74,0.29,16.344827586206897
1980-06-11,4.84,0.29,16.689655172413794
1980-06-12,4.64,0.29,16.0
1980-06-13,4.62,0.29,15.931034482758623
1980-06-16,4.62,0.29,15.931034482758623
1980-06-17,4.35,0.29,15.0
1980-06-18,4.57,0.29,15.758620689655174
1980-06-19,4.64,0.29,16.0
1980-06-20,4.64,0.29,16.0
1980-06-23,4.74,0.29,16.344827586206897
1980-06-24,4.72,0.29,16.275862068965516
