date,AXP,AXP_EPS,PE Ratio
1989-09-19,9.4,,
1989-09-20,9.46,,
1989-09-21,9.46,,
1989-09-22,9.46,,
1989-09-25,9.3,,
1989-09-26,9.3,,
1989-09-27,9.27,,
1989-09-28,9.27,,
1989-09-29,9.3,,
1989-10-02,9.27,,
1989-10-03,9.85,,
1989-10-04,9.91,,
1989-10-05,9.78,,
1989-10-06,9.88,,
1989-10-09,10.11,,
1989-10-10,10.07,,
1989-10-11,10.01,,
1989-10-12,9.95,,
1989-10-13,9.01,,
1989-10-16,9.62,,
1989-10-17,9.46,,
1989-10-18,9.49,,
1989-10-19,9.66,,
1989-10-20,9.78,,
1989-10-23,9.56,,
1989-10-24,9.62,,
1989-10-25,9.46,,
1989-10-26,9.53,,
1989-10-27,9.56,,
1989-10-30,9.46,,
1989-10-31,9.37,,
1989-11-01,9.24,,
1989-11-02,9.08,,
1989-11-03,9.01,,
1989-11-06,8.95,,
1989-11-07,8.82,,
1989-11-08,9.04,,
1989-11-09,9.01,,
1989-11-10,8.92,,
1989-11-13,8.85,,
1989-11-14,8.66,,
1989-11-15,8.63,,
1989-11-16,8.92,,
1989-11-17,8.92,,
1989-11-20,8.92,,
1989-11-21,8.98,,
1989-11-22,9.04,,
1989-11-24,8.98,,
1989-11-27,8.95,,
1989-11-28,9.11,,
1989-11-29,9.08,,
1989-11-30,9.14,,
1989-12-01,9.24,,
1989-12-04,9.11,,
1989-12-05,8.95,,
1989-12-06,9.01,,
1989-12-07,8.88,,
1989-12-08,8.75,,
1989-12-11,8.75,,
1989-12-12,8.63,,
1989-12-13,8.69,,
1989-12-14,8.69,,
1989-12-15,8.56,,
1989-12-18,8.21,,
1989-12-19,7.98,,
1989-12-20,8.05,,
1989-12-21,8.14,,
1989-12-22,8.21,,
1989-12-26,8.4,,
1989-12-27,8.53,,
1989-12-28,8.75,,
1989-12-29,8.98,,
1990-01-02,8.98,,
1990-01-03,9.08,,
1990-01-04,8.98,,
1990-01-05,8.88,,
1990-01-08,8.82,,
1990-01-09,8.63,,
1990-01-10,8.56,,
1990-01-11,8.69,,
1990-01-12,8.5,,
1990-01-15,8.46,,
1990-01-16,8.34,,
1990-01-17,8.18,,
1990-01-18,8.18,,
1990-01-19,8.14,,
1990-01-22,7.85,,
1990-01-23,7.95,,
1990-01-24,7.89,,
1990-01-25,7.69,,
1990-01-26,7.69,,
1990-01-29,7.72,,
1990-01-30,7.63,,
1990-01-31,7.66,,
1990-02-01,7.72,,
1990-02-02,7.76,,
1990-02-05,7.76,,
1990-02-06,7.53,,
1990-02-07,7.72,,
1990-02-08,7.6,,
1990-02-09,7.53,,
1990-02-12,7.5,,
1990-02-13,7.53,,
1990-02-14,7.47,,
1990-02-15,7.34,,
1990-02-16,7.47,,
1990-02-20,7.27,,
1990-02-21,7.21,,
1990-02-22,7.11,,
1990-02-23,7.21,,
1990-02-26,7.4,,
1990-02-27,7.24,,
1990-02-28,7.5,,
1990-03-01,7.47,,
1990-03-02,7.56,,
1990-03-05,7.08,,
1990-03-06,7.02,,
1990-03-07,7.18,,
1990-03-08,7.18,,
1990-03-09,7.21,,
1990-03-12,7.21,,
1990-03-13,7.18,,
1990-03-14,7.27,,
1990-03-15,7.21,,
1990-03-16,7.31,,
1990-03-19,7.21,,
1990-03-20,7.11,,
1990-03-21,7.15,,
1990-03-22,6.86,,
1990-03-23,6.92,,
1990-03-26,6.92,,
1990-03-27,6.86,,
1990-03-28,6.79,,
1990-03-29,6.73,,
1990-03-30,6.63,,
1990-04-02,6.69,,
1990-04-03,6.73,,
1990-04-04,6.82,,
1990-04-05,6.86,,
1990-04-06,6.86,,
1990-04-09,6.89,,
1990-04-10,7.05,,
1990-04-11,7.18,,
1990-04-12,7.27,,
1990-04-16,7.37,,
1990-04-17,7.53,,
1990-04-18,7.43,,
1990-04-19,7.11,,
1990-04-20,7.24,,
1990-04-23,7.02,,
1990-04-24,6.95,,
1990-04-25,6.92,,
1990-04-26,6.86,,
1990-04-27,6.79,,
1990-04-30,6.98,,
1990-05-01,6.86,,
1990-05-02,6.92,,
1990-05-03,6.82,,
1990-05-04,6.92,,
1990-05-07,6.92,,
1990-05-08,7.05,,
1990-05-09,7.08,,
1990-05-10,7.15,,
1990-05-11,7.4,,
1990-05-14,7.53,,
1990-05-15,7.89,,
1990-05-16,7.53,,
1990-05-17,7.6,,
1990-05-18,7.63,,
1990-05-21,7.72,,
1990-05-22,7.63,,
1990-05-23,7.66,,
1990-05-24,7.72,,
1990-05-25,7.56,,
1990-05-29,7.63,,
1990-05-30,7.56,,
1990-05-31,7.53,,
1990-06-01,7.66,,
1990-06-04,8.14,,
1990-06-05,8.08,,
1990-06-06,8.05,,
1990-06-07,8.11,,
1990-06-08,7.92,,
1990-06-11,7.89,,
1990-06-12,7.82,,
1990-06-13,8.08,,
1990-06-14,7.98,,
1990-06-15,8.01,,
1990-06-18,7.89,,
1990-06-19,7.92,,
1990-06-20,7.76,,
1990-06-21,7.79,,
1990-06-22,7.85,,
1990-06-25,7.85,,
1990-06-26,7.82,,
1990-06-27,7.85,,
1990-06-28,7.92,,
1990-06-29,7.92,,
1990-07-02,8.05,,
1990-07-03,8.11,,
1990-07-05,8.08,,
1990-07-06,8.21,,
1990-07-09,8.14,,
1990-07-10,7.98,,
1990-07-11,8.01,,
1990-07-12,7.95,,
1990-07-13,7.89,,
1990-07-16,7.95,,
1990-07-17,8.08,,
1990-07-18,7.98,,
1990-07-19,8.05,,
1990-07-20,7.85,,
1990-07-23,7.76,,
1990-07-24,7.72,,
1990-07-25,7.76,,
1990-07-26,7.72,,
1990-07-27,7.6,,
1990-07-30,7.5,,
1990-07-31,7.5,,
1990-08-01,7.37,,
1990-08-02,7.21,,
1990-08-03,7.15,,
1990-08-06,6.76,,
1990-08-07,6.69,,
1990-08-08,6.89,,
1990-08-09,6.86,,
1990-08-10,7.08,,
1990-08-13,7.05,,
1990-08-14,6.95,,
1990-08-15,6.86,,
1990-08-16,6.53,,
1990-08-17,6.53,,
1990-08-20,6.4,,
1990-08-21,6.21,,
1990-08-22,6.05,,
1990-08-23,5.89,,
1990-08-24,6.05,,
1990-08-27,6.28,,
1990-08-28,6.08,,
1990-08-29,6.15,,
1990-08-30,6.02,,
1990-08-31,6.21,,
1990-09-04,6.18,,
1990-09-05,6.21,,
1990-09-06,6.05,,
1990-09-07,6.18,,
1990-09-10,6.21,,
1990-09-11,6.15,,
1990-09-12,6.18,,
1990-09-13,5.99,,
1990-09-14,6.02,,
1990-09-17,5.95,,
1990-09-18,5.86,,
1990-09-19,5.89,,
1990-09-20,5.76,,
1990-09-21,5.86,,
1990-09-24,5.34,,
1990-09-25,5.6,,
1990-09-26,5.44,,
1990-09-27,5.28,,
1990-09-28,5.44,,
1990-10-01,5.76,,
1990-10-02,5.6,,
1990-10-03,5.37,,
1990-10-04,5.41,,
1990-10-05,5.31,,
1990-10-08,5.5,,
1990-10-09,5.18,,
1990-10-10,4.99,,
1990-10-11,4.83,,
1990-10-12,4.99,,
1990-10-15,4.8,,
1990-10-16,4.8,,
1990-10-17,4.51,,
1990-10-18,4.73,,
1990-10-19,4.86,,
1990-10-22,5.12,,
1990-10-23,5.25,,
1990-10-24,5.21,,
1990-10-25,5.09,,
1990-10-26,4.8,,
1990-10-29,4.6,,
1990-10-30,4.76,,
1990-10-31,4.86,,
1990-11-01,4.83,,
1990-11-02,5.09,,
1990-11-05,5.12,,
1990-11-06,5.05,,
1990-11-07,4.92,,
1990-11-08,4.92,,
1990-11-09,5.05,,
1990-11-12,5.57,,
1990-11-13,5.79,,
1990-11-14,5.73,,
1990-11-15,5.57,,
1990-11-16,5.57,,
1990-11-19,5.57,,
1990-11-20,5.28,,
1990-11-21,5.09,,
1990-11-23,5.09,,
1990-11-26,5.21,,
1990-11-27,5.18,,
1990-11-28,5.15,,
1990-11-29,5.18,,
1990-11-30,5.28,,
1990-12-03,5.37,,
1990-12-04,5.41,,
1990-12-05,5.86,,
1990-12-06,5.83,,
1990-12-07,5.63,,
1990-12-10,5.6,,
1990-12-11,5.47,,
1990-12-12,5.66,,
1990-12-13,5.57,,
1990-12-14,5.41,,
1990-12-17,5.47,,
1990-12-18,5.6,,
1990-12-19,5.73,,
1990-12-20,5.54,,
1990-12-21,5.41,,
1990-12-24,5.44,,
1990-12-26,5.5,,
1990-12-27,5.31,,
1990-12-28,5.25,,
1990-12-31,5.31,,
1991-01-02,5.21,,
1991-01-03,5.25,,
1991-01-04,5.25,,
1991-01-07,5.09,,
1991-01-08,5.02,,
1991-01-09,4.99,,
1991-01-10,5.25,,
1991-01-11,5.18,,
1991-01-14,5.05,,
1991-01-15,5.02,,
1991-01-16,5.12,,
1991-01-17,5.37,,
1991-01-18,5.34,,
1991-01-21,5.34,,
1991-01-22,5.28,,
1991-01-23,5.09,,
1991-01-24,5.15,,
1991-01-25,5.25,,
1991-01-28,5.21,,
1991-01-29,5.31,,
1991-01-30,5.63,,
1991-01-31,5.86,,
1991-02-01,5.83,,
1991-02-04,5.95,,
1991-02-05,6.4,,
1991-02-06,6.31,,
1991-02-07,6.21,,
1991-02-08,6.31,,
1991-02-11,6.66,,
1991-02-12,6.63,,
1991-02-13,6.76,,
1991-02-14,6.76,,
1991-02-15,6.92,,
1991-02-19,6.57,,
1991-02-20,6.28,,
1991-02-21,6.44,,
1991-02-22,6.4,,
1991-02-25,6.44,,
1991-02-26,6.24,,
1991-02-27,6.24,,
1991-02-28,6.18,,
1991-03-01,6.53,,
1991-03-04,6.63,,
1991-03-05,6.89,,
1991-03-06,6.98,,
1991-03-07,6.76,,
1991-03-08,6.82,,
1991-03-11,6.82,,
1991-03-12,6.6,,
1991-03-13,6.86,,
1991-03-14,7.02,,
1991-03-15,7.15,,
1991-03-18,7.08,,
1991-03-19,6.92,,
1991-03-20,6.86,,
1991-03-21,7.02,,
1991-03-22,7.15,,
1991-03-25,7.27,,
1991-03-26,7.72,,
1991-03-27,7.72,,
1991-03-28,7.43,,
1991-04-01,7.27,,
1991-04-02,7.63,,
1991-04-03,7.63,,
1991-04-04,7.43,,
1991-04-05,7.31,,
1991-04-08,7.27,,
1991-04-09,7.05,,
1991-04-10,7.15,,
1991-04-11,7.11,,
1991-04-12,7.05,,
1991-04-15,7.02,,
1991-04-16,7.56,,
1991-04-17,7.69,,
1991-04-18,7.53,,
1991-04-19,7.21,,
1991-04-22,6.98,,
1991-04-23,6.82,,
1991-04-24,7.02,,
1991-04-25,6.79,,
1991-04-26,6.73,,
1991-04-29,6.63,,
1991-04-30,6.44,,
1991-05-01,6.76,,
1991-05-02,6.86,,
1991-05-03,6.6,,
1991-05-06,6.5,,
1991-05-07,6.47,,
1991-05-08,6.24,,
1991-05-09,6.37,,
1991-05-10,6.15,,
1991-05-13,5.89,,
1991-05-14,6.05,,
1991-05-15,6.12,,
1991-05-16,6.05,,
1991-05-17,5.99,,
1991-05-20,5.92,,
1991-05-21,5.99,,
