date,GL,GL_EPS,PE Ratio
,,0.15,
1980-10-01,2.83,0.15,18.866666666666667
1980-10-02,2.8,0.15,18.666666666666668
1980-10-03,2.78,0.15,18.53333333333333
1980-10-06,2.74,0.15,18.26666666666667
1980-10-07,2.69,0.15,17.933333333333334
1980-10-08,2.72,0.15,18.133333333333336
1980-10-09,2.72,0.15,18.133333333333336
1980-10-10,2.72,0.15,18.133333333333336
1980-10-13,2.74,0.15,18.26666666666667
1980-10-14,2.72,0.15,18.133333333333336
1980-10-15,2.7,0.15,18.000000000000004
1980-10-16,2.7,0.15,18.000000000000004
1980-10-17,2.7,0.15,18.000000000000004
1980-10-20,2.67,0.15,17.8
1980-10-21,2.65,0.15,17.666666666666668
1980-10-22,2.65,0.15,17.666666666666668
1980-10-23,2.61,0.15,17.4
1980-10-24,2.61,0.15,17.4
1980-10-27,2.59,0.15,17.266666666666666
1980-10-28,2.59,0.15,17.266666666666666
1980-10-29,2.57,0.15,17.133333333333333
1980-10-30,2.57,0.15,17.133333333333333
1980-10-31,2.57,0.15,17.133333333333333
1980-11-03,2.56,0.15,17.066666666666666
1980-11-05,2.56,0.15,17.066666666666666
1980-11-06,2.54,0.15,16.933333333333334
1980-11-07,2.52,0.15,16.8
1980-11-10,2.52,0.15,16.8
1980-11-11,2.63,0.15,17.533333333333335
1980-11-12,2.67,0.15,17.8
1980-11-13,2.69,0.15,17.933333333333334
1980-11-14,2.7,0.15,18.000000000000004
1980-11-17,2.69,0.15,17.933333333333334
1980-11-18,2.65,0.15,17.666666666666668
1980-11-19,2.63,0.15,17.533333333333335
1980-11-20,2.65,0.15,17.666666666666668
1980-11-21,2.63,0.15,17.533333333333335
1980-11-24,2.65,0.15,17.666666666666668
1980-11-25,2.69,0.15,17.933333333333334
1980-11-26,2.76,0.15,18.4
1980-11-28,2.81,0.15,18.733333333333334
1980-12-01,2.83,0.15,18.866666666666667
1980-12-02,2.98,0.15,19.866666666666667
1980-12-03,3.02,0.15,20.133333333333333
