date,TPR,TPR_EPS,PE Ratio
,,-0.01,
2000-10-06,2.44,-0.01,-244.0
2000-10-09,2.27,-0.01,-227.0
2000-10-10,2.3,-0.01,-229.99999999999997
2000-10-11,2.22,-0.01,-222.00000000000003
2000-10-12,2.11,-0.01,-210.99999999999997
2000-10-13,2.16,-0.01,-216.0
2000-10-16,2.16,-0.01,-216.0
2000-10-17,2.3,-0.01,-229.99999999999997
2000-10-18,2.18,-0.01,-218.0
2000-10-19,2.13,-0.01,-212.99999999999997
2000-10-20,2.13,-0.01,-212.99999999999997
2000-10-23,2.09,-0.01,-208.99999999999997
2000-10-24,2.19,-0.01,-219.0
2000-10-25,2.28,-0.01,-227.99999999999997
2000-10-26,2.27,-0.01,-227.0
2000-10-27,2.44,-0.01,-244.0
2000-10-30,2.69,-0.01,-269.0
2000-10-31,2.92,-0.01,-292.0
2000-11-01,2.9,-0.01,-290.0
2000-11-02,2.98,-0.01,-298.0
2000-11-03,3.16,-0.01,-316.0
2000-11-06,3.01,-0.01,-301.0
2000-11-07,2.97,-0.01,-297.0
2000-11-08,3.0,-0.01,-300.0
2000-11-09,2.99,-0.01,-299.0
2000-11-10,3.09,-0.01,-309.0
2000-11-13,2.77,-0.01,-277.0
2000-11-14,2.84,0.03,94.66666666666667
2000-11-15,2.88,0.03,96.0
2000-11-16,2.87,0.03,95.66666666666667
2000-11-17,2.92,0.03,97.33333333333333
2000-11-20,2.84,0.03,94.66666666666667
2000-11-21,2.83,0.03,94.33333333333334
2000-11-22,2.88,0.03,96.0
2000-11-24,2.88,0.03,96.0
2000-11-27,2.97,0.03,99.00000000000001
2000-11-28,2.94,0.03,98.0
2000-11-29,2.78,0.03,92.66666666666666
2000-11-30,2.77,0.03,92.33333333333334
2000-12-01,2.75,0.03,91.66666666666667
2000-12-04,2.89,0.03,96.33333333333334
2000-12-05,2.78,0.03,92.66666666666666
2000-12-06,2.88,0.03,96.0
2000-12-07,3.0,0.03,100.0
2000-12-08,3.17,0.03,105.66666666666667
2000-12-11,3.23,0.03,107.66666666666667
2000-12-12,3.12,0.03,104.00000000000001
2000-12-13,3.0,0.03,100.0
2000-12-14,2.63,0.03,87.66666666666667
2000-12-15,2.63,0.03,87.66666666666667
2000-12-18,2.58,0.03,86.0
2000-12-19,2.59,0.03,86.33333333333333
2000-12-20,2.53,0.03,84.33333333333333
2000-12-21,2.63,0.03,87.66666666666667
2000-12-22,2.8,0.03,93.33333333333333
2000-12-26,2.94,0.03,98.0
2000-12-27,3.13,0.03,104.33333333333333
2000-12-28,3.53,0.03,117.66666666666667
2000-12-29,3.59,0.03,119.66666666666667
2001-01-02,3.27,0.03,109.0
2001-01-03,3.26,0.03,108.66666666666666
2001-01-04,3.13,0.03,104.33333333333333
2001-01-05,3.05,0.03,101.66666666666667
2001-01-08,2.8,0.03,93.33333333333333
2001-01-09,2.91,0.03,97.00000000000001
2001-01-10,3.14,0.03,104.66666666666667
2001-01-11,3.41,0.03,113.66666666666667
