date,FFIV,FFIV_EPS,PE Ratio
,,-0.04,
1999-06-04,7.44,-0.04,-186.0
1999-06-07,7.75,-0.04,-193.75
1999-06-08,9.84,-0.04,-246.0
1999-06-09,9.69,-0.04,-242.24999999999997
1999-06-10,8.59,-0.04,-214.75
1999-06-11,8.0,-0.04,-200.0
1999-06-14,7.63,-0.04,-190.75
1999-06-15,7.75,-0.04,-193.75
1999-06-16,8.34,-0.04,-208.5
1999-06-17,10.03,-0.04,-250.74999999999997
1999-06-18,9.31,-0.04,-232.75
1999-06-21,9.75,-0.04,-243.75
1999-06-22,9.88,-0.04,-247.00000000000003
1999-06-23,9.31,-0.04,-232.75
1999-06-24,9.0,-0.04,-225.0
1999-06-25,11.31,-0.04,-282.75
1999-06-28,13.94,-0.04,-348.5
1999-06-29,15.75,-0.04,-393.75
1999-06-30,20.5,-0.04,-512.5
1999-07-01,19.25,-0.04,-481.25
1999-07-02,18.5,-0.04,-462.5
1999-07-06,20.78,-0.04,-519.5
1999-07-07,19.75,-0.04,-493.75
1999-07-08,21.97,-0.04,-549.25
1999-07-09,25.38,-0.04,-634.5
1999-07-12,27.47,-0.04,-686.75
1999-07-13,25.34,-0.04,-633.5
1999-07-14,26.72,-0.04,-668.0
1999-07-15,35.63,-0.04,-890.75
1999-07-16,34.56,-0.04,-864.0
1999-07-19,34.5,-0.04,-862.5
1999-07-20,31.41,-0.04,-785.25
1999-07-21,29.34,-0.04,-733.5
1999-07-22,30.41,-0.04,-760.25
1999-07-23,29.44,-0.04,-736.0
1999-07-26,25.75,-0.04,-643.75
1999-07-27,27.0,-0.04,-675.0
1999-07-28,28.81,-0.04,-720.25
1999-07-29,25.38,-0.04,-634.5
1999-07-30,25.0,-0.04,-625.0
1999-08-02,22.25,-0.04,-556.25
1999-08-03,20.56,-0.04,-514.0
1999-08-04,17.25,-0.04,-431.25
1999-08-05,17.31,-0.04,-432.74999999999994
1999-08-06,16.06,-0.04,-401.49999999999994
1999-08-09,14.94,-0.04,-373.5
1999-08-10,18.75,-0.04,-468.75
1999-08-11,21.44,-0.07,-306.2857142857143
1999-08-12,22.75,-0.07,-324.99999999999994
1999-08-13,27.22,-0.07,-388.8571428571428
1999-08-16,29.5,-0.07,-421.4285714285714
1999-08-17,28.31,-0.07,-404.4285714285714
1999-08-18,26.66,-0.07,-380.85714285714283
1999-08-19,25.81,-0.07,-368.71428571428567
1999-08-20,27.44,-0.07,-392.0
1999-08-23,30.44,-0.07,-434.85714285714283
1999-08-24,33.31,-0.07,-475.85714285714283
1999-08-25,31.72,-0.07,-453.1428571428571
1999-08-26,30.34,-0.07,-433.4285714285714
1999-08-27,28.63,-0.07,-408.99999999999994
1999-08-30,31.0,-0.07,-442.85714285714283
1999-08-31,33.91,-0.07,-484.42857142857133
1999-09-01,32.25,-0.07,-460.71428571428567
1999-09-02,32.75,-0.07,-467.85714285714283
1999-09-03,34.75,-0.07,-496.4285714285714
1999-09-07,37.66,-0.07,-537.9999999999999
1999-09-08,34.75,-0.07,-496.4285714285714
1999-09-09,35.5,-0.07,-507.1428571428571
1999-09-10,37.31,-0.07,-533.0
1999-09-13,36.63,-0.07,-523.2857142857142
1999-09-14,34.97,-0.07,-499.5714285714285
1999-09-15,32.39,-0.07,-462.71428571428567
1999-09-16,35.06,-0.07,-500.85714285714283
1999-09-17,34.38,-0.07,-491.1428571428571
1999-09-20,32.91,-0.07,-470.14285714285705
1999-09-21,34.33,-0.07,-490.42857142857133
1999-09-22,34.75,-0.07,-496.4285714285714
1999-09-23,32.88,-0.07,-469.7142857142857
1999-09-24,33.13,-0.07,-473.2857142857143
1999-09-27,34.47,-0.07,-492.4285714285714
1999-09-28,33.5,-0.07,-478.5714285714285
1999-09-29,33.75,-0.07,-482.1428571428571
1999-09-30,34.0,-0.07,-485.71428571428567
1999-10-01,34.03,-0.07,-486.1428571428571
1999-10-04,33.69,-0.07,-481.2857142857142
1999-10-05,36.75,-0.07,-525.0
1999-10-06,40.13,-0.07,-573.2857142857142
1999-10-07,36.94,-0.07,-527.7142857142857
1999-10-08,39.03,-0.07,-557.5714285714286
1999-10-11,46.0,-0.07,-657.1428571428571
1999-10-12,45.47,-0.07,-649.5714285714284
1999-10-13,40.5,-0.07,-578.5714285714286
1999-10-14,39.91,-0.07,-570.142857142857
1999-10-15,37.5,-0.07,-535.7142857142857
1999-10-18,36.97,-0.07,-528.1428571428571
1999-10-19,37.38,-0.07,-534.0
1999-10-20,42.75,-0.07,-610.7142857142857
1999-10-21,44.63,-0.07,-637.5714285714286
1999-10-22,45.38,-0.07,-648.2857142857142
1999-10-25,46.0,-0.07,-657.1428571428571
1999-10-26,49.56,-0.07,-708.0
1999-10-27,68.5,-0.07,-978.5714285714284
1999-10-28,67.0,-0.07,-957.142857142857
1999-10-29,69.38,-0.07,-991.142857142857
1999-11-01,76.31,-0.07,-1090.142857142857
1999-11-02,74.88,-0.07,-1069.7142857142856
1999-11-03,74.25,-0.07,-1060.7142857142856
1999-11-04,72.34,-0.07,-1033.4285714285713
1999-11-05,69.25,-0.07,-989.2857142857142
1999-11-08,65.0,-0.07,-928.5714285714284
1999-11-09,69.63,-0.07,-994.7142857142856
1999-11-10,71.38,-0.07,-1019.7142857142856
1999-11-11,68.5,-0.07,-978.5714285714284
1999-11-12,67.56,-0.07,-965.1428571428571
1999-11-15,66.75,-0.07,-953.5714285714284
1999-11-16,75.03,-0.07,-1071.8571428571427
1999-11-17,77.19,-0.07,-1102.7142857142856
1999-11-18,77.94,-0.07,-1113.4285714285713
1999-11-19,72.25,-0.07,-1032.142857142857
1999-11-22,70.69,-0.07,-1009.8571428571428
1999-11-23,63.5,-0.07,-907.1428571428571
1999-11-24,63.5,-0.07,-907.1428571428571
1999-11-26,62.94,-0.07,-899.142857142857
1999-11-29,60.44,-0.07,-863.4285714285713
1999-11-30,56.56,-0.07,-808.0
1999-12-01,59.56,-0.07,-850.8571428571428
1999-12-02,61.25,-0.07,-874.9999999999999
1999-12-03,59.25,-0.07,-846.4285714285713
1999-12-06,58.0,-0.07,-828.5714285714284
1999-12-07,73.78,-0.07,-1054.0
1999-12-08,65.5,-0.07,-935.7142857142857
1999-12-09,66.06,-0.07,-943.7142857142857
1999-12-10,67.75,-0.07,-967.8571428571428
1999-12-13,65.53,-0.07,-936.1428571428571
1999-12-14,59.25,-0.07,-846.4285714285713
1999-12-15,57.25,-0.07,-817.8571428571428
1999-12-16,57.91,-0.07,-827.2857142857141
