date,ADSK,ADSK_EPS,PE Ratio
1985-06-28,0.5,,
1985-07-01,0.5,,
1985-07-02,0.52,,
1985-07-03,0.52,,
1985-07-05,0.53,,
1985-07-08,0.51,,
1985-07-09,0.5,,
1985-07-10,0.51,,
1985-07-11,0.52,,
1985-07-12,0.52,,
1985-07-15,0.52,,
1985-07-16,0.56,,
1985-07-17,0.58,,
1985-07-18,0.56,,
1985-07-19,0.56,,
1985-07-22,0.56,,
1985-07-23,0.57,,
1985-07-24,0.57,,
1985-07-25,0.59,,
1985-07-26,0.6,,
1985-07-29,0.61,,
1985-07-30,0.6,,
1985-07-31,0.63,,
1985-08-01,0.65,,
1985-08-02,0.66,,
1985-08-05,0.65,,
1985-08-06,0.63,,
1985-08-07,0.6,,
1985-08-08,0.64,,
1985-08-09,0.65,,
1985-08-12,0.65,,
1985-08-13,0.66,,
1985-08-14,0.66,,
1985-08-15,0.66,,
1985-08-16,0.66,,
1985-08-19,0.64,,
1985-08-20,0.6,,
1985-08-21,0.6,,
1985-08-22,0.6,,
1985-08-23,0.66,,
1985-08-26,0.66,,
1985-08-27,0.66,,
1985-08-28,0.66,,
1985-08-29,0.69,,
1985-08-30,0.69,,
1985-09-03,0.69,,
1985-09-04,0.68,,
1985-09-05,0.66,,
1985-09-06,0.69,,
1985-09-09,0.69,,
1985-09-10,0.68,,
1985-09-11,0.66,,
1985-09-12,0.68,,
1985-09-13,0.68,,
1985-09-16,0.68,,
1985-09-17,0.63,,
1985-09-18,0.66,,
1985-09-19,0.68,,
1985-09-20,0.68,,
1985-09-23,0.68,,
1985-09-24,0.68,,
1985-09-25,0.68,,
1985-09-26,0.65,,
1985-09-30,0.6,,
1985-10-01,0.6,,
1985-10-02,0.63,,
1985-10-03,0.61,,
1985-10-04,0.6,,
1985-10-07,0.57,,
1985-10-08,0.55,,
1985-10-09,0.54,,
1985-10-10,0.54,,
1985-10-11,0.56,,
1985-10-14,0.59,,
1985-10-15,0.57,,
1985-10-16,0.57,,
1985-10-17,0.58,,
1985-10-18,0.59,,
1985-10-21,0.59,,
1985-10-22,0.59,,
1985-10-23,0.59,,
1985-10-24,0.59,,
1985-10-25,0.59,,
1985-10-28,0.59,,
1985-10-29,0.59,,
1985-10-30,0.61,,
1985-10-31,0.61,,
1985-11-01,0.6,,
1985-11-04,0.6,,
1985-11-05,0.6,,
1985-11-06,0.61,,
1985-11-07,0.61,,
1985-11-08,0.63,,
1985-11-11,0.66,,
1985-11-12,0.7,,
1985-11-13,0.68,,
1985-11-14,0.7,,
1985-11-15,0.72,,
1985-11-18,0.72,,
1985-11-19,0.72,,
1985-11-20,0.74,,
1985-11-21,0.77,,
1985-11-22,0.81,,
1985-11-25,0.81,,
1985-11-26,0.84,,
1985-11-27,0.85,,
1985-11-29,0.89,,
1985-12-02,0.89,,
1985-12-03,0.94,,
1985-12-04,0.99,,
1985-12-05,1.02,,
1985-12-06,0.94,,
1985-12-09,0.94,,
1985-12-10,0.96,,
1985-12-11,0.96,,
1985-12-12,0.97,,
1985-12-13,0.97,,
1985-12-16,1.01,,
1985-12-17,1.0,,
1985-12-18,0.97,,
1985-12-19,0.97,,
1985-12-20,0.95,,
1985-12-23,0.95,,
1985-12-24,0.97,,
1985-12-26,0.97,,
1985-12-27,0.99,,
1985-12-30,0.99,,
1985-12-31,1.03,,
1986-01-02,1.08,,
1986-01-03,1.07,,
1986-01-06,1.03,,
1986-01-07,1.03,,
1986-01-08,1.04,,
1986-01-09,0.99,,
1986-01-10,0.99,,
1986-01-13,0.97,,
1986-01-14,0.93,,
1986-01-15,0.94,,
1986-01-16,0.94,,
1986-01-17,0.94,,
