date,WAB,WAB_EPS,PE Ratio
,,0.1,
1995-06-16,7.5,0.1,75.0
1995-06-19,7.19,0.1,71.9
1995-06-20,7.19,0.1,71.9
1995-06-21,7.06,0.1,70.6
1995-06-22,7.31,0.1,73.1
1995-06-23,7.31,0.1,73.1
1995-06-26,7.06,0.1,70.6
1995-06-27,7.0,0.1,70.0
1995-06-28,7.0,0.1,70.0
1995-06-29,7.0,0.1,70.0
1995-06-30,7.13,0.1,71.3
1995-07-03,7.06,0.1,70.6
1995-07-05,7.06,0.1,70.6
1995-07-06,7.06,0.1,70.6
1995-07-07,7.56,0.1,75.6
1995-07-10,7.75,0.1,77.5
1995-07-11,8.5,0.1,85.0
1995-07-12,9.0,0.1,90.0
1995-07-13,8.94,0.1,89.39999999999999
1995-07-14,8.94,0.1,89.39999999999999
1995-07-17,9.44,0.1,94.39999999999999
1995-07-18,9.06,0.1,90.6
1995-07-19,8.88,0.1,88.8
1995-07-20,8.69,0.1,86.89999999999999
1995-07-21,8.69,0.1,86.89999999999999
1995-07-24,8.56,0.1,85.6
1995-07-25,8.75,0.1,87.5
1995-07-26,9.13,0.1,91.3
1995-07-27,9.31,0.1,93.1
1995-07-28,9.31,0.1,93.1
1995-07-31,9.25,0.1,92.5
1995-08-01,9.06,0.1,90.6
1995-08-02,8.88,0.1,88.8
1995-08-03,8.75,0.1,87.5
1995-08-04,8.63,0.1,86.3
1995-08-07,8.69,0.1,86.89999999999999
1995-08-08,8.56,0.1,85.6
1995-08-09,8.19,0.1,81.89999999999999
1995-08-10,8.13,0.1,81.3
1995-08-11,8.13,0.1,81.3
1995-08-14,8.0,0.1,80.0
1995-08-15,8.0,0.1,80.0
1995-08-16,8.19,0.1,81.89999999999999
1995-08-17,8.25,0.1,82.5
1995-08-18,8.25,0.1,82.5
1995-08-21,8.38,0.1,83.8
1995-08-22,8.44,0.1,84.39999999999999
1995-08-23,8.56,0.1,85.6
1995-08-24,8.75,0.1,87.5
1995-08-25,8.56,0.1,85.6
1995-08-28,8.44,0.1,84.39999999999999
1995-08-29,8.19,0.1,81.89999999999999
1995-08-30,8.19,0.1,81.89999999999999
1995-08-31,8.13,0.1,81.3
1995-09-01,8.06,0.1,80.6
1995-09-05,8.0,0.1,80.0
1995-09-06,7.81,0.1,78.1
1995-09-07,7.75,0.1,77.5
1995-09-08,7.94,0.1,79.4
1995-09-11,7.88,0.1,78.8
1995-09-12,8.0,0.1,80.0
1995-09-13,7.81,0.1,78.1
1995-09-14,7.81,0.1,78.1
1995-09-15,7.75,0.1,77.5
1995-09-18,7.5,0.1,75.0
1995-09-19,7.5,0.1,75.0
1995-09-20,7.25,0.1,72.5
1995-09-21,7.38,0.1,73.8
1995-09-22,7.38,0.1,73.8
1995-09-25,7.31,0.1,73.1
1995-09-26,7.31,0.1,73.1
1995-09-27,7.06,0.1,70.6
1995-09-28,7.19,0.1,71.9
1995-09-29,7.19,0.1,71.9
1995-10-02,7.13,0.1,71.3
1995-10-03,6.75,0.1,67.5
1995-10-04,6.56,0.1,65.6
1995-10-05,7.38,0.1,73.8
1995-10-06,7.56,0.1,75.6
1995-10-09,7.31,0.1,73.1
1995-10-10,7.31,0.1,73.1
1995-10-11,7.31,0.1,73.1
1995-10-12,7.38,0.1,73.8
1995-10-13,7.5,0.1,75.0
1995-10-16,7.44,0.1,74.4
1995-10-17,7.31,0.1,73.1
1995-10-18,6.75,0.1,67.5
1995-10-19,6.75,0.1,67.5
1995-10-20,6.5,0.1,65.0
1995-10-23,6.31,0.1,63.099999999999994
1995-10-24,6.25,0.1,62.5
1995-10-25,6.38,0.1,63.8
1995-10-26,6.19,0.1,61.9
1995-10-27,6.0,0.1,60.0
1995-10-30,5.13,0.1,51.3
1995-10-31,4.38,0.1,43.8
1995-11-01,4.5,0.1,45.0
1995-11-02,4.69,0.1,46.9
1995-11-03,5.13,0.1,51.3
1995-11-06,4.88,0.1,48.8
1995-11-07,4.88,0.1,48.8
1995-11-08,4.94,0.1,49.4
1995-11-09,4.75,0.1,47.5
1995-11-10,4.56,0.1,45.599999999999994
1995-11-13,4.44,0.1,44.4
1995-11-14,4.5,0.1,45.0
1995-11-15,4.5,0.1,45.0
1995-11-16,4.56,0.1,45.599999999999994
1995-11-17,4.44,0.1,44.4
1995-11-20,4.56,0.1,45.599999999999994
1995-11-21,4.63,0.1,46.3
1995-11-22,4.56,0.1,45.599999999999994
1995-11-24,4.56,0.1,45.599999999999994
1995-11-27,4.5,0.1,45.0
1995-11-28,4.56,0.1,45.599999999999994
1995-11-29,4.63,0.1,46.3
1995-11-30,4.63,0.1,46.3
1995-12-01,4.69,0.1,46.9
1995-12-04,4.69,0.1,46.9
1995-12-05,4.44,0.1,44.4
1995-12-06,4.31,0.1,43.099999999999994
1995-12-07,4.5,0.1,45.0
1995-12-08,4.44,0.1,44.4
1995-12-11,4.38,0.1,43.8
1995-12-12,4.44,0.1,44.4
1995-12-13,4.38,0.1,43.8
1995-12-14,4.38,0.1,43.8
1995-12-15,4.38,0.1,43.8
1995-12-18,4.5,0.1,45.0
1995-12-19,4.81,0.1,48.099999999999994
1995-12-20,4.75,0.1,47.5
1995-12-21,4.69,0.1,46.9
1995-12-22,4.69,0.1,46.9
1995-12-26,4.69,0.1,46.9
1995-12-27,5.13,0.1,51.3
1995-12-28,5.25,0.1,52.5
1995-12-29,5.31,0.1,53.099999999999994
1996-01-02,5.19,0.1,51.9
1996-01-03,5.0,0.1,50.0
1996-01-04,5.0,0.1,50.0
1996-01-05,5.0,0.1,50.0
1996-01-08,4.94,0.1,49.4
1996-01-09,4.81,0.1,48.099999999999994
1996-01-10,4.69,0.1,46.9
1996-01-11,4.75,0.1,47.5
1996-01-12,4.69,0.1,46.9
1996-01-15,4.75,0.1,47.5
1996-01-16,4.63,0.1,46.3
1996-01-17,4.63,0.1,46.3
1996-01-18,4.56,0.1,45.599999999999994
1996-01-19,4.56,0.1,45.599999999999994
1996-01-22,4.63,0.1,46.3
1996-01-23,4.69,0.1,46.9
1996-01-24,4.63,0.1,46.3
1996-01-25,4.56,0.1,45.599999999999994
1996-01-26,4.56,0.1,45.599999999999994
1996-01-29,4.63,0.1,46.3
1996-01-30,4.75,0.1,47.5
1996-01-31,4.63,0.1,46.3
1996-02-01,4.63,0.1,46.3
1996-02-02,4.63,0.1,46.3
1996-02-05,4.56,0.1,45.599999999999994
1996-02-06,4.63,0.1,46.3
1996-02-07,4.88,0.1,48.8
1996-02-08,4.94,0.1,49.4
1996-02-09,4.88,0.1,48.8
1996-02-12,5.06,0.1,50.599999999999994
1996-02-13,5.25,0.1,52.5
1996-02-14,5.31,0.1,53.099999999999994
1996-02-15,5.25,0.1,52.5
1996-02-16,5.56,0.1,55.599999999999994
1996-02-20,5.63,0.1,56.3
1996-02-21,5.63,0.1,56.3
1996-02-22,5.88,0.1,58.8
1996-02-23,5.94,0.1,59.4
1996-02-26,5.75,0.1,57.5
1996-02-27,5.75,0.1,57.5
1996-02-28,5.69,0.1,56.9
1996-02-29,5.75,0.1,57.5
1996-03-01,5.75,0.1,57.5
1996-03-04,5.81,0.1,58.099999999999994
1996-03-05,5.81,0.1,58.099999999999994
1996-03-06,5.56,0.1,55.599999999999994
1996-03-07,5.5,0.1,55.0
1996-03-08,5.19,0.1,51.9
1996-03-11,5.31,0.1,53.099999999999994
1996-03-12,5.31,0.1,53.099999999999994
1996-03-13,5.44,0.1,54.4
1996-03-14,5.38,0.1,53.8
1996-03-15,5.25,0.1,52.5
1996-03-18,5.5,0.1,55.0
1996-03-19,5.31,0.1,53.099999999999994
1996-03-20,5.31,0.1,53.099999999999994
1996-03-21,5.31,0.1,53.099999999999994
1996-03-22,5.44,0.1,54.4
1996-03-25,5.38,0.1,53.8
1996-03-26,5.44,0.1,54.4
1996-03-27,5.5,0.1,55.0
1996-03-28,5.44,0.1,54.4
1996-03-29,5.38,0.1,53.8
1996-04-01,5.38,0.1,53.8
1996-04-02,5.44,0.1,54.4
1996-04-03,5.44,0.1,54.4
1996-04-04,5.38,0.1,53.8
1996-04-08,5.38,0.1,53.8
1996-04-09,5.44,0.1,54.4
1996-04-10,5.38,0.1,53.8
1996-04-11,5.56,0.1,55.599999999999994
1996-04-12,5.81,0.1,58.099999999999994
1996-04-15,5.75,0.1,57.5
1996-04-16,5.88,0.1,58.8
1996-04-17,5.75,0.1,57.5
1996-04-18,5.88,0.1,58.8
1996-04-19,6.19,0.1,61.9
1996-04-22,6.44,0.1,64.4
1996-04-23,6.5,0.1,65.0
1996-04-24,6.31,0.1,63.099999999999994
1996-04-25,6.5,0.1,65.0
1996-04-26,6.81,0.1,68.1
1996-04-29,6.75,0.1,67.5
1996-04-30,7.06,0.1,70.6
1996-05-01,6.88,0.1,68.8
1996-05-02,6.44,0.1,64.4
