date,MTD,MTD_EPS,PE Ratio
,,-0.04,
1997-08-14,,0.14,
1997-10-23,,-0.01,
1997-11-14,14.88,-0.01,-1488.0
1997-11-17,15.25,-0.01,-1525.0
1997-11-18,15.0,-0.01,-1500.0
1997-11-19,15.63,-0.01,-1563.0
1997-11-20,16.38,-0.01,-1637.9999999999998
1997-11-21,17.13,-0.01,-1712.9999999999998
1997-11-24,17.0,-0.01,-1700.0
1997-11-25,17.75,-0.01,-1775.0
1997-11-26,17.94,-0.01,-1794.0
1997-11-28,17.88,-0.01,-1787.9999999999998
1997-12-01,17.81,-0.01,-1780.9999999999998
1997-12-02,17.81,-0.01,-1780.9999999999998
1997-12-03,17.88,-0.01,-1787.9999999999998
1997-12-04,17.69,-0.01,-1769.0
1997-12-05,18.13,-0.01,-1812.9999999999998
1997-12-08,18.13,-0.01,-1812.9999999999998
1997-12-09,18.5,-0.01,-1850.0
1997-12-10,18.06,-0.01,-1805.9999999999998
1997-12-11,18.06,-0.01,-1805.9999999999998
1997-12-12,17.75,-0.01,-1775.0
1997-12-15,18.13,-0.01,-1812.9999999999998
1997-12-16,18.06,-0.01,-1805.9999999999998
1997-12-17,18.25,-0.01,-1825.0
1997-12-18,18.44,-0.01,-1844.0
1997-12-19,18.25,-0.01,-1825.0
1997-12-22,18.13,-0.01,-1812.9999999999998
1997-12-23,17.63,-0.01,-1762.9999999999998
1997-12-24,17.56,-0.01,-1755.9999999999998
1997-12-26,17.56,-0.01,-1755.9999999999998
1997-12-29,17.5,-0.01,-1750.0
1997-12-30,17.25,-0.01,-1725.0
1997-12-31,17.25,-0.01,-1725.0
1998-01-02,17.0,-0.01,-1700.0
1998-01-05,16.75,-0.01,-1675.0
1998-01-06,16.69,-0.01,-1669.0
1998-01-07,16.56,-0.01,-1655.9999999999998
1998-01-08,17.25,-0.01,-1725.0
1998-01-09,16.88,-0.01,-1687.9999999999998
1998-01-12,17.0,-0.01,-1700.0
1998-01-13,18.75,-0.01,-1875.0
1998-01-14,18.25,-0.01,-1825.0
1998-01-15,18.0,-0.01,-1800.0
1998-01-16,17.75,-0.01,-1775.0
1998-01-20,18.0,-0.01,-1800.0
1998-01-21,18.13,-0.01,-1812.9999999999998
1998-01-22,17.75,-0.01,-1775.0
1998-01-23,18.13,-0.01,-1812.9999999999998
1998-01-26,17.88,-0.01,-1787.9999999999998
1998-01-27,17.63,-0.01,-1762.9999999999998
1998-01-28,17.75,-0.01,-1775.0
1998-01-29,17.63,-0.01,-1762.9999999999998
1998-01-30,17.88,-0.01,-1787.9999999999998
1998-02-02,19.0,-0.01,-1900.0
1998-02-03,18.81,-0.01,-1880.9999999999998
1998-02-04,19.0,-0.01,-1900.0
1998-02-05,19.0,-0.01,-1900.0
1998-02-06,19.38,-0.01,-1937.9999999999998
1998-02-09,19.25,-0.01,-1925.0
1998-02-10,20.13,-0.01,-2012.9999999999998
1998-02-11,20.0,-0.01,-2000.0
1998-02-12,19.94,-0.01,-1994.0
1998-02-13,20.06,-0.01,-2005.9999999999998
1998-02-17,20.56,-0.01,-2056.0
1998-02-18,20.19,-0.01,-2019.0
1998-02-19,20.13,-0.01,-2012.9999999999998
1998-02-20,19.88,-0.01,-1987.9999999999998
1998-02-23,20.0,-0.01,-2000.0
1998-02-24,19.5,-0.01,-1950.0
1998-02-25,19.5,-0.01,-1950.0
1998-02-26,19.38,-0.01,-1937.9999999999998
1998-02-27,19.5,-0.01,-1950.0
1998-03-02,20.13,-0.01,-2012.9999999999998
1998-03-03,20.13,-0.01,-2012.9999999999998
1998-03-04,20.25,-0.01,-2025.0
1998-03-05,20.44,-0.01,-2044.0
1998-03-06,20.38,-0.01,-2037.9999999999998
1998-03-09,21.38,-0.01,-2138.0
1998-03-10,21.75,-0.01,-2175.0
1998-03-11,22.38,-0.01,-2238.0
1998-03-12,22.25,-0.01,-2225.0
1998-03-13,22.13,-0.01,-2213.0
1998-03-16,21.75,-0.01,-2175.0
1998-03-17,21.5,-0.01,-2150.0
1998-03-18,21.88,-0.01,-2188.0
1998-03-19,21.88,-0.01,-2188.0
1998-03-20,21.5,-0.01,-2150.0
1998-03-23,21.38,-0.01,-2138.0
1998-03-24,21.0,-0.01,-2100.0
1998-03-25,20.81,-0.01,-2081.0
1998-03-26,20.88,-0.01,-2088.0
1998-03-27,21.13,-0.01,-2113.0
1998-03-30,21.69,-0.01,-2169.0
1998-03-31,22.19,-0.01,-2219.0
1998-04-01,22.13,-0.01,-2213.0
1998-04-02,22.0,-0.01,-2200.0
1998-04-03,21.5,-0.01,-2150.0
1998-04-06,21.5,-0.01,-2150.0
1998-04-07,21.75,-0.01,-2175.0
1998-04-08,21.5,-0.01,-2150.0
1998-04-09,21.38,-0.01,-2138.0
1998-04-13,21.5,-0.01,-2150.0
1998-04-14,21.63,-0.01,-2163.0
1998-04-15,21.63,-0.01,-2163.0
1998-04-16,21.44,-0.01,-2144.0
1998-04-17,21.88,-0.01,-2188.0
1998-04-20,21.63,-0.01,-2163.0
1998-04-21,21.94,-0.01,-2194.0
1998-04-22,21.56,-0.01,-2156.0
1998-04-23,21.5,-0.01,-2150.0
1998-04-24,21.13,-0.01,-2113.0
1998-04-27,20.56,-0.01,-2056.0
1998-04-28,20.19,-0.01,-2019.0
1998-04-29,20.25,-0.01,-2025.0
1998-04-30,20.13,-0.01,-2012.9999999999998
1998-05-01,19.63,-0.01,-1962.9999999999998
1998-05-04,19.75,-0.01,-1975.0
1998-05-05,20.0,-0.01,-2000.0
1998-05-06,19.75,0.17,116.17647058823529
1998-05-07,19.5,0.17,114.70588235294117
1998-05-08,19.5,0.17,114.70588235294117
1998-05-11,19.5,0.17,114.70588235294117
1998-05-12,19.88,0.17,116.94117647058822
1998-05-13,19.63,0.17,115.4705882352941
1998-05-14,19.5,0.17,114.70588235294117
1998-05-15,19.5,0.17,114.70588235294117
1998-05-18,19.13,0.17,112.52941176470587
1998-05-19,19.13,0.17,112.52941176470587
1998-05-20,19.19,0.17,112.88235294117646
1998-05-21,20.25,0.17,119.11764705882352
1998-05-22,20.0,0.17,117.6470588235294
1998-05-26,19.63,0.17,115.4705882352941
1998-05-27,18.5,0.17,108.8235294117647
1998-05-28,18.63,0.17,109.58823529411764
1998-05-29,19.0,0.17,111.76470588235293
1998-06-01,19.0,0.17,111.76470588235293
1998-06-02,19.38,0.17,113.99999999999999
1998-06-03,19.75,0.17,116.17647058823529
1998-06-04,20.0,0.17,117.6470588235294
1998-06-05,19.44,0.17,114.3529411764706
1998-06-08,19.38,0.17,113.99999999999999
1998-06-09,19.5,0.17,114.70588235294117
1998-06-10,19.5,0.17,114.70588235294117
1998-06-11,19.31,0.17,113.58823529411764
1998-06-12,18.88,0.17,111.05882352941175
1998-06-15,19.25,0.17,113.23529411764704
1998-06-16,19.19,0.17,112.88235294117646
1998-06-17,19.25,0.17,113.23529411764704
1998-06-18,20.0,0.17,117.6470588235294
1998-06-19,21.06,0.17,123.88235294117645
1998-06-22,21.44,0.17,126.11764705882352
1998-06-23,21.13,0.17,124.29411764705881
1998-06-24,21.81,0.17,128.2941176470588
1998-06-25,21.13,0.17,124.29411764705881
1998-06-26,21.31,0.17,125.35294117647057
1998-06-29,20.38,0.17,119.88235294117645
1998-06-30,20.06,0.17,117.99999999999999
1998-07-01,20.0,0.17,117.6470588235294
1998-07-02,20.5,0.17,120.58823529411764
1998-07-06,21.88,0.17,128.70588235294116
1998-07-07,22.0,0.17,129.41176470588235
1998-07-08,22.13,0.17,130.17647058823528
1998-07-09,22.31,0.17,131.23529411764704
1998-07-10,22.25,0.17,130.88235294117646
1998-07-13,21.63,0.17,127.23529411764704
1998-07-14,21.75,0.17,127.94117647058823
1998-07-15,21.56,0.17,126.8235294117647
1998-07-16,21.38,0.17,125.76470588235293
1998-07-17,21.75,0.17,127.94117647058823
1998-07-20,22.31,0.17,131.23529411764704
1998-07-21,22.44,0.17,132.0
1998-07-22,22.25,0.17,130.88235294117646
1998-07-23,21.5,0.17,126.4705882352941
1998-07-24,21.88,0.17,128.70588235294116
1998-07-27,20.63,0.17,121.35294117647058
1998-07-28,20.75,0.17,122.05882352941175
1998-07-29,21.5,0.17,126.4705882352941
1998-07-30,21.5,0.17,126.4705882352941
1998-07-31,21.13,0.17,124.29411764705881
1998-08-03,21.0,0.17,123.52941176470587
1998-08-04,21.06,0.17,123.88235294117645
1998-08-05,21.13,0.17,124.29411764705881
1998-08-06,20.94,0.17,123.17647058823529
1998-08-07,20.5,0.17,120.58823529411764
1998-08-10,20.0,0.17,117.6470588235294
1998-08-11,18.75,0.17,110.29411764705881
1998-08-12,19.0,0.28,67.85714285714285
1998-08-13,20.25,0.28,72.32142857142857
1998-08-14,19.75,0.28,70.53571428571428
1998-08-17,19.81,0.28,70.74999999999999
1998-08-18,19.69,0.28,70.32142857142857
1998-08-19,19.5,0.28,69.64285714285714
1998-08-20,19.38,0.28,69.21428571428571
1998-08-21,19.25,0.28,68.75
1998-08-24,19.69,0.28,70.32142857142857
1998-08-25,19.5,0.28,69.64285714285714
1998-08-26,19.25,0.28,68.75
1998-08-27,18.19,0.28,64.96428571428571
1998-08-28,16.44,0.28,58.714285714285715
1998-08-31,16.88,0.28,60.28571428571428
1998-09-01,17.63,0.28,62.96428571428571
1998-09-02,18.0,0.28,64.28571428571428
1998-09-03,18.31,0.28,65.39285714285714
1998-09-04,18.44,0.28,65.85714285714286
1998-09-08,20.31,0.28,72.53571428571428
1998-09-09,20.25,0.28,72.32142857142857
1998-09-10,18.63,0.28,66.53571428571428
1998-09-11,19.13,0.28,68.32142857142856
1998-09-14,19.0,0.28,67.85714285714285
1998-09-15,20.0,0.28,71.42857142857142
1998-09-16,20.19,0.28,72.10714285714286
1998-09-17,19.88,0.28,70.99999999999999
1998-09-18,20.38,0.28,72.78571428571428
1998-09-21,19.88,0.28,70.99999999999999
1998-09-22,19.69,0.28,70.32142857142857
1998-09-23,19.81,0.28,70.74999999999999
1998-09-24,19.75,0.28,70.53571428571428
1998-09-25,20.69,0.28,73.89285714285714
1998-09-28,20.56,0.28,73.42857142857142
1998-09-29,21.13,0.28,75.46428571428571
1998-09-30,21.5,0.28,76.78571428571428
1998-10-01,20.38,0.28,72.78571428571428
1998-10-02,19.69,0.28,70.32142857142857
1998-10-05,18.63,0.28,66.53571428571428
1998-10-06,18.5,0.28,66.07142857142857
1998-10-07,18.25,0.28,65.17857142857142
1998-10-08,17.5,0.28,62.49999999999999
1998-10-09,17.75,0.28,63.39285714285714
1998-10-12,18.19,0.28,64.96428571428571
1998-10-13,18.44,0.28,65.85714285714286
1998-10-14,18.0,0.28,64.28571428571428
1998-10-15,18.56,0.28,66.28571428571428
1998-10-16,19.0,0.28,67.85714285714285
1998-10-19,19.69,0.28,70.32142857142857
1998-10-20,19.63,0.28,70.10714285714285
1998-10-21,20.5,0.28,73.21428571428571
1998-10-22,21.88,0.28,78.14285714285714
1998-10-23,21.81,0.28,77.89285714285712
1998-10-26,21.75,0.28,77.67857142857142
1998-10-27,21.5,0.28,76.78571428571428
1998-10-28,21.63,0.28,77.24999999999999
1998-10-29,21.94,0.28,78.35714285714286
1998-10-30,21.88,0.28,78.14285714285714
1998-11-02,22.56,0.28,80.57142857142856
1998-11-03,21.94,0.28,78.35714285714286
1998-11-04,22.0,0.28,78.57142857142857
1998-11-05,21.81,0.28,77.89285714285712
1998-11-06,22.88,0.28,81.71428571428571
1998-11-09,22.88,0.28,81.71428571428571
1998-11-10,21.69,0.28,77.46428571428571
1998-11-11,21.69,0.28,77.46428571428571
1998-11-12,21.56,0.28,76.99999999999999
1998-11-13,21.5,0.28,76.78571428571428
1998-11-16,21.56,0.31,69.54838709677419
1998-11-17,21.5,0.31,69.35483870967742
1998-11-18,21.44,0.31,69.16129032258065
1998-11-19,22.0,0.31,70.96774193548387
1998-11-20,23.13,0.31,74.61290322580645
1998-11-23,26.0,0.31,83.87096774193549
1998-11-24,26.31,0.31,84.87096774193547
1998-11-25,26.19,0.31,84.48387096774194
1998-11-27,27.06,0.31,87.29032258064515
1998-11-30,26.25,0.31,84.6774193548387
1998-12-01,27.44,0.31,88.51612903225806
1998-12-02,27.25,0.31,87.90322580645162
1998-12-03,27.81,0.31,89.70967741935483
1998-12-04,27.5,0.31,88.70967741935483
1998-12-07,26.94,0.31,86.90322580645162
1998-12-08,26.63,0.31,85.90322580645162
1998-12-09,26.63,0.31,85.90322580645162
1998-12-10,26.5,0.31,85.48387096774194
1998-12-11,25.5,0.31,82.25806451612904
1998-12-14,25.06,0.31,80.83870967741935
1998-12-15,24.38,0.31,78.64516129032258
1998-12-16,24.81,0.31,80.03225806451613
1998-12-17,26.94,0.31,86.90322580645162
1998-12-18,26.69,0.31,86.0967741935484
1998-12-21,27.63,0.31,89.12903225806451
1998-12-22,27.69,0.31,89.3225806451613
1998-12-23,27.69,0.31,89.3225806451613
1998-12-24,27.88,0.31,89.93548387096774
1998-12-28,27.88,0.31,89.93548387096774
1998-12-29,27.38,0.31,88.32258064516128
1998-12-30,27.94,0.31,90.12903225806453
1998-12-31,28.06,0.31,90.51612903225806
1999-01-04,26.75,0.31,86.29032258064517
1999-01-05,27.25,0.31,87.90322580645162
1999-01-06,27.25,0.31,87.90322580645162
1999-01-07,26.38,0.31,85.09677419354838
1999-01-08,25.81,0.31,83.25806451612902
1999-01-11,25.75,0.31,83.06451612903226
1999-01-12,24.81,0.31,80.03225806451613
1999-01-13,25.94,0.31,83.67741935483872
1999-01-14,24.75,0.31,79.83870967741936
1999-01-15,25.63,0.31,82.6774193548387
1999-01-19,26.81,0.31,86.48387096774194
1999-01-20,26.25,0.31,84.6774193548387
1999-01-21,24.75,0.31,79.83870967741936
1999-01-22,25.38,0.31,81.87096774193549
1999-01-25,24.56,0.31,79.2258064516129
1999-01-26,25.75,0.31,83.06451612903226
1999-01-27,25.81,0.31,83.25806451612902
1999-01-28,26.38,0.31,85.09677419354838
1999-01-29,26.5,0.31,85.48387096774194
1999-02-01,26.75,0.31,86.29032258064517
1999-02-02,26.0,0.31,83.87096774193549
1999-02-03,25.94,0.31,83.67741935483872
1999-02-04,25.13,0.31,81.06451612903226
1999-02-05,25.19,0.31,81.25806451612904
1999-02-08,25.31,0.31,81.64516129032258
