date,WYNN,WYNN_EPS,PE Ratio
,,-5.97,
2002-10-25,13.01,-5.97,-2.1792294807370185
2002-10-28,13.01,-5.97,-2.1792294807370185
2002-10-29,12.64,-5.97,-2.117252931323283
2002-10-30,12.5,-5.97,-2.0938023450586267
2002-10-31,12.61,-5.97,-2.1122278056951425
2002-11-01,12.61,-5.97,-2.1122278056951425
2002-11-04,12.91,-5.97,-2.1624790619765495
2002-11-05,13.02,-5.97,-2.180904522613065
2002-11-06,13.0,-5.97,-2.1775544388609718
2002-11-07,13.05,-5.97,-2.1859296482412063
2002-11-08,12.93,-5.97,-2.1658291457286434
2002-11-11,12.71,-5.97,-2.1289782244556115
2002-11-12,11.96,-5.97,-2.003350083752094
2002-11-13,11.1,-5.97,-1.8592964824120604
2002-11-14,11.09,-5.97,-1.8576214405360134
2002-11-15,11.55,-5.97,-1.9346733668341711
2002-11-18,12.18,-5.97,-2.040201005025126
2002-11-19,12.6,-5.97,-2.1105527638190953
2002-11-20,12.41,-5.97,-2.0787269681742044
2002-11-21,12.85,-5.97,-2.152428810720268
2002-11-22,12.65,-5.97,-2.1189279731993302
2002-11-25,12.93,-5.97,-2.1658291457286434
2002-11-26,12.74,-5.97,-2.134003350083752
2002-11-27,12.5,-5.97,-2.0938023450586267
2002-11-29,12.82,-5.97,-2.1474036850921276
2002-12-02,12.41,-5.97,-2.0787269681742044
2002-12-03,12.37,-5.97,-2.0720268006700167
2002-12-04,12.6,-5.97,-2.1105527638190953
2002-12-05,13.28,-5.97,-2.224455611390285
2002-12-06,13.18,-5.97,-2.207705192629816
2002-12-09,13.0,-5.97,-2.1775544388609718
2002-12-10,13.0,-5.97,-2.1775544388609718
2002-12-11,13.25,-5.97,-2.2194304857621443
2002-12-12,13.74,-5.97,-2.301507537688442
2002-12-13,13.6,-5.97,-2.278056951423786
2002-12-16,13.68,-5.97,-2.291457286432161
2002-12-17,13.48,-5.97,-2.257956448911223
2002-12-18,13.32,-5.97,-2.2311557788944727
2002-12-19,12.75,-5.97,-2.1356783919597992
2002-12-20,13.08,-5.97,-2.190954773869347
2002-12-23,13.45,-5.97,-2.252931323283082
2002-12-24,13.51,-5.97,-2.2629815745393635
2002-12-26,13.25,-5.97,-2.2194304857621443
2002-12-27,13.0,-5.97,-2.1775544388609718
2002-12-30,13.1,-5.97,-2.194304857621441
2002-12-31,13.11,-5.97,-2.1959798994974875
2003-01-02,13.5,-5.97,-2.261306532663317
2003-01-03,13.4,-5.97,-2.244556113902848
2003-01-06,13.29,-5.97,-2.2261306532663316
2003-01-07,13.31,-5.97,-2.2294807370184255
2003-01-08,13.02,-5.97,-2.180904522613065
2003-01-09,13.0,-5.97,-2.1775544388609718
2003-01-10,13.0,-5.97,-2.1775544388609718
2003-01-13,13.33,-5.97,-2.2328308207705194
2003-01-14,13.45,-5.97,-2.252931323283082
2003-01-15,13.67,-5.97,-2.289782244556114
2003-01-16,13.91,-5.97,-2.3299832495812396
2003-01-17,13.48,-5.97,-2.257956448911223
2003-01-21,13.72,-5.97,-2.2981574539363487
2003-01-22,14.26,-5.97,-2.388609715242881
2003-01-23,14.25,-5.97,-2.3869346733668344
2003-01-24,14.0,-5.97,-2.345058626465662
2003-01-27,14.13,-5.97,-2.3668341708542715
