date,NOW,NOW_EPS,PE Ratio
,,-0.55,
2012-06-29,24.6,-0.55,-44.72727272727273
2012-07-02,24.77,-0.55,-45.03636363636363
2012-07-03,25.31,-0.55,-46.01818181818181
2012-07-05,25.96,-0.55,-47.199999999999996
2012-07-06,25.84,-0.55,-46.98181818181818
2012-07-09,25.27,-0.55,-45.94545454545454
2012-07-10,25.05,-0.55,-45.54545454545454
2012-07-11,23.74,-0.55,-43.16363636363636
2012-07-12,24.08,-0.55,-43.781818181818174
2012-07-13,24.18,-0.55,-43.96363636363636
2012-07-16,24.38,-0.55,-44.32727272727272
2012-07-17,24.27,-0.55,-44.127272727272725
2012-07-18,24.23,-0.55,-44.054545454545455
2012-07-19,24.0,-0.55,-43.63636363636363
2012-07-20,25.23,-0.55,-45.87272727272727
2012-07-23,24.35,-0.55,-44.27272727272727
2012-07-24,24.84,-0.55,-45.16363636363636
2012-07-25,24.93,-0.55,-45.32727272727272
2012-07-26,24.42,-0.55,-44.4
2012-07-27,25.33,-0.55,-46.05454545454545
2012-07-30,25.39,-0.55,-46.163636363636364
2012-07-31,27.0,-0.55,-49.090909090909086
2012-08-01,27.71,-0.55,-50.38181818181818
2012-08-02,29.08,-0.55,-52.87272727272727
2012-08-03,28.67,-0.55,-52.127272727272725
2012-08-06,28.02,-0.55,-50.94545454545454
2012-08-07,28.0,-0.55,-50.90909090909091
2012-08-08,27.57,-0.55,-50.127272727272725
2012-08-09,29.51,-0.55,-53.654545454545456
2012-08-10,31.65,-0.55,-57.54545454545454
2012-08-13,32.43,-0.55,-58.96363636363636
2012-08-14,32.28,-0.55,-58.69090909090909
2012-08-15,29.68,-0.55,-53.96363636363636
2012-08-16,29.75,-0.55,-54.090909090909086
2012-08-17,29.6,-0.55,-53.81818181818181
2012-08-20,29.89,-0.55,-54.345454545454544
2012-08-21,30.26,-0.55,-55.018181818181816
2012-08-22,29.85,-0.55,-54.27272727272727
2012-08-23,29.03,-0.55,-52.78181818181818
2012-08-24,29.7,-0.55,-53.99999999999999
