date,GIS,GIS_EPS,PE Ratio
1980-03-17,1.07,,
1980-03-18,1.08,,
1980-03-19,1.09,,
1980-03-20,1.1,,
1980-03-21,1.08,,
1980-03-24,1.09,,
1980-03-25,1.08,,
1980-03-26,1.1,,
1980-03-27,1.08,,
1980-03-28,1.16,,
1980-03-31,1.17,,
1980-04-01,1.21,,
1980-04-02,1.24,,
1980-04-03,1.23,,
1980-04-07,1.23,,
1980-04-08,1.27,,
1980-04-09,1.28,,
1980-04-10,1.29,,
1980-04-11,1.28,,
1980-04-14,1.23,,
1980-04-15,1.22,,
1980-04-16,1.21,,
1980-04-17,1.2,,
1980-04-18,1.21,,
1980-04-21,1.21,,
1980-04-22,1.23,,
1980-04-23,1.21,,
1980-04-24,1.18,,
1980-04-25,1.16,,
1980-04-28,1.18,,
1980-04-29,1.2,,
1980-04-30,1.22,,
1980-05-01,1.21,,
1980-05-02,1.2,,
1980-05-05,1.23,,
1980-05-06,1.25,,
1980-05-07,1.29,,
1980-05-08,1.29,,
1980-05-09,1.3,,
1980-05-12,1.31,,
1980-05-13,1.33,,
1980-05-14,1.39,,
1980-05-15,1.4,,
1980-05-16,1.41,,
1980-05-19,1.41,,
1980-05-20,1.38,,
1980-05-21,1.36,,
1980-05-22,1.41,,
1980-05-23,1.44,,
1980-05-27,1.43,,
1980-05-28,1.43,,
1980-05-29,1.42,,
1980-05-30,1.44,,
1980-06-02,1.45,,
1980-06-03,1.44,,
1980-06-04,1.44,,
1980-06-05,1.45,,
1980-06-06,1.39,,
1980-06-09,1.41,,
1980-06-10,1.38,,
1980-06-11,1.37,,
1980-06-12,1.36,,
1980-06-13,1.36,,
1980-06-16,1.38,,
1980-06-17,1.42,,
1980-06-18,1.43,,
1980-06-19,1.41,,
1980-06-20,1.38,,
1980-06-23,1.38,,
1980-06-24,1.44,,
1980-06-25,1.45,,
1980-06-26,1.43,,
1980-06-27,1.43,,
1980-06-30,1.42,,
1980-07-01,1.41,,
1980-07-02,1.41,,
1980-07-03,1.4,,
1980-07-07,1.42,,
1980-07-08,1.38,,
1980-07-09,1.39,,
1980-07-10,1.36,,
1980-07-11,1.38,,
1980-07-14,1.39,,
1980-07-15,1.39,,
1980-07-16,1.38,,
1980-07-17,1.37,,
1980-07-18,1.37,,
1980-07-21,1.34,,
1980-07-22,1.34,,
1980-07-23,1.33,,
1980-07-24,1.36,,
1980-07-25,1.35,,
1980-07-28,1.38,,
1980-07-29,1.39,,
1980-07-30,1.43,,
1980-07-31,1.42,,
1980-08-01,1.45,,
1980-08-04,1.54,,
1980-08-05,1.52,,
1980-08-06,1.52,,
1980-08-07,1.51,,
1980-08-08,1.51,,
1980-08-11,1.53,,
1980-08-12,1.54,,
1980-08-13,1.54,,
1980-08-14,1.55,,
1980-08-15,1.58,,
1980-08-18,1.52,,
1980-08-19,1.5,,
1980-08-20,1.49,,
1980-08-21,1.49,,
1980-08-22,1.5,,
1980-08-25,1.52,,
1980-08-26,1.5,,
1980-08-27,1.48,,
1980-08-28,1.47,,
1980-08-29,1.45,,
1980-09-02,1.46,,
1980-09-03,1.47,,
1980-09-04,1.47,,
1980-09-05,1.47,,
1980-09-08,1.46,,
1980-09-09,1.46,,
1980-09-10,1.45,,
1980-09-11,1.43,,
1980-09-12,1.45,,
1980-09-15,1.44,,
1980-09-16,1.45,,
1980-09-17,1.45,,
1980-09-18,1.46,,
1980-09-19,1.45,,
1980-09-22,1.5,,
1980-09-23,1.49,,
1980-09-24,1.5,,
1980-09-25,1.49,,
1980-09-26,1.43,,
1980-09-29,1.39,,
1980-09-30,1.43,,
1980-10-01,1.43,,
1980-10-02,1.41,,
1980-10-03,1.41,,
1980-10-06,1.4,,
1980-10-07,1.4,,
1980-10-08,1.41,,
1980-10-09,1.41,,
1980-10-10,1.41,,
1980-10-13,1.41,,
1980-10-14,1.4,,
1980-10-15,1.39,,
1980-10-16,1.39,,
1980-10-17,1.37,,
1980-10-20,1.35,,
1980-10-21,1.34,,
1980-10-22,1.29,,
1980-10-23,1.3,,
1980-10-24,1.28,,
1980-10-27,1.3,,
1980-10-28,1.29,,
1980-10-29,1.31,,
1980-10-30,1.3,,
1980-10-31,1.3,,
1980-11-03,1.31,,
1980-11-05,1.33,,
1980-11-06,1.28,,
1980-11-07,1.24,,
1980-11-10,1.25,,
1980-11-11,1.27,,
1980-11-12,1.28,,
1980-11-13,1.27,,
1980-11-14,1.27,,
1980-11-17,1.25,,
1980-11-18,1.28,,
1980-11-19,1.27,,
1980-11-20,1.24,,
1980-11-21,1.25,,
1980-11-24,1.23,,
1980-11-25,1.28,,
1980-11-26,1.28,,
1980-11-28,1.27,,
1980-12-01,1.26,,
1980-12-02,1.27,,
1980-12-03,1.25,,
1980-12-04,1.27,,
1980-12-05,1.27,,
1980-12-08,1.27,,
1980-12-09,1.26,,
1980-12-10,1.27,,
1980-12-11,1.25,,
1980-12-12,1.25,,
1980-12-15,1.25,,
1980-12-16,1.24,,
1980-12-17,1.26,,
1980-12-18,1.33,,
1980-12-19,1.34,,
1980-12-22,1.37,,
1980-12-23,1.41,,
1980-12-24,1.41,,
1980-12-26,1.4,,
1980-12-29,1.39,,
1980-12-30,1.39,,
1980-12-31,1.39,,
1981-01-02,1.4,,
1981-01-05,1.39,,
1981-01-06,1.49,,
1981-01-07,1.51,,
1981-01-08,1.52,,
1981-01-09,1.52,,
1981-01-12,1.52,,
1981-01-13,1.5,,
1981-01-14,1.51,,
1981-01-15,1.53,,
1981-01-16,1.52,,
1981-01-19,1.52,,
1981-01-20,1.51,,
1981-01-21,1.48,,
1981-01-22,1.5,,
1981-01-23,1.51,,
1981-01-26,1.49,,
1981-01-27,1.49,,
1981-01-28,1.49,,
1981-01-29,1.48,,
1981-01-30,1.49,,
1981-02-02,1.45,,
1981-02-03,1.45,,
1981-02-04,1.45,,
1981-02-05,1.45,,
1981-02-06,1.43,,
1981-02-09,1.45,,
1981-02-10,1.46,,
1981-02-11,1.45,,
1981-02-12,1.47,,
1981-02-13,1.44,,
1981-02-17,1.44,,
1981-02-18,1.47,,
1981-02-19,1.44,,
1981-02-20,1.4,,
1981-02-23,1.41,,
1981-02-24,1.43,,
1981-02-25,1.45,,
1981-02-26,1.49,,
1981-02-27,1.5,,
1981-03-02,1.5,,
1981-03-03,1.5,,
1981-03-04,1.5,,
1981-03-05,1.49,,
1981-03-06,1.51,,
1981-03-09,1.53,,
1981-03-10,1.58,,
1981-03-11,1.59,,
1981-03-12,1.68,,
1981-03-13,1.71,,
1981-03-16,1.78,,
1981-03-17,1.72,,
1981-03-18,1.69,,
1981-03-19,1.7,,
1981-03-20,1.81,,
1981-03-23,1.8,,
1981-03-24,1.77,,
1981-03-25,1.78,,
1981-03-26,1.74,,
1981-03-27,1.67,,
1981-03-30,1.69,,
1981-03-31,1.72,,
1981-04-01,1.78,,
1981-04-02,1.77,,
1981-04-03,1.74,,
1981-04-06,1.76,,
1981-04-07,1.79,,
1981-04-08,1.78,,
1981-04-09,1.77,,
1981-04-10,1.78,,
1981-04-13,1.77,,
1981-04-14,1.78,,
1981-04-15,1.8,,
1981-04-16,1.8,,
1981-04-20,1.8,,
1981-04-21,1.78,,
1981-04-22,1.8,,
1981-04-23,1.8,,
1981-04-24,1.79,,
1981-04-27,1.78,,
1981-04-28,1.78,,
1981-04-29,1.76,,
1981-04-30,1.74,,
1981-05-01,1.79,,
1981-05-04,1.74,,
1981-05-05,1.72,,
1981-05-06,1.68,,
1981-05-07,1.73,,
1981-05-08,1.74,,
1981-05-11,1.73,,
1981-05-12,1.73,,
1981-05-13,1.77,,
1981-05-14,1.78,,
1981-05-15,1.78,,
1981-05-18,1.78,,
1981-05-19,1.78,,
1981-05-20,1.78,,
1981-05-21,1.76,,
1981-05-22,1.76,,
1981-05-26,1.75,,
1981-05-27,1.76,,
1981-05-28,1.77,,
1981-05-29,1.79,,
1981-06-01,1.84,,
1981-06-02,1.83,,
1981-06-03,1.9,,
1981-06-04,1.9,,
1981-06-05,1.92,,
1981-06-08,1.94,,
1981-06-09,1.98,,
1981-06-10,1.96,,
1981-06-11,1.96,,
1981-06-12,2.01,,
1981-06-15,2.01,,
1981-06-16,2.03,,
1981-06-17,2.0,,
1981-06-18,2.01,,
1981-06-19,1.99,,
1981-06-22,1.96,,
1981-06-23,1.97,,
1981-06-24,1.97,,
1981-06-25,1.95,,
1981-06-26,1.98,,
1981-06-29,1.96,,
1981-06-30,1.96,,
1981-07-01,1.89,,
1981-07-02,1.86,,
1981-07-06,1.81,,
1981-07-07,1.85,,
1981-07-08,1.85,,
1981-07-09,1.84,,
1981-07-10,1.76,,
1981-07-13,1.76,,
1981-07-14,1.76,,
1981-07-15,1.78,,
1981-07-16,1.78,,
1981-07-17,1.82,,
1981-07-20,1.8,,
1981-07-21,1.78,,
1981-07-22,1.75,,
1981-07-23,1.72,,
1981-07-24,1.74,,
1981-07-27,1.8,,
1981-07-28,1.8,,
1981-07-29,1.8,,
1981-07-30,1.84,,
1981-07-31,1.85,,
1981-08-03,1.8,,
1981-08-04,1.8,,
1981-08-05,1.82,,
1981-08-06,1.82,,
1981-08-07,1.82,,
1981-08-10,1.8,,
1981-08-11,1.8,,
1981-08-12,1.8,,
1981-08-13,1.79,,
1981-08-14,1.78,,
1981-08-17,1.76,,
1981-08-18,1.76,,
1981-08-19,1.76,,
1981-08-20,1.74,,
1981-08-21,1.7,,
1981-08-24,1.69,,
1981-08-25,1.73,,
1981-08-26,1.72,,
1981-08-27,1.74,,
1981-08-28,1.74,,
1981-08-31,1.79,,
1981-09-01,1.79,,
1981-09-02,1.79,,
1981-09-03,1.76,,
1981-09-04,1.74,,
1981-09-08,1.71,,
1981-09-09,1.75,,
1981-09-10,1.76,,
1981-09-11,1.78,,
1981-09-14,1.78,,
1981-09-15,1.76,,
1981-09-16,1.76,,
1981-09-17,1.74,,
1981-09-18,1.75,,
1981-09-21,1.81,,
1981-09-22,1.9,,
1981-09-23,1.86,,
1981-09-24,1.86,,
1981-09-25,1.83,,
1981-09-28,1.86,,
1981-09-29,1.87,,
1981-09-30,1.85,,
1981-10-01,1.85,,
1981-10-02,1.86,,
1981-10-05,1.85,,
1981-10-06,1.83,,
1981-10-07,1.92,,
1981-10-08,1.9,,
1981-10-09,1.89,,
1981-10-12,1.89,,
1981-10-13,1.87,,
1981-10-14,1.83,,
1981-10-15,1.83,,
1981-10-16,1.8,,
1981-10-19,1.81,,
1981-10-20,1.85,,
1981-10-21,1.96,,
1981-10-22,1.89,,
1981-10-23,1.85,,
1981-10-26,1.88,,
1981-10-27,1.96,,
1981-10-28,1.98,,
1981-10-29,1.91,,
1981-10-30,1.96,,
1981-11-02,1.94,,
1981-11-03,1.94,,
1981-11-04,1.9,,
1981-11-05,1.87,,
1981-11-06,1.89,,
1981-11-09,1.9,,
1981-11-10,1.86,,
1981-11-11,1.85,,
1981-11-12,1.86,,
1981-11-13,1.82,,
1981-11-16,1.78,,
1981-11-17,1.78,,
1981-11-18,1.81,,
1981-11-19,1.81,,
1981-11-20,1.84,,
1981-11-23,1.85,,
1981-11-24,1.84,,
1981-11-25,1.91,,
1981-11-27,1.91,,
1981-11-30,1.9,,
1981-12-01,1.87,,
1981-12-02,1.87,,
1981-12-03,1.87,,
1981-12-04,1.89,,
1981-12-07,1.9,,
1981-12-08,1.9,,
1981-12-09,1.9,,
1981-12-10,1.91,,
1981-12-11,1.9,,
1981-12-14,1.89,,
1981-12-15,1.92,,
1981-12-16,1.92,,
1981-12-17,1.95,,
1981-12-18,1.98,,
1981-12-21,1.94,,
1981-12-22,1.89,,
1981-12-23,1.9,,
1981-12-24,1.9,,
1981-12-28,1.89,,
1981-12-29,1.87,,
1981-12-30,1.87,,
1981-12-31,1.85,,
1982-01-04,1.81,,
1982-01-05,1.77,,
1982-01-06,1.78,,
1982-01-07,1.78,,
1982-01-08,1.77,,
1982-01-11,1.75,,
1982-01-12,1.77,,
1982-01-13,1.76,,
1982-01-14,1.77,,
1982-01-15,1.74,,
1982-01-18,1.77,,
1982-01-19,1.73,,
1982-01-20,1.71,,
1982-01-21,1.72,,
1982-01-22,1.72,,
1982-01-25,1.71,,
1982-01-26,1.71,,
1982-01-27,1.74,,
1982-01-28,1.76,,
1982-01-29,1.78,,
1982-02-01,1.78,,
1982-02-02,1.77,,
1982-02-03,1.8,,
1982-02-04,1.79,,
1982-02-05,1.78,,
1982-02-08,1.78,,
1982-02-09,1.78,,
1982-02-10,1.82,,
1982-02-11,1.85,,
1982-02-12,1.84,,
1982-02-16,1.87,,
