date,PBCT,PBCT_EPS,PE Ratio
1989-09-19,1.39,,
1989-09-20,1.41,,
1989-09-21,1.39,,
1989-09-22,1.39,,
1989-09-25,1.38,,
1989-09-26,1.38,,
1989-09-27,1.38,,
1989-09-28,1.38,,
1989-09-29,1.38,,
1989-10-02,1.36,,
1989-10-03,1.34,,
1989-10-04,1.36,,
1989-10-05,1.29,,
1989-10-06,1.29,,
1989-10-09,1.29,,
1989-10-10,1.29,,
1989-10-11,1.32,,
1989-10-12,1.29,,
1989-10-13,1.29,,
1989-10-16,1.23,,
1989-10-17,1.29,,
1989-10-18,1.29,,
1989-10-19,1.29,,
1989-10-20,1.27,,
1989-10-23,1.27,,
1989-10-24,1.27,,
1989-10-25,1.27,,
1989-10-26,1.23,,
1989-10-27,1.22,,
1989-10-30,1.18,,
1989-10-31,1.16,,
1989-11-01,1.18,,
1989-11-02,1.18,,
1989-11-03,1.18,,
1989-11-06,1.18,,
1989-11-07,1.18,,
1989-11-08,1.18,,
1989-11-09,1.2,,
1989-11-10,1.18,,
1989-11-13,1.16,,
1989-11-14,1.16,,
1989-11-15,1.18,,
1989-11-16,1.18,,
1989-11-17,1.18,,
1989-11-20,1.16,,
1989-11-21,1.16,,
1989-11-22,1.18,,
1989-11-24,1.18,,
1989-11-27,1.18,,
1989-11-28,1.16,,
1989-11-29,1.15,,
1989-11-30,1.16,,
1989-12-01,1.15,,
1989-12-04,1.15,,
1989-12-05,1.13,,
1989-12-06,1.13,,
1989-12-07,1.11,,
1989-12-08,1.11,,
1989-12-11,1.11,,
1989-12-12,1.11,,
1989-12-13,1.11,,
1989-12-14,1.08,,
1989-12-15,1.06,,
1989-12-18,1.08,,
1989-12-19,1.08,,
1989-12-20,1.08,,
1989-12-21,1.08,,
1989-12-22,1.08,,
1989-12-26,1.09,,
1989-12-27,1.11,,
1989-12-28,1.11,,
1989-12-29,1.09,,
1990-01-02,1.11,,
1990-01-03,1.13,,
1990-01-04,1.11,,
1990-01-05,1.13,,
1990-01-08,1.11,,
1990-01-09,1.09,,
1990-01-10,1.11,,
1990-01-11,1.11,,
1990-01-12,1.08,,
1990-01-15,1.08,,
1990-01-16,1.11,,
1990-01-17,1.09,,
1990-01-18,1.11,,
1990-01-19,1.08,,
1990-01-22,1.08,,
1990-01-23,1.06,,
1990-01-24,1.06,,
1990-01-25,1.06,,
1990-01-26,1.04,,
1990-01-29,1.06,,
1990-01-30,1.06,,
1990-01-31,1.04,,
1990-02-01,1.04,,
1990-02-02,1.04,,
1990-02-05,1.02,,
1990-02-06,1.04,,
1990-02-07,1.02,,
1990-02-08,1.02,,
1990-02-09,1.06,,
1990-02-12,1.06,,
1990-02-13,1.06,,
1990-02-14,1.08,,
1990-02-15,1.06,,
1990-02-16,1.08,,
1990-02-20,1.06,,
1990-02-21,1.06,,
1990-02-22,1.08,,
1990-02-23,1.08,,
1990-02-26,1.06,,
1990-02-27,1.04,,
1990-02-28,1.08,,
1990-03-01,1.04,,
1990-03-02,1.08,,
1990-03-05,1.08,,
1990-03-06,1.08,,
1990-03-07,1.08,,
1990-03-08,1.06,,
1990-03-09,1.08,,
1990-03-12,1.08,,
1990-03-13,1.06,,
1990-03-14,1.04,,
1990-03-15,1.04,,
1990-03-16,1.06,,
1990-03-19,1.06,,
1990-03-20,1.09,,
1990-03-21,1.06,,
1990-03-22,1.06,,
1990-03-23,1.08,,
1990-03-26,1.09,,
1990-03-27,1.09,,
1990-03-28,1.08,,
1990-03-29,1.08,,
1990-03-30,1.06,,
1990-04-02,1.04,,
1990-04-03,1.04,,
1990-04-04,1.01,,
1990-04-05,1.01,,
1990-04-06,1.01,,
1990-04-09,0.99,,
1990-04-10,0.97,,
1990-04-11,0.97,,
1990-04-12,0.95,,
1990-04-16,0.97,,
1990-04-17,0.99,,
1990-04-18,0.97,,
1990-04-19,0.95,,
1990-04-20,0.93,,
1990-04-23,0.97,,
1990-04-24,0.95,,
1990-04-25,0.97,,
1990-04-26,0.95,,
1990-04-27,0.95,,
1990-04-30,0.95,,
1990-05-01,0.95,,
1990-05-02,0.93,,
1990-05-03,0.92,,
1990-05-04,0.93,,
1990-05-07,0.93,,
1990-05-08,0.92,,
1990-05-09,0.93,,
1990-05-10,0.93,,
1990-05-11,0.93,,
1990-05-14,0.92,,
1990-05-15,0.95,,
1990-05-16,0.95,,
1990-05-17,0.95,,
1990-05-18,0.97,,
1990-05-21,0.93,,
1990-05-22,0.95,,
1990-05-23,0.97,,
1990-05-24,0.97,,
1990-05-25,0.95,,
1990-05-29,0.97,,
1990-05-30,0.97,,
1990-05-31,0.95,,
1990-06-01,0.97,,
1990-06-04,0.97,,
1990-06-05,0.97,,
1990-06-06,0.95,,
