date,NVR,NVR_EPS,PE Ratio
,,0.06,
1985-07-22,30.38,0.06,506.3333333333333
1985-07-23,30.13,0.06,502.1666666666667
1985-07-24,29.5,0.06,491.6666666666667
1985-07-25,30.0,0.06,500.0
1985-07-26,29.88,0.06,498.0
1985-07-29,29.63,0.06,493.8333333333333
1985-07-30,29.0,0.06,483.33333333333337
1985-07-31,28.13,0.06,468.8333333333333
1985-08-01,28.25,0.06,470.83333333333337
1985-08-02,28.63,0.06,477.1666666666667
1985-08-05,28.75,0.06,479.1666666666667
1985-08-06,28.63,0.06,477.1666666666667
1985-08-07,28.5,0.06,475.0
1985-08-08,28.63,0.06,477.1666666666667
1985-08-09,28.38,0.06,473.0
1985-08-12,28.25,0.06,470.83333333333337
1985-08-13,28.25,0.06,470.83333333333337
1985-08-14,28.25,0.06,470.83333333333337
1985-08-15,28.25,0.06,470.83333333333337
1985-08-16,27.75,0.06,462.5
1985-08-19,27.13,0.06,452.1666666666667
1985-08-20,27.25,0.06,454.1666666666667
1985-08-21,27.13,0.06,452.1666666666667
1985-08-22,27.25,0.06,454.1666666666667
1985-08-23,27.13,0.06,452.1666666666667
1985-08-26,26.75,0.06,445.83333333333337
1985-08-27,26.5,0.06,441.6666666666667
1985-08-28,27.0,0.06,450.0
1985-08-29,27.25,0.06,454.1666666666667
1985-08-30,27.13,0.06,452.1666666666667
1985-09-03,27.25,0.06,454.1666666666667
1985-09-04,27.0,0.06,450.0
1985-09-05,26.63,0.06,443.8333333333333
1985-09-06,26.5,0.06,441.6666666666667
1985-09-09,26.13,0.06,435.5
1985-09-10,25.63,0.06,427.1666666666667
1985-09-11,24.63,0.06,410.5
1985-09-12,24.38,0.06,406.3333333333333
1985-09-13,24.0,0.06,400.0
1985-09-16,24.38,0.06,406.3333333333333
1985-09-17,24.38,0.06,406.3333333333333
1985-09-18,25.13,0.06,418.8333333333333
1985-09-19,25.5,0.06,425.0
1985-09-20,26.0,0.06,433.33333333333337
1985-09-23,26.13,0.06,435.5
1985-09-24,26.0,0.06,433.33333333333337
1985-09-25,25.75,0.06,429.1666666666667
1985-09-26,25.75,0.06,429.1666666666667
1985-09-30,25.5,0.06,425.0
1985-10-01,25.5,0.06,425.0
1985-10-02,25.25,0.06,420.83333333333337
1985-10-03,26.0,0.06,433.33333333333337
1985-10-04,26.25,0.06,437.5
1985-10-07,26.75,0.06,445.83333333333337
1985-10-08,26.88,0.06,448.0
1985-10-09,27.0,0.06,450.0
1985-10-10,27.0,0.06,450.0
1985-10-11,27.13,0.06,452.1666666666667
1985-10-14,27.0,0.06,450.0
1985-10-15,26.5,0.06,441.6666666666667
1985-10-16,27.75,0.06,462.5
1985-10-17,27.38,0.06,456.3333333333333
1985-10-18,26.88,0.06,448.0
1985-10-21,27.25,0.06,454.1666666666667
1985-10-22,27.25,0.06,454.1666666666667
1985-10-23,27.13,0.06,452.1666666666667
1985-10-24,26.63,0.06,443.8333333333333
1985-10-25,26.5,0.06,441.6666666666667
1985-10-28,26.5,0.06,441.6666666666667
1985-10-29,26.13,0.06,435.5
1985-10-30,25.75,0.06,429.1666666666667
1985-10-31,24.63,0.06,410.5
1985-11-01,24.5,0.06,408.33333333333337
1985-11-04,24.25,0.06,404.1666666666667
1985-11-05,22.5,0.06,375.0
1985-11-06,22.5,0.06,375.0
1985-11-07,22.75,0.06,379.1666666666667
1985-11-08,22.88,0.06,381.3333333333333
1985-11-11,23.38,0.06,389.6666666666667
1985-11-12,24.25,0.06,404.1666666666667
1985-11-13,24.63,0.06,410.5
1985-11-14,24.63,0.06,410.5
1985-11-15,24.63,0.06,410.5
1985-11-18,24.75,0.06,412.5
1985-11-19,25.25,0.06,420.83333333333337
