date,NI,NI_EPS,PE Ratio
,,0.12,
1973-02-21,4.81,0.12,40.08333333333333
1973-02-22,4.67,0.12,38.916666666666664
1973-02-23,4.74,0.12,39.5
1973-02-26,4.69,0.12,39.083333333333336
1973-02-27,4.69,0.12,39.083333333333336
1973-02-28,4.62,0.12,38.5
1973-03-01,4.59,0.12,38.25
1973-03-02,4.54,0.12,37.833333333333336
1973-03-05,4.54,0.12,37.833333333333336
1973-03-06,4.52,0.12,37.666666666666664
1973-03-07,4.52,0.12,37.666666666666664
1973-03-08,4.52,0.12,37.666666666666664
1973-03-09,4.49,0.12,37.41666666666667
1973-03-12,4.44,0.12,37.00000000000001
1973-03-13,4.52,0.12,37.666666666666664
1973-03-14,4.52,0.12,37.666666666666664
1973-03-15,4.42,0.12,36.833333333333336
1973-03-16,4.35,0.12,36.25
1973-03-19,4.37,0.12,36.41666666666667
1973-03-20,4.35,0.12,36.25
1973-03-21,4.4,0.12,36.66666666666667
1973-03-22,4.4,0.12,36.66666666666667
1973-03-23,4.32,0.12,36.00000000000001
1973-03-26,4.32,0.12,36.00000000000001
1973-03-27,4.3,0.12,35.833333333333336
1973-03-28,4.32,0.12,36.00000000000001
1973-03-29,4.4,0.12,36.66666666666667
1973-03-30,4.42,0.12,36.833333333333336
1973-04-02,4.44,0.12,37.00000000000001
1973-04-03,4.44,0.12,37.00000000000001
1973-04-04,4.49,0.12,37.41666666666667
1973-04-05,4.49,0.12,37.41666666666667
1973-04-06,4.49,0.12,37.41666666666667
1973-04-09,4.52,0.12,37.666666666666664
1973-04-10,4.42,0.12,36.833333333333336
1973-04-11,4.49,0.12,37.41666666666667
1973-04-12,4.54,0.12,37.833333333333336
1973-04-13,4.44,0.12,37.00000000000001
1973-04-16,4.49,0.12,37.41666666666667
1973-04-17,4.52,0.12,37.666666666666664
1973-04-18,4.49,0.12,37.41666666666667
1973-04-19,4.42,0.12,36.833333333333336
1973-04-23,4.47,0.12,37.25
1973-04-24,4.44,0.12,37.00000000000001
1973-04-25,4.37,0.12,36.41666666666667
1973-04-26,4.37,0.12,36.41666666666667
1973-04-27,4.32,0.12,36.00000000000001
1973-04-30,4.27,0.12,35.58333333333333
1973-05-01,4.22,0.12,35.166666666666664
1973-05-02,4.22,0.12,35.166666666666664
1973-05-03,4.3,0.12,35.833333333333336
1973-05-04,4.4,0.12,36.66666666666667
