date,MOS,MOS_EPS,PE Ratio
,,0.08,
1988-01-26,11.5,0.08,143.75
1988-01-27,12.38,0.08,154.75
1988-01-28,12.56,0.08,157.0
1988-01-29,12.25,0.08,153.125
1988-02-01,12.0,0.08,150.0
1988-02-02,12.0,0.08,150.0
1988-02-03,12.13,0.08,151.625
1988-02-04,12.31,0.08,153.875
1988-02-05,12.38,0.08,154.75
1988-02-08,12.0,0.08,150.0
1988-02-09,11.88,0.08,148.5
1988-02-10,12.25,0.08,153.125
1988-02-11,12.38,0.08,154.75
1988-02-12,12.75,0.08,159.375
1988-02-16,13.25,0.08,165.625
1988-02-17,13.06,0.08,163.25
1988-02-18,13.25,0.08,165.625
1988-02-19,14.25,0.08,178.125
1988-02-22,14.19,0.08,177.375
1988-02-23,14.0,0.08,175.0
1988-02-24,13.88,0.08,173.5
1988-02-25,14.06,0.08,175.75
1988-02-26,14.13,0.08,176.625
1988-02-29,15.13,0.08,189.125
1988-03-01,14.88,0.08,186.0
1988-03-02,15.19,0.08,189.875
1988-03-03,15.0,0.08,187.5
1988-03-04,15.5,0.08,193.75
1988-03-07,15.94,0.08,199.25
1988-03-08,15.94,0.08,199.25
1988-03-09,15.88,0.08,198.5
1988-03-10,14.56,0.08,182.0
1988-03-11,14.5,0.08,181.25
1988-03-14,15.06,0.08,188.25
1988-03-15,15.94,0.08,199.25
1988-03-16,15.69,0.08,196.125
1988-03-17,15.75,0.08,196.875
1988-03-18,15.44,0.08,193.0
1988-03-21,15.0,0.08,187.5
1988-03-22,14.88,0.08,186.0
1988-03-23,15.0,0.08,187.5
1988-03-24,14.38,0.08,179.75
1988-03-25,14.19,0.08,177.375
1988-03-28,14.25,0.08,178.125
1988-03-29,15.06,0.08,188.25
1988-03-30,14.94,0.08,186.75
1988-03-31,15.06,0.08,188.25
1988-04-04,15.0,0.08,187.5
1988-04-05,15.13,0.08,189.125
1988-04-06,15.81,0.08,197.625
1988-04-07,16.0,0.08,200.0
1988-04-08,16.0,0.08,200.0
1988-04-11,15.75,0.08,196.875
1988-04-12,15.44,0.08,193.0
1988-04-13,15.44,0.08,193.0
1988-04-14,14.75,0.08,184.375
1988-04-15,14.75,0.08,184.375
1988-04-18,14.38,0.08,179.75
1988-04-19,14.44,0.08,180.5
1988-04-20,14.56,0.08,182.0
1988-04-21,14.75,0.08,184.375
1988-04-22,14.88,0.08,186.0
1988-04-25,15.25,0.08,190.625
1988-04-26,15.63,0.08,195.375
1988-04-27,15.31,0.08,191.375
1988-04-28,15.13,0.08,189.125
1988-04-29,14.75,0.08,184.375
