date,DVA,DVA_EPS,PE Ratio
,,0.02,
1995-10-31,4.08,0.02,204.0
1995-11-01,3.9,0.02,195.0
1995-11-02,4.18,0.02,208.99999999999997
1995-11-03,4.0,0.02,200.0
1995-11-06,3.9,0.02,195.0
1995-11-07,3.8,0.02,190.0
1995-11-08,3.83,0.02,191.5
1995-11-09,4.05,0.02,202.5
1995-11-10,4.1,0.02,204.99999999999997
1995-11-13,4.15,0.02,207.5
1995-11-14,4.15,0.02,207.5
1995-11-15,4.1,0.02,204.99999999999997
1995-11-16,4.1,0.02,204.99999999999997
1995-11-17,4.15,0.02,207.5
1995-11-20,4.3,0.02,215.0
1995-11-21,4.3,0.02,215.0
1995-11-22,4.4,0.02,220.0
1995-11-24,4.53,0.02,226.5
1995-11-27,4.85,0.02,242.49999999999997
1995-11-28,5.33,0.02,266.5
1995-11-29,5.6,0.02,280.0
1995-11-30,5.38,0.02,269.0
1995-12-01,5.38,0.02,269.0
1995-12-04,5.25,0.02,262.5
1995-12-05,5.33,0.02,266.5
1995-12-06,5.68,0.02,284.0
1995-12-07,5.65,0.02,282.5
1995-12-08,5.7,0.02,285.0
1995-12-11,5.73,0.02,286.5
1995-12-12,5.93,0.02,296.5
1995-12-13,5.95,0.02,297.5
1995-12-14,5.95,0.02,297.5
1995-12-15,5.95,0.02,297.5
1995-12-18,5.73,0.02,286.5
1995-12-19,5.45,0.02,272.5
1995-12-20,5.28,0.02,264.0
1995-12-21,5.2,0.02,260.0
1995-12-22,5.2,0.02,260.0
1995-12-26,5.2,0.02,260.0
1995-12-27,5.6,0.02,280.0
1995-12-28,5.6,0.02,280.0
1995-12-29,6.0,0.02,300.0
1996-01-02,5.85,0.02,292.5
1996-01-03,5.9,0.02,295.0
1996-01-04,5.65,0.02,282.5
1996-01-05,5.63,0.02,281.5
1996-01-08,5.6,0.02,280.0
1996-01-09,5.5,0.02,275.0
1996-01-10,5.55,0.02,277.5
1996-01-11,5.55,0.02,277.5
1996-01-12,5.75,0.02,287.5
1996-01-15,5.85,0.02,292.5
1996-01-16,5.98,0.02,299.0
1996-01-17,5.95,0.02,297.5
1996-01-18,5.68,0.02,284.0
1996-01-19,5.68,0.02,284.0
1996-01-22,5.63,0.02,281.5
1996-01-23,5.6,0.02,280.0
1996-01-24,5.58,0.02,279.0
1996-01-25,5.6,0.02,280.0
1996-01-26,5.53,0.02,276.5
1996-01-29,5.48,0.02,274.0
1996-01-30,5.48,0.02,274.0
1996-01-31,5.55,0.02,277.5
1996-02-01,5.7,0.02,285.0
1996-02-02,5.88,0.02,294.0
1996-02-05,5.95,0.02,297.5
1996-02-06,6.25,0.02,312.5
1996-02-07,6.4,0.02,320.0
1996-02-08,6.15,0.02,307.5
1996-02-09,6.08,0.02,304.0
1996-02-12,6.23,0.02,311.5
1996-02-13,5.88,0.02,294.0
1996-02-14,5.88,0.02,294.0
1996-02-15,5.8,0.02,290.0
1996-02-16,5.88,0.02,294.0
1996-02-20,5.8,0.02,290.0
1996-02-21,5.83,0.02,291.5
1996-02-22,6.05,0.02,302.5
1996-02-23,6.0,0.02,300.0
1996-02-26,6.1,0.02,305.0
1996-02-27,6.13,0.02,306.5
1996-02-28,5.98,0.02,299.0
1996-02-29,5.9,0.02,295.0
1996-03-01,5.95,0.02,297.5
1996-03-04,5.98,0.02,299.0
1996-03-05,6.0,0.02,300.0
1996-03-06,5.93,0.02,296.5
1996-03-07,6.08,0.02,304.0
1996-03-08,6.0,0.02,300.0
1996-03-11,5.9,0.02,295.0
1996-03-12,5.88,0.02,294.0
1996-03-13,5.93,0.02,296.5
1996-03-14,5.95,0.02,297.5
1996-03-15,5.93,0.02,296.5
1996-03-18,5.95,0.02,297.5
1996-03-19,5.95,0.02,297.5
1996-03-20,5.93,0.02,296.5
1996-03-21,5.88,0.02,294.0
1996-03-22,5.83,0.02,291.5
1996-03-25,5.98,0.02,299.0
1996-03-26,6.13,0.02,306.5
1996-03-27,6.18,0.02,309.0
1996-03-28,6.2,0.02,310.0
1996-03-29,6.23,0.02,311.5
1996-04-01,6.58,0.02,329.0
1996-04-02,6.55,0.02,327.5
1996-04-03,6.63,0.02,331.5
1996-04-04,7.0,0.02,350.0
1996-04-08,7.05,0.02,352.5
1996-04-09,7.1,0.02,355.0
1996-04-10,7.25,0.02,362.5
1996-04-11,7.13,0.02,356.5
1996-04-12,7.08,0.02,354.0
1996-04-15,7.08,0.02,354.0
1996-04-16,7.15,0.02,357.5
1996-04-17,7.25,0.02,362.5
1996-04-18,7.08,0.02,354.0
1996-04-19,7.1,0.02,355.0
1996-04-22,7.2,0.02,360.0
1996-04-23,7.63,0.02,381.5
1996-04-24,8.08,0.02,404.0
1996-04-25,7.95,0.02,397.5
1996-04-26,7.88,0.02,394.0
