date,HAL,HAL_EPS,PE Ratio
,,0.07,
1972-06-01,3.95,0.07,56.42857142857142
1972-06-02,3.98,0.07,56.857142857142854
1972-06-05,3.82,0.07,54.57142857142856
1972-06-06,3.81,0.07,54.42857142857142
1972-06-07,3.8,0.07,54.28571428571428
1972-06-08,3.78,0.07,53.99999999999999
1972-06-09,3.76,0.07,53.71428571428571
1972-06-12,3.76,0.07,53.71428571428571
1972-06-13,3.74,0.07,53.42857142857142
1972-06-14,3.77,0.07,53.857142857142854
1972-06-15,3.8,0.07,54.28571428571428
1972-06-16,3.82,0.07,54.57142857142856
1972-06-19,3.86,0.07,55.14285714285714
1972-06-20,3.85,0.07,54.99999999999999
1972-06-21,3.86,0.07,55.14285714285714
1972-06-22,3.88,0.07,55.42857142857142
1972-06-23,3.94,0.07,56.28571428571428
1972-06-26,3.94,0.07,56.28571428571428
1972-06-27,3.97,0.07,56.71428571428571
1972-06-28,3.97,0.07,56.71428571428571
1972-06-29,3.99,0.07,57.0
1972-06-30,3.96,0.07,56.57142857142856
1972-07-03,3.93,0.07,56.14285714285714
1972-07-05,3.93,0.07,56.14285714285714
1972-07-06,3.92,0.07,55.99999999999999
1972-07-07,3.87,0.07,55.285714285714285
1972-07-10,3.91,0.07,55.857142857142854
1972-07-11,3.88,0.07,55.42857142857142
1972-07-12,3.81,0.07,54.42857142857142
1972-07-13,3.81,0.07,54.42857142857142
1972-07-14,3.88,0.07,55.42857142857142
1972-07-17,3.87,0.07,55.285714285714285
1972-07-18,3.87,0.07,55.285714285714285
1972-07-19,3.89,0.07,55.57142857142857
1972-07-20,3.85,0.07,54.99999999999999
1972-07-21,3.88,0.07,55.42857142857142
1972-07-24,3.88,0.07,55.42857142857142
1972-07-25,3.93,0.07,56.14285714285714
1972-07-26,3.92,0.07,55.99999999999999
1972-07-27,3.97,0.07,56.71428571428571
1972-07-28,3.99,0.07,57.0
1972-07-31,3.99,0.07,57.0
1972-08-01,4.03,0.07,57.57142857142857
1972-08-02,4.2,0.07,60.0
1972-08-03,4.31,0.07,61.57142857142856
1972-08-04,4.35,0.07,62.14285714285713
1972-08-07,4.32,0.07,61.714285714285715
1972-08-08,4.43,0.07,63.28571428571428
1972-08-09,4.45,0.07,63.57142857142857
1972-08-10,4.5,0.07,64.28571428571428
1972-08-11,4.61,0.07,65.85714285714286
1972-08-14,4.65,0.07,66.42857142857143
1972-08-15,4.62,0.07,66.0
1972-08-16,4.57,0.07,65.28571428571428
1972-08-17,4.57,0.07,65.28571428571428
1972-08-18,4.57,0.07,65.28571428571428
1972-08-21,4.5,0.07,64.28571428571428
1972-08-22,4.55,0.07,64.99999999999999
1972-08-23,4.56,0.07,65.14285714285712
1972-08-24,4.5,0.07,64.28571428571428
1972-08-25,4.28,0.07,61.14285714285714
1972-08-28,4.25,0.07,60.71428571428571
1972-08-29,4.22,0.07,60.28571428571428
1972-08-30,4.31,0.07,61.57142857142856
1972-08-31,4.45,0.07,63.57142857142857
1972-09-01,4.48,0.07,64.0
1972-09-05,4.42,0.07,63.14285714285714
1972-09-06,4.41,0.07,62.99999999999999
1972-09-07,4.42,0.07,63.14285714285714
1972-09-08,4.37,0.07,62.42857142857142
1972-09-11,4.38,0.07,62.57142857142856
1972-09-12,4.3,0.07,61.42857142857142
1972-09-13,4.31,0.07,61.57142857142856
1972-09-14,4.33,0.07,61.857142857142854
1972-09-15,4.33,0.07,61.857142857142854
1972-09-18,4.32,0.07,61.714285714285715
