date,HLT,HLT_EPS,PE Ratio
,,-1.55,
2013-12-12,44.12,-1.55,-28.464516129032255
2013-12-13,45.35,-1.55,-29.258064516129032
2013-12-16,44.16,-1.55,-28.49032258064516
2013-12-17,44.75,-1.55,-28.870967741935484
2013-12-18,44.8,-1.55,-28.90322580645161
2013-12-19,45.72,-1.55,-29.496774193548386
2013-12-20,45.0,-1.55,-29.032258064516128
2013-12-23,44.24,-1.55,-28.54193548387097
2013-12-24,44.14,-1.55,-28.47741935483871
2013-12-26,44.53,-1.55,-28.729032258064517
2013-12-27,44.32,-1.55,-28.593548387096774
2013-12-30,44.92,-1.55,-28.980645161290322
2013-12-31,45.66,-1.55,-29.458064516129028
2014-01-02,44.86,-1.55,-28.941935483870967
2014-01-03,45.16,-1.55,-29.13548387096774
2014-01-06,45.14,-1.55,-29.12258064516129
2014-01-07,45.14,-1.55,-29.12258064516129
2014-01-08,45.21,-1.55,-29.16774193548387
2014-01-09,44.88,-1.55,-28.95483870967742
2014-01-10,44.51,-1.55,-28.716129032258063
2014-01-13,44.57,-1.55,-28.75483870967742
2014-01-14,45.35,-1.55,-29.258064516129032
2014-01-15,44.96,-1.55,-29.006451612903227
2014-01-16,45.06,-1.55,-29.070967741935483
2014-01-17,45.66,-1.55,-29.458064516129028
2014-01-21,44.98,-1.55,-29.019354838709674
2014-01-22,46.09,-1.55,-29.735483870967744
2014-01-23,46.5,-1.55,-30.0
2014-01-24,46.07,-1.55,-29.72258064516129
2014-01-27,45.12,-1.55,-29.109677419354835
2014-01-28,44.94,-1.55,-28.993548387096773
2014-01-29,44.45,-1.55,-28.67741935483871
2014-01-30,44.45,-1.55,-28.67741935483871
2014-01-31,44.43,-1.55,-28.664516129032258
2014-02-03,42.99,-1.55,-27.73548387096774
2014-02-04,43.15,-1.55,-27.838709677419352
2014-02-05,42.68,-1.55,-27.53548387096774
2014-02-06,43.5,-1.55,-28.064516129032256
2014-02-07,44.43,-1.55,-28.664516129032258
