date,OTIS,OTIS_EPS,PE Ratio
,,0.38,
2020-03-19,45.25,0.38,119.07894736842105
2020-03-20,45.0,0.38,118.42105263157895
2020-03-23,40.0,0.38,105.26315789473684
2020-03-24,40.0,0.38,105.26315789473684
2020-03-25,41.01,0.38,107.92105263157895
2020-03-26,45.0,0.38,118.42105263157895
2020-03-27,45.24,0.38,119.05263157894737
2020-03-30,50.0,0.38,131.57894736842104
2020-03-31,50.0,0.38,131.57894736842104
2020-04-01,46.7,0.38,122.89473684210527
2020-04-02,44.0,0.38,115.78947368421052
2020-04-03,47.32,0.38,124.52631578947368
2020-04-06,45.94,0.38,120.89473684210526
2020-04-07,44.28,0.38,116.52631578947368
2020-04-08,44.09,0.38,116.02631578947368
2020-04-09,49.14,0.38,129.31578947368422
2020-04-13,46.0,0.38,121.05263157894737
2020-04-14,45.89,0.38,120.76315789473684
2020-04-15,44.55,0.38,117.23684210526315
2020-04-16,45.62,0.38,120.05263157894736
2020-04-17,46.15,0.38,121.44736842105263
2020-04-20,45.39,0.38,119.44736842105263
2020-04-21,45.9,0.38,120.78947368421052
2020-04-22,47.05,0.38,123.8157894736842
2020-04-23,47.47,0.38,124.92105263157895
2020-04-24,47.85,0.38,125.92105263157895
2020-04-27,48.22,0.38,126.89473684210526
2020-04-28,49.86,0.38,131.21052631578948
2020-04-29,51.15,0.38,134.60526315789474
2020-04-30,50.91,0.38,133.9736842105263
2020-05-01,49.71,0.38,130.81578947368422
2020-05-04,49.53,0.38,130.3421052631579
2020-05-05,48.09,0.38,126.55263157894737
2020-05-06,48.31,0.38,127.13157894736842
2020-05-07,51.81,0.38,136.3421052631579
2020-05-08,52.95,0.38,139.3421052631579
2020-05-11,51.81,0.38,136.3421052631579
2020-05-12,49.72,0.38,130.8421052631579
2020-05-13,48.21,0.38,126.86842105263158
2020-05-14,48.0,0.38,126.3157894736842
2020-05-15,48.89,0.38,128.6578947368421
2020-05-18,52.13,0.38,137.18421052631578
2020-05-19,52.31,0.38,137.6578947368421
2020-05-20,53.18,0.38,139.94736842105263
2020-05-21,52.03,0.38,136.92105263157896
2020-05-22,51.71,0.38,136.07894736842104
2020-05-26,50.89,0.38,133.92105263157896
2020-05-27,52.38,0.38,137.8421052631579
2020-05-28,50.96,0.38,134.10526315789474
2020-05-29,52.65,0.38,138.55263157894737
2020-06-01,54.08,0.38,142.3157894736842
2020-06-02,54.15,0.38,142.5
2020-06-03,55.47,0.38,145.9736842105263
2020-06-04,55.4,0.38,145.78947368421052
2020-06-05,58.57,0.38,154.1315789473684
2020-06-08,61.26,0.38,161.21052631578948
2020-06-09,60.65,0.38,159.60526315789474
2020-06-10,59.03,0.38,155.3421052631579
2020-06-11,56.25,0.38,148.02631578947367
2020-06-12,56.04,0.38,147.4736842105263
2020-06-15,57.67,0.38,151.76315789473685
2020-06-16,57.849998,0.38,152.23683684210525
2020-06-17,56.740002,0.38,149.3157947368421
2020-06-18,57.490002,0.38,151.28947894736842
2020-06-19,57.0,0.38,150.0
2020-06-22,57.060001,0.38,150.15789736842106
2020-06-23,56.799999,0.38,149.47368157894738
2020-06-24,55.540001,0.38,146.15789736842103
2020-06-25,56.200001,0.38,147.8947394736842
2020-06-26,55.790001,0.38,146.81579210526314
2020-06-29,56.57,0.38,148.8684210526316
2020-06-30,56.860001,0.38,149.63158157894736
2020-07-01,55.779999,0.38,146.78947105263157
2020-07-02,56.5,0.38,148.68421052631578
2020-07-06,56.860001,0.38,149.63158157894736
2020-07-07,56.82,0.38,149.52631578947367
2020-07-08,56.919998,0.38,149.78946842105262
2020-07-09,56.110001,0.38,147.65789736842103
2020-07-10,56.98,0.38,149.94736842105263
2020-07-13,56.889999,0.38,149.71052368421053
2020-07-14,57.369999,0.38,150.97368157894738
2020-07-15,58.200001,0.38,153.15789736842106
2020-07-16,58.32,0.38,153.4736842105263
2020-07-17,58.549999,0.38,154.0789447368421
2020-07-20,58.560001,0.38,154.1052657894737
2020-07-21,58.439999,0.38,153.78947105263157
2020-07-22,58.48,0.38,153.89473684210526
2020-07-23,59.060001,0.38,155.42105526315788
2020-07-24,58.130001,0.38,152.97368684210525
2020-07-27,58.32,0.38,153.4736842105263
2020-07-28,60.279999,0.38,158.63157631578946
2020-07-29,64.300003,0.38,169.21053421052633
2020-07-30,63.389999,0.38,166.81578684210527
2020-07-31,62.740002,0.52,120.65384999999999
2020-08-03,63.209999,0.52,121.55769038461538
2020-08-04,62.610001,0.52,120.40384807692307
2020-08-05,63.09,0.52,121.32692307692308
2020-08-06,63.48,0.52,122.07692307692307
