date,CDW,CDW_EPS,PE Ratio
2011-03-04,,0.0,
2011-05-13,,0.0,
2011-08-15,,0.0,
2011-11-14,,0.0,
2012-03-09,,0.0,
2012-05-15,,0.0,
2012-08-10,,0.0,
2012-11-09,,0.0,
2013-03-08,,0.82,
2013-05-09,,0.0,
2013-06-27,18.37,0.0,inf
2013-06-28,18.62,0.0,inf
2013-07-01,18.34,0.0,inf
2013-07-02,19.22,0.0,inf
2013-07-03,19.08,0.0,inf
2013-07-05,19.22,0.0,inf
2013-07-08,19.23,0.0,inf
2013-07-09,19.5,0.0,inf
2013-07-10,19.1,0.0,inf
2013-07-11,19.58,0.0,inf
2013-07-12,19.51,0.0,inf
2013-07-15,19.56,0.0,inf
2013-07-16,20.1,0.0,inf
2013-07-17,20.37,0.0,inf
2013-07-18,20.83,0.0,inf
2013-07-19,20.84,0.0,inf
2013-07-22,20.34,0.0,inf
2013-07-23,20.22,0.0,inf
2013-07-24,20.57,0.0,inf
2013-07-25,21.98,0.0,inf
2013-07-26,21.59,0.0,inf
2013-07-29,21.7,0.0,inf
2013-07-30,21.6,0.0,inf
2013-07-31,21.5,0.0,inf
2013-08-01,21.66,0.0,inf
2013-08-02,22.43,0.0,inf
2013-08-05,22.79,0.0,inf
2013-08-06,22.81,0.0,inf
2013-08-07,22.95,0.0,inf
2013-08-08,23.07,0.0,inf
2013-08-09,23.05,0.0,inf
2013-08-12,23.16,0.52,44.53846153846154
2013-08-13,23.4,0.52,44.99999999999999
2013-08-14,23.36,0.52,44.92307692307692
2013-08-15,23.0,0.52,44.230769230769226
2013-08-16,23.05,0.52,44.32692307692308
2013-08-19,23.09,0.52,44.40384615384615
2013-08-20,23.11,0.52,44.442307692307686
2013-08-21,23.03,0.52,44.28846153846154
2013-08-22,23.01,0.52,44.25
2013-08-23,23.27,0.52,44.75
2013-08-26,22.98,0.52,44.19230769230769
2013-08-27,22.22,0.52,42.730769230769226
2013-08-28,21.98,0.52,42.26923076923077
2013-08-29,22.08,0.52,42.46153846153846
2013-08-30,21.93,0.52,42.17307692307692
2013-09-03,22.53,0.52,43.32692307692308
2013-09-04,23.01,0.52,44.25
2013-09-05,23.32,0.52,44.84615384615385
2013-09-06,23.24,0.52,44.692307692307686
2013-09-09,22.96,0.52,44.15384615384615
2013-09-10,23.03,0.52,44.28846153846154
2013-09-11,23.42,0.52,45.03846153846154
2013-09-12,23.09,0.52,44.40384615384615
2013-09-13,23.5,0.52,45.19230769230769
2013-09-16,23.87,0.52,45.90384615384615
2013-09-17,23.23,0.52,44.67307692307692
2013-09-18,23.79,0.52,45.75
2013-09-19,23.46,0.52,45.11538461538461
2013-09-20,22.89,0.52,44.01923076923077
2013-09-23,23.86,0.52,45.88461538461538
2013-09-24,24.3,0.52,46.73076923076923
2013-09-25,24.13,0.52,46.40384615384615
2013-09-26,23.99,0.52,46.13461538461538
2013-09-27,23.98,0.52,46.11538461538461
2013-09-30,22.83,0.52,43.903846153846146
2013-10-01,23.2,0.52,44.61538461538461
