date,DISCA,DISCA_EPS,PE Ratio
2005-07-08,7.82,,
2005-07-11,7.84,,
2005-07-12,8.25,,
2005-07-13,8.12,,
2005-07-14,8.12,,
2005-07-15,8.02,,
2005-07-18,7.61,,
2005-07-19,7.63,,
2005-07-20,7.59,,
2005-07-21,7.71,,
2005-07-22,7.66,,
2005-07-25,7.18,,
2005-07-26,7.15,,
2005-07-27,7.15,,
2005-07-28,7.28,,
2005-07-29,7.29,,
2005-08-01,7.17,,
2005-08-02,7.14,,
2005-08-03,7.27,,
2005-08-04,7.24,,
2005-08-05,7.2,,
2005-08-08,7.18,,
2005-08-09,7.14,,
2005-08-10,7.21,,
2005-08-11,7.46,,
2005-08-12,7.51,,
2005-08-15,7.74,,
2005-08-16,7.77,,
2005-08-17,7.72,,
2005-08-18,7.68,,
2005-08-19,7.77,,
2005-08-22,7.92,,
2005-08-23,8.01,,
2005-08-24,8.09,,
2005-08-25,8.05,,
2005-08-26,7.96,,
2005-08-29,7.86,,
2005-08-30,7.83,,
2005-08-31,7.74,,
2005-09-01,7.75,,
2005-09-02,7.74,,
2005-09-06,7.77,,
2005-09-07,7.78,,
2005-09-08,7.72,,
2005-09-09,7.66,,
2005-09-12,7.65,,
2005-09-13,7.58,,
2005-09-14,7.62,,
2005-09-15,7.66,,
2005-09-16,7.66,,
2005-09-19,7.69,,
2005-09-20,7.69,,
2005-09-21,7.56,,
2005-09-22,7.51,,
2005-09-23,7.48,,
2005-09-26,7.45,,
2005-09-27,7.45,,
2005-09-28,7.36,,
2005-09-29,7.28,,
2005-09-30,7.37,,
2005-10-03,7.42,,
2005-10-04,7.16,,
2005-10-05,7.1,,
2005-10-06,7.06,,
2005-10-07,7.14,,
2005-10-10,7.14,,
2005-10-11,7.18,,
2005-10-12,7.16,,
2005-10-13,7.28,,
2005-10-14,7.4,,
2005-10-17,7.27,,
2005-10-18,7.24,,
2005-10-19,7.16,,
2005-10-20,7.09,,
2005-10-21,7.19,,
2005-10-24,7.28,,
2005-10-25,7.17,,
2005-10-26,7.14,,
2005-10-27,7.02,,
2005-10-28,7.25,,
2005-10-31,7.2,,
2005-11-01,7.27,,
2005-11-02,7.35,,
2005-11-03,7.26,,
2005-11-04,7.21,,
2005-11-07,7.23,,
2005-11-08,7.33,,
2005-11-09,7.33,,
2005-11-10,7.56,,
2005-11-11,7.8,,
2005-11-14,7.82,,
2005-11-15,7.82,,
2005-11-16,7.66,,
2005-11-17,7.61,,
2005-11-18,7.79,,
2005-11-21,7.97,,
2005-11-22,8.05,,
2005-11-23,8.08,,
2005-11-25,8.09,,
2005-11-28,8.05,,
2005-11-29,8.05,,
2005-11-30,7.98,,
2005-12-01,7.99,,
2005-12-02,7.97,,
2005-12-05,7.92,,
2005-12-06,7.72,,
2005-12-07,7.81,,
2005-12-08,7.92,,
2005-12-09,7.91,,
2005-12-12,8.07,,
2005-12-13,8.17,,
2005-12-14,8.18,,
2005-12-15,7.95,,
2005-12-16,8.2,,
2005-12-19,7.99,,
2005-12-20,7.92,,
2005-12-21,7.84,,
2005-12-22,7.81,,
2005-12-23,7.88,,
2005-12-27,7.82,,
2005-12-28,7.77,,
2005-12-29,7.79,,
2005-12-30,7.74,,
2006-01-03,7.72,,
2006-01-04,7.82,,
2006-01-05,7.82,,
2006-01-06,7.84,,
2006-01-09,7.82,,
2006-01-10,7.83,,
2006-01-11,7.81,,
2006-01-12,7.8,,
2006-01-13,7.78,,
2006-01-17,7.9,,
2006-01-18,7.9,,
2006-01-19,7.93,,
2006-01-20,7.83,,
2006-01-23,7.87,,
2006-01-24,7.87,,
2006-01-25,7.83,,
2006-01-26,7.87,,
2006-01-27,7.93,,
2006-01-30,7.84,,
2006-01-31,7.75,,
2006-02-01,7.66,,
2006-02-02,7.45,,
2006-02-03,7.45,,
2006-02-06,7.43,,
2006-02-07,7.38,,
2006-02-08,7.64,,
2006-02-09,7.56,,
2006-02-10,7.41,,
2006-02-13,7.4,,
2006-02-14,7.38,,
2006-02-15,7.4,,
2006-02-16,7.49,,
2006-02-17,7.41,,
2006-02-21,7.39,,
2006-02-22,7.42,,
2006-02-23,7.42,,
2006-02-24,7.37,,
2006-02-27,7.58,,
2006-02-28,7.46,,
2006-03-01,7.53,,
2006-03-02,7.41,,
2006-03-03,7.39,,
2006-03-06,7.39,,
2006-03-07,7.34,,
2006-03-08,7.27,,
2006-03-09,7.28,,
2006-03-10,7.33,,
2006-03-13,7.42,,
2006-03-14,7.54,,
2006-03-15,7.64,,
2006-03-16,7.51,,
2006-03-17,7.46,,
2006-03-20,7.4,,
2006-03-21,7.39,,
2006-03-22,7.34,,
2006-03-23,7.5,,
2006-03-24,7.39,,
2006-03-27,7.43,,
2006-03-28,7.43,,
2006-03-29,7.61,,
2006-03-30,7.64,,
2006-03-31,7.66,,
2006-04-03,7.64,,
2006-04-04,7.73,,
2006-04-05,7.68,,
2006-04-06,7.68,,
2006-04-07,7.66,,
2006-04-10,7.58,,
2006-04-11,7.53,,
2006-04-12,7.55,,
2006-04-13,7.45,,
2006-04-17,7.38,,
2006-04-18,7.45,,
2006-04-19,7.46,,
2006-04-20,7.51,,
2006-04-21,7.52,,
2006-04-24,7.48,,
2006-04-25,7.46,,
2006-04-26,7.42,,
2006-04-27,7.59,,
2006-04-28,7.61,,
2006-05-01,7.67,,
2006-05-02,7.53,,
2006-05-03,7.38,,
2006-05-04,7.4,,
2006-05-05,7.36,,
2006-05-08,7.37,,
2006-05-09,7.36,,
2006-05-10,7.29,,
2006-05-11,7.29,,
2006-05-12,7.15,,
2006-05-15,7.31,,
2006-05-16,7.36,,
2006-05-17,7.18,,
2006-05-18,7.06,,
2006-05-19,7.06,,
2006-05-22,6.99,,
2006-05-23,7.02,,
2006-05-24,7.07,,
2006-05-25,7.07,,
2006-05-26,7.09,,
2006-05-30,7.08,,
2006-05-31,7.09,,
2006-06-01,7.26,,
2006-06-02,7.35,,
2006-06-05,7.15,,
2006-06-06,7.15,,
2006-06-07,7.07,,
2006-06-08,7.06,,
2006-06-09,7.04,,
2006-06-12,7.04,,
2006-06-13,7.1,,
2006-06-14,7.09,,
2006-06-15,7.45,,
2006-06-16,7.29,,
2006-06-19,7.33,,
2006-06-20,7.37,,
2006-06-21,7.47,,
2006-06-22,7.3,,
2006-06-23,7.29,,
2006-06-26,7.35,,
2006-06-27,7.27,,
2006-06-28,7.34,,
2006-06-29,7.59,,
2006-06-30,7.48,,
2006-07-03,7.53,,
2006-07-05,7.43,,
2006-07-06,7.36,,
2006-07-07,7.29,,
2006-07-10,7.23,,
2006-07-11,7.21,,
2006-07-12,7.17,,
2006-07-13,7.17,,
2006-07-14,7.09,,
2006-07-17,7.02,,
2006-07-18,7.0,,
2006-07-19,6.99,,
2006-07-20,6.93,,
2006-07-21,6.9,,
2006-07-24,6.9,,
2006-07-25,6.96,,
2006-07-26,6.92,,
2006-07-27,6.9,,
2006-07-28,6.89,,
2006-07-31,6.81,,
2006-08-01,6.78,,
2006-08-02,6.91,,
2006-08-03,6.93,,
2006-08-04,6.96,,
2006-08-07,7.08,,
2006-08-08,6.94,,
2006-08-09,6.77,,
2006-08-10,6.91,,
2006-08-11,7.17,,
2006-08-14,7.07,,
2006-08-15,7.25,,
2006-08-16,7.24,,
2006-08-17,7.36,,
2006-08-18,7.28,,
2006-08-21,7.3,,
2006-08-22,7.27,,
2006-08-23,7.2,,
2006-08-24,7.15,,
2006-08-25,7.16,,
2006-08-28,7.16,,
2006-08-29,7.13,,
2006-08-30,7.06,,
2006-08-31,7.16,,
2006-09-01,7.16,,
2006-09-05,7.03,,
2006-09-06,7.02,,
2006-09-07,6.94,,
2006-09-08,6.99,,
2006-09-11,7.01,,
2006-09-12,7.01,,
2006-09-13,7.05,,
2006-09-14,6.9,,
2006-09-15,7.1,,
2006-09-18,7.11,,
2006-09-19,7.1,,
2006-09-20,7.14,,
2006-09-21,7.15,,
2006-09-22,7.13,,
2006-09-25,7.15,,
2006-09-26,7.17,,
2006-09-27,7.35,,
2006-09-28,7.38,,
2006-09-29,7.39,,
2006-10-02,7.38,,
2006-10-03,7.39,,
2006-10-04,7.48,,
2006-10-05,7.6,,
2006-10-06,7.53,,
2006-10-09,7.53,,
2006-10-10,7.57,,
2006-10-11,7.49,,
2006-10-12,7.51,,
2006-10-13,7.61,,
2006-10-16,7.61,,
2006-10-17,7.56,,
2006-10-18,7.48,,
2006-10-19,7.49,,
2006-10-20,7.7,,
2006-10-23,7.65,,
2006-10-24,7.57,,
2006-10-25,7.55,,
2006-10-26,7.68,,
2006-10-27,7.58,,
2006-10-30,7.62,,
2006-10-31,7.58,,
2006-11-01,7.54,,
2006-11-02,7.62,,
2006-11-03,7.64,,
2006-11-06,7.58,,
2006-11-07,7.64,,
2006-11-08,7.71,,
2006-11-09,7.62,,
2006-11-10,7.68,,
2006-11-13,7.71,,
2006-11-14,7.83,,
2006-11-15,7.89,,
2006-11-16,8.02,,
2006-11-17,8.03,,
2006-11-20,7.9,,
2006-11-21,7.86,,
2006-11-22,7.91,,
2006-11-24,7.87,,
2006-11-27,7.78,,
2006-11-28,7.71,,
2006-11-29,7.74,,
2006-11-30,7.84,,
2006-12-01,7.74,,
2006-12-04,7.71,,
2006-12-05,7.75,,
2006-12-06,7.74,,
2006-12-07,7.8,,
2006-12-08,8.13,,
2006-12-11,8.35,,
2006-12-12,8.38,,
2006-12-13,8.34,,
2006-12-14,8.53,,
2006-12-15,8.3,,
2006-12-18,8.31,,
2006-12-19,8.23,,
2006-12-20,8.24,,
2006-12-21,8.23,,
2006-12-22,8.22,,
2006-12-26,8.23,,
2006-12-27,8.32,,
2006-12-28,8.23,,
2006-12-29,8.22,,
2007-01-03,8.43,,
2007-01-04,8.39,,
2007-01-05,8.33,,
2007-01-08,8.49,,
2007-01-09,8.44,,
2007-01-10,8.5,,
2007-01-11,8.57,,
2007-01-12,8.64,,
2007-01-16,8.86,,
2007-01-17,8.75,,
2007-01-18,8.78,,
2007-01-19,8.77,,
2007-01-22,8.69,,
2007-01-23,8.68,,
2007-01-24,8.73,,
2007-01-25,8.49,,
2007-01-26,8.4,,
2007-01-29,8.55,,
2007-01-30,8.44,,
2007-01-31,8.47,,
2007-02-01,8.54,,
2007-02-02,8.47,,
2007-02-05,8.4,,
2007-02-06,8.29,,
2007-02-07,8.24,,
2007-02-08,8.26,,
2007-02-09,8.2,,
2007-02-12,8.26,,
2007-02-13,8.34,,
2007-02-14,8.44,,
2007-02-15,8.49,,
2007-02-16,8.38,,
2007-02-20,8.47,,
2007-02-21,8.4,,
2007-02-22,8.31,,
2007-02-23,8.28,,
2007-02-26,8.31,,
2007-02-27,8.12,,
2007-02-28,8.21,,
2007-03-01,8.27,,
2007-03-02,8.17,,
2007-03-05,8.16,,
2007-03-06,8.58,,
2007-03-07,8.69,,
2007-03-08,8.76,,
2007-03-09,8.81,,
2007-03-12,8.79,,
2007-03-13,8.67,,
2007-03-14,8.66,,
2007-03-15,8.69,,
2007-03-16,8.74,,
2007-03-19,8.83,,
2007-03-20,8.73,,
2007-03-21,9.15,,
2007-03-22,9.04,,
2007-03-23,9.38,,
2007-03-26,9.33,,
2007-03-27,9.35,,
2007-03-28,9.36,,
2007-03-29,9.93,,
2007-03-30,9.78,,
2007-04-02,9.89,,
2007-04-03,10.09,,
2007-04-04,10.26,,
2007-04-05,10.21,,
2007-04-09,10.31,,
2007-04-10,10.51,,
2007-04-11,10.52,,
2007-04-12,10.6,,
2007-04-13,10.67,,
2007-04-16,10.8,,
2007-04-17,10.63,,
2007-04-18,10.78,,
2007-04-19,10.65,,
2007-04-20,10.82,,
2007-04-23,10.69,,
2007-04-24,10.91,,
2007-04-25,11.24,,
2007-04-26,11.02,,
2007-04-27,11.11,,
2007-04-30,11.11,,
2007-05-01,11.02,,
2007-05-02,10.97,,
2007-05-03,11.26,,
2007-05-04,11.23,,
2007-05-07,11.66,,
2007-05-08,11.74,,
2007-05-09,11.45,,
2007-05-10,11.23,,
2007-05-11,11.47,,
2007-05-14,11.65,,
2007-05-15,11.52,,
2007-05-16,11.7,,
2007-05-17,11.57,,
2007-05-18,11.73,,
2007-05-21,12.1,,
2007-05-22,12.02,,
2007-05-23,11.85,,
2007-05-24,11.67,,
2007-05-25,11.7,,
2007-05-29,11.95,,
2007-05-30,11.84,,
2007-05-31,11.95,,
2007-06-01,12.04,,
2007-06-04,12.17,,
2007-06-05,12.12,,
2007-06-06,11.98,,
2007-06-07,11.8,,
2007-06-08,12.01,,
2007-06-11,12.03,,
2007-06-12,12.24,,
2007-06-13,12.3,,
2007-06-14,12.39,,
2007-06-15,12.39,,
2007-06-18,12.17,,
2007-06-19,12.19,,
2007-06-20,12.07,,
2007-06-21,11.95,,
2007-06-22,11.95,,
2007-06-25,11.68,,
2007-06-26,11.7,,
2007-06-27,11.67,,
2007-06-28,11.71,,
2007-06-29,11.75,,
2007-07-02,11.78,,
2007-07-03,11.7,,
2007-07-05,11.66,,
2007-07-06,11.89,,
2007-07-09,11.98,,
2007-07-10,12.06,,
2007-07-11,12.02,,
2007-07-12,12.17,,
2007-07-13,12.24,,
2007-07-16,13.01,,
2007-07-17,13.15,,
2007-07-18,13.16,,
2007-07-19,13.25,,
2007-07-20,12.88,,
2007-07-23,12.99,,
2007-07-24,12.69,,
2007-07-25,12.49,,
2007-07-26,12.2,,
2007-07-27,12.31,,
2007-07-30,12.12,,
2007-07-31,12.12,,
2007-08-01,11.82,,
2007-08-02,12.15,,
2007-08-03,12.04,,
2007-08-06,12.21,,
2007-08-07,12.46,,
2007-08-08,13.36,,
2007-08-09,13.01,,
2007-08-10,12.55,,
2007-08-13,12.46,,
2007-08-14,12.38,,
2007-08-15,12.13,,
2007-08-16,11.48,,
2007-08-17,11.84,,
2007-08-20,12.08,,
2007-08-21,12.11,,
2007-08-22,12.37,,
2007-08-23,11.9,,
2007-08-24,11.67,,
2007-08-27,12.54,,
2007-08-28,12.22,,
2007-08-29,12.66,,
2007-08-30,12.64,,
2007-08-31,12.84,,
2007-09-04,12.99,,
2007-09-05,12.9,,
2007-09-06,12.92,,
2007-09-07,12.98,,
2007-09-10,13.22,,
2007-09-11,13.38,,
2007-09-12,13.56,,
2007-09-13,13.62,,
2007-09-14,13.44,,
2007-09-17,13.19,,
2007-09-18,13.18,,
2007-09-19,13.62,,
2007-09-20,13.32,,
2007-09-21,14.12,,
2007-09-24,13.94,,
2007-09-25,14.0,,
2007-09-26,14.31,,
2007-09-27,14.82,,
2007-09-28,14.74,,
2007-10-01,14.8,,
2007-10-02,14.77,,
2007-10-03,14.7,,
2007-10-04,14.89,,
2007-10-05,14.94,,
2007-10-08,14.79,,
2007-10-09,14.81,,
2007-10-10,14.82,,
2007-10-11,14.53,,
2007-10-12,14.7,,
2007-10-15,14.3,,
2007-10-16,14.29,,
2007-10-17,14.47,,
2007-10-18,14.31,,
2007-10-19,14.0,,
2007-10-22,14.33,,
2007-10-23,14.43,,
2007-10-24,14.41,,
2007-10-25,14.61,,
2007-10-26,14.56,,
2007-10-29,14.45,,
2007-10-30,14.32,,
2007-10-31,14.57,,
2007-11-01,14.2,,
2007-11-02,14.33,,
2007-11-05,13.87,,
2007-11-06,14.04,,
2007-11-07,13.78,,
2007-11-08,13.29,,
2007-11-09,12.96,,
2007-11-12,12.0,,
2007-11-13,12.19,,
2007-11-14,11.88,,
2007-11-15,11.92,,
2007-11-16,11.88,,
2007-11-19,11.67,,
2007-11-20,12.12,,
2007-11-21,11.94,,
2007-11-23,11.87,,
2007-11-26,11.55,,
2007-11-27,11.69,,
2007-11-28,12.2,,
2007-11-29,12.35,,
2007-11-30,12.5,,
2007-12-03,13.35,,
2007-12-04,13.39,,
2007-12-05,13.24,,
2007-12-06,14.05,,
2007-12-07,13.92,,
2007-12-10,13.78,,
2007-12-11,13.65,,
2007-12-12,14.01,,
2007-12-13,13.64,,
2007-12-14,13.6,,
