date,HPE,HPE_EPS,PE Ratio
,,1.41,
2015-10-19,9.62,1.41,6.822695035460993
2015-10-20,9.8,1.41,6.950354609929079
2015-10-21,9.58,1.41,6.794326241134752
2015-10-22,9.85,1.41,6.98581560283688
2015-10-23,9.88,1.41,7.007092198581561
2015-10-26,9.54,1.41,6.76595744680851
2015-10-27,9.14,1.41,6.4822695035461
2015-10-28,9.46,1.41,6.709219858156029
2015-10-29,9.27,1.41,6.574468085106383
2015-10-30,8.56,1.41,6.070921985815604
2015-11-02,8.42,1.41,5.971631205673759
2015-11-03,8.35,1.41,5.921985815602837
2015-11-04,7.94,1.41,5.631205673758866
2015-11-05,7.72,1.41,5.475177304964539
2015-11-06,8.37,1.41,5.9361702127659575
2015-11-09,8.25,1.41,5.851063829787234
2015-11-10,8.38,1.41,5.9432624113475185
2015-11-11,8.2,1.41,5.815602836879433
2015-11-12,7.96,1.41,5.645390070921986
2015-11-13,7.78,1.41,5.517730496453901
2015-11-16,7.78,1.41,5.517730496453901
2015-11-17,7.68,1.41,5.446808510638298
2015-11-18,7.93,1.41,5.624113475177305
2015-11-19,8.01,1.41,5.680851063829787
2015-11-20,8.26,1.41,5.858156028368795
2015-11-23,8.05,1.41,5.709219858156029
2015-11-24,7.96,1.41,5.645390070921986
2015-11-25,8.21,1.41,5.822695035460994
2015-11-27,8.34,1.41,5.914893617021277
2015-11-30,8.64,1.41,6.127659574468086
2015-12-01,9.07,1.41,6.432624113475178
2015-12-02,8.69,1.41,6.163120567375887
2015-12-03,8.5,1.41,6.028368794326242
2015-12-04,8.85,1.41,6.276595744680852
2015-12-07,8.98,1.41,6.368794326241136
2015-12-08,8.82,1.41,6.255319148936171
2015-12-09,8.63,1.41,6.120567375886526
2015-12-10,8.56,1.41,6.070921985815604
2015-12-11,8.24,1.41,5.843971631205674
2015-12-14,8.39,1.41,5.950354609929079
2015-12-15,8.46,1.41,6.000000000000001
2015-12-16,8.54,1.41,6.056737588652482
2015-12-17,8.32,1.41,5.9007092198581566
2015-12-18,8.23,1.41,5.836879432624114
2015-12-21,8.15,1.41,5.780141843971632
2015-12-22,8.17,1.41,5.794326241134752
2015-12-23,8.67,1.41,6.1489361702127665
2015-12-24,8.73,1.41,6.1914893617021285
2015-12-28,8.85,1.41,6.276595744680852
2015-12-29,8.83,1.41,6.262411347517731
2015-12-30,8.88,1.41,6.297872340425533
2015-12-31,8.83,1.41,6.262411347517731
2016-01-04,8.79,1.41,6.234042553191489
2016-01-05,8.74,1.41,6.198581560283689
2016-01-06,8.6,1.41,6.099290780141844
2016-01-07,7.97,1.41,5.652482269503547
2016-01-08,7.87,1.41,5.581560283687944
2016-01-11,7.71,1.41,5.468085106382979
2016-01-12,7.71,1.41,5.468085106382979
2016-01-13,7.41,1.41,5.255319148936171
2016-01-14,7.56,1.41,5.361702127659575
2016-01-15,7.29,1.41,5.170212765957447
2016-01-19,7.16,1.41,5.078014184397164
2016-01-20,7.01,1.41,4.971631205673759
2016-01-21,7.21,1.41,5.113475177304965
