date,NEE,NEE_EPS,PE Ratio
,,0.42,
1973-02-21,9.06,0.42,21.571428571428573
1973-02-22,9.19,0.42,21.88095238095238
1973-02-23,9.31,0.42,22.166666666666668
1973-02-26,9.28,0.42,22.095238095238095
1973-02-27,9.38,0.42,22.333333333333336
1973-02-28,9.5,0.42,22.61904761904762
1973-03-01,9.56,0.42,22.761904761904763
1973-03-02,9.56,0.42,22.761904761904763
1973-03-05,9.59,0.42,22.833333333333332
1973-03-06,9.66,0.42,23.0
1973-03-07,9.75,0.42,23.214285714285715
1973-03-08,9.69,0.42,23.07142857142857
1973-03-09,9.66,0.42,23.0
1973-03-12,9.69,0.42,23.07142857142857
1973-03-13,9.97,0.42,23.73809523809524
1973-03-14,9.75,0.42,23.214285714285715
1973-03-15,9.56,0.42,22.761904761904763
1973-03-16,9.19,0.42,21.88095238095238
1973-03-19,9.09,0.42,21.642857142857142
1973-03-20,9.13,0.42,21.73809523809524
1973-03-21,9.03,0.42,21.5
1973-03-22,8.94,0.42,21.285714285714285
1973-03-23,8.84,0.42,21.047619047619047
1973-03-26,8.59,0.42,20.452380952380953
1973-03-27,8.75,0.42,20.833333333333336
1973-03-28,8.63,0.42,20.54761904761905
1973-03-29,8.59,0.42,20.452380952380953
1973-03-30,8.53,0.42,20.30952380952381
1973-04-02,8.47,0.42,20.166666666666668
1973-04-03,8.31,0.42,19.78571428571429
1973-04-04,8.75,0.42,20.833333333333336
1973-04-05,8.75,0.42,20.833333333333336
1973-04-06,8.81,0.42,20.976190476190478
1973-04-09,8.81,0.42,20.976190476190478
1973-04-10,9.22,0.42,21.952380952380956
1973-04-11,9.41,0.42,22.404761904761905
1973-04-12,9.44,0.42,22.476190476190474
1973-04-13,9.38,0.42,22.333333333333336
1973-04-16,9.69,0.42,23.07142857142857
1973-04-17,9.5,0.42,22.61904761904762
1973-04-18,9.63,0.42,22.92857142857143
1973-04-19,9.63,0.42,22.92857142857143
1973-04-23,9.63,0.42,22.92857142857143
1973-04-24,9.53,0.42,22.69047619047619
1973-04-25,9.47,0.42,22.54761904761905
1973-04-26,9.38,0.42,22.333333333333336
1973-04-27,9.5,0.42,22.61904761904762
1973-04-30,9.56,0.42,22.761904761904763
1973-05-01,9.44,0.42,22.476190476190474
1973-05-02,9.5,0.42,22.61904761904762
1973-05-03,9.66,0.42,23.0
1973-05-04,9.72,0.42,23.142857142857146
1973-05-07,9.56,0.42,22.761904761904763
1973-05-08,9.66,0.42,23.0
1973-05-09,9.69,0.42,23.07142857142857
1973-05-10,9.75,0.42,23.214285714285715
1973-05-11,9.66,0.42,23.0
1973-05-14,9.41,0.42,22.404761904761905
1973-05-15,9.44,0.42,22.476190476190474
1973-05-16,9.69,0.42,23.07142857142857
1973-05-17,9.59,0.42,22.833333333333332
1973-05-18,9.5,0.42,22.61904761904762
1973-05-21,9.47,0.42,22.54761904761905
1973-05-22,9.28,0.42,22.095238095238095
1973-05-23,9.22,0.42,21.952380952380956
1973-05-24,9.41,0.42,22.404761904761905
1973-05-25,9.56,0.42,22.761904761904763
1973-05-29,9.63,0.42,22.92857142857143
1973-05-30,9.63,0.42,22.92857142857143
1973-05-31,9.63,0.42,22.92857142857143
1973-06-01,9.53,0.42,22.69047619047619
1973-06-04,9.44,0.42,22.476190476190474
1973-06-05,9.56,0.42,22.761904761904763
1973-06-06,9.56,0.42,22.761904761904763
1973-06-07,9.69,0.42,23.07142857142857
1973-06-08,9.56,0.42,22.761904761904763
1973-06-11,9.59,0.42,22.833333333333332
1973-06-12,9.63,0.42,22.92857142857143
1973-06-13,9.59,0.42,22.833333333333332
1973-06-14,9.63,0.42,22.92857142857143
1973-06-15,9.47,0.42,22.54761904761905
1973-06-18,9.31,0.42,22.166666666666668
1973-06-19,9.34,0.42,22.238095238095237
1973-06-20,9.31,0.42,22.166666666666668
1973-06-21,9.16,0.42,21.80952380952381
1973-06-22,9.25,0.42,22.023809523809526
1973-06-25,9.16,0.42,21.80952380952381
1973-06-26,9.16,0.42,21.80952380952381
1973-06-27,9.16,0.42,21.80952380952381
1973-06-28,9.16,0.42,21.80952380952381
1973-06-29,8.97,0.42,21.35714285714286
1973-07-02,8.84,0.42,21.047619047619047
1973-07-03,8.84,0.42,21.047619047619047
1973-07-05,8.84,0.42,21.047619047619047
1973-07-06,8.72,0.42,20.761904761904763
1973-07-09,8.75,0.42,20.833333333333336
1973-07-10,8.69,0.42,20.69047619047619
1973-07-11,8.75,0.42,20.833333333333336
1973-07-12,8.75,0.42,20.833333333333336
1973-07-13,8.72,0.42,20.761904761904763
1973-07-16,8.72,0.42,20.761904761904763
1973-07-17,8.72,0.42,20.761904761904763
1973-07-18,8.75,0.42,20.833333333333336
1973-07-19,8.75,0.42,20.833333333333336
1973-07-20,8.78,0.42,20.904761904761905
1973-07-23,8.94,0.42,21.285714285714285
1973-07-24,8.97,0.42,21.35714285714286
1973-07-25,8.97,0.42,21.35714285714286
1973-07-26,8.94,0.42,21.285714285714285
1973-07-27,8.84,0.42,21.047619047619047
1973-07-30,8.81,0.42,20.976190476190478
1973-07-31,8.72,0.42,20.761904761904763
1973-08-01,8.66,0.42,20.61904761904762
1973-08-02,8.41,0.42,20.023809523809526
1973-08-03,8.41,0.42,20.023809523809526
1973-08-06,8.47,0.42,20.166666666666668
1973-08-07,8.5,0.42,20.238095238095237
1973-08-08,8.5,0.42,20.238095238095237
1973-08-09,8.41,0.42,20.023809523809526
1973-08-10,8.34,0.42,19.857142857142858
