date,PRGO,PRGO_EPS,PE Ratio
,,0.0,
1991-12-17,11.63,0.0,inf
1991-12-18,11.5,0.0,inf
1991-12-19,11.25,0.0,inf
1991-12-20,11.5,0.0,inf
1991-12-23,11.88,0.0,inf
1991-12-24,12.0,0.0,inf
1991-12-26,13.5,0.0,inf
1991-12-27,13.5,0.0,inf
1991-12-30,14.25,0.0,inf
1991-12-31,14.88,0.0,inf
1992-01-02,14.25,0.0,inf
1992-01-03,15.13,0.0,inf
1992-01-06,15.5,0.0,inf
1992-01-07,15.0,0.0,inf
1992-01-08,15.0,0.0,inf
1992-01-09,14.5,0.0,inf
1992-01-10,14.88,0.0,inf
1992-01-13,15.25,0.0,inf
1992-01-14,15.13,0.0,inf
1992-01-15,15.0,0.0,inf
1992-01-16,14.75,0.0,inf
1992-01-17,14.38,0.0,inf
1992-01-20,13.63,0.0,inf
1992-01-21,13.5,0.0,inf
1992-01-22,13.75,0.0,inf
1992-01-23,14.75,0.0,inf
1992-01-24,15.5,0.0,inf
1992-01-27,15.5,0.0,inf
1992-01-28,15.63,0.0,inf
1992-01-29,15.88,0.0,inf
1992-01-30,15.94,0.0,inf
1992-01-31,16.0,0.0,inf
1992-02-03,16.25,0.0,inf
1992-02-04,16.38,0.0,inf
1992-02-05,16.25,0.0,inf
1992-02-06,16.5,0.0,inf
1992-02-07,16.63,0.0,inf
1992-02-10,16.88,0.0,inf
1992-02-11,16.63,0.0,inf
1992-02-12,16.63,0.0,inf
1992-02-13,16.5,0.0,inf
1992-02-14,16.25,0.0,inf
1992-02-18,16.38,0.0,inf
1992-02-19,16.0,0.0,inf
1992-02-20,16.38,0.0,inf
1992-02-21,17.75,0.0,inf
1992-02-24,16.63,0.0,inf
1992-02-25,16.13,0.0,inf
1992-02-26,16.25,0.0,inf
1992-02-27,15.75,0.0,inf
1992-02-28,15.75,0.0,inf
1992-03-02,15.25,0.0,inf
1992-03-03,14.88,0.0,inf
1992-03-04,14.69,0.0,inf
1992-03-05,15.13,0.0,inf
1992-03-06,14.75,0.0,inf
1992-03-09,15.13,0.0,inf
1992-03-10,15.75,0.0,inf
1992-03-11,15.38,0.0,inf
1992-03-12,15.5,0.0,inf
1992-03-13,15.25,0.0,inf
1992-03-16,15.38,0.0,inf
1992-03-17,15.25,0.0,inf
1992-03-18,14.88,0.0,inf
1992-03-19,14.75,0.0,inf
1992-03-20,15.31,0.0,inf
1992-03-23,15.5,0.0,inf
1992-03-24,15.75,0.0,inf
1992-03-25,15.69,0.0,inf
1992-03-26,16.38,0.0,inf
1992-03-27,16.38,0.0,inf
1992-03-30,16.38,0.0,inf
1992-03-31,16.38,0.0,inf
1992-04-01,16.5,0.0,inf
1992-04-02,15.88,0.0,inf
1992-04-03,15.5,0.0,inf
1992-04-06,15.5,0.0,inf
1992-04-07,15.25,0.0,inf
1992-04-08,14.75,0.0,inf
1992-04-09,15.0,0.0,inf
1992-04-10,15.63,0.0,inf
1992-04-13,16.38,0.0,inf
1992-04-14,16.63,0.0,inf
1992-04-15,17.5,0.0,inf
1992-04-16,16.25,0.0,inf
1992-04-20,15.75,0.0,inf
1992-04-21,15.69,0.0,inf
1992-04-22,15.63,0.0,inf
1992-04-23,15.38,0.0,inf
1992-04-24,15.0,0.0,inf
1992-04-27,14.0,0.0,inf
1992-04-28,13.75,0.0,inf
1992-04-29,14.5,0.0,inf
1992-04-30,15.63,0.0,inf
1992-05-01,15.25,0.0,inf
1992-05-04,15.25,0.0,inf
1992-05-05,15.5,0.0,inf
1992-05-06,15.25,0.0,inf
1992-05-07,15.25,0.0,inf
1992-05-08,15.13,0.0,inf
1992-05-11,15.38,0.0,inf
1992-05-12,15.13,0.0,inf
1992-05-13,15.13,0.0,inf
1992-05-14,15.38,0.0,inf
1992-05-15,14.88,0.0,inf
1992-05-18,14.56,0.0,inf
1992-05-19,14.75,0.0,inf
1992-05-20,14.38,0.0,inf
1992-05-21,14.06,0.0,inf
1992-05-22,14.19,0.0,inf
1992-05-26,14.0,0.0,inf
1992-05-27,14.0,0.0,inf
1992-05-28,14.13,0.0,inf
1992-05-29,14.0,0.0,inf
1992-06-01,13.63,0.0,inf
1992-06-02,13.69,0.0,inf
1992-06-03,13.69,0.0,inf
1992-06-04,14.13,0.0,inf
1992-06-05,13.75,0.0,inf
1992-06-08,14.25,0.0,inf
1992-06-09,13.88,0.0,inf
1992-06-10,13.44,0.0,inf
1992-06-11,12.88,0.0,inf
1992-06-12,13.0,0.0,inf
1992-06-15,12.75,0.0,inf
1992-06-16,12.63,0.0,inf
1992-06-17,12.25,0.0,inf
1992-06-18,11.94,0.0,inf
1992-06-19,13.0,0.0,inf
1992-06-22,12.88,0.0,inf
1992-06-23,13.5,0.0,inf
1992-06-24,14.0,0.0,inf
1992-06-25,13.75,0.0,inf
1992-06-26,14.0,0.0,inf
1992-06-29,14.75,0.0,inf
1992-06-30,16.0,0.0,inf
1992-07-01,16.13,0.0,inf
1992-07-02,15.13,0.0,inf
1992-07-06,14.75,0.0,inf
1992-07-07,14.5,0.0,inf
1992-07-08,14.75,0.0,inf
1992-07-09,15.63,0.0,inf
1992-07-10,15.75,0.0,inf
1992-07-13,16.0,0.0,inf
1992-07-14,16.13,0.0,inf
1992-07-15,16.0,0.0,inf
1992-07-16,16.0,0.0,inf
1992-07-17,15.5,0.0,inf
1992-07-20,15.5,0.0,inf
1992-07-21,16.44,0.0,inf
1992-07-22,16.31,0.0,inf
1992-07-23,16.5,0.0,inf
1992-07-24,16.63,0.0,inf
1992-07-27,16.5,0.0,inf
1992-07-28,16.44,0.0,inf
1992-07-29,16.38,0.0,inf
1992-07-30,15.5,0.0,inf
1992-07-31,15.88,0.0,inf
1992-08-03,15.63,0.0,inf
1992-08-04,15.69,0.0,inf
1992-08-05,15.88,0.0,inf
1992-08-06,15.5,0.0,inf
1992-08-07,15.69,0.0,inf
1992-08-10,15.75,0.0,inf
1992-08-11,15.13,0.0,inf
1992-08-12,15.0,0.0,inf
1992-08-13,15.25,0.0,inf
1992-08-14,15.25,0.0,inf
1992-08-17,15.19,0.0,inf
1992-08-18,15.75,0.0,inf
1992-08-19,16.19,0.0,inf
1992-08-20,16.13,0.0,inf
1992-08-21,16.5,0.0,inf
1992-08-24,16.94,0.0,inf
1992-08-25,17.25,0.0,inf
1992-08-26,17.0,0.0,inf
1992-08-27,16.63,0.0,inf
1992-08-28,16.63,0.0,inf
1992-08-31,15.88,0.0,inf
1992-09-01,15.63,0.0,inf
1992-09-02,16.13,0.0,inf
1992-09-03,16.5,0.0,inf
1992-09-04,17.06,0.0,inf
1992-09-08,17.38,0.0,inf
1992-09-09,17.38,0.0,inf
1992-09-10,17.0,0.0,inf
1992-09-11,18.0,0.0,inf
1992-09-14,18.38,0.0,inf
1992-09-15,18.75,0.0,inf
1992-09-16,18.63,0.0,inf
1992-09-17,17.88,0.0,inf
1992-09-18,17.94,0.0,inf
1992-09-21,17.5,0.0,inf
1992-09-22,17.0,0.0,inf
1992-09-23,17.0,0.0,inf
1992-09-24,16.75,0.0,inf
1992-09-25,16.5,0.0,inf
1992-09-28,16.56,0.0,inf
1992-09-29,16.13,0.0,inf
1992-09-30,16.0,0.0,inf
1992-10-01,16.0,0.0,inf
1992-10-02,16.13,0.0,inf
1992-10-05,15.63,0.0,inf
1992-10-06,15.88,0.0,inf
1992-10-07,16.13,0.0,inf
1992-10-08,16.25,0.0,inf
1992-10-09,16.63,0.0,inf
1992-10-12,17.38,0.0,inf
1992-10-13,17.81,0.0,inf
1992-10-14,18.0,0.0,inf
1992-10-15,18.19,0.0,inf
1992-10-16,18.25,0.0,inf
1992-10-19,18.25,0.0,inf
1992-10-20,18.5,0.0,inf
1992-10-21,18.5,0.0,inf
1992-10-22,18.5,0.0,inf
1992-10-23,18.38,0.0,inf
1992-10-26,19.13,0.0,inf
1992-10-27,19.5,0.0,inf
1992-10-28,19.38,0.0,inf
1992-10-29,19.5,0.0,inf
1992-10-30,19.38,0.0,inf
1992-11-02,19.75,0.0,inf
1992-11-03,19.63,0.0,inf
1992-11-04,19.56,0.0,inf
1992-11-05,20.0,0.0,inf
1992-11-06,20.0,0.0,inf
1992-11-09,20.75,0.0,inf
