date,HST,HST_EPS,PE Ratio
,,0.48,
1980-03-17,3.31,0.48,6.895833333333334
1980-03-18,3.42,0.48,7.125
1980-03-19,3.49,0.48,7.270833333333334
1980-03-20,3.42,0.48,7.125
1980-03-21,3.4,0.48,7.083333333333333
1980-03-24,3.38,0.48,7.041666666666667
1980-03-25,3.34,0.48,6.958333333333333
1980-03-26,3.34,0.48,6.958333333333333
1980-03-27,3.21,0.48,6.6875
1980-03-28,3.38,0.48,7.041666666666667
1980-03-31,3.38,0.48,7.041666666666667
1980-04-01,3.31,0.48,6.895833333333334
1980-04-02,3.38,0.48,7.041666666666667
1980-04-03,3.29,0.48,6.854166666666667
1980-04-07,3.23,0.48,6.729166666666667
1980-04-08,3.31,0.48,6.895833333333334
1980-04-09,3.29,0.48,6.854166666666667
1980-04-10,3.36,0.48,7.0
1980-04-11,3.29,0.48,6.854166666666667
1980-04-14,3.27,0.48,6.8125
1980-04-15,3.25,0.48,6.770833333333334
1980-04-16,3.23,0.48,6.729166666666667
1980-04-17,3.21,0.48,6.6875
1980-04-18,3.14,0.48,6.541666666666667
1980-04-21,3.05,0.48,6.354166666666667
1980-04-22,3.23,0.48,6.729166666666667
1980-04-23,3.27,0.48,6.8125
1980-04-24,3.23,0.48,6.729166666666667
1980-04-25,3.14,0.48,6.541666666666667
1980-04-28,3.18,0.48,6.625000000000001
1980-04-29,3.18,0.48,6.625000000000001
1980-04-30,3.18,0.48,6.625000000000001
1980-05-01,3.16,0.48,6.583333333333334
1980-05-02,3.16,0.48,6.583333333333334
1980-05-05,3.23,0.48,6.729166666666667
1980-05-06,3.31,0.48,6.895833333333334
1980-05-07,3.36,0.48,7.0
1980-05-08,3.36,0.48,7.0
1980-05-09,3.31,0.48,6.895833333333334
1980-05-12,3.29,0.48,6.854166666666667
1980-05-13,3.29,0.48,6.854166666666667
1980-05-14,3.45,0.48,7.187500000000001
1980-05-15,3.62,0.48,7.541666666666667
1980-05-16,3.58,0.48,7.458333333333334
1980-05-19,3.55,0.48,7.395833333333333
1980-05-20,3.62,0.48,7.541666666666667
1980-05-21,3.64,0.48,7.583333333333334
1980-05-22,3.6,0.48,7.500000000000001
1980-05-23,3.71,0.48,7.729166666666667
1980-05-27,3.66,0.48,7.625000000000001
1980-05-28,3.66,0.48,7.625000000000001
1980-05-29,3.55,0.48,7.395833333333333
1980-05-30,3.58,0.48,7.458333333333334
1980-06-02,3.62,0.48,7.541666666666667
1980-06-03,3.58,0.48,7.458333333333334
1980-06-04,3.62,0.48,7.541666666666667
1980-06-05,3.66,0.48,7.625000000000001
1980-06-06,3.66,0.48,7.625000000000001
1980-06-09,3.66,0.48,7.625000000000001
1980-06-10,3.66,0.48,7.625000000000001
1980-06-11,3.66,0.48,7.625000000000001
1980-06-12,3.71,0.48,7.729166666666667
1980-06-13,3.66,0.48,7.625000000000001
1980-06-16,3.71,0.48,7.729166666666667
1980-06-17,3.69,0.48,7.6875
1980-06-18,3.66,0.48,7.625000000000001
1980-06-19,3.66,0.48,7.625000000000001
1980-06-20,3.64,0.48,7.583333333333334
1980-06-23,3.64,0.48,7.583333333333334
1980-06-24,3.64,0.48,7.583333333333334
1980-06-25,3.66,0.48,7.625000000000001
1980-06-26,3.71,0.48,7.729166666666667
1980-06-27,3.69,0.48,7.6875
1980-06-30,3.73,0.48,7.770833333333334
1980-07-01,3.77,0.48,7.854166666666667
1980-07-02,3.77,0.48,7.854166666666667
1980-07-03,3.99,0.48,8.3125
1980-07-07,4.03,0.48,8.395833333333334
1980-07-08,4.08,0.48,8.5
1980-07-09,4.1,0.48,8.541666666666666
1980-07-10,4.1,0.48,8.541666666666666
1980-07-11,4.12,0.48,8.583333333333334
1980-07-14,4.1,0.48,8.541666666666666
1980-07-15,4.12,0.48,8.583333333333334
1980-07-16,4.12,0.48,8.583333333333334
1980-07-17,4.14,0.48,8.625
1980-07-18,4.27,0.48,8.895833333333332
1980-07-21,4.45,0.48,9.270833333333334
1980-07-22,4.45,0.48,9.270833333333334
1980-07-23,4.47,0.48,9.3125
1980-07-24,4.51,0.48,9.395833333333334
1980-07-25,4.54,0.48,9.458333333333334
1980-07-28,4.51,0.48,9.395833333333334
1980-07-29,4.54,0.48,9.458333333333334
1980-07-30,4.67,0.48,9.729166666666666
1980-07-31,4.73,0.48,9.854166666666668
1980-08-01,4.71,0.48,9.8125
1980-08-04,4.71,0.48,9.8125
1980-08-05,4.71,0.48,9.8125
1980-08-06,4.64,0.48,9.666666666666666
1980-08-07,4.69,0.48,9.770833333333334
1980-08-08,4.71,0.48,9.8125
1980-08-11,4.69,0.48,9.770833333333334
1980-08-12,4.64,0.48,9.666666666666666
1980-08-13,4.73,0.48,9.854166666666668
1980-08-14,4.71,0.48,9.8125
1980-08-15,4.64,0.48,9.666666666666666
1980-08-18,4.49,0.48,9.354166666666668
1980-08-19,4.47,0.48,9.3125
1980-08-20,4.49,0.48,9.354166666666668
1980-08-21,4.49,0.48,9.354166666666668
1980-08-22,4.47,0.48,9.3125
1980-08-25,4.47,0.48,9.3125
1980-08-26,4.49,0.48,9.354166666666668
1980-08-27,4.43,0.48,9.229166666666666
1980-08-28,4.4,0.48,9.166666666666668
1980-08-29,4.4,0.48,9.166666666666668
1980-09-02,4.43,0.48,9.229166666666666
1980-09-03,4.71,0.48,9.8125
1980-09-04,4.8,0.48,10.0
1980-09-05,4.8,0.48,10.0
1980-09-08,4.82,0.48,10.041666666666668
1980-09-09,4.84,0.48,10.083333333333334
1980-09-10,4.97,0.48,10.354166666666666
1980-09-11,5.12,0.48,10.666666666666668
1980-09-12,5.26,0.48,10.958333333333334
1980-09-15,5.21,0.48,10.854166666666668
1980-09-16,5.3,0.48,11.041666666666666
1980-09-17,5.28,0.48,11.000000000000002
1980-09-18,5.34,0.48,11.125
1980-09-19,5.36,0.48,11.166666666666668
1980-09-22,5.36,0.48,11.166666666666668
1980-09-23,5.04,0.48,10.5
1980-09-24,5.06,0.48,10.541666666666666
1980-09-25,5.17,0.48,10.770833333333334
1980-09-26,5.06,0.48,10.541666666666666
1980-09-29,4.78,0.48,9.958333333333334
1980-09-30,4.88,0.48,10.166666666666666
1980-10-01,4.86,0.48,10.125000000000002
1980-10-02,4.84,0.48,10.083333333333334
1980-10-03,4.95,0.48,10.3125
1980-10-06,4.99,0.48,10.395833333333334
1980-10-07,5.19,0.48,10.812500000000002
1980-10-08,5.3,0.48,11.041666666666666
1980-10-09,5.32,0.48,11.083333333333334
1980-10-10,5.47,0.48,11.395833333333334
1980-10-13,5.56,0.48,11.583333333333332
1980-10-14,5.71,0.48,11.895833333333334
1980-10-15,5.93,0.48,12.354166666666666
1980-10-16,6.13,0.48,12.770833333333334
1980-10-17,6.06,0.48,12.625
1980-10-20,6.06,0.48,12.625
1980-10-21,6.17,0.48,12.854166666666668
1980-10-22,6.28,0.48,13.083333333333334
1980-10-23,6.35,0.48,13.229166666666666
1980-10-24,6.21,0.48,12.9375
1980-10-27,6.24,0.48,13.000000000000002
1980-10-28,6.15,0.48,12.812500000000002
1980-10-29,6.02,0.48,12.541666666666666
1980-10-30,5.97,0.48,12.4375
1980-10-31,5.97,0.48,12.4375
1980-11-03,6.0,0.48,12.5
1980-11-05,6.06,0.48,12.625
1980-11-06,5.97,0.48,12.4375
1980-11-07,5.74,0.48,11.958333333333334
1980-11-10,5.89,0.48,12.270833333333334
1980-11-11,6.02,0.48,12.541666666666666
1980-11-12,6.13,0.48,12.770833333333334
1980-11-13,6.11,0.48,12.729166666666668
1980-11-14,6.0,0.48,12.5
1980-11-17,5.82,0.48,12.125000000000002
1980-11-18,5.91,0.48,12.3125
1980-11-19,5.91,0.48,12.3125
1980-11-20,5.87,0.48,12.229166666666668
1980-11-21,5.84,0.48,12.166666666666666
1980-11-24,5.71,0.48,11.895833333333334
1980-11-25,5.74,0.48,11.958333333333334
1980-11-26,5.71,0.48,11.895833333333334
1980-11-28,5.71,0.48,11.895833333333334
1980-12-01,5.65,0.48,11.770833333333334
1980-12-02,5.65,0.48,11.770833333333334
1980-12-03,5.6,0.48,11.666666666666666
1980-12-04,5.56,0.48,11.583333333333332
1980-12-05,5.36,0.48,11.166666666666668
1980-12-08,4.93,0.48,10.270833333333334
1980-12-09,5.17,0.48,10.770833333333334
1980-12-10,5.17,0.48,10.770833333333334
1980-12-11,5.17,0.48,10.770833333333334
1980-12-12,5.26,0.48,10.958333333333334
1980-12-15,5.26,0.48,10.958333333333334
1980-12-16,5.28,0.48,11.000000000000002
1980-12-17,5.58,0.48,11.625
1980-12-18,5.6,0.48,11.666666666666666
1980-12-19,5.67,0.48,11.8125
1980-12-22,5.78,0.48,12.041666666666668
1980-12-23,5.89,0.48,12.270833333333334
1980-12-24,5.82,0.48,12.125000000000002
1980-12-26,5.87,0.48,12.229166666666668
1980-12-29,5.82,0.48,12.125000000000002
1980-12-30,5.78,0.48,12.041666666666668
1980-12-31,5.71,0.48,11.895833333333334
1981-01-02,5.54,0.48,11.541666666666668
1981-01-05,5.52,0.48,11.5
1981-01-06,5.5,0.48,11.458333333333334
1981-01-07,5.41,0.48,11.270833333333334
1981-01-08,5.34,0.48,11.125
1981-01-09,5.45,0.48,11.354166666666668
1981-01-12,5.5,0.48,11.458333333333334
1981-01-13,5.5,0.48,11.458333333333334
1981-01-14,5.5,0.48,11.458333333333334
1981-01-15,5.58,0.48,11.625
1981-01-16,5.65,0.48,11.770833333333334
1981-01-19,5.65,0.48,11.770833333333334
1981-01-20,5.6,0.48,11.666666666666666
1981-01-21,5.54,0.48,11.541666666666668
1981-01-22,5.56,0.48,11.583333333333332
1981-01-23,5.56,0.48,11.583333333333332
1981-01-26,5.65,0.48,11.770833333333334
1981-01-27,5.65,0.48,11.770833333333334
1981-01-28,5.87,0.48,12.229166666666668
1981-01-29,5.84,0.48,12.166666666666666
1981-01-30,5.8,0.48,12.083333333333334
1981-02-02,5.71,0.48,11.895833333333334
1981-02-03,5.76,0.48,12.0
1981-02-04,5.65,0.48,11.770833333333334
1981-02-05,5.76,0.48,12.0
1981-02-06,5.84,0.48,12.166666666666666
1981-02-09,5.78,0.48,12.041666666666668
1981-02-10,5.78,0.48,12.041666666666668
1981-02-11,5.56,0.48,11.583333333333332
1981-02-12,5.47,0.48,11.395833333333334
1981-02-13,5.39,0.48,11.229166666666666
1981-02-17,5.36,0.48,11.166666666666668
1981-02-18,5.34,0.48,11.125
1981-02-19,5.3,0.48,11.041666666666666
1981-02-20,5.21,0.48,10.854166666666668
1981-02-23,5.28,0.48,11.000000000000002
1981-02-24,5.43,0.48,11.3125
1981-02-25,5.45,0.48,11.354166666666668
1981-02-26,5.45,0.48,11.354166666666668
1981-02-27,5.47,0.48,11.395833333333334
1981-03-02,5.45,0.48,11.354166666666668
1981-03-03,5.6,0.48,11.666666666666666
1981-03-04,5.63,0.48,11.729166666666666
1981-03-05,5.65,0.48,11.770833333333334
1981-03-06,5.6,0.48,11.666666666666666
1981-03-09,5.69,0.48,11.854166666666668
1981-03-10,5.58,0.48,11.625
1981-03-11,5.58,0.48,11.625
1981-03-12,5.65,0.48,11.770833333333334
1981-03-13,5.8,0.48,12.083333333333334
1981-03-16,5.87,0.48,12.229166666666668
1981-03-17,5.84,0.48,12.166666666666666
1981-03-18,5.93,0.48,12.354166666666666
1981-03-19,5.97,0.48,12.4375
1981-03-20,5.89,0.48,12.270833333333334
1981-03-23,5.89,0.48,12.270833333333334
1981-03-24,5.89,0.48,12.270833333333334
1981-03-25,6.06,0.48,12.625
1981-03-26,6.04,0.48,12.583333333333334
1981-03-27,6.11,0.48,12.729166666666668
1981-03-30,6.13,0.48,12.770833333333334
1981-03-31,6.32,0.48,13.166666666666668
1981-04-01,6.24,0.48,13.000000000000002
1981-04-02,6.28,0.48,13.083333333333334
1981-04-03,6.32,0.48,13.166666666666668
1981-04-06,6.3,0.48,13.125
1981-04-07,6.35,0.48,13.229166666666666
1981-04-08,6.32,0.48,13.166666666666668
1981-04-09,6.35,0.48,13.229166666666666
1981-04-10,6.52,0.48,13.583333333333332
1981-04-13,6.39,0.48,13.3125
1981-04-14,6.41,0.48,13.354166666666668
1981-04-15,6.41,0.48,13.354166666666668
1981-04-16,6.52,0.48,13.583333333333332
1981-04-20,6.65,0.48,13.854166666666668
1981-04-21,6.67,0.48,13.895833333333334
1981-04-22,6.63,0.48,13.8125
1981-04-23,6.54,0.48,13.625
1981-04-24,6.56,0.48,13.666666666666666
1981-04-27,6.54,0.48,13.625
1981-04-28,6.56,0.48,13.666666666666666
1981-04-29,6.52,0.48,13.583333333333332
1981-04-30,6.52,0.48,13.583333333333332
1981-05-01,6.32,0.48,13.166666666666668
1981-05-04,6.17,0.48,12.854166666666668
1981-05-05,5.89,0.48,12.270833333333334
1981-05-06,5.91,0.48,12.3125
1981-05-07,6.06,0.48,12.625
1981-05-08,6.35,0.48,13.229166666666666
1981-05-11,6.17,0.48,12.854166666666668
1981-05-12,6.24,0.48,13.000000000000002
