date,FOX,FOX_EPS,PE Ratio
,,-2.43,
2019-03-13,39.2,-2.43,-16.131687242798353
2019-03-14,39.96,-2.43,-16.444444444444443
2019-03-15,41.02,-2.43,-16.88065843621399
2019-03-18,40.86,-2.43,-16.814814814814813
2019-03-19,39.55,-2.43,-16.27572016460905
2019-03-20,37.6,-2.43,-15.473251028806583
2019-03-21,38.88,-2.43,-16.0
2019-03-22,37.46,-2.43,-15.415637860082304
2019-03-25,36.45,-2.43,-15.0
2019-03-26,36.71,-2.43,-15.106995884773662
2019-03-27,36.2,-2.43,-14.897119341563787
2019-03-28,35.67,-2.43,-14.679012345679013
2019-03-29,35.88,-2.43,-14.765432098765432
2019-04-01,36.15,-2.43,-14.87654320987654
2019-04-02,35.7,-2.43,-14.691358024691358
2019-04-03,35.5,-2.43,-14.609053497942385
2019-04-04,36.03,-2.43,-14.82716049382716
2019-04-05,36.98,-2.43,-15.21810699588477
2019-04-08,36.85,-2.43,-15.164609053497943
2019-04-09,36.89,-2.43,-15.181069958847736
2019-04-10,35.93,-2.43,-14.786008230452675
2019-04-11,36.41,-2.43,-14.983539094650203
2019-04-12,36.95,-2.43,-15.205761316872428
2019-04-15,36.98,-2.43,-15.21810699588477
2019-04-16,37.21,-2.43,-15.31275720164609
2019-04-17,38.21,-2.43,-15.724279835390945
2019-04-18,37.92,-2.43,-15.604938271604938
2019-04-22,37.24,-2.43,-15.325102880658436
2019-04-23,37.6,-2.43,-15.473251028806583
2019-04-24,37.45,-2.43,-15.411522633744855
2019-04-25,37.64,-2.43,-15.489711934156379
2019-04-26,37.91,-2.43,-15.600823045267488
2019-04-29,38.73,-2.43,-15.938271604938269
2019-04-30,38.5,-2.43,-15.843621399176953
2019-05-01,38.74,-2.43,-15.94238683127572
2019-05-02,36.84,-2.43,-15.160493827160494
2019-05-03,37.02,-2.43,-15.234567901234568
2019-05-06,37.31,-2.43,-15.353909465020577
2019-05-07,36.7,-2.43,-15.102880658436215
2019-05-08,36.82,-2.43,-15.152263374485596
2019-05-09,37.97,-2.43,-15.625514403292179
2019-05-10,38.05,1.84,20.679347826086953
2019-05-13,37.5,1.84,20.380434782608695
2019-05-14,37.48,1.84,20.3695652173913
2019-05-15,37.23,1.84,20.23369565217391
2019-05-16,36.32,1.84,19.73913043478261
2019-05-17,36.83,1.84,20.016304347826086
2019-05-20,36.68,1.84,19.934782608695652
2019-05-21,37.18,1.84,20.206521739130434
2019-05-22,36.67,1.84,19.929347826086957
2019-05-23,36.51,1.84,19.842391304347824
2019-05-24,36.45,1.84,19.809782608695652
2019-05-28,36.16,1.84,19.652173913043477
2019-05-29,35.3,1.84,19.18478260869565
2019-05-30,34.81,1.84,18.918478260869566
2019-05-31,34.71,1.84,18.86413043478261
2019-06-03,33.78,1.84,18.358695652173914
2019-06-04,34.09,1.84,18.52717391304348
2019-06-05,34.02,1.84,18.48913043478261
2019-06-06,33.74,1.84,18.33695652173913
2019-06-07,33.68,1.84,18.304347826086957
2019-06-10,33.74,1.84,18.33695652173913
2019-06-11,33.83,1.84,18.38586956521739
2019-06-12,34.7,1.84,18.858695652173914
2019-06-13,34.94,1.84,18.989130434782606
2019-06-14,34.96,1.84,19.0
2019-06-17,35.8,1.84,19.456521739130434
2019-06-18,35.83,1.84,19.47282608695652
2019-06-19,35.74,1.84,19.42391304347826
2019-06-20,35.35,1.84,19.21195652173913
2019-06-21,35.88,1.84,19.5
