date,PM,PM_EPS,PE Ratio
,,0.62,
2008-03-17,49.39,0.62,79.66129032258064
2008-03-18,49.6,0.62,80.0
2008-03-19,50.1,0.62,80.80645161290323
2008-03-20,49.15,0.62,79.27419354838709
2008-03-24,51.0,0.62,82.25806451612904
2008-03-25,51.75,0.62,83.46774193548387
2008-03-26,50.3,0.62,81.12903225806451
2008-03-27,50.68,0.62,81.74193548387096
2008-03-28,51.06,0.62,82.35483870967742
2008-03-31,50.58,0.62,81.58064516129032
2008-04-01,50.58,0.62,81.58064516129032
2008-04-02,51.21,0.62,82.59677419354838
2008-04-03,51.05,0.62,82.33870967741935
2008-04-04,51.37,0.62,82.85483870967741
2008-04-07,50.67,0.62,81.72580645161291
2008-04-08,50.6,0.62,81.61290322580645
2008-04-09,49.38,0.62,79.64516129032259
2008-04-10,48.66,0.62,78.48387096774194
2008-04-11,48.33,0.62,77.95161290322581
2008-04-14,48.0,0.62,77.41935483870968
2008-04-15,48.2,0.62,77.74193548387098
2008-04-16,49.46,0.62,79.7741935483871
2008-04-17,49.85,0.62,80.40322580645162
2008-04-18,49.96,0.62,80.58064516129032
2008-04-21,50.63,0.62,81.66129032258065
2008-04-22,50.07,0.62,80.75806451612904
2008-04-23,52.0,0.62,83.87096774193549
2008-04-24,52.0,0.62,83.87096774193549
2008-04-25,51.3,0.62,82.74193548387096
2008-04-28,51.07,0.62,82.37096774193549
2008-04-29,52.01,0.62,83.88709677419355
2008-04-30,51.03,0.62,82.30645161290323
2008-05-01,50.75,0.62,81.85483870967742
2008-05-02,51.02,0.62,82.29032258064517
2008-05-05,50.81,0.62,81.95161290322581
2008-05-06,51.88,0.62,83.67741935483872
2008-05-07,51.69,0.62,83.37096774193549
2008-05-08,52.2,0.8,65.25
2008-05-09,51.83,0.8,64.7875
2008-05-12,52.47,0.8,65.58749999999999
2008-05-13,52.46,0.8,65.575
2008-05-14,52.67,0.8,65.83749999999999
2008-05-15,53.25,0.8,66.5625
2008-05-16,53.38,0.8,66.725
2008-05-19,53.63,0.8,67.0375
2008-05-20,52.91,0.8,66.13749999999999
2008-05-21,51.98,0.8,64.975
2008-05-22,52.28,0.8,65.35
2008-05-23,51.8,0.8,64.74999999999999
2008-05-27,51.63,0.8,64.5375
2008-05-28,51.16,0.8,63.949999999999996
2008-05-29,52.02,0.8,65.025
2008-05-30,52.66,0.8,65.82499999999999
2008-06-02,52.11,0.8,65.13749999999999
2008-06-03,51.67,0.8,64.58749999999999
2008-06-04,51.95,0.8,64.9375
2008-06-05,51.81,0.8,64.7625
2008-06-06,50.5,0.8,63.125
2008-06-09,49.49,0.8,61.8625
2008-06-10,49.49,0.8,61.8625
2008-06-11,49.86,0.8,62.324999999999996
2008-06-12,51.29,0.8,64.1125
2008-06-13,51.61,0.8,64.51249999999999
2008-06-16,50.73,0.8,63.412499999999994
2008-06-17,50.63,0.8,63.2875
2008-06-18,49.9,0.8,62.37499999999999
2008-06-19,50.4,0.8,62.99999999999999
2008-06-20,50.22,0.8,62.775
2008-06-23,50.64,0.8,63.3
2008-06-24,51.17,0.8,63.9625
2008-06-25,51.77,0.8,64.7125
2008-06-26,50.15,0.8,62.68749999999999
2008-06-27,49.83,0.8,62.287499999999994
2008-06-30,49.39,0.8,61.7375
2008-07-01,50.39,0.8,62.9875
2008-07-02,50.6,0.8,63.25
2008-07-03,51.47,0.8,64.33749999999999
2008-07-07,51.85,0.8,64.8125
2008-07-08,53.77,0.8,67.2125
2008-07-09,54.0,0.8,67.5
2008-07-10,53.44,0.8,66.8
2008-07-11,53.37,0.8,66.71249999999999
2008-07-14,53.56,0.8,66.95
2008-07-15,53.3,0.8,66.62499999999999
2008-07-16,52.92,0.8,66.14999999999999
2008-07-17,50.96,0.8,63.699999999999996
2008-07-18,50.72,0.8,63.4
2008-07-21,50.48,0.8,63.099999999999994
2008-07-22,52.05,0.8,65.06249999999999
2008-07-23,51.47,0.8,64.33749999999999
2008-07-24,52.46,0.8,65.575
2008-07-25,53.05,0.8,66.31249999999999
2008-07-28,52.62,0.8,65.77499999999999
2008-07-29,53.34,0.8,66.675
2008-07-30,53.37,0.8,66.71249999999999
2008-07-31,51.65,0.8,64.5625
2008-08-01,52.08,0.8,65.1
2008-08-04,53.72,0.8,67.14999999999999
2008-08-05,55.2,0.8,69.0
2008-08-06,55.53,0.8,69.4125
2008-08-07,54.64,0.78,70.05128205128204
2008-08-08,55.21,0.78,70.78205128205128
2008-08-11,55.75,0.78,71.47435897435898
2008-08-12,55.95,0.78,71.73076923076923
2008-08-13,55.54,0.78,71.2051282051282
2008-08-14,55.47,0.78,71.11538461538461
2008-08-15,55.57,0.78,71.24358974358974
2008-08-18,55.01,0.78,70.52564102564102
2008-08-19,54.51,0.78,69.88461538461537
2008-08-20,54.61,0.78,70.01282051282051
2008-08-21,54.82,0.78,70.28205128205128
2008-08-22,55.53,0.78,71.1923076923077
2008-08-25,54.87,0.78,70.34615384615384
2008-08-26,54.64,0.78,70.05128205128204
2008-08-27,54.1,0.78,69.35897435897436
2008-08-28,53.92,0.78,69.12820512820512
2008-08-29,53.7,0.78,68.84615384615385
2008-09-02,54.81,0.78,70.26923076923077
2008-09-03,54.07,0.78,69.32051282051282
2008-09-04,53.37,0.78,68.42307692307692
2008-09-05,54.0,0.78,69.23076923076923
2008-09-08,54.98,0.78,70.48717948717947
2008-09-09,54.78,0.78,70.23076923076923
2008-09-10,54.62,0.78,70.02564102564102
2008-09-11,54.81,0.78,70.26923076923077
2008-09-12,53.68,0.78,68.82051282051282
2008-09-15,52.82,0.78,67.71794871794872
2008-09-16,53.77,0.78,68.93589743589743
2008-09-17,48.98,0.78,62.79487179487179
2008-09-18,50.0,0.78,64.1025641025641
2008-09-19,51.42,0.78,65.92307692307692
2008-09-22,50.03,0.78,64.14102564102564
2008-09-23,49.25,0.78,63.14102564102564
2008-09-24,49.79,0.78,63.83333333333333
2008-09-25,51.61,0.78,66.16666666666666
2008-09-26,50.9,0.78,65.25641025641025
2008-09-29,46.8,0.78,59.99999999999999
2008-09-30,48.1,0.78,61.666666666666664
