date,BXP,BXP_EPS,PE Ratio
,,0.14,
1997-06-18,26.75,0.14,191.07142857142856
1997-06-19,26.63,0.14,190.2142857142857
1997-06-20,26.38,0.14,188.42857142857142
1997-06-23,26.13,0.14,186.6428571428571
1997-06-24,26.06,0.14,186.1428571428571
1997-06-25,26.44,0.14,188.85714285714286
1997-06-26,27.0,0.14,192.85714285714283
1997-06-27,26.88,0.14,191.99999999999997
1997-06-30,27.25,0.14,194.6428571428571
1997-07-01,26.63,0.14,190.2142857142857
1997-07-02,26.38,0.14,188.42857142857142
1997-07-03,26.63,0.14,190.2142857142857
1997-07-07,26.75,0.14,191.07142857142856
1997-07-08,26.69,0.14,190.64285714285714
1997-07-09,26.56,0.14,189.7142857142857
1997-07-10,26.38,0.14,188.42857142857142
1997-07-11,26.44,0.14,188.85714285714286
1997-07-14,26.75,0.14,191.07142857142856
1997-07-15,26.69,0.14,190.64285714285714
1997-07-16,26.88,0.14,191.99999999999997
1997-07-17,27.06,0.14,193.28571428571425
1997-07-18,26.63,0.14,190.2142857142857
1997-07-21,26.81,0.14,191.49999999999997
1997-07-22,26.81,0.14,191.49999999999997
1997-07-23,26.81,0.14,191.49999999999997
1997-07-24,27.06,0.14,193.28571428571425
1997-07-25,27.31,0.14,195.07142857142856
1997-07-28,27.31,0.14,195.07142857142856
1997-07-29,27.44,0.14,196.0
1997-07-30,27.56,0.14,196.85714285714283
1997-07-31,27.88,0.14,199.1428571428571
1997-08-01,27.88,0.14,199.1428571428571
1997-08-04,27.88,0.14,199.1428571428571
1997-08-05,28.13,0.14,200.92857142857142
1997-08-06,29.38,0.14,209.85714285714283
1997-08-07,29.25,0.14,208.92857142857142
1997-08-08,29.0,0.14,207.1428571428571
1997-08-11,28.19,0.14,201.35714285714286
1997-08-12,27.94,0.14,199.57142857142856
1997-08-13,27.69,0.14,197.78571428571428
1997-08-14,27.5,0.14,196.42857142857142
1997-08-15,27.63,0.14,197.35714285714283
1997-08-18,27.81,0.14,198.6428571428571
1997-08-19,28.25,0.14,201.78571428571428
1997-08-20,28.69,0.14,204.92857142857142
1997-08-21,29.0,0.14,207.1428571428571
1997-08-22,29.25,0.14,208.92857142857142
1997-08-25,29.31,0.14,209.35714285714283
1997-08-26,29.25,0.14,208.92857142857142
1997-08-27,29.31,0.14,209.35714285714283
1997-08-28,29.56,0.14,211.1428571428571
1997-08-29,29.81,0.14,212.9285714285714
1997-09-02,29.88,0.14,213.4285714285714
1997-09-03,29.94,0.14,213.85714285714283
1997-09-04,29.63,0.14,211.6428571428571
1997-09-05,30.88,0.14,220.57142857142856
1997-09-08,31.19,0.14,222.78571428571428
1997-09-09,31.0,0.14,221.42857142857142
1997-09-10,30.56,0.14,218.28571428571425
1997-09-11,30.13,0.14,215.2142857142857
1997-09-12,30.56,0.14,218.28571428571425
1997-09-15,31.0,0.14,221.42857142857142
1997-09-16,31.81,0.14,227.2142857142857
1997-09-17,31.75,0.14,226.78571428571428
1997-09-18,32.0,0.14,228.57142857142856
1997-09-19,32.0,0.14,228.57142857142856
1997-09-22,31.94,0.14,228.14285714285714
1997-09-23,31.56,0.14,225.4285714285714
1997-09-24,31.88,0.14,227.7142857142857
1997-09-25,32.13,0.14,229.5
1997-09-26,32.44,0.14,231.71428571428567
1997-09-29,33.25,0.14,237.49999999999997
1997-09-30,32.81,0.14,234.35714285714286
1997-10-01,33.75,0.14,241.07142857142856
1997-10-02,34.0,0.14,242.85714285714283
1997-10-03,33.94,0.14,242.4285714285714
1997-10-06,33.5,0.14,239.28571428571425
1997-10-07,32.81,0.14,234.35714285714286
1997-10-08,33.19,0.14,237.07142857142853
1997-10-09,32.81,0.14,234.35714285714286
1997-10-10,32.5,0.14,232.1428571428571
1997-10-13,32.75,0.14,233.92857142857142
1997-10-14,33.25,0.14,237.49999999999997
1997-10-15,33.31,0.14,237.92857142857142
1997-10-16,32.38,0.14,231.28571428571428
1997-10-17,32.0,0.14,228.57142857142856
1997-10-20,31.94,0.14,228.14285714285714
1997-10-21,31.5,0.14,224.99999999999997
1997-10-22,31.75,0.14,226.78571428571428
1997-10-23,31.19,0.14,222.78571428571428
1997-10-24,31.88,0.14,227.7142857142857
1997-10-27,30.88,0.14,220.57142857142856
1997-10-28,30.0,0.14,214.28571428571428
1997-10-29,30.81,0.14,220.07142857142856
1997-10-30,30.06,0.14,214.7142857142857
1997-10-31,32.0,0.14,228.57142857142856
1997-11-03,33.75,0.14,241.07142857142856
1997-11-04,34.06,0.14,243.28571428571428
1997-11-05,33.5,0.14,239.28571428571425
1997-11-06,33.75,0.14,241.07142857142856
1997-11-07,33.63,0.14,240.21428571428572
1997-11-10,33.06,0.14,236.14285714285714
1997-11-11,32.63,0.14,233.07142857142856
1997-11-12,32.44,0.14,231.71428571428567
1997-11-13,31.94,0.14,228.14285714285714
1997-11-14,33.25,0.35,95.0
1997-11-17,34.0,0.35,97.14285714285715
1997-11-18,34.0,0.35,97.14285714285715
1997-11-19,34.19,0.35,97.68571428571428
1997-11-20,34.38,0.35,98.22857142857144
1997-11-21,34.31,0.35,98.02857142857144
1997-11-24,34.0,0.35,97.14285714285715
1997-11-25,33.94,0.35,96.97142857142858
1997-11-26,32.75,0.35,93.57142857142858
1997-11-28,32.63,0.35,93.22857142857144
1997-12-01,33.25,0.35,95.0
1997-12-02,33.88,0.35,96.80000000000001
1997-12-03,34.38,0.35,98.22857142857144
1997-12-04,34.38,0.35,98.22857142857144
1997-12-05,33.94,0.35,96.97142857142858
1997-12-08,33.88,0.35,96.80000000000001
1997-12-09,34.38,0.35,98.22857142857144
1997-12-10,34.06,0.35,97.31428571428573
1997-12-11,33.88,0.35,96.80000000000001
1997-12-12,33.5,0.35,95.71428571428572
1997-12-15,34.06,0.35,97.31428571428573
1997-12-16,33.88,0.35,96.80000000000001
1997-12-17,34.38,0.35,98.22857142857144
1997-12-18,34.06,0.35,97.31428571428573
1997-12-19,34.0,0.35,97.14285714285715
1997-12-22,33.25,0.35,95.0
1997-12-23,32.88,0.35,93.94285714285715
1997-12-24,33.25,0.35,95.0
1997-12-26,33.19,0.35,94.82857142857142
1997-12-29,33.19,0.35,94.82857142857142
1997-12-30,33.69,0.35,96.25714285714285
1997-12-31,33.06,0.35,94.45714285714287
1998-01-02,33.19,0.35,94.82857142857142
1998-01-05,33.63,0.35,96.0857142857143
1998-01-06,33.69,0.35,96.25714285714285
1998-01-07,33.56,0.35,95.8857142857143
1998-01-08,33.69,0.35,96.25714285714285
1998-01-09,33.44,0.35,95.54285714285714
1998-01-12,33.0,0.35,94.28571428571429
1998-01-13,32.5,0.35,92.85714285714286
1998-01-14,32.88,0.35,93.94285714285715
1998-01-15,33.25,0.35,95.0
1998-01-16,34.5,0.35,98.57142857142858
1998-01-20,33.56,0.35,95.8857142857143
1998-01-21,34.13,0.35,97.51428571428573
1998-01-22,34.56,0.35,98.74285714285716
1998-01-23,34.94,0.35,99.82857142857142
1998-01-26,35.13,0.35,100.37142857142858
1998-01-27,35.56,0.35,101.60000000000001
1998-01-28,35.63,0.35,101.80000000000001
1998-01-29,35.75,0.35,102.14285714285715
1998-01-30,35.56,0.35,101.60000000000001
1998-02-02,35.88,0.35,102.51428571428573
1998-02-03,35.88,0.35,102.51428571428573
1998-02-04,35.69,0.35,101.97142857142858
1998-02-05,35.81,0.35,102.31428571428573
1998-02-06,35.75,0.35,102.14285714285715
1998-02-09,35.69,0.35,101.97142857142858
1998-02-10,35.56,0.35,101.60000000000001
1998-02-11,35.44,0.35,101.25714285714285
1998-02-12,35.31,0.35,100.8857142857143
1998-02-13,35.19,0.35,100.54285714285714
1998-02-17,35.13,0.35,100.37142857142858
1998-02-18,35.0,0.35,100.0
1998-02-19,35.0,0.35,100.0
1998-02-20,34.88,0.35,99.65714285714287
1998-02-23,34.88,0.35,99.65714285714287
1998-02-24,35.0,0.35,100.0
1998-02-25,34.75,0.35,99.28571428571429
1998-02-26,34.13,0.35,97.51428571428573
1998-02-27,34.0,0.35,97.14285714285715
1998-03-02,33.63,0.35,96.0857142857143
1998-03-03,33.13,0.35,94.65714285714287
1998-03-04,34.09,0.35,97.40000000000002
1998-03-05,34.31,0.35,98.02857142857144
1998-03-06,34.38,0.35,98.22857142857144
1998-03-09,34.31,0.35,98.02857142857144
1998-03-10,34.44,0.35,98.4
1998-03-11,34.25,0.35,97.85714285714286
1998-03-12,34.31,0.35,98.02857142857144
1998-03-13,34.25,0.35,97.85714285714286
1998-03-16,33.19,0.35,94.82857142857142
1998-03-17,33.0,0.35,94.28571428571429
1998-03-18,32.81,0.35,93.74285714285716
1998-03-19,32.88,0.35,93.94285714285715
1998-03-20,33.5,0.35,95.71428571428572
1998-03-23,34.0,0.35,97.14285714285715
1998-03-24,34.38,0.35,98.22857142857144
1998-03-25,34.31,0.35,98.02857142857144
1998-03-26,35.0,0.35,100.0
1998-03-27,35.19,0.35,100.54285714285714
1998-03-30,35.13,0.35,100.37142857142858
1998-03-31,35.19,0.35,100.54285714285714
1998-04-01,35.0,0.35,100.0
1998-04-02,35.25,0.35,100.71428571428572
1998-04-03,35.31,0.35,100.8857142857143
1998-04-06,34.75,0.35,99.28571428571429
1998-04-07,34.88,0.35,99.65714285714287
1998-04-08,34.5,0.35,98.57142857142858
1998-04-09,35.0,0.35,100.0
1998-04-13,34.75,0.35,99.28571428571429
1998-04-14,35.19,0.35,100.54285714285714
1998-04-15,35.56,0.35,101.60000000000001
1998-04-16,35.94,0.35,102.68571428571428
1998-04-17,35.25,0.35,100.71428571428572
1998-04-20,34.38,0.35,98.22857142857144
1998-04-21,34.0,0.35,97.14285714285715
1998-04-22,33.88,0.35,96.80000000000001
1998-04-23,33.25,0.35,95.0
1998-04-24,33.06,0.35,94.45714285714287
1998-04-27,32.63,0.35,93.22857142857144
1998-04-28,32.94,0.35,94.11428571428571
1998-04-29,33.69,0.35,96.25714285714285
1998-04-30,33.06,0.35,94.45714285714287
1998-05-01,33.06,0.35,94.45714285714287
1998-05-04,33.19,0.35,94.82857142857142
1998-05-05,33.38,0.35,95.37142857142858
1998-05-06,33.25,0.35,95.0
1998-05-07,33.38,0.35,95.37142857142858
1998-05-08,33.44,0.35,95.54285714285714
1998-05-11,33.44,0.35,95.54285714285714
1998-05-12,33.13,0.35,94.65714285714287
1998-05-13,34.0,0.35,97.14285714285715
1998-05-14,34.0,0.35,97.14285714285715
1998-05-15,34.44,0.36,95.66666666666666
1998-05-18,34.56,0.36,96.00000000000001
1998-05-19,34.56,0.36,96.00000000000001
1998-05-20,34.63,0.36,96.19444444444446
1998-05-21,34.44,0.36,95.66666666666666
1998-05-22,34.81,0.36,96.69444444444446
1998-05-26,34.44,0.36,95.66666666666666
1998-05-27,34.19,0.36,94.97222222222221
1998-05-28,34.06,0.36,94.61111111111111
1998-05-29,34.0,0.36,94.44444444444444
1998-06-01,33.88,0.36,94.11111111111113
1998-06-02,33.31,0.36,92.52777777777779
1998-06-03,33.44,0.36,92.88888888888889
1998-06-04,33.5,0.36,93.05555555555556
1998-06-05,33.06,0.36,91.83333333333334
1998-06-08,32.06,0.36,89.05555555555557
1998-06-09,32.31,0.36,89.75000000000001
1998-06-10,33.0,0.36,91.66666666666667
1998-06-11,33.06,0.36,91.83333333333334
1998-06-12,32.19,0.36,89.41666666666666
1998-06-15,32.19,0.36,89.41666666666666
1998-06-16,32.44,0.36,90.11111111111111
1998-06-17,32.63,0.36,90.6388888888889
1998-06-18,33.38,0.36,92.72222222222223
1998-06-19,34.0,0.36,94.44444444444444
1998-06-22,33.81,0.36,93.91666666666667
1998-06-23,34.13,0.36,94.80555555555557
1998-06-24,33.94,0.36,94.27777777777777
1998-06-25,33.94,0.36,94.27777777777777
1998-06-26,33.88,0.36,94.11111111111113
1998-06-29,34.0,0.36,94.44444444444444
1998-06-30,34.0,0.36,94.44444444444444
1998-07-01,34.31,0.36,95.30555555555557
1998-07-02,34.13,0.36,94.80555555555557
1998-07-06,34.5,0.36,95.83333333333334
1998-07-07,34.69,0.36,96.36111111111111
1998-07-08,34.5,0.36,95.83333333333334
1998-07-09,34.38,0.36,95.50000000000001
1998-07-10,34.19,0.36,94.97222222222221
1998-07-13,34.13,0.36,94.80555555555557
1998-07-14,33.63,0.36,93.41666666666667
1998-07-15,33.81,0.36,93.91666666666667
1998-07-16,33.5,0.36,93.05555555555556
1998-07-17,33.94,0.36,94.27777777777777
1998-07-20,33.63,0.36,93.41666666666667
1998-07-21,33.81,0.36,93.91666666666667
1998-07-22,33.75,0.36,93.75
1998-07-23,32.81,0.36,91.1388888888889
1998-07-24,33.31,0.36,92.52777777777779
1998-07-27,32.81,0.36,91.1388888888889
1998-07-28,32.13,0.36,89.25000000000001
1998-07-29,32.19,0.36,89.41666666666666
1998-07-30,32.06,0.36,89.05555555555557
1998-07-31,32.31,0.36,89.75000000000001
1998-08-03,31.75,0.36,88.19444444444444
1998-08-04,31.06,0.36,86.27777777777777
1998-08-05,30.69,0.36,85.25
1998-08-06,31.25,0.36,86.80555555555556
1998-08-07,31.69,0.36,88.02777777777779
1998-08-10,31.63,0.36,87.86111111111111
1998-08-11,31.63,0.36,87.86111111111111
1998-08-12,32.19,0.36,89.41666666666666
1998-08-13,32.0,0.36,88.88888888888889
1998-08-14,31.63,0.42,75.30952380952381
1998-08-17,31.75,0.42,75.5952380952381
1998-08-18,31.75,0.42,75.5952380952381
1998-08-19,31.94,0.42,76.04761904761905
1998-08-20,31.88,0.42,75.90476190476191
1998-08-21,31.63,0.42,75.30952380952381
1998-08-24,31.63,0.42,75.30952380952381
1998-08-25,31.63,0.42,75.30952380952381
1998-08-26,32.31,0.42,76.92857142857143
