date,WU,WU_EPS,PE Ratio
2006-10-02,19.76,,
2006-10-03,20.0,,
2006-10-04,19.78,,
2006-10-05,19.64,,
2006-10-06,19.57,,
2006-10-09,19.73,,
2006-10-10,19.71,,
2006-10-11,19.31,,
2006-10-12,19.03,,
2006-10-13,18.87,,
2006-10-16,18.74,,
2006-10-17,18.58,,
2006-10-18,19.0,,
2006-10-19,19.5,,
2006-10-20,19.63,,
2006-10-23,19.58,,
2006-10-24,19.95,,
2006-10-25,21.85,,
2006-10-26,22.34,,
2006-10-27,21.95,,
2006-10-30,22.11,,
2006-10-31,22.05,,
2006-11-01,21.97,,
2006-11-02,21.83,,
2006-11-03,21.54,,
2006-11-06,22.23,,
2006-11-07,22.5,,
2006-11-08,22.62,,
2006-11-09,23.28,,
2006-11-10,22.83,,
2006-11-13,23.24,,
2006-11-14,23.42,,
2006-11-15,23.35,,
2006-11-16,23.12,,
2006-11-17,22.68,,
2006-11-20,22.51,,
2006-11-21,22.55,,
2006-11-22,22.54,,
2006-11-24,22.36,,
2006-11-27,21.85,,
2006-11-28,21.62,,
2006-11-29,22.16,,
2006-11-30,22.8,,
2006-12-01,22.85,,
2006-12-04,23.5,,
2006-12-05,24.12,,
2006-12-06,23.45,,
2006-12-07,23.91,,
2006-12-08,23.85,,
2006-12-11,23.57,,
2006-12-12,23.3,,
2006-12-13,22.84,,
2006-12-14,22.77,,
2006-12-15,22.99,,
2006-12-18,22.88,,
2006-12-19,22.55,,
2006-12-20,22.39,,
2006-12-21,22.22,,
2006-12-22,21.98,,
2006-12-26,22.12,,
2006-12-27,22.5,,
2006-12-28,22.35,,
2006-12-29,22.42,,
2007-01-03,22.71,,
2007-01-04,22.91,,
2007-01-05,22.33,,
2007-01-08,21.96,,
2007-01-09,22.25,,
2007-01-10,22.46,,
2007-01-11,22.64,,
2007-01-12,22.79,,
2007-01-16,22.2,,
2007-01-17,21.72,,
2007-01-18,21.6,,
2007-01-19,21.41,,
2007-01-22,21.03,,
2007-01-23,21.8,,
2007-01-24,21.4,,
2007-01-25,21.07,,
2007-01-26,20.94,,
2007-01-29,21.19,,
2007-01-30,21.72,,
2007-01-31,22.34,,
2007-02-01,23.55,,
2007-02-02,23.02,,
2007-02-05,22.85,,
2007-02-06,22.53,,
2007-02-07,22.55,,
2007-02-08,22.1,,
2007-02-09,21.8,,
2007-02-12,21.97,,
2007-02-13,21.96,,
2007-02-14,22.32,,
2007-02-15,22.48,,
2007-02-16,22.15,,
2007-02-20,22.16,,
2007-02-21,22.14,,
2007-02-22,21.8,,
2007-02-23,21.89,,
2007-02-26,22.37,,
2007-02-27,21.65,1.2,18.041666666666668
2007-02-28,21.67,1.2,18.058333333333337
