date,EMR,EMR_EPS,PE Ratio
,,0.16,
1972-06-01,3.55,0.16,22.1875
1972-06-02,3.55,0.16,22.1875
1972-06-05,3.54,0.16,22.125
1972-06-06,3.54,0.16,22.125
1972-06-07,3.48,0.16,21.75
1972-06-08,3.49,0.16,21.8125
1972-06-09,3.5,0.16,21.875
1972-06-12,3.5,0.16,21.875
1972-06-13,3.5,0.16,21.875
1972-06-14,3.49,0.16,21.8125
1972-06-15,3.51,0.16,21.937499999999996
1972-06-16,3.46,0.16,21.625
1972-06-19,3.52,0.16,22.0
1972-06-20,3.53,0.16,22.0625
1972-06-21,3.57,0.16,22.3125
1972-06-22,3.56,0.16,22.25
1972-06-23,3.54,0.16,22.125
1972-06-26,3.52,0.16,22.0
1972-06-27,3.55,0.16,22.1875
1972-06-28,3.53,0.16,22.0625
1972-06-29,3.56,0.16,22.25
1972-06-30,3.55,0.16,22.1875
1972-07-03,3.54,0.16,22.125
1972-07-05,3.64,0.16,22.75
1972-07-06,3.68,0.16,23.0
1972-07-07,3.65,0.16,22.8125
1972-07-10,3.61,0.16,22.5625
1972-07-11,3.58,0.16,22.375
1972-07-12,3.57,0.16,22.3125
1972-07-13,3.57,0.16,22.3125
1972-07-14,3.58,0.16,22.375
1972-07-17,3.58,0.16,22.375
1972-07-18,3.6,0.16,22.5
1972-07-19,3.61,0.16,22.5625
1972-07-20,3.67,0.16,22.9375
1972-07-21,3.68,0.16,23.0
1972-07-24,3.76,0.16,23.499999999999996
1972-07-25,3.74,0.16,23.375
1972-07-26,3.73,0.16,23.3125
1972-07-27,3.75,0.16,23.4375
1972-07-28,3.72,0.16,23.25
1972-07-31,3.72,0.16,23.25
1972-08-01,3.74,0.16,23.375
1972-08-02,3.73,0.16,23.3125
1972-08-03,3.74,0.16,23.375
1972-08-04,3.74,0.16,23.375
1972-08-07,3.71,0.16,23.1875
1972-08-08,3.74,0.16,23.375
1972-08-09,3.77,0.16,23.5625
1972-08-10,3.78,0.16,23.625
1972-08-11,3.79,0.16,23.6875
1972-08-14,3.8,0.16,23.75
1972-08-15,3.8,0.16,23.75
1972-08-16,3.78,0.16,23.625
1972-08-17,3.73,0.16,23.3125
1972-08-18,3.73,0.16,23.3125
1972-08-21,3.74,0.16,23.375
1972-08-22,3.74,0.16,23.375
1972-08-23,3.7,0.16,23.125
1972-08-24,3.69,0.16,23.0625
1972-08-25,3.67,0.16,22.9375
1972-08-28,3.68,0.16,23.0
1972-08-29,3.69,0.16,23.0625
1972-08-30,3.69,0.16,23.0625
1972-08-31,3.73,0.16,23.3125
1972-09-01,3.72,0.16,23.25
1972-09-05,3.73,0.16,23.3125
1972-09-06,3.73,0.16,23.3125
1972-09-07,3.72,0.16,23.25
1972-09-08,3.71,0.16,23.1875
1972-09-11,3.64,0.16,22.75
1972-09-12,3.65,0.16,22.8125
1972-09-13,3.67,0.16,22.9375
1972-09-14,3.66,0.16,22.875
1972-09-15,3.57,0.16,22.3125
1972-09-18,3.57,0.16,22.3125
1972-09-19,3.56,0.16,22.25
1972-09-20,3.56,0.16,22.25
1972-09-21,3.56,0.16,22.25
1972-09-22,3.54,0.16,22.125
1972-09-25,3.55,0.16,22.1875
1972-09-26,3.54,0.16,22.125
1972-09-27,3.59,0.16,22.4375
1972-09-28,3.69,0.16,23.0625
1972-09-29,3.74,0.16,23.375
1972-10-02,3.68,0.16,23.0
