date,SHW,SHW_EPS,PE Ratio
,,0.24,
1989-09-19,8.28,0.24,34.5
1989-09-20,8.41,0.24,35.04166666666667
1989-09-21,8.25,0.24,34.375
1989-09-22,8.19,0.24,34.125
1989-09-25,8.28,0.24,34.5
1989-09-26,8.34,0.24,34.75
1989-09-27,8.25,0.24,34.375
1989-09-28,8.44,0.24,35.166666666666664
1989-09-29,8.41,0.24,35.04166666666667
1989-10-02,8.5,0.24,35.41666666666667
1989-10-03,8.5,0.24,35.41666666666667
1989-10-04,8.56,0.24,35.66666666666667
1989-10-05,8.63,0.24,35.958333333333336
1989-10-06,8.72,0.24,36.333333333333336
1989-10-09,8.69,0.24,36.208333333333336
1989-10-10,8.72,0.24,36.333333333333336
1989-10-11,8.69,0.24,36.208333333333336
1989-10-12,8.63,0.24,35.958333333333336
1989-10-13,8.28,0.24,34.5
1989-10-16,8.19,0.24,34.125
1989-10-17,8.0,0.24,33.333333333333336
1989-10-18,8.09,0.24,33.708333333333336
1989-10-19,8.22,0.24,34.25000000000001
1989-10-20,8.13,0.24,33.87500000000001
1989-10-23,8.13,0.24,33.87500000000001
1989-10-24,8.13,0.24,33.87500000000001
1989-10-25,8.0,0.24,33.333333333333336
1989-10-26,8.13,0.24,33.87500000000001
1989-10-27,8.0,0.24,33.333333333333336
1989-10-30,8.03,0.24,33.45833333333333
1989-10-31,8.22,0.24,34.25000000000001
1989-11-01,8.44,0.24,35.166666666666664
1989-11-02,8.47,0.24,35.29166666666667
1989-11-03,8.53,0.24,35.541666666666664
1989-11-06,8.5,0.24,35.41666666666667
1989-11-07,8.5,0.24,35.41666666666667
1989-11-08,8.5,0.24,35.41666666666667
1989-11-09,8.47,0.24,35.29166666666667
1989-11-10,8.44,0.24,35.166666666666664
1989-11-13,8.31,0.24,34.625
1989-11-14,8.38,0.24,34.91666666666667
1989-11-15,8.38,0.24,34.91666666666667
1989-11-16,8.38,0.24,34.91666666666667
1989-11-17,8.41,0.24,35.04166666666667
1989-11-20,8.38,0.24,34.91666666666667
1989-11-21,8.34,0.24,34.75
1989-11-22,8.44,0.24,35.166666666666664
1989-11-24,8.41,0.24,35.04166666666667
1989-11-27,8.44,0.24,35.166666666666664
1989-11-28,8.41,0.24,35.04166666666667
1989-11-29,8.44,0.24,35.166666666666664
1989-11-30,8.44,0.24,35.166666666666664
1989-12-01,8.5,0.24,35.41666666666667
1989-12-04,8.47,0.24,35.29166666666667
1989-12-05,8.34,0.24,34.75
1989-12-06,8.31,0.24,34.625
1989-12-07,8.31,0.24,34.625
1989-12-08,8.38,0.24,34.91666666666667
1989-12-11,8.34,0.24,34.75
