date,CHD,CHD_EPS,PE Ratio
,,0.02,
1989-09-19,1.16,0.02,57.99999999999999
1989-09-20,1.19,0.02,59.49999999999999
1989-09-21,1.2,0.02,60.0
1989-09-22,1.19,0.02,59.49999999999999
1989-09-25,1.21,0.02,60.5
1989-09-26,1.25,0.02,62.5
1989-09-27,1.26,0.02,63.0
1989-09-28,1.27,0.02,63.5
1989-09-29,1.28,0.02,64.0
1989-10-02,1.3,0.02,65.0
1989-10-03,1.35,0.02,67.5
1989-10-04,1.39,0.02,69.5
1989-10-05,1.42,0.02,71.0
1989-10-06,1.41,0.02,70.5
1989-10-09,1.41,0.02,70.5
1989-10-10,1.36,0.02,68.0
1989-10-11,1.4,0.02,70.0
1989-10-12,1.41,0.02,70.5
1989-10-13,1.32,0.02,66.0
1989-10-16,1.3,0.02,65.0
1989-10-17,1.28,0.02,64.0
1989-10-18,1.35,0.02,67.5
1989-10-19,1.38,0.02,69.0
1989-10-20,1.39,0.02,69.5
1989-10-23,1.33,0.02,66.5
1989-10-24,1.28,0.02,64.0
1989-10-25,1.28,0.02,64.0
1989-10-26,1.33,0.02,66.5
1989-10-27,1.3,0.02,65.0
1989-10-30,1.33,0.02,66.5
1989-10-31,1.32,0.02,66.0
1989-11-01,1.3,0.02,65.0
1989-11-02,1.32,0.02,66.0
1989-11-03,1.32,0.02,66.0
1989-11-06,1.3,0.02,65.0
1989-11-07,1.3,0.02,65.0
1989-11-08,1.3,0.02,65.0
1989-11-09,1.34,0.02,67.0
1989-11-10,1.38,0.02,69.0
1989-11-13,1.4,0.02,70.0
1989-11-14,1.36,0.02,68.0
1989-11-15,1.35,0.02,67.5
1989-11-16,1.38,0.02,69.0
1989-11-17,1.38,0.02,69.0
1989-11-20,1.39,0.02,69.5
1989-11-21,1.38,0.02,69.0
1989-11-22,1.38,0.02,69.0
1989-11-24,1.39,0.02,69.5
1989-11-27,1.4,0.02,70.0
1989-11-28,1.48,0.02,74.0
1989-11-29,1.46,0.02,73.0
1989-11-30,1.46,0.02,73.0
1989-12-01,1.47,0.02,73.5
1989-12-04,1.5,0.02,75.0
1989-12-05,1.49,0.02,74.5
1989-12-06,1.51,0.02,75.5
1989-12-07,1.48,0.02,74.0
1989-12-08,1.49,0.02,74.5
1989-12-11,1.48,0.02,74.0
1989-12-12,1.49,0.02,74.5
1989-12-13,1.48,0.02,74.0
1989-12-14,1.47,0.02,73.5
1989-12-15,1.49,0.02,74.5
1989-12-18,1.5,0.02,75.0
1989-12-19,1.49,0.02,74.5
1989-12-20,1.49,0.02,74.5
1989-12-21,1.48,0.02,74.0
1989-12-22,1.48,0.02,74.0
1989-12-26,1.48,0.02,74.0
1989-12-27,1.48,0.02,74.0
1989-12-28,1.5,0.02,75.0
1989-12-29,1.55,0.02,77.5
1990-01-02,1.53,0.02,76.5
1990-01-03,1.49,0.02,74.5
