date,HSY,HSY_EPS,PE Ratio
,,0.07,
1980-03-17,0.84,0.07,11.999999999999998
1980-03-18,0.85,0.07,12.14285714285714
1980-03-19,0.86,0.07,12.285714285714285
1980-03-20,0.86,0.07,12.285714285714285
1980-03-21,0.85,0.07,12.14285714285714
1980-03-24,0.84,0.07,11.999999999999998
1980-03-25,0.84,0.07,11.999999999999998
1980-03-26,0.84,0.07,11.999999999999998
1980-03-27,0.85,0.07,12.14285714285714
1980-03-28,0.84,0.07,11.999999999999998
1980-03-31,0.88,0.07,12.571428571428571
1980-04-01,0.89,0.07,12.714285714285714
1980-04-02,0.87,0.07,12.428571428571427
1980-04-03,0.85,0.07,12.14285714285714
1980-04-07,0.85,0.07,12.14285714285714
1980-04-08,0.84,0.07,11.999999999999998
1980-04-09,0.85,0.07,12.14285714285714
1980-04-10,0.85,0.07,12.14285714285714
1980-04-11,0.85,0.07,12.14285714285714
1980-04-14,0.86,0.07,12.285714285714285
1980-04-15,0.85,0.07,12.14285714285714
1980-04-16,0.85,0.07,12.14285714285714
1980-04-17,0.85,0.07,12.14285714285714
1980-04-18,0.85,0.07,12.14285714285714
1980-04-21,0.86,0.07,12.285714285714285
1980-04-22,0.84,0.07,11.999999999999998
1980-04-23,0.85,0.07,12.14285714285714
1980-04-24,0.86,0.07,12.285714285714285
1980-04-25,0.87,0.07,12.428571428571427
1980-04-28,0.9,0.07,12.857142857142856
1980-04-29,0.91,0.07,13.0
1980-04-30,0.9,0.07,12.857142857142856
1980-05-01,0.9,0.07,12.857142857142856
1980-05-02,0.9,0.07,12.857142857142856
1980-05-05,0.92,0.07,13.142857142857142
1980-05-06,0.92,0.07,13.142857142857142
1980-05-07,0.92,0.07,13.142857142857142
1980-05-08,0.92,0.07,13.142857142857142
1980-05-09,0.92,0.07,13.142857142857142
1980-05-12,0.92,0.07,13.142857142857142
1980-05-13,0.93,0.07,13.285714285714285
1980-05-14,0.93,0.07,13.285714285714285
1980-05-15,0.95,0.07,13.57142857142857
1980-05-16,0.94,0.07,13.428571428571427
1980-05-19,0.93,0.07,13.285714285714285
1980-05-20,0.93,0.07,13.285714285714285
1980-05-21,0.95,0.07,13.57142857142857
1980-05-22,0.97,0.07,13.857142857142856
1980-05-23,0.96,0.07,13.714285714285712
1980-05-27,0.94,0.07,13.428571428571427
1980-05-28,0.93,0.07,13.285714285714285
1980-05-29,0.96,0.07,13.714285714285712
1980-05-30,0.96,0.07,13.714285714285712
1980-06-02,0.97,0.07,13.857142857142856
1980-06-03,0.97,0.07,13.857142857142856
1980-06-04,0.96,0.07,13.714285714285712
1980-06-05,0.96,0.07,13.714285714285712
1980-06-06,0.99,0.07,14.14285714285714
1980-06-09,1.02,0.07,14.571428571428571
1980-06-10,1.03,0.07,14.714285714285714
1980-06-11,1.02,0.07,14.571428571428571
1980-06-12,1.0,0.07,14.285714285714285
1980-06-13,0.98,0.07,13.999999999999998
1980-06-16,0.98,0.07,13.999999999999998
1980-06-17,0.97,0.07,13.857142857142856
1980-06-18,0.96,0.07,13.714285714285712
1980-06-19,0.95,0.07,13.57142857142857
1980-06-20,0.93,0.07,13.285714285714285
1980-06-23,0.93,0.07,13.285714285714285
1980-06-24,0.96,0.07,13.714285714285712
1980-06-25,0.96,0.07,13.714285714285712
1980-06-26,0.98,0.07,13.999999999999998
1980-06-27,0.97,0.07,13.857142857142856
1980-06-30,1.0,0.07,14.285714285714285
1980-07-01,0.99,0.07,14.14285714285714
1980-07-02,0.98,0.07,13.999999999999998
1980-07-03,0.98,0.07,13.999999999999998
1980-07-07,1.01,0.07,14.428571428571427
1980-07-08,1.03,0.07,14.714285714285714
1980-07-09,1.08,0.07,15.428571428571429
1980-07-10,1.05,0.07,15.0
1980-07-11,1.02,0.07,14.571428571428571
1980-07-14,1.04,0.07,14.857142857142856
1980-07-15,1.03,0.07,14.714285714285714
1980-07-16,1.02,0.07,14.571428571428571
1980-07-17,1.01,0.07,14.428571428571427
1980-07-18,1.02,0.07,14.571428571428571
1980-07-21,1.04,0.07,14.857142857142856
1980-07-22,1.04,0.07,14.857142857142856
1980-07-23,1.06,0.07,15.142857142857142
1980-07-24,1.05,0.07,15.0
1980-07-25,1.05,0.07,15.0
1980-07-28,1.05,0.07,15.0
1980-07-29,1.05,0.07,15.0
1980-07-30,1.04,0.07,14.857142857142856
1980-07-31,1.03,0.07,14.714285714285714
1980-08-01,1.03,0.07,14.714285714285714
1980-08-04,1.04,0.07,14.857142857142856
1980-08-05,1.05,0.07,15.0
1980-08-06,1.06,0.07,15.142857142857142
1980-08-07,1.07,0.07,15.285714285714285
1980-08-08,1.05,0.07,15.0
1980-08-11,1.06,0.07,15.142857142857142
1980-08-12,1.07,0.07,15.285714285714285
1980-08-13,1.07,0.07,15.285714285714285
1980-08-14,1.06,0.07,15.142857142857142
1980-08-15,1.07,0.07,15.285714285714285
1980-08-18,1.06,0.07,15.142857142857142
1980-08-19,1.06,0.07,15.142857142857142
1980-08-20,1.06,0.07,15.142857142857142
1980-08-21,1.05,0.07,15.0
1980-08-22,1.06,0.07,15.142857142857142
1980-08-25,1.06,0.07,15.142857142857142
1980-08-26,1.06,0.07,15.142857142857142
1980-08-27,1.03,0.07,14.714285714285714
1980-08-28,1.04,0.07,14.857142857142856
1980-08-29,1.05,0.07,15.0
1980-09-02,1.05,0.07,15.0
1980-09-03,1.05,0.07,15.0
1980-09-04,1.05,0.07,15.0
1980-09-05,1.06,0.07,15.142857142857142
1980-09-08,1.06,0.07,15.142857142857142
1980-09-09,1.06,0.07,15.142857142857142
1980-09-10,1.06,0.07,15.142857142857142
1980-09-11,1.06,0.07,15.142857142857142
1980-09-12,1.07,0.07,15.285714285714285
1980-09-15,1.08,0.07,15.428571428571429
1980-09-16,1.07,0.07,15.285714285714285
1980-09-17,1.06,0.07,15.142857142857142
1980-09-18,1.06,0.07,15.142857142857142
1980-09-19,1.06,0.07,15.142857142857142
1980-09-22,1.05,0.07,15.0
1980-09-23,1.05,0.07,15.0
1980-09-24,1.04,0.07,14.857142857142856
1980-09-25,1.05,0.07,15.0
1980-09-26,1.05,0.07,15.0
1980-09-29,1.03,0.07,14.714285714285714
1980-09-30,1.05,0.07,15.0
1980-10-01,1.03,0.07,14.714285714285714
1980-10-02,1.04,0.07,14.857142857142856
1980-10-03,1.03,0.07,14.714285714285714
1980-10-06,1.04,0.07,14.857142857142856
1980-10-07,1.05,0.07,15.0
1980-10-08,1.04,0.07,14.857142857142856
1980-10-09,1.03,0.07,14.714285714285714
1980-10-10,1.03,0.07,14.714285714285714
1980-10-13,1.04,0.07,14.857142857142856
1980-10-14,1.04,0.07,14.857142857142856
1980-10-15,1.04,0.07,14.857142857142856
1980-10-16,1.04,0.07,14.857142857142856
1980-10-17,1.04,0.07,14.857142857142856
1980-10-20,1.04,0.07,14.857142857142856
1980-10-21,1.03,0.07,14.714285714285714
1980-10-22,1.03,0.07,14.714285714285714
1980-10-23,1.02,0.07,14.571428571428571
1980-10-24,1.01,0.07,14.428571428571427
1980-10-27,1.01,0.07,14.428571428571427
1980-10-28,1.0,0.07,14.285714285714285
1980-10-29,1.0,0.07,14.285714285714285
1980-10-30,1.01,0.07,14.428571428571427
1980-10-31,1.02,0.07,14.571428571428571
1980-11-03,1.02,0.07,14.571428571428571
1980-11-05,1.01,0.07,14.428571428571427
1980-11-06,0.97,0.07,13.857142857142856
1980-11-07,0.96,0.07,13.714285714285712
1980-11-10,0.96,0.07,13.714285714285712
1980-11-11,0.98,0.07,13.999999999999998
1980-11-12,1.0,0.07,14.285714285714285
1980-11-13,1.02,0.07,14.571428571428571
1980-11-14,1.01,0.07,14.428571428571427
