date,CBRE,CBRE_EPS,PE Ratio
2001-11-14,,0.17,
2002-03-27,,2.22,
2002-05-14,,-0.4,
2002-08-13,,0.08,
2002-11-14,,0.24,
2003-03-25,,1.25,
2003-05-14,,-0.01,
2003-08-14,,0.06,
2003-11-14,,-0.08,
2004-03-30,,0.03,
2004-05-17,,-0.05,
2004-06-10,6.12,-0.05,-122.39999999999999
2004-06-14,6.07,-0.05,-121.4
2004-06-15,6.25,-0.05,-125.0
2004-06-16,6.33,-0.05,-126.6
2004-06-17,6.35,-0.05,-126.99999999999999
2004-06-18,6.34,-0.05,-126.8
2004-06-21,6.36,-0.05,-127.2
2004-06-22,6.35,-0.05,-126.99999999999999
2004-06-23,6.3,-0.05,-125.99999999999999
2004-06-24,6.33,-0.05,-126.6
2004-06-25,6.33,-0.05,-126.6
2004-06-28,6.33,-0.05,-126.6
2004-06-29,6.37,-0.05,-127.39999999999999
2004-06-30,6.37,-0.05,-127.39999999999999
2004-07-01,6.37,-0.05,-127.39999999999999
2004-07-02,6.38,-0.05,-127.6
2004-07-06,6.36,-0.05,-127.2
2004-07-07,6.35,-0.05,-126.99999999999999
2004-07-08,6.35,-0.05,-126.99999999999999
2004-07-09,6.33,-0.05,-126.6
2004-07-12,6.3,-0.05,-125.99999999999999
2004-07-13,6.35,-0.05,-126.99999999999999
2004-07-14,6.37,-0.05,-127.39999999999999
2004-07-15,6.35,-0.05,-126.99999999999999
2004-07-16,6.3,-0.05,-125.99999999999999
2004-07-19,6.33,-0.05,-126.6
2004-07-20,6.33,-0.05,-126.6
2004-07-21,6.34,-0.05,-126.8
2004-07-22,6.41,-0.05,-128.2
2004-07-23,6.3,-0.05,-125.99999999999999
2004-07-26,6.26,-0.05,-125.19999999999999
2004-07-27,6.26,-0.05,-125.19999999999999
2004-07-28,6.29,-0.05,-125.8
2004-07-29,6.3,-0.05,-125.99999999999999
2004-07-30,6.31,-0.05,-126.19999999999999
2004-08-02,6.34,-0.05,-126.8
2004-08-03,6.39,-0.05,-127.79999999999998
2004-08-04,6.35,-0.05,-126.99999999999999
2004-08-05,6.57,-0.05,-131.4
2004-08-06,6.47,-0.05,-129.39999999999998
2004-08-09,6.36,0.05,127.2
2004-08-10,6.43,0.05,128.6
2004-08-11,6.43,0.05,128.6
2004-08-12,6.42,0.05,128.39999999999998
2004-08-13,6.4,0.05,128.0
2004-08-16,6.39,0.05,127.79999999999998
2004-08-17,6.28,0.05,125.6
2004-08-18,6.3,0.05,125.99999999999999
2004-08-19,6.37,0.05,127.39999999999999
2004-08-20,6.47,0.05,129.39999999999998
2004-08-23,6.39,0.05,127.79999999999998
2004-08-24,6.43,0.05,128.6
2004-08-25,6.45,0.05,129.0
2004-08-26,6.48,0.05,129.6
2004-08-27,6.44,0.05,128.8
2004-08-30,6.47,0.05,129.39999999999998
2004-08-31,6.5,0.05,130.0
2004-09-01,6.58,0.05,131.6
2004-09-02,6.66,0.05,133.2
2004-09-03,6.87,0.05,137.4
2004-09-07,6.91,0.05,138.2
2004-09-08,6.77,0.05,135.39999999999998
2004-09-09,7.13,0.05,142.6
2004-09-10,7.45,0.05,149.0
2004-09-13,7.52,0.05,150.39999999999998
2004-09-14,7.59,0.05,151.79999999999998
2004-09-15,7.5,0.05,150.0
2004-09-16,7.4,0.05,148.0
2004-09-17,7.33,0.05,146.6
2004-09-20,7.47,0.05,149.39999999999998
2004-09-21,7.45,0.05,149.0
2004-09-22,7.48,0.05,149.6
2004-09-23,7.65,0.05,153.0
2004-09-24,7.53,0.05,150.6
2004-09-27,7.54,0.05,150.79999999999998
2004-09-28,7.69,0.05,153.8
2004-09-29,7.88,0.05,157.6
2004-09-30,7.7,0.05,154.0
2004-10-01,7.84,0.05,156.79999999999998
2004-10-04,8.14,0.05,162.8
2004-10-05,8.08,0.05,161.6
2004-10-06,8.1,0.05,161.99999999999997
2004-10-07,8.24,0.05,164.79999999999998
2004-10-08,8.3,0.05,166.0
2004-10-11,8.44,0.05,168.79999999999998
2004-10-12,8.33,0.05,166.6
2004-10-13,8.27,0.05,165.39999999999998
2004-10-14,8.3,0.05,166.0
2004-10-15,8.04,0.05,160.79999999999998
2004-10-18,8.14,0.05,162.8
2004-10-19,8.15,0.05,163.0
2004-10-20,8.36,0.05,167.2
2004-10-21,8.44,0.05,168.79999999999998
2004-10-22,8.34,0.05,166.79999999999998
2004-10-25,8.39,0.05,167.8
2004-10-26,8.46,0.05,169.20000000000002
2004-10-27,8.72,0.05,174.4
2004-10-28,8.73,0.05,174.6
2004-10-29,8.63,0.05,172.6
2004-11-01,8.56,0.05,171.2
2004-11-02,8.63,0.05,172.6
2004-11-03,8.79,0.05,175.79999999999998
2004-11-04,8.88,0.05,177.6
2004-11-05,8.93,0.05,178.6
2004-11-08,8.96,0.05,179.20000000000002
2004-11-09,8.54,0.15,56.93333333333333
2004-11-10,8.7,0.15,58.0
2004-11-11,8.69,0.15,57.93333333333333
2004-11-12,8.8,0.15,58.66666666666667
2004-11-15,8.5,0.15,56.66666666666667
2004-11-16,8.62,0.15,57.46666666666666
2004-11-17,8.62,0.15,57.46666666666666
2004-11-18,8.59,0.15,57.266666666666666
2004-11-19,8.59,0.15,57.266666666666666
2004-11-22,8.68,0.15,57.86666666666667
2004-11-23,8.62,0.15,57.46666666666666
2004-11-24,8.79,0.15,58.599999999999994
2004-11-26,8.97,0.15,59.800000000000004
2004-11-29,8.94,0.15,59.6
2004-11-30,9.03,0.15,60.199999999999996
2004-12-01,9.63,0.15,64.2
2004-12-02,10.04,0.15,66.93333333333334
2004-12-03,10.27,0.15,68.46666666666667
2004-12-06,10.03,0.15,66.86666666666666
2004-12-07,9.35,0.15,62.333333333333336
2004-12-08,9.8,0.15,65.33333333333334
2004-12-09,9.94,0.15,66.26666666666667
2004-12-10,9.97,0.15,66.46666666666667
2004-12-13,9.91,0.15,66.06666666666668
2004-12-14,10.01,0.15,66.73333333333333
2004-12-15,10.11,0.15,67.4
2004-12-16,10.02,0.15,66.8
2004-12-17,9.93,0.15,66.2
2004-12-20,9.86,0.15,65.73333333333333
2004-12-21,10.07,0.15,67.13333333333334
2004-12-22,10.33,0.15,68.86666666666667
2004-12-23,10.79,0.15,71.93333333333334
2004-12-27,10.64,0.15,70.93333333333334
2004-12-28,10.75,0.15,71.66666666666667
2004-12-29,10.97,0.15,73.13333333333334
2004-12-30,11.3,0.15,75.33333333333334
2004-12-31,11.18,0.15,74.53333333333333
2005-01-03,10.98,0.15,73.2
2005-01-04,10.92,0.15,72.8
2005-01-05,10.61,0.15,70.73333333333333
2005-01-06,10.72,0.15,71.46666666666667
2005-01-07,10.73,0.15,71.53333333333335
2005-01-10,11.15,0.15,74.33333333333334
2005-01-11,10.92,0.15,72.8
2005-01-12,11.25,0.15,75.0
2005-01-13,11.22,0.15,74.80000000000001
2005-01-14,11.32,0.15,75.46666666666667
2005-01-18,11.61,0.15,77.4
2005-01-19,11.4,0.15,76.0
2005-01-20,11.07,0.15,73.80000000000001
2005-01-21,11.18,0.15,74.53333333333333
2005-01-24,11.11,0.15,74.06666666666666
2005-01-25,11.0,0.15,73.33333333333334
2005-01-26,11.2,0.15,74.66666666666667
2005-01-27,11.1,0.15,74.0
2005-01-28,11.15,0.15,74.33333333333334
2005-01-31,11.66,0.15,77.73333333333333
2005-02-01,11.83,0.15,78.86666666666667
2005-02-02,11.72,0.15,78.13333333333334
2005-02-03,12.52,0.15,83.46666666666667
2005-02-04,12.35,0.15,82.33333333333333
2005-02-07,12.04,0.15,80.26666666666667
2005-02-08,12.33,0.15,82.2
2005-02-09,12.25,0.15,81.66666666666667
2005-02-10,12.22,0.15,81.46666666666667
2005-02-11,12.63,0.15,84.2
2005-02-14,12.69,0.15,84.6
2005-02-15,12.59,0.15,83.93333333333334
2005-02-16,12.76,0.15,85.06666666666666
2005-02-17,12.57,0.15,83.80000000000001
2005-02-18,12.33,0.15,82.2
2005-02-22,12.27,0.15,81.8
2005-02-23,12.02,0.15,80.13333333333334
2005-02-24,12.18,0.15,81.2
2005-02-25,12.13,0.15,80.86666666666667
2005-02-28,12.03,0.15,80.2
2005-03-01,12.07,0.15,80.46666666666667
2005-03-02,12.17,0.15,81.13333333333334
2005-03-03,12.17,0.15,81.13333333333334
2005-03-04,12.33,0.15,82.2
2005-03-07,12.3,0.15,82.00000000000001
2005-03-08,12.02,0.15,80.13333333333334
2005-03-09,11.73,0.15,78.2
2005-03-10,11.57,0.15,77.13333333333334
2005-03-11,11.52,0.15,76.8
2005-03-14,11.5,0.15,76.66666666666667
2005-03-15,11.45,0.29,39.48275862068966
2005-03-16,11.52,0.29,39.724137931034484
2005-03-17,11.63,0.29,40.10344827586207
2005-03-18,11.65,0.29,40.17241379310345
2005-03-21,11.42,0.29,39.37931034482759
2005-03-22,11.67,0.29,40.24137931034483
2005-03-23,11.58,0.29,39.931034482758626
2005-03-24,11.85,0.29,40.862068965517246
2005-03-28,11.83,0.29,40.793103448275865
2005-03-29,11.42,0.29,39.37931034482759
2005-03-30,11.57,0.29,39.896551724137936
2005-03-31,11.66,0.29,40.20689655172414
2005-04-01,11.63,0.29,40.10344827586207
2005-04-04,11.4,0.29,39.31034482758621
2005-04-05,11.38,0.29,39.24137931034483
2005-04-06,11.28,0.29,38.89655172413793
2005-04-07,11.45,0.29,39.48275862068966
2005-04-08,11.39,0.29,39.27586206896552
2005-04-11,11.59,0.29,39.96551724137931
2005-04-12,11.66,0.29,40.20689655172414
2005-04-13,11.11,0.29,38.310344827586206
2005-04-14,11.25,0.29,38.793103448275865
2005-04-15,10.91,0.29,37.62068965517242
2005-04-18,10.88,0.29,37.51724137931035
2005-04-19,11.0,0.29,37.931034482758626
2005-04-20,11.11,0.29,38.310344827586206
2005-04-21,11.32,0.29,39.03448275862069
2005-04-22,11.47,0.29,39.55172413793104
2005-04-25,11.69,0.29,40.310344827586206
2005-04-26,11.49,0.29,39.62068965517242
2005-04-27,11.67,0.29,40.24137931034483
2005-04-28,10.99,0.29,37.896551724137936
2005-04-29,11.58,0.29,39.931034482758626
2005-05-02,11.76,0.29,40.55172413793104
2005-05-03,11.83,0.29,40.793103448275865
2005-05-04,11.77,0.29,40.58620689655172
2005-05-05,11.45,0.29,39.48275862068966
2005-05-06,11.46,0.29,39.51724137931035
2005-05-09,11.6,0.29,40.0
2005-05-10,11.4,0.08,142.5
2005-05-11,11.48,0.08,143.5
2005-05-12,11.37,0.08,142.125
2005-05-13,11.2,0.08,140.0
2005-05-16,11.3,0.08,141.25
2005-05-17,11.39,0.08,142.375
2005-05-18,11.8,0.08,147.5
2005-05-19,12.41,0.08,155.125
2005-05-20,12.4,0.08,155.0
2005-05-23,12.81,0.08,160.125
2005-05-24,12.97,0.08,162.125
2005-05-25,12.71,0.08,158.875
2005-05-26,12.9,0.08,161.25
2005-05-27,12.96,0.08,162.0
2005-05-31,12.82,0.08,160.25
2005-06-01,12.57,0.08,157.125
2005-06-02,12.87,0.08,160.875
2005-06-03,12.85,0.08,160.625
2005-06-06,13.01,0.08,162.625
2005-06-07,12.95,0.08,161.875
2005-06-08,12.99,0.08,162.375
2005-06-09,13.3,0.08,166.25
2005-06-10,12.98,0.08,162.25
2005-06-13,12.97,0.08,162.125
2005-06-14,12.91,0.08,161.375
2005-06-15,13.04,0.08,163.0
2005-06-16,13.07,0.08,163.375
2005-06-17,13.38,0.08,167.25
2005-06-20,13.8,0.08,172.5
2005-06-21,13.6,0.08,170.0
2005-06-22,13.67,0.08,170.875
2005-06-23,13.72,0.08,171.5
2005-06-24,14.12,0.08,176.5
2005-06-27,14.36,0.08,179.5
2005-06-28,14.67,0.08,183.375
2005-06-29,14.38,0.08,179.75
2005-06-30,14.62,0.08,182.75
2005-07-01,14.38,0.08,179.75
2005-07-05,14.6,0.08,182.5
2005-07-06,14.76,0.08,184.5
2005-07-07,14.77,0.08,184.625
2005-07-08,14.81,0.08,185.125
2005-07-11,15.11,0.08,188.875
2005-07-12,15.14,0.08,189.25
2005-07-13,14.53,0.08,181.625
2005-07-14,14.05,0.08,175.625
2005-07-15,14.05,0.08,175.625
2005-07-18,14.08,0.08,176.0
2005-07-19,14.5,0.08,181.25
2005-07-20,14.39,0.08,179.875
2005-07-21,14.18,0.08,177.25
2005-07-22,14.18,0.08,177.25
2005-07-25,14.12,0.08,176.5
2005-07-26,14.2,0.08,177.5
2005-07-27,14.9,0.08,186.25
2005-07-28,15.26,0.08,190.75
2005-07-29,15.35,0.08,191.875
2005-08-01,15.22,0.08,190.25
2005-08-02,15.36,0.08,192.0
2005-08-03,16.28,0.08,203.5
2005-08-04,15.99,0.08,199.875
2005-08-05,15.62,0.08,195.25
2005-08-08,15.34,0.08,191.75
2005-08-09,15.63,0.22,71.04545454545455
2005-08-10,15.74,0.22,71.54545454545455
2005-08-11,15.95,0.22,72.5
2005-08-12,15.9,0.22,72.27272727272728
2005-08-15,15.97,0.22,72.5909090909091
2005-08-16,16.01,0.22,72.77272727272728
