date,FB,FB_EPS,PE Ratio
2013-07-22,26.05,0.11,236.8181818181818
2013-07-23,26.13,0.11,237.54545454545453
2013-07-24,26.51,0.11,241.0
2013-07-25,34.36,0.13,264.3076923076923
2013-07-26,34.01,0.13,261.6153846153846
2013-07-29,35.43,0.13,272.53846153846155
2013-07-30,37.63,0.13,289.46153846153845
2013-07-31,36.8,0.13,283.07692307692304
2013-08-01,37.49,0.13,288.3846153846154
2013-08-02,38.05,0.13,292.6923076923077
2013-08-05,39.19,0.13,301.46153846153845
2013-08-06,38.55,0.13,296.5384615384615
2013-08-07,38.87,0.13,298.99999999999994
2013-08-08,38.54,0.13,296.46153846153845
2013-08-09,38.5,0.13,296.15384615384613
2013-08-12,38.22,0.13,294.0
2013-08-13,37.02,0.13,284.7692307692308
2013-08-14,36.65,0.13,281.9230769230769
2013-08-15,36.56,0.13,281.2307692307692
2013-08-16,37.08,0.13,285.2307692307692
2013-08-19,37.81,0.13,290.84615384615387
2013-08-20,38.41,0.13,295.46153846153845
2013-08-21,38.32,0.13,294.7692307692308
2013-08-22,38.55,0.13,296.5384615384615
2013-08-23,40.55,0.13,311.9230769230769
2013-08-26,41.34,0.13,318.0
2013-08-27,39.64,0.13,304.9230769230769
2013-08-28,40.55,0.13,311.9230769230769
2013-08-29,41.28,0.13,317.53846153846155
2013-08-30,41.29,0.13,317.6153846153846
2013-09-03,41.87,0.13,322.07692307692304
2013-09-04,41.78,0.13,321.38461538461536
2013-09-05,42.66,0.13,328.15384615384613
2013-09-06,43.95,0.13,338.0769230769231
2013-09-09,44.04,0.13,338.7692307692308
2013-09-10,43.6,0.13,335.38461538461536
2013-09-11,45.04,0.13,346.46153846153845
2013-09-12,44.75,0.13,344.2307692307692
2013-09-13,44.31,0.13,340.84615384615387
2013-09-16,42.51,0.13,327.0
2013-09-17,45.07,0.13,346.6923076923077
2013-09-18,45.23,0.13,347.9230769230769
2013-09-19,45.98,0.13,353.6923076923077
2013-09-20,47.49,0.13,365.3076923076923
2013-09-23,47.19,0.13,362.99999999999994
2013-09-24,48.45,0.13,372.6923076923077
2013-09-25,49.46,0.13,380.46153846153845
2013-09-26,50.39,0.13,387.6153846153846
2013-09-27,51.24,0.13,394.15384615384613
2013-09-30,50.23,0.13,386.38461538461536
2013-10-01,50.42,0.13,387.84615384615387
2013-10-02,50.28,0.13,386.7692307692308
2013-10-03,49.18,0.13,378.3076923076923
2013-10-04,51.04,0.13,392.6153846153846
2013-10-07,50.52,0.13,388.61538461538464
2013-10-08,47.14,0.13,362.6153846153846
2013-10-09,46.77,0.13,359.7692307692308
2013-10-10,49.05,0.13,377.30769230769226
2013-10-11,49.11,0.13,377.7692307692308
2013-10-14,49.51,0.13,380.8461538461538
2013-10-15,49.5,0.13,380.7692307692308
2013-10-16,51.14,0.13,393.38461538461536
2013-10-17,52.21,0.13,401.6153846153846
2013-10-18,54.22,0.13,417.07692307692304
2013-10-21,53.85,0.13,414.2307692307692
2013-10-22,52.68,0.13,405.2307692307692
2013-10-23,51.9,0.13,399.2307692307692
2013-10-24,52.45,0.13,403.46153846153845
2013-10-25,51.95,0.13,399.61538461538464
2013-10-28,50.23,0.13,386.38461538461536
2013-10-29,49.4,0.13,380.0
2013-10-30,49.01,0.13,377.0
2013-10-31,50.21,0.13,386.2307692307692
2013-11-01,49.75,0.17,292.6470588235294
2013-11-04,48.22,0.17,283.6470588235294
2013-11-05,50.11,0.17,294.7647058823529
2013-11-06,49.12,0.17,288.9411764705882
2013-11-07,47.56,0.17,279.7647058823529
2013-11-08,47.53,0.17,279.5882352941176
2013-11-11,46.2,0.17,271.7647058823529
2013-11-12,46.61,0.17,274.17647058823525
2013-11-13,48.71,0.17,286.52941176470586
2013-11-14,48.99,0.17,288.1764705882353
2013-11-15,49.01,0.17,288.2941176470588
2013-11-18,45.83,0.17,269.5882352941176
2013-11-19,46.36,0.17,272.70588235294116
2013-11-20,46.43,0.17,273.11764705882354
2013-11-21,46.7,0.17,274.70588235294116
2013-11-22,46.23,0.17,271.9411764705882
2013-11-25,44.82,0.17,263.6470588235294
2013-11-26,45.89,0.17,269.94117647058823
2013-11-27,46.49,0.17,273.4705882352941
2013-11-29,47.01,0.17,276.52941176470586
2013-12-02,47.06,0.17,276.8235294117647
2013-12-03,46.73,0.17,274.8823529411764
2013-12-04,48.62,0.17,285.99999999999994
2013-12-05,48.34,0.17,284.3529411764706
2013-12-06,47.94,0.17,281.99999999999994
2013-12-09,48.84,0.17,287.29411764705884
2013-12-10,50.25,0.17,295.5882352941176
2013-12-11,49.38,0.17,290.4705882352941
2013-12-12,51.83,0.17,304.88235294117646
2013-12-13,53.32,0.17,313.6470588235294
2013-12-16,53.81,0.17,316.52941176470586
2013-12-17,54.86,0.17,322.70588235294116
2013-12-18,55.57,0.17,326.88235294117646
2013-12-19,55.05,0.17,323.82352941176464
2013-12-20,55.12,0.17,324.235294117647
2013-12-23,57.77,0.17,339.8235294117647
2013-12-24,57.96,0.17,340.94117647058823
2013-12-26,57.73,0.17,339.5882352941176
2013-12-27,55.44,0.17,326.1176470588235
2013-12-30,53.71,0.17,315.94117647058823
2013-12-31,54.65,0.17,321.4705882352941
2014-01-02,54.71,0.17,321.8235294117647
2014-01-03,54.56,0.17,320.94117647058823
2014-01-06,57.2,0.17,336.4705882352941
2014-01-07,57.92,0.17,340.70588235294116
2014-01-08,58.23,0.17,342.52941176470586
2014-01-09,57.22,0.17,336.5882352941176
2014-01-10,57.94,0.17,340.8235294117647
2014-01-13,55.91,0.17,328.8823529411764
