date,DISCK,DISCK_EPS,PE Ratio
2008-09-18,8.0,,
2008-09-19,8.35,,
2008-09-22,8.44,,
2008-09-23,8.31,,
2008-09-24,7.93,,
2008-09-25,8.04,,
2008-09-26,7.75,,
2008-09-29,7.31,,
2008-09-30,7.08,,
2008-10-01,7.16,,
2008-10-02,6.7,,
2008-10-03,6.5,,
2008-10-06,6.24,,
2008-10-07,5.9,,
2008-10-08,5.61,,
2008-10-09,5.44,,
2008-10-10,5.22,,
2008-10-13,6.12,,
2008-10-14,6.55,,
2008-10-15,6.14,,
2008-10-16,5.95,,
2008-10-17,6.2,,
2008-10-20,6.37,,
2008-10-21,6.28,,
2008-10-22,5.9,,
2008-10-23,5.69,,
2008-10-24,4.9,,
2008-10-27,5.0,,
2008-10-28,5.28,,
2008-10-29,5.81,,
2008-10-30,6.3,,
2008-10-31,6.66,,
2008-11-03,6.53,,
2008-11-04,6.79,,
2008-11-05,6.63,,
2008-11-06,5.68,,
2008-11-07,6.76,,
2008-11-10,6.68,,
2008-11-11,6.57,,
2008-11-12,5.93,,
2008-11-13,6.5,,
2008-11-14,6.73,,
2008-11-17,6.29,,
2008-11-18,5.93,,
2008-11-19,5.88,,
2008-11-20,5.98,,
2008-11-21,6.17,,
2008-11-24,6.59,,
2008-11-25,6.36,,
2008-11-26,6.67,,
2008-11-28,7.57,,
2008-12-01,6.59,,
2008-12-02,6.55,,
2008-12-03,6.75,,
2008-12-04,6.2,,
2008-12-05,6.65,,
2008-12-08,7.11,,
2008-12-09,6.56,,
2008-12-10,6.47,,
2008-12-11,6.01,,
2008-12-12,6.26,,
2008-12-15,6.09,,
2008-12-16,6.22,,
2008-12-17,6.26,,
2008-12-18,6.69,,
2008-12-19,6.92,,
2008-12-22,6.61,,
2008-12-23,6.58,,
2008-12-24,6.55,,
2008-12-26,6.57,,
2008-12-29,6.57,,
2008-12-30,6.65,,
2008-12-31,6.7,,
2009-01-02,6.89,,
2009-01-05,7.04,,
2009-01-06,7.23,,
2009-01-07,6.9,,
2009-01-08,7.12,,
2009-01-09,7.21,,
2009-01-12,7.19,,
2009-01-13,7.4,,
2009-01-14,7.3,,
2009-01-15,7.24,,
2009-01-16,7.26,,
2009-01-20,6.71,,
2009-01-21,7.18,,
2009-01-22,7.2,,
2009-01-23,7.2,,
2009-01-26,7.1,,
2009-01-27,7.28,,
2009-01-28,7.3,,
2009-01-29,7.07,,
2009-01-30,7.19,,
2009-02-02,7.21,,
2009-02-03,7.09,,
2009-02-04,6.8,,
2009-02-05,6.69,,
2009-02-06,6.88,,
2009-02-09,6.88,,
2009-02-10,6.7,,
2009-02-11,6.78,,
2009-02-12,6.91,,
2009-02-13,6.89,,
2009-02-17,6.6,,
2009-02-18,6.5,,
2009-02-19,6.32,,
2009-02-20,6.13,,
2009-02-23,6.05,,
2009-02-24,6.34,,
2009-02-25,7.07,,
2009-02-26,7.02,0.85,8.258823529411764
2009-02-27,7.34,0.85,8.635294117647058
2009-03-02,7.26,0.85,8.541176470588235
2009-03-03,7.41,0.85,8.71764705882353
2009-03-04,7.25,0.85,8.529411764705882
2009-03-05,7.13,0.85,8.388235294117647
2009-03-06,6.99,0.85,8.223529411764707
2009-03-09,6.65,0.85,7.8235294117647065
2009-03-10,7.01,0.85,8.24705882352941
2009-03-11,7.13,0.85,8.388235294117647
2009-03-12,7.6,0.85,8.941176470588236
2009-03-13,7.69,0.85,9.047058823529412
2009-03-16,7.63,0.85,8.976470588235294
2009-03-17,7.63,0.85,8.976470588235294
2009-03-18,7.63,0.85,8.976470588235294
2009-03-19,7.42,0.85,8.729411764705883
2009-03-20,7.25,0.85,8.529411764705882
2009-03-23,7.59,0.85,8.929411764705883
2009-03-24,7.42,0.85,8.729411764705883
2009-03-25,7.39,0.85,8.694117647058823
2009-03-26,7.53,0.85,8.858823529411765
2009-03-27,7.4,0.85,8.705882352941178
2009-03-30,7.31,0.85,8.6
2009-03-31,7.33,0.85,8.623529411764705
2009-04-01,7.77,0.85,9.141176470588235
2009-04-02,8.18,0.85,9.623529411764705
2009-04-03,8.32,0.85,9.788235294117648
2009-04-06,8.24,0.85,9.694117647058825
2009-04-07,7.68,0.85,9.035294117647059
2009-04-08,7.83,0.85,9.211764705882354
2009-04-09,8.14,0.85,9.576470588235296
2009-04-13,8.08,0.85,9.505882352941176
2009-04-14,7.86,0.85,9.247058823529413
2009-04-15,7.91,0.85,9.305882352941177
2009-04-16,8.36,0.85,9.835294117647058
2009-04-17,8.4,0.85,9.882352941176471
2009-04-20,8.26,0.85,9.717647058823529
2009-04-21,8.42,0.85,9.905882352941177
2009-04-22,8.61,0.85,10.129411764705882
2009-04-23,8.32,0.85,9.788235294117648
2009-04-24,8.41,0.85,9.894117647058824
2009-04-27,8.53,0.85,10.035294117647059
2009-04-28,8.51,0.85,10.011764705882353
2009-04-29,9.07,0.85,10.670588235294119
2009-04-30,8.76,0.85,10.305882352941177
2009-05-01,8.65,0.85,10.176470588235295
2009-05-04,9.4,0.28,33.57142857142857
2009-05-05,9.95,0.28,35.53571428571428
2009-05-06,9.87,0.28,35.24999999999999
2009-05-07,9.48,0.28,33.857142857142854
2009-05-08,9.47,0.28,33.82142857142857
2009-05-11,9.5,0.28,33.92857142857142
2009-05-12,9.09,0.28,32.46428571428571
2009-05-13,8.96,0.28,32.0
2009-05-14,9.04,0.28,32.28571428571428
2009-05-15,9.05,0.28,32.32142857142857
2009-05-18,9.39,0.28,33.535714285714285
2009-05-19,9.64,0.28,34.42857142857143
2009-05-20,10.21,0.28,36.464285714285715
2009-05-21,10.01,0.28,35.74999999999999
2009-05-22,10.1,0.28,36.07142857142857
2009-05-26,10.13,0.28,36.17857142857143
2009-05-27,10.04,0.28,35.857142857142854
2009-05-28,10.22,0.28,36.5
2009-05-29,10.42,0.28,37.21428571428571
2009-06-01,10.4,0.28,37.14285714285714
2009-06-02,10.44,0.28,37.28571428571428
