date,NVDA,NVDA_EPS,PE Ratio
,,-0.01,
1999-01-22,1.64,-0.01,-164.0
1999-01-25,1.81,-0.01,-181.0
1999-01-26,1.67,-0.01,-167.0
1999-01-27,1.67,-0.01,-167.0
1999-01-28,1.66,-0.01,-166.0
1999-01-29,1.58,-0.01,-158.0
1999-02-01,1.61,-0.01,-161.0
1999-02-02,1.49,-0.01,-149.0
1999-02-03,1.52,-0.01,-152.0
1999-02-04,1.6,-0.01,-160.0
1999-02-05,1.65,-0.01,-165.0
1999-02-08,1.59,-0.01,-159.0
1999-02-09,1.53,-0.01,-153.0
1999-02-10,1.52,-0.01,-152.0
1999-02-11,1.65,-0.01,-165.0
1999-02-12,1.74,-0.01,-174.0
1999-02-16,1.75,-0.01,-175.0
1999-02-17,1.66,-0.01,-166.0
1999-02-18,1.68,-0.01,-168.0
1999-02-19,1.74,-0.01,-174.0
1999-02-22,1.75,-0.01,-175.0
1999-02-23,1.83,-0.01,-183.0
1999-02-24,1.98,-0.01,-198.0
1999-02-25,1.92,-0.01,-192.0
1999-02-26,1.83,-0.01,-183.0
1999-03-01,1.84,-0.01,-184.0
1999-03-02,1.82,-0.01,-182.0
1999-03-03,1.7,-0.01,-170.0
1999-03-04,1.66,-0.01,-166.0
1999-03-05,1.76,-0.01,-176.0
1999-03-08,1.78,-0.01,-178.0
1999-03-09,1.84,-0.01,-184.0
1999-03-10,1.81,-0.01,-181.0
1999-03-11,1.73,-0.01,-173.0
1999-03-12,1.7,-0.01,-170.0
1999-03-15,1.77,-0.01,-177.0
1999-03-16,1.71,-0.01,-171.0
1999-03-17,1.72,-0.01,-172.0
1999-03-18,1.74,-0.01,-174.0
1999-03-19,1.75,-0.01,-175.0
1999-03-22,1.7,-0.01,-170.0
1999-03-23,1.59,-0.01,-159.0
1999-03-24,1.58,-0.01,-158.0
1999-03-25,1.6,-0.01,-160.0
1999-03-26,1.74,-0.01,-174.0
1999-03-29,1.8,-0.01,-180.0
1999-03-30,1.65,-0.01,-165.0
1999-03-31,1.76,-0.01,-176.0
1999-04-01,1.71,-0.01,-171.0
1999-04-05,1.66,-0.01,-166.0
1999-04-06,1.61,-0.01,-161.0
1999-04-07,1.75,-0.01,-175.0
1999-04-08,1.78,-0.01,-178.0
1999-04-09,1.75,-0.01,-175.0
1999-04-12,1.68,-0.01,-168.0
1999-04-13,1.61,-0.01,-161.0
1999-04-14,1.56,-0.01,-156.0
1999-04-15,1.6,-0.01,-160.0
1999-04-16,1.66,-0.01,-166.0
1999-04-19,1.58,-0.01,-158.0
1999-04-20,1.55,-0.01,-155.0
1999-04-21,1.58,-0.01,-158.0
1999-04-22,1.51,-0.01,-151.0
1999-04-23,1.44,-0.01,-144.0
1999-04-26,1.36,-0.01,-136.0
1999-04-27,1.51,-0.01,-151.0
1999-04-28,1.5,-0.01,-150.0
1999-04-29,1.5,-0.01,-150.0
1999-04-30,1.52,-0.01,-152.0
1999-05-03,1.53,-0.01,-153.0
1999-05-04,1.45,-0.01,-145.0
1999-05-05,1.48,-0.01,-148.0
1999-05-06,1.45,-0.01,-145.0
1999-05-07,1.46,-0.01,-146.0
1999-05-10,1.46,-0.01,-146.0
1999-05-11,1.54,-0.01,-154.0
1999-05-12,1.58,-0.01,-158.0
1999-05-13,1.58,-0.01,-158.0
1999-05-14,1.5,-0.01,-150.0
1999-05-17,1.57,-0.01,-157.0
1999-05-18,1.65,-0.01,-165.0
1999-05-19,1.57,-0.01,-157.0
1999-05-20,1.45,-0.01,-145.0
1999-05-21,1.42,-0.01,-142.0
1999-05-24,1.41,-0.01,-141.0
1999-05-25,1.42,-0.01,-142.0
