date,ZBRA,ZBRA_EPS,PE Ratio
,,0.03,
1991-08-15,4.06,0.03,135.33333333333331
1991-08-16,4.0,0.03,133.33333333333334
1991-08-19,3.78,0.03,126.0
1991-08-20,3.72,0.03,124.00000000000001
1991-08-21,4.0,0.03,133.33333333333334
1991-08-22,4.11,0.03,137.00000000000003
1991-08-23,4.11,0.03,137.00000000000003
1991-08-26,4.0,0.03,133.33333333333334
1991-08-27,4.0,0.03,133.33333333333334
1991-08-28,4.0,0.03,133.33333333333334
1991-08-29,4.06,0.03,135.33333333333331
1991-08-30,4.11,0.03,137.00000000000003
1991-09-03,4.06,0.03,135.33333333333331
1991-09-04,4.06,0.03,135.33333333333331
1991-09-05,4.06,0.03,135.33333333333331
1991-09-06,3.92,0.03,130.66666666666666
1991-09-09,3.94,0.03,131.33333333333334
1991-09-10,3.83,0.03,127.66666666666667
1991-09-11,3.92,0.03,130.66666666666666
1991-09-12,3.94,0.03,131.33333333333334
1991-09-13,3.83,0.03,127.66666666666667
1991-09-16,3.97,0.03,132.33333333333334
1991-09-17,3.97,0.03,132.33333333333334
1991-09-18,3.92,0.03,130.66666666666666
1991-09-19,3.94,0.03,131.33333333333334
1991-09-20,4.06,0.03,135.33333333333331
1991-09-23,4.17,0.03,139.0
1991-09-24,4.06,0.03,135.33333333333331
1991-09-25,4.06,0.03,135.33333333333331
1991-09-26,4.06,0.03,135.33333333333331
1991-09-27,4.06,0.03,135.33333333333331
1991-09-30,3.92,0.03,130.66666666666666
1991-10-01,3.89,0.03,129.66666666666669
1991-10-02,3.94,0.03,131.33333333333334
1991-10-03,3.89,0.03,129.66666666666669
1991-10-04,3.67,0.03,122.33333333333333
1991-10-07,3.72,0.03,124.00000000000001
1991-10-08,3.67,0.03,122.33333333333333
1991-10-09,3.67,0.03,122.33333333333333
1991-10-10,3.72,0.03,124.00000000000001
1991-10-11,3.67,0.03,122.33333333333333
1991-10-14,3.67,0.03,122.33333333333333
1991-10-15,3.67,0.03,122.33333333333333
1991-10-16,3.72,0.03,124.00000000000001
