date,XEL,XEL_EPS,PE Ratio
,,0.56,
1973-02-21,7.25,0.56,12.94642857142857
1973-02-22,7.25,0.56,12.94642857142857
1973-02-23,7.22,0.56,12.89285714285714
1973-02-26,7.13,0.56,12.732142857142856
1973-02-27,7.13,0.56,12.732142857142856
1973-02-28,6.97,0.56,12.44642857142857
1973-03-01,7.0,0.56,12.499999999999998
1973-03-02,7.06,0.56,12.607142857142856
1973-03-05,7.0,0.56,12.499999999999998
1973-03-06,7.09,0.56,12.660714285714285
1973-03-07,7.0,0.56,12.499999999999998
1973-03-08,7.06,0.56,12.607142857142856
1973-03-09,7.06,0.56,12.607142857142856
1973-03-12,7.06,0.56,12.607142857142856
1973-03-13,7.13,0.56,12.732142857142856
1973-03-14,7.16,0.56,12.785714285714285
1973-03-15,7.13,0.56,12.732142857142856
1973-03-16,7.0,0.56,12.499999999999998
1973-03-19,6.94,0.56,12.392857142857142
1973-03-20,6.94,0.56,12.392857142857142
1973-03-21,6.97,0.56,12.44642857142857
1973-03-22,6.94,0.56,12.392857142857142
1973-03-23,7.06,0.56,12.607142857142856
1973-03-26,6.91,0.56,12.339285714285714
1973-03-27,6.94,0.56,12.392857142857142
1973-03-28,6.94,0.56,12.392857142857142
1973-03-29,6.94,0.56,12.392857142857142
1973-03-30,6.88,0.56,12.285714285714285
1973-04-02,6.91,0.56,12.339285714285714
1973-04-03,6.88,0.56,12.285714285714285
1973-04-04,6.84,0.56,12.214285714285714
1973-04-05,6.84,0.56,12.214285714285714
1973-04-06,6.78,0.56,12.107142857142856
1973-04-09,6.81,0.56,12.160714285714285
1973-04-10,6.94,0.56,12.392857142857142
1973-04-11,6.94,0.56,12.392857142857142
1973-04-12,7.03,0.56,12.553571428571427
1973-04-13,7.0,0.56,12.499999999999998
1973-04-16,7.06,0.56,12.607142857142856
1973-04-17,7.03,0.56,12.553571428571427
1973-04-18,7.03,0.56,12.553571428571427
1973-04-19,7.09,0.56,12.660714285714285
1973-04-23,7.13,0.56,12.732142857142856
1973-04-24,7.13,0.56,12.732142857142856
1973-04-25,7.03,0.56,12.553571428571427
1973-04-26,7.09,0.56,12.660714285714285
1973-04-27,7.09,0.56,12.660714285714285
1973-04-30,7.06,0.56,12.607142857142856
1973-05-01,7.13,0.56,12.732142857142856
1973-05-02,7.16,0.56,12.785714285714285
1973-05-03,7.16,0.56,12.785714285714285
1973-05-04,7.13,0.56,12.732142857142856
1973-05-07,7.19,0.56,12.839285714285714
1973-05-08,7.13,0.56,12.732142857142856
1973-05-09,7.0,0.56,12.499999999999998
1973-05-10,7.03,0.56,12.553571428571427
1973-05-11,7.06,0.56,12.607142857142856
1973-05-14,7.0,0.56,12.499999999999998
1973-05-15,7.0,0.56,12.499999999999998
1973-05-16,7.0,0.56,12.499999999999998
1973-05-17,7.0,0.56,12.499999999999998
1973-05-18,7.03,0.56,12.553571428571427
1973-05-21,7.06,0.56,12.607142857142856
1973-05-22,7.13,0.56,12.732142857142856
1973-05-23,7.19,0.56,12.839285714285714
1973-05-24,7.16,0.56,12.785714285714285
