date,TEL,TEL_EPS,PE Ratio
,,0.59,
2007-06-14,38.85,0.59,65.84745762711864
2007-06-15,38.8,0.59,65.76271186440678
2007-06-18,37.15,0.59,62.96610169491525
2007-06-19,36.7,0.59,62.203389830508485
2007-06-20,35.95,0.59,60.93220338983052
2007-06-21,36.7,0.59,62.203389830508485
2007-06-22,38.95,0.59,66.01694915254238
2007-06-25,39.25,0.59,66.52542372881356
2007-06-26,39.5,0.59,66.94915254237289
2007-06-27,39.75,0.59,67.37288135593221
2007-06-28,39.6,0.59,67.11864406779662
2007-06-29,39.06,0.59,66.20338983050848
2007-07-02,39.97,0.59,67.74576271186442
2007-07-03,39.66,0.59,67.22033898305085
2007-07-05,39.45,0.59,66.86440677966102
2007-07-06,39.82,0.59,67.49152542372882
2007-07-09,40.3,0.59,68.30508474576271
2007-07-10,39.0,0.59,66.10169491525424
2007-07-11,39.06,0.59,66.20338983050848
2007-07-12,39.01,0.59,66.11864406779661
2007-07-13,39.47,0.59,66.89830508474576
2007-07-16,39.3,0.59,66.61016949152543
2007-07-17,38.86,0.59,65.86440677966102
2007-07-18,37.94,0.59,64.30508474576271
2007-07-19,38.1,0.59,64.57627118644068
2007-07-20,38.03,0.59,64.45762711864407
2007-07-23,38.91,0.59,65.94915254237289
2007-07-24,38.4,0.59,65.08474576271186
2007-07-25,38.47,0.59,65.20338983050847
2007-07-26,37.56,0.59,63.66101694915255
2007-07-27,36.95,0.59,62.62711864406781
2007-07-30,36.05,0.59,61.101694915254235
2007-07-31,35.82,0.59,60.71186440677967
2007-08-01,35.22,0.59,59.69491525423729
2007-08-02,35.27,0.59,59.77966101694916
2007-08-03,35.09,0.59,59.47457627118645
2007-08-06,35.15,0.59,59.57627118644068
2007-08-07,34.85,0.59,59.067796610169495
2007-08-08,34.74,0.59,58.8813559322034
2007-08-09,33.73,0.59,57.16949152542372
2007-08-10,32.81,0.59,55.61016949152543
2007-08-13,32.99,-0.65,-50.753846153846155
2007-08-14,32.45,-0.65,-49.92307692307693
2007-08-15,32.96,-0.65,-50.707692307692305
