date,BKR,BKR_EPS,PE Ratio
,,0.12,
1987-04-06,18.63,0.12,155.25
1987-04-07,18.0,0.12,150.0
1987-04-08,18.75,0.12,156.25
1987-04-09,17.88,0.12,149.0
1987-04-10,18.13,0.12,151.08333333333334
1987-04-13,17.63,0.12,146.91666666666666
1987-04-14,16.13,0.12,134.41666666666666
1987-04-15,17.5,0.12,145.83333333333334
1987-04-16,18.0,0.12,150.0
1987-04-20,17.75,0.12,147.91666666666669
1987-04-21,17.63,0.12,146.91666666666666
1987-04-22,17.25,0.12,143.75
1987-04-23,17.38,0.12,144.83333333333334
1987-04-24,16.88,0.12,140.66666666666666
1987-04-27,16.5,0.12,137.5
1987-04-28,17.13,0.12,142.75
1987-04-29,17.25,0.12,143.75
1987-04-30,18.0,0.12,150.0
1987-05-01,18.0,0.12,150.0
1987-05-04,18.5,0.12,154.16666666666669
1987-05-05,19.38,0.12,161.5
1987-05-06,20.75,0.12,172.91666666666669
1987-05-07,22.25,0.12,185.41666666666669
1987-05-08,21.88,0.12,182.33333333333334
1987-05-11,22.5,0.12,187.5
1987-05-12,22.5,0.12,187.5
1987-05-13,21.88,0.12,182.33333333333334
1987-05-14,21.75,0.12,181.25
1987-05-15,21.38,0.12,178.16666666666666
1987-05-18,21.0,0.12,175.0
1987-05-19,20.75,0.12,172.91666666666669
1987-05-20,20.13,0.12,167.75
1987-05-21,20.38,0.12,169.83333333333334
1987-05-22,20.75,0.12,172.91666666666669
1987-05-26,21.75,0.12,181.25
1987-05-27,21.63,0.12,180.25
1987-05-28,21.5,0.12,179.16666666666669
1987-05-29,21.88,0.12,182.33333333333334
1987-06-01,21.88,0.12,182.33333333333334
1987-06-02,21.63,0.12,180.25
1987-06-03,21.75,0.12,181.25
1987-06-04,22.0,0.12,183.33333333333334
1987-06-05,21.88,0.12,182.33333333333334
1987-06-08,22.25,0.12,185.41666666666669
1987-06-09,22.0,0.12,183.33333333333334
1987-06-10,22.0,0.12,183.33333333333334
1987-06-11,21.75,0.12,181.25
1987-06-12,21.25,0.12,177.08333333333334
1987-06-15,21.75,0.12,181.25
1987-06-16,21.88,0.12,182.33333333333334
1987-06-17,21.75,0.12,181.25
1987-06-18,21.38,0.12,178.16666666666666
1987-06-19,21.88,0.12,182.33333333333334
1987-06-22,22.0,0.12,183.33333333333334
1987-06-23,22.0,0.12,183.33333333333334
1987-06-24,21.75,0.12,181.25
1987-06-25,21.88,0.12,182.33333333333334
1987-06-26,21.5,0.12,179.16666666666669
1987-06-29,22.38,0.12,186.5
1987-06-30,22.75,0.12,189.58333333333334
1987-07-01,24.13,0.12,201.08333333333334
1987-07-02,24.63,0.12,205.25
1987-07-06,25.25,0.12,210.41666666666669
1987-07-07,26.25,0.12,218.75
1987-07-08,25.75,0.12,214.58333333333334
1987-07-09,26.75,0.12,222.91666666666669
1987-07-10,26.25,0.12,218.75
1987-07-13,26.0,0.12,216.66666666666669
1987-07-14,26.13,0.12,217.75
1987-07-15,26.38,0.12,219.83333333333334
1987-07-16,26.88,0.12,224.0
1987-07-17,27.25,0.12,227.08333333333334
1987-07-20,27.0,0.12,225.0
1987-07-21,26.13,0.12,217.75
1987-07-22,25.38,0.12,211.5
1987-07-23,24.25,0.12,202.08333333333334
1987-07-24,24.38,0.12,203.16666666666666
1987-07-27,25.75,0.12,214.58333333333334
1987-07-28,26.25,0.12,218.75
1987-07-29,26.75,0.12,222.91666666666669
1987-07-30,26.63,0.12,221.91666666666666
1987-07-31,26.25,0.12,218.75
1987-08-03,26.75,0.12,222.91666666666669
1987-08-04,26.63,0.12,221.91666666666666
1987-08-05,25.75,0.12,214.58333333333334
1987-08-06,26.0,0.12,216.66666666666669
1987-08-07,26.13,0.12,217.75
1987-08-10,26.38,0.12,219.83333333333334
1987-08-11,26.5,0.12,220.83333333333334
1987-08-12,25.88,0.12,215.66666666666666
1987-08-13,25.88,0.12,215.66666666666666
1987-08-14,25.63,0.12,213.58333333333334
1987-08-17,25.0,0.12,208.33333333333334
1987-08-18,24.0,0.12,200.0
1987-08-19,24.0,0.12,200.0
1987-08-20,24.25,0.12,202.08333333333334
1987-08-21,24.38,0.12,203.16666666666666
1987-08-24,23.5,0.12,195.83333333333334
1987-08-25,23.13,0.12,192.75
1987-08-26,23.38,0.12,194.83333333333334
1987-08-27,24.63,0.12,205.25
1987-08-28,24.25,0.12,202.08333333333334
1987-08-31,25.25,0.12,210.41666666666669
1987-09-01,24.63,0.12,205.25
1987-09-02,24.63,0.12,205.25
1987-09-03,24.38,0.12,203.16666666666666
1987-09-04,24.0,0.12,200.0
1987-09-08,24.38,0.12,203.16666666666666
1987-09-09,24.0,0.12,200.0
1987-09-10,24.5,0.12,204.16666666666669
1987-09-11,25.5,0.12,212.5
1987-09-14,25.13,0.12,209.41666666666666
1987-09-15,25.13,0.12,209.41666666666666
1987-09-16,24.63,0.12,205.25
1987-09-17,24.63,0.12,205.25
1987-09-18,24.88,0.12,207.33333333333334
1987-09-21,24.63,0.12,205.25
1987-09-22,25.38,0.12,211.5
1987-09-23,25.0,0.12,208.33333333333334
1987-09-24,24.63,0.12,205.25
1987-09-25,24.88,0.12,207.33333333333334
1987-09-28,25.38,0.12,211.5
1987-09-29,25.0,0.12,208.33333333333334
1987-09-30,24.63,0.12,205.25
1987-10-01,25.0,0.12,208.33333333333334
1987-10-02,25.75,0.12,214.58333333333334
1987-10-05,26.0,0.12,216.66666666666669
1987-10-06,24.75,0.12,206.25
1987-10-07,24.25,0.12,202.08333333333334
1987-10-08,23.5,0.12,195.83333333333334
1987-10-09,23.38,0.12,194.83333333333334
1987-10-12,23.0,0.12,191.66666666666669
1987-10-13,22.63,0.12,188.58333333333334
1987-10-14,22.25,0.12,185.41666666666669
1987-10-15,22.75,0.12,189.58333333333334
1987-10-16,20.88,0.12,174.0
1987-10-19,13.25,0.12,110.41666666666667
1987-10-20,13.25,0.12,110.41666666666667
1987-10-21,17.0,0.12,141.66666666666669
1987-10-22,16.5,0.12,137.5
1987-10-23,15.5,0.12,129.16666666666669
1987-10-26,12.75,0.12,106.25
1987-10-27,14.25,0.12,118.75
1987-10-28,13.5,0.12,112.5
1987-10-29,15.38,0.12,128.16666666666669
1987-10-30,16.88,0.12,140.66666666666666
1987-11-02,17.13,0.12,142.75
1987-11-03,16.63,0.12,138.58333333333334
1987-11-04,15.0,0.12,125.0
1987-11-05,15.38,0.12,128.16666666666669
1987-11-06,15.25,0.12,127.08333333333334
1987-11-09,14.63,0.12,121.91666666666667
1987-11-10,13.5,0.12,112.5
1987-11-11,13.88,0.12,115.66666666666667
1987-11-12,14.38,0.12,119.83333333333334
1987-11-13,14.25,0.12,118.75
1987-11-16,14.5,0.12,120.83333333333334
1987-11-17,14.25,0.12,118.75
1987-11-18,14.0,0.12,116.66666666666667
1987-11-19,13.0,0.12,108.33333333333334
1987-11-20,12.5,0.12,104.16666666666667
1987-11-23,13.13,0.12,109.41666666666667
1987-11-24,13.0,0.12,108.33333333333334
1987-11-25,13.0,0.12,108.33333333333334
1987-11-27,12.63,0.12,105.25000000000001
1987-11-30,11.63,0.12,96.91666666666667
1987-12-01,11.75,0.12,97.91666666666667
1987-12-02,12.38,0.12,103.16666666666667
1987-12-03,12.13,0.12,101.08333333333334
1987-12-04,12.25,0.12,102.08333333333334
1987-12-07,12.38,0.12,103.16666666666667
1987-12-08,13.0,0.12,108.33333333333334
1987-12-09,13.38,0.12,111.50000000000001
1987-12-10,13.0,0.12,108.33333333333334
1987-12-11,13.38,0.12,111.50000000000001
1987-12-14,13.13,0.12,109.41666666666667
1987-12-15,12.5,0.12,104.16666666666667
1987-12-16,12.88,0.12,107.33333333333334
1987-12-17,12.75,0.12,106.25
1987-12-18,13.13,0.12,109.41666666666667
1987-12-21,13.0,0.12,108.33333333333334
1987-12-22,13.63,0.12,113.58333333333334
1987-12-23,14.75,0.12,122.91666666666667
1987-12-24,14.63,0.12,121.91666666666667
1987-12-28,14.38,0.12,119.83333333333334
1987-12-29,13.5,0.12,112.5
1987-12-30,13.5,0.12,112.5
1987-12-31,13.63,0.12,113.58333333333334
1988-01-04,14.25,0.12,118.75
1988-01-05,14.5,0.12,120.83333333333334
1988-01-06,15.25,0.12,127.08333333333334
1988-01-07,16.13,0.12,134.41666666666666
1988-01-08,14.5,0.12,120.83333333333334
1988-01-11,14.38,0.12,119.83333333333334
1988-01-12,13.88,0.12,115.66666666666667
