date,AMCR,AMCR_EPS,PE Ratio
,,-0.0026,
2012-05-15,7.7,-0.0026,-2961.538461538462
2012-05-16,7.7,-0.0026,-2961.538461538462
2012-05-17,7.7,-0.0026,-2961.538461538462
2012-05-18,7.7,-0.0026,-2961.538461538462
2012-05-21,7.7,-0.0026,-2961.538461538462
2012-05-22,7.7,-0.0026,-2961.538461538462
2012-05-23,7.7,-0.0026,-2961.538461538462
2012-05-24,7.7,-0.0026,-2961.538461538462
2012-05-25,7.7,-0.0026,-2961.538461538462
2012-05-29,7.7,-0.0026,-2961.538461538462
2012-05-30,7.7,-0.0026,-2961.538461538462
2012-05-31,7.7,-0.0026,-2961.538461538462
2012-06-01,7.7,-0.0026,-2961.538461538462
2012-06-04,7.7,-0.0026,-2961.538461538462
2012-06-05,7.7,-0.0026,-2961.538461538462
2012-06-06,7.7,-0.0026,-2961.538461538462
2012-06-07,7.4,-0.0026,-2846.1538461538466
2012-06-08,7.4,-0.0026,-2846.1538461538466
2012-06-11,7.4,-0.0026,-2846.1538461538466
2012-06-12,7.4,-0.0026,-2846.1538461538466
2012-06-13,7.4,-0.0026,-2846.1538461538466
2012-06-14,7.4,-0.0026,-2846.1538461538466
2012-06-15,7.4,-0.0026,-2846.1538461538466
2012-06-18,7.4,-0.0026,-2846.1538461538466
2012-06-19,7.4,-0.0026,-2846.1538461538466
2012-06-20,7.4,-0.0026,-2846.1538461538466
2012-06-21,7.4,-0.0026,-2846.1538461538466
2012-06-22,7.4,-0.0026,-2846.1538461538466
2012-06-25,7.4,-0.0026,-2846.1538461538466
2012-06-26,7.4,-0.0026,-2846.1538461538466
2012-06-27,7.4,-0.0026,-2846.1538461538466
2012-06-28,7.4,-0.0026,-2846.1538461538466
2012-06-29,7.4,-0.0026,-2846.1538461538466
2012-07-02,7.4,-0.0026,-2846.1538461538466
2012-07-03,7.4,-0.0026,-2846.1538461538466
2012-07-05,7.4,-0.0026,-2846.1538461538466
2012-07-06,7.4,-0.0026,-2846.1538461538466
2012-07-09,7.4,-0.0026,-2846.1538461538466
2012-07-10,7.4,-0.0026,-2846.1538461538466
2012-07-11,7.4,-0.0026,-2846.1538461538466
2012-07-12,7.4,-0.0026,-2846.1538461538466
2012-07-13,7.4,-0.0026,-2846.1538461538466
2012-07-16,7.4,-0.0026,-2846.1538461538466
2012-07-17,7.4,-0.0026,-2846.1538461538466
2012-07-18,7.4,-0.0026,-2846.1538461538466
2012-07-19,7.4,-0.0026,-2846.1538461538466
2012-07-20,7.4,-0.0026,-2846.1538461538466
2012-07-23,7.4,-0.0026,-2846.1538461538466
2012-07-24,7.4,-0.0026,-2846.1538461538466
2012-07-25,7.4,-0.0026,-2846.1538461538466
2012-07-26,7.4,-0.0026,-2846.1538461538466
2012-07-27,7.4,-0.0026,-2846.1538461538466
2012-07-30,7.4,-0.0026,-2846.1538461538466
2012-07-31,7.4,-0.0026,-2846.1538461538466
2012-08-01,7.4,-0.0026,-2846.1538461538466
2012-08-02,7.4,-0.0026,-2846.1538461538466
2012-08-03,7.4,-0.0026,-2846.1538461538466
2012-08-06,7.4,-0.0026,-2846.1538461538466
2012-08-07,7.4,-0.0026,-2846.1538461538466
2012-08-08,7.4,-0.0026,-2846.1538461538466
2012-08-09,7.4,-0.0026,-2846.1538461538466
2012-08-10,7.4,-0.0026,-2846.1538461538466
2012-08-13,7.4,-0.0026,-2846.1538461538466
2012-08-14,7.4,-0.0026,-2846.1538461538466
2012-08-15,7.4,-0.0026,-2846.1538461538466
2012-08-16,7.4,-0.0026,-2846.1538461538466
2012-08-17,7.8,-0.0026,-3000.0
2012-08-20,7.8,-0.0026,-3000.0
2012-08-21,7.8,-0.0026,-3000.0
2012-08-22,7.8,-0.0026,-3000.0
2012-08-23,7.74,-0.0026,-2976.923076923077
2012-08-24,7.74,-0.0026,-2976.923076923077
2012-08-27,7.74,-0.0026,-2976.923076923077
2012-08-28,7.55,-0.0026,-2903.846153846154
2012-08-29,7.55,-0.0026,-2903.846153846154
2012-08-30,7.55,-0.0026,-2903.846153846154
2012-08-31,7.55,-0.0026,-2903.846153846154
2012-09-04,7.55,-0.0026,-2903.846153846154
2012-09-05,7.55,-0.0026,-2903.846153846154
2012-09-06,7.55,-0.0026,-2903.846153846154
2012-09-07,7.55,-0.0026,-2903.846153846154
2012-09-10,7.55,-0.0026,-2903.846153846154
2012-09-11,7.55,-0.0026,-2903.846153846154
2012-09-12,7.55,-0.0026,-2903.846153846154
2012-09-13,7.55,-0.0026,-2903.846153846154
2012-09-14,7.55,-0.0026,-2903.846153846154
2012-09-17,7.55,-0.0026,-2903.846153846154
2012-09-18,7.55,-0.0026,-2903.846153846154
2012-09-19,7.55,-0.0026,-2903.846153846154
2012-09-20,7.55,-0.0026,-2903.846153846154
2012-09-21,7.55,-0.0026,-2903.846153846154
2012-09-24,7.55,-0.0026,-2903.846153846154
2012-09-25,7.55,-0.0026,-2903.846153846154
2012-09-26,7.55,-0.0026,-2903.846153846154
2012-09-27,7.55,-0.0026,-2903.846153846154
2012-09-28,7.55,-0.0026,-2903.846153846154
2012-10-01,7.55,-0.0026,-2903.846153846154
2012-10-02,7.55,-0.0026,-2903.846153846154
2012-10-03,7.55,-0.0026,-2903.846153846154
2012-10-04,7.55,-0.0026,-2903.846153846154
2012-10-05,7.55,-0.0026,-2903.846153846154
2012-10-08,7.55,-0.0026,-2903.846153846154
2012-10-09,7.55,-0.0026,-2903.846153846154
2012-10-10,7.55,-0.0026,-2903.846153846154
2012-10-11,7.55,-0.0026,-2903.846153846154
2012-10-12,7.55,-0.0026,-2903.846153846154
2012-10-15,7.95,-0.0026,-3057.692307692308
2012-10-16,7.95,-0.0026,-3057.692307692308
2012-10-17,7.95,-0.0026,-3057.692307692308
2012-10-18,7.95,-0.0026,-3057.692307692308
2012-10-19,7.95,-0.0026,-3057.692307692308
2012-10-22,7.95,-0.0026,-3057.692307692308
2012-10-23,7.95,-0.0026,-3057.692307692308
2012-10-24,7.95,-0.0026,-3057.692307692308
2012-10-25,7.95,-0.0026,-3057.692307692308
2012-10-26,7.95,-0.0026,-3057.692307692308
2012-10-31,7.95,-0.0026,-3057.692307692308
2012-11-01,7.9,-0.0026,-3038.4615384615386
2012-11-02,7.9,-0.0026,-3038.4615384615386
2012-11-05,7.9,-0.0026,-3038.4615384615386
2012-11-06,7.9,-0.0026,-3038.4615384615386
2012-11-07,7.9,-0.0026,-3038.4615384615386
2012-11-08,7.9,-0.0026,-3038.4615384615386
2012-11-09,7.9,-0.0026,-3038.4615384615386
2012-11-12,7.9,-0.0026,-3038.4615384615386
2012-11-13,7.9,-0.0026,-3038.4615384615386
2012-11-14,7.9,-0.0026,-3038.4615384615386
2012-11-15,7.9,-0.0026,-3038.4615384615386
2012-11-16,7.9,-0.0026,-3038.4615384615386
2012-11-19,7.9,-0.0026,-3038.4615384615386
2012-11-20,7.9,-0.0026,-3038.4615384615386
2012-11-21,7.9,-0.0026,-3038.4615384615386
2012-11-23,7.9,-0.0026,-3038.4615384615386
2012-11-26,7.9,-0.0026,-3038.4615384615386
2012-11-27,8.16,-0.0026,-3138.4615384615386
2012-11-28,8.16,-0.0026,-3138.4615384615386
2012-11-29,8.16,-0.0026,-3138.4615384615386
2012-11-30,8.2,-0.0026,-3153.846153846154
2012-12-03,8.2,-0.0026,-3153.846153846154
2012-12-04,8.2,-0.0026,-3153.846153846154
2012-12-05,8.2,-0.0026,-3153.846153846154
2012-12-06,8.2,-0.0026,-3153.846153846154
2012-12-07,8.2,-0.0026,-3153.846153846154
2012-12-10,8.2,-0.0026,-3153.846153846154
2012-12-11,8.2,-0.0026,-3153.846153846154
2012-12-12,8.2,-0.0026,-3153.846153846154
2012-12-13,8.2,-0.0026,-3153.846153846154
2012-12-14,8.2,-0.0026,-3153.846153846154
2012-12-17,8.2,-0.0026,-3153.846153846154
2012-12-18,8.37,-0.0026,-3219.230769230769
2012-12-19,8.37,-0.0026,-3219.230769230769
2012-12-20,8.37,-0.0026,-3219.230769230769
2012-12-21,8.37,-0.0026,-3219.230769230769
2012-12-24,8.37,-0.0026,-3219.230769230769
2012-12-26,8.37,-0.0026,-3219.230769230769
2012-12-27,8.37,-0.0026,-3219.230769230769
2012-12-28,8.37,-0.0026,-3219.230769230769
2012-12-31,8.37,-0.0026,-3219.230769230769
2013-01-02,8.37,-0.0026,-3219.230769230769
2013-01-03,8.37,-0.0026,-3219.230769230769
2013-01-04,8.37,-0.0026,-3219.230769230769
2013-01-07,8.66,-0.0026,-3330.769230769231
2013-01-08,8.66,-0.0026,-3330.769230769231
2013-01-09,8.66,-0.0026,-3330.769230769231
2013-01-10,8.66,-0.0026,-3330.769230769231
2013-01-11,8.66,-0.0026,-3330.769230769231
2013-01-14,8.66,-0.0026,-3330.769230769231
2013-01-15,9.07,-0.0026,-3488.4615384615386
2013-01-16,9.15,-0.0026,-3519.2307692307695
2013-01-17,9.15,-0.0026,-3519.2307692307695
2013-01-18,9.15,-0.0026,-3519.2307692307695
2013-01-22,9.15,-0.0026,-3519.2307692307695
2013-01-23,8.84,-0.0026,-3400.0
2013-01-24,8.84,-0.0026,-3400.0
2013-01-25,8.76,-0.0026,-3369.2307692307695
2013-01-28,8.73,-0.0026,-3357.692307692308
2013-01-29,8.87,-0.0026,-3411.5384615384614
2013-01-30,8.87,-0.0026,-3411.5384615384614
2013-01-31,8.84,-0.0026,-3400.0
2013-02-01,8.84,-0.0026,-3400.0
2013-02-04,8.84,-0.0026,-3400.0
2013-02-05,8.9,-0.0026,-3423.0769230769233
2013-02-06,9.0,-0.0026,-3461.538461538462
2013-02-07,9.0,-0.0026,-3461.538461538462
2013-02-08,9.0,-0.0026,-3461.538461538462
2013-02-11,9.04,-0.0026,-3476.9230769230767
