date,CXO,CXO_EPS,PE Ratio
,,0.0,
2007-08-03,12.9,0.0,inf
2007-08-06,12.7,0.0,inf
2007-08-07,12.6,0.0,inf
2007-08-08,12.88,0.0,inf
2007-08-09,12.94,0.0,inf
2007-08-10,12.81,0.0,inf
2007-08-13,13.07,0.0,inf
2007-08-14,13.01,0.0,inf
2007-08-15,12.88,0.0,inf
2007-08-16,12.7,0.0,inf
2007-08-17,13.0,0.0,inf
2007-08-20,12.75,0.0,inf
2007-08-21,12.9,0.0,inf
2007-08-22,12.63,0.0,inf
2007-08-23,12.9,0.0,inf
2007-08-24,12.99,0.0,inf
2007-08-27,13.1,0.0,inf
2007-08-28,12.76,0.0,inf
2007-08-29,12.77,0.0,inf
2007-08-30,12.54,0.0,inf
2007-08-31,12.69,0.0,inf
2007-09-04,13.75,0.0,inf
2007-09-05,14.55,0.0,inf
2007-09-06,14.5,0.0,inf
2007-09-07,14.5,0.0,inf
2007-09-10,14.83,0.0,inf
2007-09-11,15.2,0.0,inf
2007-09-12,15.22,0.0,inf
2007-09-13,15.55,0.0,inf
2007-09-14,15.89,0.0,inf
2007-09-17,15.7,0.0,inf
2007-09-18,15.4,0.0,inf
2007-09-19,15.7,0.0,inf
2007-09-20,15.85,0.0,inf
2007-09-21,16.13,0.0,inf
2007-09-24,16.17,0.0,inf
2007-09-25,15.65,0.0,inf
2007-09-26,16.1,0.0,inf
2007-09-27,15.42,0.0,inf
2007-09-28,14.81,0.0,inf
2007-10-01,15.8,0.0,inf
2007-10-02,16.03,0.0,inf
2007-10-03,16.42,0.0,inf
2007-10-04,16.95,0.0,inf
2007-10-05,17.25,0.0,inf
2007-10-08,16.7,0.0,inf
2007-10-09,17.07,0.0,inf
2007-10-10,17.54,0.0,inf
2007-10-11,18.6,0.0,inf
2007-10-12,18.46,0.0,inf
2007-10-15,18.03,0.0,inf
2007-10-16,18.82,0.0,inf
2007-10-17,18.86,0.0,inf
2007-10-18,19.73,0.0,inf
2007-10-19,19.65,0.0,inf
2007-10-22,19.56,0.0,inf
2007-10-23,19.95,0.0,inf
2007-10-24,20.16,0.0,inf
2007-10-25,19.74,0.0,inf
2007-10-26,21.37,0.0,inf
2007-10-29,21.99,0.0,inf
2007-10-30,20.46,0.0,inf
2007-10-31,19.49,0.0,inf
2007-11-01,19.92,0.0,inf
2007-11-02,19.94,0.0,inf
2007-11-05,19.78,0.0,inf
2007-11-06,19.4,0.0,inf
2007-11-07,19.01,0.0,inf
2007-11-08,18.89,0.0,inf
2007-11-09,18.56,0.0,inf
2007-11-12,18.12,0.0,inf
2007-11-13,18.4,0.0,inf
2007-11-14,17.6,0.3,58.66666666666667
2007-11-15,18.5,0.3,61.66666666666667
2007-11-16,18.54,0.3,61.8
2007-11-19,18.07,0.3,60.233333333333334
2007-11-20,19.65,0.3,65.5
2007-11-21,20.57,0.3,68.56666666666668
2007-11-23,21.24,0.3,70.8
2007-11-26,19.93,0.3,66.43333333333334
2007-11-27,19.09,0.3,63.63333333333333
2007-11-28,18.76,0.3,62.53333333333334
2007-11-29,18.79,0.3,62.63333333333333
2007-11-30,18.86,0.3,62.86666666666667
2007-12-03,18.55,0.3,61.833333333333336
2007-12-04,18.13,0.3,60.43333333333333
2007-12-05,17.79,0.3,59.3
2007-12-06,19.27,0.3,64.23333333333333
2007-12-07,17.41,0.3,58.03333333333334
2007-12-10,17.61,0.3,58.7
2007-12-11,17.88,0.3,59.6
2007-12-12,18.54,0.3,61.8
2007-12-13,18.19,0.3,60.63333333333334
2007-12-14,19.0,0.3,63.333333333333336
2007-12-17,18.98,0.3,63.26666666666667
2007-12-18,20.34,0.3,67.8
2007-12-19,20.08,0.3,66.93333333333334
2007-12-20,20.41,0.3,68.03333333333333
2007-12-21,20.58,0.3,68.6
2007-12-24,20.84,0.3,69.46666666666667
2007-12-26,21.25,0.3,70.83333333333334
2007-12-27,20.75,0.3,69.16666666666667
2007-12-28,20.55,0.3,68.5
2007-12-31,20.61,0.3,68.7
2008-01-02,21.57,0.3,71.9
2008-01-03,22.08,0.3,73.6
2008-01-04,21.06,0.3,70.2
2008-01-07,21.19,0.3,70.63333333333334
2008-01-08,22.1,0.3,73.66666666666667
2008-01-09,23.27,0.3,77.56666666666666
2008-01-10,22.46,0.3,74.86666666666667
2008-01-11,21.68,0.3,72.26666666666667
2008-01-14,22.22,0.3,74.06666666666666
2008-01-15,21.29,0.3,70.96666666666667
2008-01-16,20.41,0.3,68.03333333333333
2008-01-17,19.33,0.3,64.43333333333334
2008-01-18,19.07,0.3,63.56666666666667
2008-01-22,19.18,0.3,63.93333333333334
2008-01-23,19.09,0.3,63.63333333333333
2008-01-24,19.63,0.3,65.43333333333334
2008-01-25,19.55,0.3,65.16666666666667
2008-01-28,19.98,0.3,66.60000000000001
2008-01-29,20.11,0.3,67.03333333333333
2008-01-30,20.31,0.3,67.7
2008-01-31,20.17,0.3,67.23333333333335
2008-02-01,21.48,0.3,71.60000000000001
2008-02-04,20.83,0.3,69.43333333333334
2008-02-05,19.82,0.3,66.06666666666668
2008-02-06,19.89,0.3,66.30000000000001
2008-02-07,20.01,0.3,66.7
2008-02-08,20.09,0.3,66.96666666666667
2008-02-11,19.97,0.3,66.56666666666666
2008-02-12,21.22,0.3,70.73333333333333
2008-02-13,22.98,0.3,76.60000000000001
2008-02-14,22.29,0.3,74.3
2008-02-15,22.2,0.3,74.0
2008-02-19,22.68,0.3,75.60000000000001
2008-02-20,22.95,0.3,76.5
2008-02-21,21.81,0.3,72.7
2008-02-22,22.04,0.3,73.46666666666667
2008-02-25,22.41,0.3,74.7
2008-02-26,22.12,0.3,73.73333333333333
2008-02-27,22.82,0.3,76.06666666666668
2008-02-28,24.96,0.3,83.2
2008-02-29,23.3,0.3,77.66666666666667
2008-03-03,23.72,0.3,79.06666666666666
2008-03-04,23.77,0.3,79.23333333333333
2008-03-05,25.1,0.3,83.66666666666667
2008-03-06,24.69,0.3,82.30000000000001
2008-03-07,23.93,0.3,79.76666666666667
2008-03-10,23.8,0.3,79.33333333333334
2008-03-11,23.96,0.3,79.86666666666667
2008-03-12,24.51,0.3,81.7
2008-03-13,25.25,0.3,84.16666666666667
2008-03-14,24.96,0.3,83.2
2008-03-17,23.92,0.3,79.73333333333335
2008-03-18,25.09,0.3,83.63333333333334
2008-03-19,23.87,0.3,79.56666666666668
2008-03-20,24.13,0.3,80.43333333333334
2008-03-24,25.09,0.3,83.63333333333334
2008-03-25,25.31,0.3,84.36666666666666
2008-03-26,25.41,0.3,84.7
2008-03-27,25.37,0.3,84.56666666666668
2008-03-28,25.68,0.0,inf
2008-03-31,25.64,0.0,inf
2008-04-01,25.59,0.0,inf
2008-04-02,25.77,0.0,inf
2008-04-03,26.24,0.0,inf
2008-04-04,26.61,0.0,inf
2008-04-07,26.53,0.0,inf
2008-04-08,26.72,0.0,inf
2008-04-09,26.11,0.0,inf
2008-04-10,27.2,0.0,inf
2008-04-11,27.57,0.0,inf
2008-04-14,27.17,0.0,inf
2008-04-15,26.95,0.0,inf
2008-04-16,27.49,0.0,inf
2008-04-17,27.91,0.0,inf
2008-04-18,27.19,0.0,inf
2008-04-21,26.18,0.0,inf
2008-04-22,26.67,0.0,inf
2008-04-23,27.4,0.0,inf
2008-04-24,27.0,0.0,inf
2008-04-25,27.55,0.0,inf
2008-04-28,28.0,0.0,inf
2008-04-29,27.91,0.0,inf
2008-04-30,27.57,0.0,inf
2008-05-01,27.16,0.0,inf
2008-05-02,27.31,0.0,inf
2008-05-05,27.02,0.0,inf
2008-05-06,27.33,0.0,inf
2008-05-07,26.79,0.0,inf
2008-05-08,26.99,0.0,inf
2008-05-09,27.94,0.0,inf
2008-05-12,27.58,0.0,inf
2008-05-13,27.94,0.0,inf
2008-05-14,28.4,0.3,94.66666666666667
2008-05-15,29.11,0.3,97.03333333333333
2008-05-16,29.42,0.3,98.06666666666668
2008-05-19,29.14,0.3,97.13333333333334
2008-05-20,30.78,0.3,102.60000000000001
2008-05-21,30.76,0.3,102.53333333333335
2008-05-22,32.21,0.3,107.36666666666667
2008-05-23,32.31,0.3,107.70000000000002
2008-05-27,32.62,0.3,108.73333333333333
2008-05-28,32.06,0.3,106.86666666666667
2008-05-29,31.48,0.3,104.93333333333334
2008-05-30,31.9,0.3,106.33333333333333
2008-06-02,33.83,0.3,112.76666666666667
2008-06-03,32.61,0.3,108.7
2008-06-04,31.69,0.3,105.63333333333334
2008-06-05,32.53,0.3,108.43333333333334
2008-06-06,36.11,0.3,120.36666666666667
2008-06-09,39.8,0.3,132.66666666666666
2008-06-10,37.62,0.3,125.39999999999999
2008-06-11,37.62,0.3,125.39999999999999
2008-06-12,36.97,0.3,123.23333333333333
2008-06-13,38.6,0.3,128.66666666666669
2008-06-16,40.18,0.3,133.93333333333334
2008-06-17,39.89,0.3,132.96666666666667
2008-06-18,39.99,0.3,133.3
2008-06-19,39.5,0.3,131.66666666666669
2008-06-20,39.13,0.3,130.43333333333334
2008-06-23,38.81,0.3,129.36666666666667
2008-06-24,37.7,0.3,125.66666666666669
2008-06-25,36.35,0.3,121.16666666666667
2008-06-26,36.5,0.3,121.66666666666667
2008-06-27,38.0,0.3,126.66666666666667
2008-06-30,37.3,0.3,124.33333333333333
2008-07-01,38.16,0.3,127.19999999999999
2008-07-02,36.33,0.3,121.1
2008-07-03,34.48,0.3,114.93333333333332
