date,ARE,ARE_EPS,PE Ratio
1997-05-28,21.0,,
1997-05-29,21.38,,
1997-05-30,22.0,,
1997-06-02,22.0,,
1997-06-03,22.13,,
1997-06-04,21.88,,
1997-06-05,21.88,,
1997-06-06,21.5,,
1997-06-09,21.5,,
1997-06-10,21.75,,
1997-06-11,21.25,,
1997-06-12,21.38,,
1997-06-13,21.25,,
1997-06-16,21.63,,
1997-06-17,21.38,,
1997-06-18,21.5,,
1997-06-19,21.5,,
1997-06-20,21.63,,
1997-06-23,21.38,,
1997-06-24,21.5,,
1997-06-25,21.63,,
1997-06-26,21.63,,
1997-06-27,21.75,,
1997-06-30,21.88,,
1997-07-01,22.5,,
1997-07-02,22.5,,
1997-07-03,22.75,,
1997-07-07,22.75,,
1997-07-08,22.75,,
1997-07-09,22.75,,
1997-07-10,22.75,,
1997-07-11,22.88,,
1997-07-14,23.5,,
1997-07-15,23.75,,
1997-07-16,24.0,,
1997-07-17,23.88,,
1997-07-18,23.88,,
1997-07-21,24.0,,
1997-07-22,24.0,,
1997-07-23,24.25,,
1997-07-24,24.0,,
1997-07-25,24.25,,
1997-07-28,24.25,,
1997-07-29,24.38,,
1997-07-30,24.5,,
1997-07-31,24.63,,
1997-08-01,24.75,,
1997-08-04,25.75,,
1997-08-05,25.5,,
1997-08-06,25.38,,
1997-08-07,25.5,,
1997-08-08,26.0,,
1997-08-11,25.63,,
1997-08-12,25.5,,
1997-08-13,25.5,,
1997-08-14,25.63,,
1997-08-15,25.5,,
1997-08-18,25.5,,
1997-08-19,26.0,,
1997-08-20,26.0,,
1997-08-21,26.0,,
1997-08-22,26.13,,
1997-08-25,26.25,,
1997-08-26,25.63,,
1997-08-27,25.75,,
1997-08-28,26.13,,
1997-08-29,26.13,,
1997-09-02,26.13,,
1997-09-03,27.0,,
1997-09-04,27.63,,
1997-09-05,28.5,,
1997-09-08,27.5,,
1997-09-09,27.0,,
1997-09-10,26.13,,
1997-09-11,26.38,,
1997-09-12,26.13,,
1997-09-15,26.75,,
1997-09-16,27.25,,
1997-09-17,27.0,,
1997-09-18,27.0,,
1997-09-19,26.63,,
1997-09-22,27.0,,
1997-09-23,27.13,,
1997-09-24,26.75,,
1997-09-25,27.13,,
1997-09-26,27.25,,
1997-09-29,27.75,,
1997-09-30,28.5,,
1997-10-01,29.0,,
1997-10-02,28.63,,
1997-10-03,28.63,,
1997-10-06,28.5,,
1997-10-07,28.75,,
1997-10-08,28.0,,
1997-10-09,28.13,,
1997-10-10,28.38,,
1997-10-13,28.5,,
1997-10-14,28.38,,
1997-10-15,28.25,,
1997-10-16,28.5,,
1997-10-17,27.75,,
1997-10-20,27.38,,
1997-10-21,27.25,,
1997-10-22,27.63,,
1997-10-23,27.38,,
1997-10-24,27.63,,
1997-10-27,27.25,,
1997-10-28,27.0,,
1997-10-29,27.88,,
1997-10-30,27.88,,
1997-10-31,27.38,,
1997-11-03,27.75,,
1997-11-04,28.0,,
1997-11-05,29.25,,
1997-11-06,29.25,,
1997-11-07,28.88,,
1997-11-10,28.25,,
1997-11-11,27.88,,
1997-11-12,27.75,,
1997-11-13,27.5,,
1997-11-14,27.5,,
1997-11-17,27.88,,
1997-11-18,28.25,,
1997-11-19,28.63,,
1997-11-20,30.13,,
1997-11-21,30.5,,
1997-11-24,30.88,,
1997-11-25,31.75,,
1997-11-26,31.38,,
1997-11-28,31.13,,
1997-12-01,30.25,,
1997-12-02,30.25,,
1997-12-03,29.0,,
1997-12-04,29.13,,
1997-12-05,29.13,,
1997-12-08,29.38,,
1997-12-09,30.25,,
1997-12-10,30.0,,
1997-12-11,29.88,,
1997-12-12,30.38,,
1997-12-15,30.63,,
1997-12-16,30.38,,
1997-12-17,30.5,,
1997-12-18,30.0,,
1997-12-19,29.88,,
1997-12-22,30.88,,
1997-12-23,30.63,,
1997-12-24,30.38,,
1997-12-26,30.25,,
1997-12-29,30.5,,
1997-12-30,31.13,,
1997-12-31,31.5,,
1998-01-02,31.63,,
1998-01-05,31.75,,
1998-01-06,32.38,,
1998-01-07,31.88,,
1998-01-08,31.63,,
1998-01-09,31.75,,
1998-01-12,30.75,,
1998-01-13,32.0,,
1998-01-14,32.0,,
1998-01-15,32.0,,
1998-01-16,32.44,,
1998-01-20,32.31,,
1998-01-21,32.19,,
1998-01-22,31.94,,
1998-01-23,32.0,,
1998-01-26,32.06,,
1998-01-27,32.19,,
1998-01-28,32.13,,
1998-01-29,32.44,,
1998-01-30,33.38,,
1998-02-02,33.25,,
1998-02-03,32.69,,
1998-02-04,33.25,,
1998-02-05,33.06,,
1998-02-06,33.38,,
1998-02-09,33.94,,
1998-02-10,33.69,,
1998-02-11,32.88,,
1998-02-12,32.94,,
1998-02-13,32.75,,
1998-02-17,32.5,,
1998-02-18,31.94,,
1998-02-19,31.56,,
1998-02-20,31.0,,
1998-02-23,31.0,,
1998-02-24,31.69,,
1998-02-25,32.5,,
1998-02-26,33.31,,
1998-02-27,34.13,,
1998-03-02,32.81,,
1998-03-03,32.75,,
1998-03-04,32.69,,
1998-03-05,32.5,,
1998-03-06,32.94,,
1998-03-09,32.13,,
1998-03-10,32.38,,
1998-03-11,32.13,,
1998-03-12,31.94,,
1998-03-13,31.94,,
1998-03-16,32.25,,
1998-03-17,32.0,,
1998-03-18,31.5,,
1998-03-19,31.19,,
1998-03-20,31.38,,
1998-03-23,31.13,,
1998-03-24,31.06,,
1998-03-25,31.19,,
1998-03-26,31.06,,
1998-03-27,31.63,,
1998-03-30,31.38,,
1998-03-31,31.69,,
1998-04-01,31.63,,
1998-04-02,31.69,,
1998-04-03,31.19,,
1998-04-06,31.0,,
1998-04-07,31.0,,
1998-04-08,30.94,,
1998-04-09,30.94,,
1998-04-13,30.94,,
1998-04-14,30.94,,
1998-04-15,30.63,,
1998-04-16,30.0,,
1998-04-17,30.25,,
1998-04-20,30.31,,
1998-04-21,30.81,,
1998-04-22,31.69,,
1998-04-23,31.56,,
1998-04-24,31.56,,
1998-04-27,31.63,,
1998-04-28,31.44,,
1998-04-29,32.0,,
1998-04-30,32.94,,
1998-05-01,34.0,,
1998-05-04,33.88,,
1998-05-05,33.38,,
1998-05-06,33.13,,
1998-05-07,32.25,,
1998-05-08,32.25,,
1998-05-11,32.06,,
1998-05-12,32.31,,
1998-05-13,32.06,,
