date,PRU,PRU_EPS,PE Ratio
,,-0.03,
2001-12-13,29.3,-0.03,-976.6666666666667
2001-12-14,29.68,-0.03,-989.3333333333334
2001-12-17,29.45,-0.03,-981.6666666666666
2001-12-18,29.95,-0.03,-998.3333333333334
2001-12-19,30.15,-0.03,-1005.0
2001-12-20,30.17,-0.03,-1005.6666666666667
2001-12-21,30.99,-0.03,-1033.0
2001-12-24,31.45,-0.03,-1048.3333333333333
2001-12-26,32.2,-0.03,-1073.3333333333335
2001-12-27,32.85,-0.03,-1095.0
2001-12-28,32.94,-0.03,-1098.0
2001-12-31,33.19,-0.03,-1106.3333333333333
2002-01-02,31.3,-0.03,-1043.3333333333335
2002-01-03,31.25,-0.03,-1041.6666666666667
2002-01-04,31.95,-0.03,-1065.0
2002-01-07,31.95,-0.03,-1065.0
2002-01-08,31.78,-0.03,-1059.3333333333335
2002-01-09,31.3,-0.03,-1043.3333333333335
2002-01-10,31.01,-0.03,-1033.6666666666667
2002-01-11,30.9,-0.03,-1030.0
2002-01-14,30.05,-0.03,-1001.6666666666667
2002-01-15,30.78,-0.03,-1026.0
2002-01-16,30.68,-0.03,-1022.6666666666667
2002-01-17,30.52,-0.03,-1017.3333333333334
2002-01-18,30.25,-0.03,-1008.3333333333334
2002-01-22,31.25,-0.03,-1041.6666666666667
2002-01-23,30.52,-0.03,-1017.3333333333334
2002-01-24,30.25,-0.03,-1008.3333333333334
2002-01-25,30.43,-0.03,-1014.3333333333334
2002-01-28,30.93,-0.03,-1031.0
2002-01-29,30.39,-0.03,-1013.0
2002-01-30,30.15,-0.03,-1005.0
2002-01-31,31.05,-0.03,-1035.0
2002-02-01,30.6,-0.03,-1020.0000000000001
2002-02-04,30.88,-0.03,-1029.3333333333333
2002-02-05,31.05,-0.03,-1035.0
2002-02-06,31.15,-0.03,-1038.3333333333333
2002-02-07,30.62,-0.03,-1020.6666666666667
2002-02-08,31.03,-0.03,-1034.3333333333335
2002-02-11,31.76,-0.03,-1058.6666666666667
2002-02-12,31.5,-0.03,-1050.0
2002-02-13,32.09,-0.03,-1069.6666666666667
2002-02-14,32.03,-0.03,-1067.6666666666667
2002-02-15,31.5,-0.03,-1050.0
2002-02-19,30.26,-0.03,-1008.6666666666667
2002-02-20,30.65,-0.03,-1021.6666666666666
2002-02-21,30.84,-0.03,-1028.0
2002-02-22,30.24,-0.03,-1008.0
2002-02-25,30.28,-0.03,-1009.3333333333334
2002-02-26,30.5,-0.03,-1016.6666666666667
2002-02-27,30.35,-0.03,-1011.6666666666667
2002-02-28,30.57,-0.03,-1019.0
2002-03-01,30.85,-0.03,-1028.3333333333335
2002-03-04,30.7,-0.03,-1023.3333333333334
2002-03-05,31.44,-0.03,-1048.0
2002-03-06,31.4,-0.03,-1046.6666666666667
2002-03-07,31.57,-0.03,-1052.3333333333335
2002-03-08,31.75,-0.03,-1058.3333333333335
2002-03-11,31.35,-0.03,-1045.0
2002-03-12,30.9,-0.03,-1030.0
2002-03-13,30.63,-0.03,-1021.0
2002-03-14,30.97,-0.03,-1032.3333333333333
2002-03-15,31.1,-0.03,-1036.6666666666667
2002-03-18,31.39,-0.03,-1046.3333333333335
2002-03-19,31.4,-0.03,-1046.6666666666667
2002-03-20,31.35,-0.03,-1045.0
2002-03-21,31.25,-0.03,-1041.6666666666667
2002-03-22,31.25,-0.03,-1041.6666666666667
2002-03-25,31.21,-0.03,-1040.3333333333335
2002-03-26,31.43,-0.03,-1047.6666666666667
2002-03-27,31.37,-0.03,-1045.6666666666667
2002-03-28,31.05,-0.03,-1035.0
2002-04-01,31.05,-0.03,-1035.0
2002-04-02,31.35,-0.03,-1045.0
2002-04-03,31.35,-0.03,-1045.0
2002-04-04,31.84,-0.03,-1061.3333333333333
2002-04-05,32.31,-0.03,-1077.0000000000002
2002-04-08,32.72,-0.03,-1090.6666666666667
2002-04-09,33.0,-0.03,-1100.0
2002-04-10,32.79,-0.03,-1093.0
2002-04-11,32.6,-0.03,-1086.6666666666667
2002-04-12,32.51,-0.03,-1083.6666666666667
2002-04-15,32.07,-0.03,-1069.0
2002-04-16,32.6,-0.03,-1086.6666666666667
2002-04-17,32.22,-0.03,-1074.0
2002-04-18,31.85,-0.03,-1061.6666666666667
2002-04-19,31.9,-0.03,-1063.3333333333333
2002-04-22,32.75,-0.03,-1091.6666666666667
2002-04-23,32.6,-0.03,-1086.6666666666667
2002-04-24,32.9,-0.03,-1096.6666666666667
2002-04-25,32.48,-0.03,-1082.6666666666665
2002-04-26,31.77,-0.03,-1059.0
2002-04-29,32.0,-0.03,-1066.6666666666667
2002-04-30,32.1,-0.03,-1070.0
2002-05-01,32.1,-0.03,-1070.0
2002-05-02,32.11,-0.03,-1070.3333333333333
2002-05-03,32.1,-0.03,-1070.0
2002-05-06,31.67,-0.03,-1055.6666666666667
2002-05-07,31.16,-0.03,-1038.6666666666667
2002-05-08,33.27,-0.03,-1109.0000000000002
2002-05-09,32.8,-0.03,-1093.3333333333333
2002-05-10,32.99,-0.03,-1099.6666666666667
2002-05-13,33.16,-0.03,-1105.3333333333333
2002-05-14,33.9,-0.03,-1130.0
2002-05-15,33.65,0.47,71.59574468085107
2002-05-16,33.52,0.47,71.31914893617022
2002-05-17,34.13,0.47,72.61702127659575
2002-05-20,33.95,0.47,72.2340425531915
2002-05-21,33.7,0.47,71.70212765957447
2002-05-22,33.29,0.47,70.82978723404256
2002-05-23,34.05,0.47,72.44680851063829
2002-05-24,33.8,0.47,71.91489361702128
2002-05-28,33.76,0.47,71.82978723404256
2002-05-29,33.3,0.47,70.85106382978724
2002-05-30,33.75,0.47,71.80851063829788
2002-05-31,34.49,0.47,73.38297872340426
2002-06-03,34.4,0.47,73.19148936170212
2002-06-04,34.31,0.47,73.00000000000001
