date,MTB,MTB_EPS,PE Ratio
,,0.18,
1980-03-17,0.54,0.18,3.0000000000000004
1980-03-18,0.53,0.18,2.9444444444444446
1980-03-19,0.54,0.18,3.0000000000000004
1980-03-20,0.54,0.18,3.0000000000000004
1980-03-21,0.54,0.18,3.0000000000000004
1980-03-24,0.54,0.18,3.0000000000000004
1980-03-25,0.53,0.18,2.9444444444444446
1980-03-26,0.53,0.18,2.9444444444444446
1980-03-27,0.48,0.18,2.6666666666666665
1980-03-28,0.49,0.18,2.7222222222222223
1980-03-31,0.49,0.18,2.7222222222222223
1980-04-01,0.49,0.18,2.7222222222222223
1980-04-02,0.5,0.18,2.7777777777777777
1980-04-03,0.49,0.18,2.7222222222222223
1980-04-07,0.48,0.18,2.6666666666666665
1980-04-08,0.48,0.18,2.6666666666666665
1980-04-09,0.48,0.18,2.6666666666666665
1980-04-10,0.49,0.18,2.7222222222222223
1980-04-11,0.49,0.18,2.7222222222222223
1980-04-14,0.49,0.18,2.7222222222222223
1980-04-15,0.47,0.18,2.611111111111111
1980-04-16,0.48,0.18,2.6666666666666665
1980-04-17,0.49,0.18,2.7222222222222223
1980-04-18,0.5,0.18,2.7777777777777777
1980-04-21,0.49,0.18,2.7222222222222223
1980-04-22,0.49,0.18,2.7222222222222223
1980-04-23,0.51,0.18,2.8333333333333335
1980-04-24,0.52,0.18,2.8888888888888893
1980-04-25,0.52,0.18,2.8888888888888893
1980-04-28,0.54,0.18,3.0000000000000004
1980-04-29,0.54,0.18,3.0000000000000004
1980-04-30,0.54,0.18,3.0000000000000004
1980-05-01,0.54,0.18,3.0000000000000004
1980-05-02,0.55,0.18,3.055555555555556
1980-05-05,0.6,0.18,3.3333333333333335
1980-05-06,0.59,0.18,3.2777777777777777
1980-05-07,0.6,0.18,3.3333333333333335
1980-05-08,0.6,0.18,3.3333333333333335
1980-05-09,0.6,0.18,3.3333333333333335
1980-05-12,0.61,0.18,3.388888888888889
1980-05-13,0.64,0.18,3.555555555555556
1980-05-14,0.64,0.18,3.555555555555556
1980-05-15,0.64,0.18,3.555555555555556
1980-05-16,0.64,0.18,3.555555555555556
1980-05-19,0.64,0.18,3.555555555555556
1980-05-20,0.64,0.18,3.555555555555556
1980-05-21,0.63,0.18,3.5
1980-05-22,0.63,0.18,3.5
1980-05-23,0.64,0.18,3.555555555555556
1980-05-27,0.64,0.18,3.555555555555556
1980-05-28,0.63,0.18,3.5
1980-05-29,0.61,0.18,3.388888888888889
1980-05-30,0.62,0.18,3.4444444444444446
1980-06-02,0.62,0.18,3.4444444444444446
1980-06-03,0.61,0.18,3.388888888888889
1980-06-04,0.61,0.18,3.388888888888889
1980-06-05,0.62,0.18,3.4444444444444446
1980-06-06,0.62,0.18,3.4444444444444446
1980-06-09,0.61,0.18,3.388888888888889
1980-06-10,0.6,0.18,3.3333333333333335
1980-06-11,0.6,0.18,3.3333333333333335
1980-06-12,0.6,0.18,3.3333333333333335
1980-06-13,0.6,0.18,3.3333333333333335
1980-06-16,0.6,0.18,3.3333333333333335
1980-06-17,0.6,0.18,3.3333333333333335
1980-06-18,0.61,0.18,3.388888888888889
1980-06-19,0.61,0.18,3.388888888888889
1980-06-20,0.61,0.18,3.388888888888889
1980-06-23,0.61,0.18,3.388888888888889
1980-06-24,0.61,0.18,3.388888888888889
1980-06-25,0.61,0.18,3.388888888888889
