date,AVGO,AVGO_EPS,PE Ratio
,,-0.08,
2009-08-06,16.18,-0.08,-202.25
2009-08-07,16.43,-0.08,-205.375
2009-08-10,15.97,-0.08,-199.625
2009-08-11,15.67,-0.08,-195.875
2009-08-12,16.0,-0.08,-200.0
2009-08-13,16.55,-0.08,-206.875
2009-08-14,16.6,-0.08,-207.5
2009-08-17,16.22,-0.08,-202.74999999999997
2009-08-18,17.07,-0.08,-213.375
2009-08-19,17.89,-0.08,-223.625
2009-08-20,17.76,-0.08,-222.00000000000003
2009-08-21,17.82,-0.08,-222.75
2009-08-24,17.5,-0.08,-218.75
2009-08-25,17.85,-0.08,-223.125
2009-08-26,17.85,-0.08,-223.125
2009-08-27,18.16,-0.08,-227.0
2009-08-28,18.47,-0.08,-230.87499999999997
2009-08-31,18.2,-0.08,-227.5
2009-09-01,17.85,-0.08,-223.125
2009-09-02,17.68,-0.08,-221.0
2009-09-03,17.45,0.05,348.99999999999994
2009-09-04,17.76,0.05,355.2
2009-09-08,17.7,0.05,353.99999999999994
2009-09-09,17.26,0.05,345.2
2009-09-10,17.05,0.05,341.0
2009-09-11,16.88,0.05,337.59999999999997
2009-09-14,16.65,0.05,332.99999999999994
2009-09-15,17.18,0.05,343.59999999999997
2009-09-16,17.58,0.05,351.59999999999997
2009-09-17,16.64,0.05,332.8
2009-09-18,16.2,0.05,323.99999999999994
2009-09-21,16.61,0.05,332.2
2009-09-22,17.25,0.05,345.0
2009-09-23,17.4,0.05,347.99999999999994
2009-09-24,17.49,0.05,349.79999999999995
2009-09-25,17.13,0.05,342.59999999999997
2009-09-28,17.65,0.05,352.99999999999994
2009-09-29,17.03,0.05,340.6
2009-09-30,17.07,0.05,341.4
2009-10-01,16.31,0.05,326.19999999999993
2009-10-02,16.09,0.05,321.79999999999995
2009-10-05,16.49,0.05,329.79999999999995
2009-10-06,16.47,0.05,329.4
2009-10-07,16.13,0.05,322.59999999999997
2009-10-08,16.01,0.05,320.2
2009-10-09,16.25,0.05,325.0
2009-10-12,16.34,0.05,326.79999999999995
2009-10-13,16.53,0.05,330.6
2009-10-14,16.86,0.05,337.2
2009-10-15,17.16,0.05,343.2
2009-10-16,16.43,0.05,328.59999999999997
2009-10-19,16.24,0.05,324.79999999999995
2009-10-20,16.53,0.05,330.6
2009-10-21,16.49,0.05,329.79999999999995
2009-10-22,16.28,0.05,325.6
2009-10-23,16.05,0.05,321.0
2009-10-26,15.84,0.05,316.79999999999995
2009-10-27,15.45,0.05,308.99999999999994
2009-10-28,14.93,0.05,298.59999999999997
2009-10-29,15.04,0.05,300.79999999999995
2009-10-30,15.0,0.05,300.0
2009-11-02,14.87,0.05,297.4
2009-11-03,14.49,0.05,289.8
2009-11-04,14.78,0.05,295.59999999999997
2009-11-05,15.32,0.05,306.4
2009-11-06,15.29,0.05,305.79999999999995
2009-11-09,15.66,0.05,313.2
2009-11-10,15.45,0.05,308.99999999999994
2009-11-11,15.36,0.05,307.2
2009-11-12,15.6,0.05,312.0
2009-11-13,15.58,0.05,311.59999999999997
2009-11-16,16.01,0.05,320.2
2009-11-17,16.07,0.05,321.4
2009-11-18,16.03,0.05,320.6
2009-11-19,15.57,0.05,311.4
2009-11-20,15.44,0.05,308.79999999999995
2009-11-23,15.19,0.05,303.79999999999995
2009-11-24,15.26,0.05,305.2
2009-11-25,15.5,0.05,310.0
2009-11-27,15.86,0.05,317.2
2009-11-30,15.86,0.05,317.2
2009-12-01,15.96,0.05,319.2
2009-12-02,15.61,0.05,312.2
2009-12-03,15.93,0.05,318.59999999999997
2009-12-04,16.52,0.05,330.4
2009-12-07,16.87,0.05,337.4
2009-12-08,16.75,0.05,335.0
2009-12-09,16.81,0.05,336.19999999999993
2009-12-10,16.77,0.05,335.4
2009-12-11,16.58,0.05,331.59999999999997
2009-12-14,16.85,0.05,337.0
2009-12-15,16.74,0.05,334.79999999999995
2009-12-16,17.0,0.05,340.0
2009-12-17,16.31,0.05,326.19999999999993
2009-12-18,16.39,0.05,327.8
2009-12-21,16.49,0.05,329.79999999999995
2009-12-22,16.73,0.05,334.59999999999997
2009-12-23,16.78,0.05,335.6
2009-12-24,16.78,0.05,335.6
2009-12-28,17.38,0.05,347.59999999999997
2009-12-29,17.53,0.05,350.6
2009-12-30,17.69,0.05,353.8
2009-12-31,18.29,0.05,365.79999999999995
2010-01-04,18.86,0.05,377.2
2010-01-05,19.0,0.05,380.0
2010-01-06,19.15,0.05,382.99999999999994
2010-01-07,19.03,0.05,380.6
2010-01-08,19.17,0.05,383.40000000000003
2010-01-11,19.29,0.05,385.79999999999995
2010-01-12,19.0,0.05,380.0
2010-01-13,18.42,0.05,368.40000000000003
2010-01-14,18.43,0.05,368.59999999999997
2010-01-15,18.24,0.05,364.79999999999995
2010-01-19,17.81,0.05,356.19999999999993
2010-01-20,17.96,0.05,359.2
