date,PYPL,PYPL_EPS,PE Ratio
,,0.46,
2015-07-06,36.71,0.46,79.80434782608695
2015-07-07,36.62,0.46,79.6086956521739
2015-07-08,34.7,0.46,75.43478260869566
2015-07-09,34.5,0.46,75.0
2015-07-10,34.69,0.46,75.41304347826086
2015-07-13,36.78,0.46,79.95652173913044
2015-07-14,36.93,0.46,80.28260869565217
2015-07-15,37.51,0.46,81.54347826086956
2015-07-16,38.63,0.46,83.97826086956522
2015-07-17,38.39,0.46,83.45652173913044
2015-07-20,40.47,0.46,87.9782608695652
2015-07-21,39.35,0.46,85.54347826086956
2015-07-22,38.39,0.46,83.45652173913044
2015-07-23,37.01,0.46,80.45652173913042
2015-07-24,37.0,0.46,80.43478260869564
2015-07-27,36.39,0.46,79.1086956521739
2015-07-28,37.6,0.46,81.73913043478261
2015-07-29,37.95,0.46,82.5
2015-07-30,38.45,0.46,83.58695652173914
2015-07-31,38.7,0.46,84.1304347826087
2015-08-03,39.39,0.46,85.63043478260869
2015-08-04,38.95,0.46,84.67391304347827
2015-08-05,39.27,0.46,85.36956521739131
2015-08-06,38.85,0.46,84.45652173913044
2015-08-07,39.13,0.46,85.06521739130434
2015-08-10,39.05,0.46,84.89130434782608
2015-08-11,38.85,0.46,84.45652173913044
2015-08-12,38.19,0.46,83.02173913043477
2015-08-13,37.62,0.46,81.78260869565216
2015-08-14,38.14,0.46,82.91304347826086
2015-08-17,38.73,0.46,84.19565217391303
2015-08-18,37.99,0.46,82.58695652173913
2015-08-19,37.19,0.46,80.84782608695652
2015-08-20,35.98,0.46,78.21739130434781
2015-08-21,34.25,0.46,74.45652173913044
2015-08-24,33.75,0.46,73.3695652173913
2015-08-25,32.7,0.46,71.08695652173914
2015-08-26,33.17,0.46,72.1086956521739
2015-08-27,34.62,0.46,75.26086956521738
2015-08-28,35.04,0.46,76.17391304347825
2015-08-31,35.0,0.46,76.08695652173913
2015-09-01,33.77,0.46,73.41304347826087
2015-09-02,35.07,0.46,76.23913043478261
2015-09-03,35.31,0.46,76.76086956521739
2015-09-04,34.29,0.46,74.54347826086956
2015-09-08,34.7,0.46,75.43478260869566
2015-09-09,34.37,0.46,74.71739130434781
2015-09-10,33.46,0.46,72.73913043478261
2015-09-11,33.55,0.46,72.93478260869564
2015-09-14,33.77,0.46,73.41304347826087
2015-09-15,33.8,0.46,73.4782608695652
2015-09-16,33.77,0.46,73.41304347826087
2015-09-17,33.32,0.46,72.43478260869566
2015-09-18,32.92,0.46,71.56521739130434
2015-09-21,34.25,0.46,74.45652173913044
2015-09-22,33.35,0.46,72.5
2015-09-23,34.16,0.46,74.26086956521738
2015-09-24,33.91,0.46,73.71739130434781
2015-09-25,33.77,0.46,73.41304347826087
2015-09-28,32.25,0.46,70.1086956521739
2015-09-29,30.63,0.46,66.58695652173913
2015-09-30,31.04,0.46,67.47826086956522
2015-10-01,31.48,0.46,68.43478260869566
2015-10-02,32.83,0.46,71.3695652173913
2015-10-05,32.67,0.46,71.02173913043478
2015-10-06,31.86,0.46,69.26086956521739
2015-10-07,32.38,0.46,70.3913043478261
2015-10-08,31.67,0.46,68.84782608695652
2015-10-09,32.06,0.46,69.69565217391305
2015-10-12,32.63,0.46,70.93478260869566
2015-10-13,33.22,0.46,72.21739130434781
2015-10-14,34.05,0.46,74.02173913043477
2015-10-15,34.62,0.46,75.26086956521738
2015-10-16,34.29,0.46,74.54347826086956
2015-10-19,34.84,0.46,75.73913043478261
2015-10-20,34.87,0.46,75.80434782608695
2015-10-21,33.83,0.46,73.54347826086956
2015-10-22,34.79,0.46,75.63043478260869
2015-10-23,34.99,0.46,76.06521739130434
2015-10-26,36.44,0.46,79.21739130434781
2015-10-27,35.94,0.46,78.13043478260869
2015-10-28,36.52,0.46,79.3913043478261
2015-10-29,35.91,0.25,143.64
2015-10-30,36.01,0.25,144.04
2015-11-02,36.99,0.25,147.96
2015-11-03,37.9,0.25,151.6
2015-11-04,37.6,0.25,150.4
2015-11-05,36.71,0.25,146.84
2015-11-06,36.24,0.25,144.96
2015-11-09,36.6,0.25,146.4
2015-11-10,37.0,0.25,148.0
2015-11-11,36.33,0.25,145.32
2015-11-12,35.57,0.25,142.28
2015-11-13,34.53,0.25,138.12
