date,FOXA,FOXA_EPS,PE Ratio
,,0.63,
2019-03-12,38.0,0.63,60.317460317460316
2019-03-13,39.75,0.63,63.095238095238095
2019-03-14,40.65,0.63,64.52380952380952
2019-03-15,41.7,0.63,66.19047619047619
2019-03-18,41.7,0.63,66.19047619047619
2019-03-19,40.34,0.63,64.03174603174604
2019-03-20,38.62,0.63,61.3015873015873
2019-03-21,40.02,0.63,63.523809523809526
2019-03-22,38.72,0.63,61.460317460317455
2019-03-25,37.44,0.63,59.42857142857142
2019-03-26,37.54,0.63,59.58730158730159
2019-03-27,36.92,0.63,58.60317460317461
2019-03-28,36.4,0.63,57.77777777777778
2019-03-29,36.71,0.63,58.26984126984127
2019-04-01,36.85,0.63,58.492063492063494
2019-04-02,36.28,0.63,57.58730158730159
2019-04-03,36.08,0.63,57.269841269841265
2019-04-04,36.76,0.63,58.34920634920635
2019-04-05,37.68,0.63,59.80952380952381
2019-04-08,37.47,0.63,59.476190476190474
2019-04-09,37.31,0.63,59.22222222222223
2019-04-10,36.48,0.63,57.9047619047619
2019-04-11,37.09,0.63,58.87301587301588
2019-04-12,37.53,0.63,59.57142857142857
2019-04-15,37.53,0.63,59.57142857142857
2019-04-16,37.75,0.63,59.92063492063492
2019-04-17,38.84,0.63,61.65079365079366
2019-04-18,38.44,0.63,61.01587301587301
2019-04-22,37.7,0.63,59.84126984126984
2019-04-23,38.08,0.63,60.44444444444444
2019-04-24,37.96,0.63,60.25396825396825
2019-04-25,38.15,0.63,60.55555555555555
2019-04-26,38.48,0.63,61.079365079365076
2019-04-29,39.2,0.63,62.22222222222223
2019-04-30,38.99,0.63,61.88888888888889
2019-05-01,39.4,0.63,62.53968253968254
2019-05-02,37.28,0.63,59.17460317460318
2019-05-03,37.47,0.63,59.476190476190474
2019-05-06,37.92,0.63,60.19047619047619
2019-05-07,37.26,0.63,59.14285714285714
2019-05-08,37.42,0.63,59.3968253968254
2019-05-09,38.5,0.63,61.11111111111111
2019-05-10,38.53,1.01782,37.85541647835571
2019-05-13,37.97,1.01782,37.305220962449155
2019-05-14,37.89,1.01782,37.22662160303394
2019-05-15,37.71,1.01782,37.04977304434969
2019-05-16,36.74,1.01782,36.09675581144014
2019-05-17,37.32,1.01782,36.66660116720049
2019-05-20,37.14,1.01782,36.48975260851624
2019-05-21,37.69,1.01782,37.03012320449589
2019-05-22,37.12,1.01782,36.470102768662436
2019-05-23,36.91,1.01782,36.26377945019748
2019-05-24,36.92,1.01782,36.27360437012439
2019-05-28,36.64,1.01782,35.99850661217111
2019-05-29,35.79,1.01782,35.16338841838439
2019-05-30,35.22,1.01782,34.60336798255094
2019-05-31,35.23,1.01782,34.61319290247784
2019-06-03,34.24,1.01782,33.64052582971449
2019-06-04,34.48,1.01782,33.87632390796015
2019-06-05,34.36,1.01782,33.758424868837324
2019-06-06,34.12,1.01782,33.52262679059166
2019-06-07,34.01,1.01782,33.414552671395725
2019-06-10,34.03,1.01782,33.43420251124954
2019-06-11,34.18,1.01782,33.581576310153075
2019-06-12,35.05,1.01782,34.4363443437936
2019-06-13,35.29,1.01782,34.672142422039265
2019-06-14,35.24,1.01782,34.62301782240475
2019-06-17,36.13,1.01782,35.497435695899085
2019-06-18,36.19,1.01782,35.556385215460494
2019-06-19,35.99,1.01782,35.35988681692245
2019-06-20,35.58,1.01782,34.95706509991943
2019-06-21,36.18,1.01782,35.546560295533595
2019-06-24,35.8,1.01782,35.17321333831129
2019-06-25,35.34,1.01782,34.72126702167378
2019-06-26,35.47,1.01782,34.84899098072351
2019-06-27,35.99,1.01782,35.35988681692245
2019-06-28,36.64,1.01782,35.99850661217111
2019-07-01,35.92,1.01782,35.291112377434125
2019-07-02,36.59,1.01782,35.9493820125366
2019-07-03,36.35,1.01782,35.71358393429094
2019-07-05,36.6,1.01782,35.9592069324635
2019-07-08,36.13,1.01782,35.497435695899085
2019-07-09,36.02,1.01782,35.38936157670315
2019-07-10,36.14,1.01782,35.507260615825984
2019-07-11,36.29,1.01782,35.65463441472952
2019-07-12,36.96,1.01782,36.312904049832
2019-07-15,37.01,1.01782,36.36202864946651
2019-07-16,36.69,1.01782,36.04763121180562
2019-07-17,36.17,1.01782,35.53673537560669
2019-07-18,36.55,1.01782,35.910082332828985
2019-07-19,36.43,1.01782,35.79218329370616
2019-07-22,36.1,1.01782,35.467960936118374
2019-07-23,36.22,1.01782,35.5858599752412
2019-07-24,36.6,1.01782,35.9592069324635
2019-07-25,37.17,1.01782,36.51922736829695
