date,VRTX,VRTX_EPS,PE Ratio
,,-0.09,
1991-07-24,4.5,-0.09,-50.0
1991-07-25,4.56,-0.09,-50.666666666666664
1991-07-26,4.5,-0.09,-50.0
1991-07-29,4.63,-0.09,-51.44444444444444
1991-07-30,4.5,-0.09,-50.0
1991-07-31,4.5,-0.09,-50.0
1991-08-01,4.5,-0.09,-50.0
1991-08-02,4.56,-0.09,-50.666666666666664
1991-08-05,4.63,-0.09,-51.44444444444444
1991-08-06,4.63,-0.09,-51.44444444444444
1991-08-07,4.5,-0.09,-50.0
1991-08-08,4.56,-0.09,-50.666666666666664
1991-08-09,4.5,-0.09,-50.0
1991-08-12,4.5,-0.09,-50.0
1991-08-13,4.5,-0.09,-50.0
1991-08-14,4.63,-0.09,-51.44444444444444
1991-08-15,4.5,-0.09,-50.0
1991-08-16,4.5,-0.09,-50.0
1991-08-19,4.38,-0.09,-48.666666666666664
1991-08-20,4.38,-0.09,-48.666666666666664
1991-08-21,4.44,-0.09,-49.33333333333334
1991-08-22,4.38,-0.09,-48.666666666666664
1991-08-23,4.31,-0.09,-47.888888888888886
1991-08-26,4.56,-0.09,-50.666666666666664
1991-08-27,4.63,-0.09,-51.44444444444444
1991-08-28,4.69,-0.09,-52.111111111111114
1991-08-29,4.94,-0.09,-54.88888888888889
1991-08-30,5.19,-0.09,-57.66666666666667
1991-09-03,5.13,-0.09,-57.0
1991-09-04,5.0,-0.09,-55.55555555555556
1991-09-05,5.0,-0.09,-55.55555555555556
1991-09-06,5.0,-0.09,-55.55555555555556
1991-09-09,4.88,-0.09,-54.22222222222222
1991-09-10,5.06,-0.09,-56.22222222222222
1991-09-11,5.0,-0.09,-55.55555555555556
1991-09-12,5.19,-0.09,-57.66666666666667
1991-09-13,5.56,-0.09,-61.77777777777778
1991-09-16,5.56,-0.09,-61.77777777777778
1991-09-17,5.5,-0.09,-61.111111111111114
1991-09-18,5.69,-0.09,-63.22222222222223
1991-09-19,6.19,-0.09,-68.77777777777779
1991-09-20,6.63,-0.09,-73.66666666666667
1991-09-23,6.56,-0.09,-72.88888888888889
1991-09-24,6.56,-0.09,-72.88888888888889
1991-09-25,7.0,-0.09,-77.77777777777779
1991-09-26,7.63,-0.09,-84.77777777777779
1991-09-27,7.38,-0.09,-82.0
1991-09-30,7.38,-0.09,-82.0
1991-10-01,7.81,-0.09,-86.77777777777777
1991-10-02,7.81,-0.09,-86.77777777777777
1991-10-03,7.38,-0.09,-82.0
1991-10-04,7.5,-0.09,-83.33333333333334
1991-10-07,6.63,-0.09,-73.66666666666667
1991-10-08,6.81,-0.09,-75.66666666666667
1991-10-09,6.88,-0.09,-76.44444444444444
1991-10-10,6.88,-0.09,-76.44444444444444
1991-10-11,6.81,-0.09,-75.66666666666667
1991-10-14,6.88,-0.09,-76.44444444444444
1991-10-15,7.25,-0.09,-80.55555555555556
1991-10-16,7.81,-0.09,-86.77777777777777
1991-10-17,7.5,-0.09,-83.33333333333334
1991-10-18,7.63,-0.09,-84.77777777777779
1991-10-21,7.25,-0.09,-80.55555555555556
1991-10-22,6.75,-0.09,-75.0
1991-10-23,7.5,-0.09,-83.33333333333334
1991-10-24,7.56,-0.09,-84.0
1991-10-25,7.25,-0.09,-80.55555555555556
1991-10-28,7.25,-0.09,-80.55555555555556
1991-10-29,7.25,-0.09,-80.55555555555556
1991-10-30,7.44,-0.09,-82.66666666666667
1991-10-31,7.25,-0.09,-80.55555555555556
1991-11-01,7.56,-0.09,-84.0
1991-11-04,7.69,-0.09,-85.44444444444446
1991-11-05,7.69,-0.09,-85.44444444444446
1991-11-06,7.75,-0.09,-86.11111111111111
1991-11-07,7.63,-0.09,-84.77777777777779
1991-11-08,7.75,-0.09,-86.11111111111111
1991-11-11,7.56,-0.09,-84.0
1991-11-12,7.25,-0.09,-80.55555555555556
1991-11-13,7.19,-0.09,-79.8888888888889
1991-11-14,7.19,-0.09,-79.8888888888889
1991-11-15,6.44,-0.09,-71.55555555555556
1991-11-18,6.0,-0.09,-66.66666666666667
1991-11-19,5.75,-0.09,-63.88888888888889
1991-11-20,5.75,-0.09,-63.88888888888889
1991-11-21,5.69,-0.09,-63.22222222222223
1991-11-22,5.63,-0.09,-62.55555555555556
1991-11-25,5.56,-0.09,-61.77777777777778
1991-11-26,5.75,-0.09,-63.88888888888889
1991-11-27,5.81,-0.09,-64.55555555555556
1991-11-29,5.69,-0.09,-63.22222222222223
1991-12-02,5.75,-0.09,-63.88888888888889
1991-12-03,5.75,-0.09,-63.88888888888889
1991-12-04,6.25,-0.09,-69.44444444444444
1991-12-05,6.63,-0.09,-73.66666666666667
1991-12-06,7.0,-0.09,-77.77777777777779
