date,AMP,AMP_EPS,PE Ratio
,,0.76,
2005-09-15,37.01,0.76,48.69736842105263
2005-09-16,36.6,0.76,48.15789473684211
2005-09-19,36.7,0.76,48.28947368421053
2005-09-20,36.7,0.76,48.28947368421053
2005-09-21,36.4,0.76,47.89473684210526
2005-09-22,37.2,0.76,48.94736842105264
2005-09-23,37.68,0.76,49.578947368421055
2005-09-26,37.75,0.76,49.671052631578945
2005-09-27,37.25,0.76,49.01315789473684
2005-09-28,37.0,0.76,48.68421052631579
2005-09-29,36.6,0.76,48.15789473684211
2005-09-30,35.8,0.76,47.10526315789473
2005-10-03,34.7,0.76,45.65789473684211
2005-10-04,33.9,0.76,44.60526315789473
2005-10-05,33.65,0.76,44.276315789473685
2005-10-06,33.37,0.76,43.9078947368421
2005-10-07,33.6,0.76,44.21052631578947
2005-10-10,33.03,0.76,43.46052631578947
2005-10-11,33.0,0.76,43.421052631578945
2005-10-12,32.77,0.76,43.11842105263158
2005-10-13,32.55,0.76,42.82894736842105
2005-10-14,32.39,0.76,42.61842105263158
2005-10-17,32.48,0.76,42.73684210526315
2005-10-18,32.43,0.76,42.671052631578945
2005-10-19,33.16,0.76,43.63157894736842
2005-10-20,33.58,0.76,44.18421052631579
2005-10-21,34.0,0.76,44.73684210526316
2005-10-24,36.29,0.76,47.75
2005-10-25,37.18,0.76,48.921052631578945
2005-10-26,37.0,0.76,48.68421052631579
2005-10-27,36.28,0.76,47.73684210526316
2005-10-28,37.1,0.76,48.81578947368421
2005-10-31,37.22,0.76,48.973684210526315
2005-11-01,36.56,0.76,48.10526315789474
2005-11-02,36.8,0.76,48.421052631578945
2005-11-03,37.42,0.76,49.23684210526316
2005-11-04,37.17,0.76,48.90789473684211
2005-11-07,37.02,0.76,48.71052631578948
2005-11-08,36.96,0.76,48.631578947368425
2005-11-09,37.88,0.76,49.8421052631579
2005-11-10,38.92,0.76,51.21052631578947
2005-11-11,38.91,0.76,51.19736842105262
2005-11-14,39.34,0.76,51.76315789473684
2005-11-15,39.21,0.76,51.5921052631579
2005-11-16,39.83,0.76,52.4078947368421
2005-11-17,40.0,0.76,52.63157894736842
2005-11-18,39.92,0.76,52.526315789473685
2005-11-21,41.58,0.76,54.71052631578947
2005-11-22,42.15,0.76,55.46052631578947
2005-11-23,43.47,0.76,57.19736842105263
2005-11-25,43.45,0.76,57.17105263157895
2005-11-28,43.9,0.76,57.76315789473684
2005-11-29,42.55,0.76,55.98684210526315
2005-11-30,42.05,0.76,55.32894736842105
2005-12-01,43.31,0.76,56.98684210526316
2005-12-02,43.23,0.76,56.88157894736842
2005-12-05,43.52,0.76,57.26315789473684
2005-12-06,43.61,0.76,57.38157894736842
2005-12-07,43.36,0.76,57.05263157894737
2005-12-08,43.65,0.76,57.43421052631579
2005-12-09,43.76,0.76,57.57894736842105
2005-12-12,43.13,0.76,56.75
2005-12-13,42.83,0.76,56.35526315789473
2005-12-14,41.53,0.76,54.64473684210527
2005-12-15,41.19,0.76,54.19736842105263
2005-12-16,42.26,0.76,55.60526315789473
2005-12-19,41.31,0.76,54.35526315789474
2005-12-20,41.57,0.76,54.69736842105263
2005-12-21,41.55,0.76,54.671052631578945
2005-12-22,41.93,0.76,55.171052631578945
2005-12-23,41.93,0.76,55.171052631578945
2005-12-27,40.9,0.76,53.815789473684205
2005-12-28,41.05,0.76,54.013157894736835
2005-12-29,40.84,0.76,53.736842105263165
2005-12-30,41.0,0.76,53.94736842105263
2006-01-03,42.1,0.76,55.39473684210527
2006-01-04,43.42,0.76,57.131578947368425
2006-01-05,43.93,0.76,57.80263157894737
2006-01-06,43.6,0.76,57.36842105263158
2006-01-09,45.09,0.76,59.328947368421055
2006-01-10,44.66,0.76,58.763157894736835
2006-01-11,44.2,0.76,58.15789473684211
2006-01-12,44.16,0.76,58.10526315789473
2006-01-13,43.88,0.76,57.73684210526316
2006-01-17,43.53,0.76,57.276315789473685
2006-01-18,42.32,0.76,55.68421052631579
2006-01-19,42.6,0.76,56.05263157894737
2006-01-20,42.2,0.76,55.526315789473685
2006-01-23,43.5,0.76,57.23684210526316
2006-01-24,43.48,0.76,57.210526315789465
2006-01-25,43.21,0.76,56.85526315789474
2006-01-26,43.3,0.76,56.97368421052631
2006-01-27,42.4,0.76,55.78947368421052
2006-01-30,41.55,0.76,54.671052631578945
2006-01-31,40.69,0.76,53.53947368421052
2006-02-01,41.25,0.76,54.276315789473685
2006-02-02,42.51,0.76,55.93421052631579
2006-02-03,42.6,0.76,56.05263157894737
2006-02-06,43.33,0.76,57.01315789473684
2006-02-07,43.55,0.76,57.30263157894736
2006-02-08,43.81,0.76,57.64473684210527
2006-02-09,43.92,0.76,57.78947368421053
2006-02-10,43.57,0.76,57.328947368421055
2006-02-13,42.88,0.76,56.42105263157895
