date,AON,AON_EPS,PE Ratio
,,0.28,
1989-09-19,10.19,0.28,36.39285714285714
1989-09-20,10.33,0.28,36.89285714285714
1989-09-21,10.52,0.28,37.57142857142857
1989-09-22,10.37,0.28,37.03571428571428
1989-09-25,10.22,0.28,36.5
1989-09-26,10.19,0.28,36.39285714285714
1989-09-27,10.04,0.28,35.857142857142854
1989-09-28,10.04,0.28,35.857142857142854
1989-09-29,10.15,0.28,36.25
1989-10-02,10.26,0.28,36.64285714285714
1989-10-03,10.63,0.28,37.964285714285715
1989-10-04,10.56,0.28,37.714285714285715
1989-10-05,10.59,0.28,37.82142857142857
1989-10-06,10.74,0.28,38.357142857142854
1989-10-09,10.63,0.28,37.964285714285715
1989-10-10,10.67,0.28,38.107142857142854
1989-10-11,10.67,0.28,38.107142857142854
1989-10-12,10.56,0.28,37.714285714285715
1989-10-13,10.3,0.28,36.785714285714285
1989-10-16,10.07,0.28,35.964285714285715
1989-10-17,10.0,0.28,35.71428571428571
1989-10-18,10.26,0.28,36.64285714285714
1989-10-19,10.67,0.28,38.107142857142854
1989-10-20,10.85,0.28,38.74999999999999
1989-10-23,10.93,0.28,39.03571428571428
1989-10-24,10.78,0.28,38.49999999999999
1989-10-25,10.96,0.28,39.14285714285714
1989-10-26,10.89,0.28,38.89285714285714
1989-10-27,10.74,0.28,38.357142857142854
1989-10-30,10.63,0.28,37.964285714285715
1989-10-31,10.59,0.28,37.82142857142857
1989-11-01,10.67,0.28,38.107142857142854
1989-11-02,10.67,0.28,38.107142857142854
1989-11-03,10.7,0.28,38.21428571428571
1989-11-06,10.81,0.28,38.607142857142854
1989-11-07,10.85,0.28,38.74999999999999
1989-11-08,10.96,0.28,39.14285714285714
1989-11-09,10.96,0.28,39.14285714285714
1989-11-10,11.07,0.28,39.535714285714285
1989-11-13,11.26,0.28,40.21428571428571
1989-11-14,11.3,0.28,40.357142857142854
1989-11-15,11.41,0.28,40.75
1989-11-16,11.59,0.28,41.39285714285714
1989-11-17,11.56,0.28,41.285714285714285
1989-11-20,11.41,0.28,40.75
1989-11-21,11.52,0.28,41.14285714285714
1989-11-22,11.44,0.28,40.857142857142854
1989-11-24,11.44,0.28,40.857142857142854
1989-11-27,11.41,0.28,40.75
1989-11-28,11.52,0.28,41.14285714285714
1989-11-29,11.52,0.28,41.14285714285714
1989-11-30,11.52,0.28,41.14285714285714
1989-12-01,11.74,0.28,41.92857142857142
1989-12-04,12.07,0.28,43.107142857142854
1989-12-05,12.48,0.28,44.57142857142857
1989-12-06,12.48,0.28,44.57142857142857
1989-12-07,12.33,0.28,44.035714285714285
1989-12-08,12.11,0.28,43.24999999999999
1989-12-11,12.0,0.28,42.857142857142854
1989-12-12,12.07,0.28,43.107142857142854
1989-12-13,12.22,0.28,43.64285714285714
1989-12-14,12.15,0.28,43.39285714285714
1989-12-15,12.04,0.28,42.99999999999999
1989-12-18,12.07,0.28,43.107142857142854
1989-12-19,11.67,0.28,41.67857142857142
1989-12-20,11.48,0.28,41.0
1989-12-21,11.74,0.28,41.92857142857142
1989-12-22,11.85,0.28,42.32142857142857
1989-12-26,11.96,0.28,42.714285714285715
1989-12-27,12.81,0.28,45.75
1989-12-28,12.44,0.28,44.42857142857142
1989-12-29,12.52,0.28,44.71428571428571
1990-01-02,12.56,0.28,44.857142857142854
1990-01-03,12.52,0.28,44.71428571428571
1990-01-04,12.33,0.28,44.035714285714285
1990-01-05,12.07,0.28,43.107142857142854
1990-01-08,11.85,0.28,42.32142857142857
1990-01-09,11.93,0.28,42.607142857142854
1990-01-10,11.89,0.28,42.464285714285715
1990-01-11,11.7,0.28,41.78571428571428
1990-01-12,11.63,0.28,41.535714285714285
1990-01-15,11.7,0.28,41.78571428571428
1990-01-16,11.81,0.28,42.17857142857142
1990-01-17,11.56,0.28,41.285714285714285
1990-01-18,11.44,0.28,40.857142857142854
1990-01-19,11.52,0.28,41.14285714285714
1990-01-22,11.48,0.28,41.0
1990-01-23,11.48,0.28,41.0
1990-01-24,11.33,0.28,40.46428571428571
1990-01-25,11.19,0.28,39.96428571428571
1990-01-26,11.11,0.28,39.67857142857142
1990-01-29,11.11,0.28,39.67857142857142
1990-01-30,10.96,0.28,39.14285714285714
1990-01-31,11.0,0.28,39.285714285714285
1990-02-01,11.04,0.28,39.42857142857142
1990-02-02,11.15,0.28,39.82142857142857
1990-02-05,10.89,0.28,38.89285714285714
1990-02-06,10.96,0.28,39.14285714285714
1990-02-07,10.93,0.28,39.03571428571428
1990-02-08,10.96,0.28,39.14285714285714
1990-02-09,11.07,0.28,39.535714285714285
1990-02-12,11.0,0.28,39.285714285714285
1990-02-13,11.19,0.28,39.96428571428571
