date,SLG,SLG_EPS,PE Ratio
,,0.01,
1997-08-15,25.0,0.01,2500.0
1997-08-18,24.88,0.01,2488.0
1997-08-19,24.38,0.01,2438.0
1997-08-20,23.75,0.01,2375.0
1997-08-21,23.06,0.01,2306.0
1997-08-22,23.5,0.01,2350.0
1997-08-25,23.5,0.01,2350.0
1997-08-26,23.63,0.01,2363.0
1997-08-27,23.5,0.01,2350.0
1997-08-28,23.69,0.01,2369.0
1997-08-29,23.88,0.01,2388.0
1997-09-02,24.38,0.01,2438.0
1997-09-03,24.31,0.01,2431.0
1997-09-04,24.5,0.01,2450.0
1997-09-05,24.38,0.01,2438.0
1997-09-08,24.25,0.01,2425.0
1997-09-09,24.5,0.01,2450.0
1997-09-10,24.69,0.01,2469.0
1997-09-11,24.31,0.01,2431.0
1997-09-12,24.31,0.01,2431.0
1997-09-15,24.0,0.01,2400.0
1997-09-16,25.25,0.01,2525.0
1997-09-17,24.75,0.01,2475.0
1997-09-18,25.13,0.01,2513.0
1997-09-19,25.06,0.01,2506.0
1997-09-22,25.25,0.01,2525.0
1997-09-23,24.94,0.01,2494.0
1997-09-24,24.81,0.01,2481.0
1997-09-25,25.25,0.01,2525.0
1997-09-26,25.5,0.01,2550.0
1997-09-29,25.69,0.01,2569.0
1997-09-30,25.88,0.01,2588.0
1997-10-01,25.88,0.01,2588.0
1997-10-02,26.38,0.01,2638.0
1997-10-03,26.94,0.01,2694.0
1997-10-06,26.38,0.01,2638.0
1997-10-07,26.13,0.01,2613.0
1997-10-08,26.25,0.01,2625.0
1997-10-09,26.0,0.01,2600.0
1997-10-10,25.81,0.01,2581.0
1997-10-13,25.88,0.01,2588.0
1997-10-14,26.06,0.01,2606.0
1997-10-15,25.94,0.01,2594.0
1997-10-16,25.75,0.01,2575.0
1997-10-17,25.5,0.01,2550.0
1997-10-20,25.38,0.01,2538.0
1997-10-21,26.38,0.01,2638.0
1997-10-22,26.0,0.01,2600.0
1997-10-23,25.63,0.01,2563.0
1997-10-24,25.63,0.01,2563.0
1997-10-27,23.69,0.01,2369.0
1997-10-28,25.69,0.01,2569.0
1997-10-29,25.19,0.01,2519.0
1997-10-30,25.0,0.01,2500.0
1997-10-31,25.06,0.01,2506.0
1997-11-03,24.88,0.01,2488.0
1997-11-04,24.44,0.01,2444.0
1997-11-05,24.69,0.01,2469.0
1997-11-06,24.38,0.01,2438.0
1997-11-07,24.25,0.01,2425.0
1997-11-10,24.88,0.01,2488.0
1997-11-11,25.13,0.01,2513.0
1997-11-12,25.63,0.01,2563.0
1997-11-13,25.19,0.16,157.4375
1997-11-14,25.31,0.16,158.1875
1997-11-17,25.25,0.16,157.8125
1997-11-18,25.75,0.16,160.9375
1997-11-19,25.81,0.16,161.3125
1997-11-20,26.0,0.16,162.5
1997-11-21,26.0,0.16,162.5
1997-11-24,25.5,0.16,159.375
1997-11-25,25.69,0.16,160.5625
1997-11-26,25.75,0.16,160.9375
1997-11-28,26.0,0.16,162.5
1997-12-01,26.0,0.16,162.5
1997-12-02,26.13,0.16,163.3125
1997-12-03,25.69,0.16,160.5625
1997-12-04,25.75,0.16,160.9375
1997-12-05,26.0,0.16,162.5
1997-12-08,25.75,0.16,160.9375
1997-12-09,26.0,0.16,162.5
1997-12-10,25.88,0.16,161.75
1997-12-11,25.88,0.16,161.75
1997-12-12,25.69,0.16,160.5625
1997-12-15,26.0,0.16,162.5
1997-12-16,26.5,0.16,165.625
1997-12-17,26.63,0.16,166.4375
1997-12-18,26.5,0.16,165.625
1997-12-19,26.19,0.16,163.6875
1997-12-22,26.13,0.16,163.3125
1997-12-23,26.19,0.16,163.6875
1997-12-24,26.25,0.16,164.0625
1997-12-26,26.13,0.16,163.3125
1997-12-29,26.13,0.16,163.3125
1997-12-30,26.25,0.16,164.0625
1997-12-31,25.94,0.16,162.125
1998-01-02,25.94,0.16,162.125
1998-01-05,25.88,0.16,161.75
1998-01-06,25.75,0.16,160.9375
1998-01-07,25.63,0.16,160.1875
1998-01-08,25.5,0.16,159.375
1998-01-09,25.5,0.16,159.375
1998-01-12,25.0,0.16,156.25
1998-01-13,25.13,0.16,157.0625
1998-01-14,25.56,0.16,159.75
1998-01-15,25.25,0.16,157.8125
1998-01-16,25.5,0.16,159.375
1998-01-20,26.0,0.16,162.5
1998-01-21,26.13,0.16,163.3125
1998-01-22,26.5,0.16,165.625
1998-01-23,26.5,0.16,165.625
1998-01-26,26.63,0.16,166.4375
1998-01-27,26.75,0.16,167.1875
1998-01-28,26.75,0.16,167.1875
1998-01-29,26.75,0.16,167.1875
1998-01-30,27.88,0.16,174.25
1998-02-02,27.44,0.16,171.5
1998-02-03,26.88,0.16,168.0
1998-02-04,26.56,0.16,166.0
1998-02-05,26.44,0.16,165.25
1998-02-06,26.31,0.16,164.4375
1998-02-09,26.19,0.16,163.6875
1998-02-10,26.0,0.16,162.5
1998-02-11,26.5,0.16,165.625
1998-02-12,26.13,0.16,163.3125
1998-02-13,26.5,0.16,165.625
1998-02-17,26.56,0.16,166.0
1998-02-18,26.13,0.16,163.3125
1998-02-19,26.25,0.16,164.0625
1998-02-20,26.5,0.16,165.625
1998-02-23,27.13,0.16,169.5625
1998-02-24,27.0,0.16,168.75
1998-02-25,26.88,0.16,168.0
1998-02-26,26.5,0.16,165.625
1998-02-27,26.56,0.16,166.0
1998-03-02,26.13,0.16,163.3125
1998-03-03,25.75,0.16,160.9375
1998-03-04,25.88,0.16,161.75
1998-03-05,25.0,0.16,156.25
1998-03-06,25.25,0.16,157.8125
1998-03-09,25.63,0.16,160.1875
1998-03-10,25.63,0.16,160.1875
1998-03-11,25.0,0.16,156.25
1998-03-12,25.19,0.16,157.4375
1998-03-13,24.25,0.16,151.5625
1998-03-16,24.13,0.16,150.8125
1998-03-17,24.38,0.16,152.375
1998-03-18,24.0,0.16,150.0
1998-03-19,24.19,0.16,151.1875
1998-03-20,24.88,0.16,155.5
1998-03-23,25.19,0.16,157.4375
1998-03-24,25.38,0.16,158.625
1998-03-25,25.06,0.16,156.625
1998-03-26,25.0,0.16,156.25
1998-03-27,25.56,0.16,159.75
1998-03-30,25.38,0.16,158.625
1998-03-31,25.56,0.16,159.75
1998-04-01,25.69,0.16,160.5625
1998-04-02,26.25,0.16,164.0625
1998-04-03,26.44,0.16,165.25
1998-04-06,26.5,0.16,165.625
1998-04-07,26.5,0.16,165.625
1998-04-08,26.38,0.16,164.875
1998-04-09,26.38,0.16,164.875
1998-04-13,26.0,0.16,162.5
1998-04-14,25.75,0.16,160.9375
1998-04-15,25.63,0.16,160.1875
1998-04-16,25.5,0.16,159.375
1998-04-17,25.0,0.16,156.25
1998-04-20,24.63,0.16,153.9375
1998-04-21,23.75,0.16,148.4375
1998-04-22,23.88,0.16,149.25
1998-04-23,23.88,0.16,149.25
1998-04-24,23.56,0.16,147.25
1998-04-27,23.38,0.16,146.125
1998-04-28,23.5,0.16,146.875
1998-04-29,23.81,0.16,148.8125
1998-04-30,24.0,0.16,150.0
1998-05-01,24.06,0.16,150.375
1998-05-04,24.0,0.16,150.0
1998-05-05,23.94,0.16,149.625
1998-05-06,23.56,0.16,147.25
1998-05-07,23.13,0.16,144.5625
1998-05-08,22.75,0.16,142.1875
1998-05-11,22.25,0.16,139.0625
1998-05-12,22.25,0.16,139.0625
1998-05-13,22.38,0.16,139.875
1998-05-14,22.25,0.16,139.0625
1998-05-15,22.31,0.33,67.6060606060606
1998-05-18,22.44,0.33,68.0
1998-05-19,22.69,0.33,68.75757575757576
1998-05-20,22.5,0.33,68.18181818181817
