date,AMD,AMD_EPS,PE Ratio
,,0.06,
1980-03-17,3.15,0.06,52.5
1980-03-18,3.03,0.06,50.5
1980-03-19,3.04,0.06,50.66666666666667
1980-03-20,3.01,0.06,50.166666666666664
1980-03-21,2.92,0.06,48.666666666666664
1980-03-24,2.67,0.06,44.5
1980-03-25,2.6,0.06,43.333333333333336
1980-03-26,2.45,0.06,40.833333333333336
1980-03-27,2.38,0.06,39.666666666666664
1980-03-28,2.54,0.06,42.333333333333336
1980-03-31,2.54,0.06,42.333333333333336
1980-04-01,2.74,0.06,45.66666666666667
1980-04-02,2.63,0.06,43.833333333333336
1980-04-03,2.64,0.06,44.00000000000001
1980-04-07,2.54,0.06,42.333333333333336
1980-04-08,2.59,0.06,43.166666666666664
1980-04-09,2.67,0.06,44.5
1980-04-10,2.74,0.06,45.66666666666667
1980-04-11,2.64,0.06,44.00000000000001
1980-04-14,2.56,0.06,42.66666666666667
1980-04-15,2.56,0.06,42.66666666666667
1980-04-16,2.35,0.06,39.16666666666667
1980-04-17,2.43,0.06,40.50000000000001
1980-04-18,2.32,0.06,38.666666666666664
1980-04-21,2.29,0.06,38.16666666666667
1980-04-22,2.56,0.06,42.66666666666667
1980-04-23,2.61,0.06,43.5
1980-04-24,2.78,0.06,46.33333333333333
1980-04-25,2.71,0.06,45.166666666666664
1980-04-28,2.73,0.06,45.5
1980-04-29,2.67,0.06,44.5
1980-04-30,2.55,0.06,42.5
1980-05-01,2.46,0.06,41.0
1980-05-02,2.47,0.06,41.16666666666667
1980-05-05,2.6,0.06,43.333333333333336
1980-05-06,2.69,0.06,44.833333333333336
1980-05-07,2.69,0.06,44.833333333333336
1980-05-08,2.6,0.06,43.333333333333336
1980-05-09,2.54,0.06,42.333333333333336
1980-05-12,2.61,0.06,43.5
1980-05-13,2.69,0.06,44.833333333333336
1980-05-14,2.77,0.06,46.16666666666667
1980-05-15,2.73,0.06,45.5
1980-05-16,2.67,0.06,44.5
1980-05-19,2.69,0.06,44.833333333333336
1980-05-20,2.75,0.06,45.833333333333336
1980-05-21,2.78,0.06,46.33333333333333
1980-05-22,2.92,0.06,48.666666666666664
1980-05-23,2.99,0.06,49.833333333333336
1980-05-27,3.01,0.06,50.166666666666664
1980-05-28,3.15,0.06,52.5
1980-05-29,3.08,0.06,51.333333333333336
1980-05-30,3.17,0.06,52.833333333333336
1980-06-02,3.1,0.06,51.66666666666667
1980-06-03,3.02,0.06,50.333333333333336
1980-06-04,3.07,0.06,51.166666666666664
