date,UHS,UHS_EPS,PE Ratio
,,0.05,
1981-07-09,1.27,0.05,25.4
1981-07-10,1.23,0.05,24.599999999999998
1981-07-13,1.22,0.05,24.4
1981-07-14,1.21,0.05,24.2
1981-07-15,1.17,0.05,23.4
1981-07-16,1.17,0.05,23.4
1981-07-17,1.17,0.05,23.4
1981-07-20,1.13,0.05,22.599999999999998
1981-07-21,1.11,0.05,22.2
1981-07-22,1.11,0.05,22.2
1981-07-23,1.11,0.05,22.2
1981-07-24,1.13,0.05,22.599999999999998
1981-07-27,1.16,0.05,23.199999999999996
1981-07-28,1.17,0.05,23.4
1981-07-29,1.18,0.05,23.599999999999998
1981-07-30,1.18,0.05,23.599999999999998
1981-07-31,1.18,0.05,23.599999999999998
1981-08-03,1.18,0.05,23.599999999999998
1981-08-04,1.17,0.05,23.4
1981-08-05,1.18,0.05,23.599999999999998
1981-08-06,1.18,0.05,23.599999999999998
1981-08-07,1.14,0.05,22.799999999999997
1981-08-10,1.14,0.05,22.799999999999997
1981-08-11,1.14,0.05,22.799999999999997
1981-08-12,1.14,0.05,22.799999999999997
1981-08-13,1.14,0.05,22.799999999999997
1981-08-14,1.13,0.05,22.599999999999998
1981-08-17,1.13,0.05,22.599999999999998
1981-08-18,1.05,0.05,21.0
1981-08-19,1.06,0.05,21.2
1981-08-20,1.06,0.05,21.2
1981-08-21,1.03,0.05,20.599999999999998
1981-08-24,0.98,0.05,19.599999999999998
1981-08-25,0.97,0.05,19.4
1981-08-26,0.94,0.05,18.799999999999997
1981-08-27,0.91,0.05,18.2
1981-08-28,0.92,0.05,18.4
1981-08-31,0.94,0.05,18.799999999999997
1981-09-01,0.94,0.05,18.799999999999997
1981-09-02,0.92,0.05,18.4
1981-09-03,0.92,0.05,18.4
1981-09-04,0.9,0.05,18.0
1981-09-08,0.88,0.05,17.599999999999998
1981-09-09,0.88,0.05,17.599999999999998
1981-09-10,0.89,0.05,17.8
1981-09-11,0.93,0.05,18.6
1981-09-14,0.93,0.05,18.6
1981-09-15,0.95,0.05,18.999999999999996
1981-09-16,0.95,0.05,18.999999999999996
1981-09-17,0.97,0.05,19.4
1981-09-18,0.97,0.05,19.4
1981-09-21,0.97,0.05,19.4
1981-09-22,0.91,0.05,18.2
1981-09-23,0.88,0.05,17.599999999999998
1981-09-24,0.87,0.05,17.4
1981-09-25,0.84,0.05,16.799999999999997
1981-09-28,0.81,0.05,16.2
1981-09-29,0.84,0.05,16.799999999999997
1981-09-30,0.84,0.05,16.799999999999997
