date,APTV,APTV_EPS,PE Ratio
,,0.57,
2011-11-17,17.88,0.57,31.36842105263158
2011-11-18,17.6,0.57,30.877192982456144
2011-11-21,17.02,0.57,29.85964912280702
2011-11-22,16.68,0.57,29.263157894736842
2011-11-23,16.45,0.57,28.859649122807017
2011-11-25,16.47,0.57,28.894736842105264
2011-11-28,16.8,0.57,29.47368421052632
2011-11-29,16.76,0.57,29.40350877192983
2011-11-30,17.47,0.57,30.649122807017545
2011-12-01,17.44,0.57,30.59649122807018
2011-12-02,17.91,0.57,31.42105263157895
2011-12-05,18.25,0.57,32.01754385964912
2011-12-06,18.55,0.57,32.54385964912281
2011-12-07,18.44,0.57,32.35087719298246
2011-12-08,18.18,0.57,31.894736842105264
2011-12-09,18.23,0.57,31.98245614035088
2011-12-12,18.03,0.57,31.631578947368425
2011-12-13,17.86,0.57,31.333333333333336
2011-12-14,17.3,0.57,30.35087719298246
2011-12-15,17.57,0.57,30.824561403508774
2011-12-16,17.58,0.57,30.842105263157894
2011-12-19,17.59,0.57,30.85964912280702
2011-12-20,18.02,0.57,31.6140350877193
2011-12-21,17.94,0.57,31.473684210526322
2011-12-22,18.26,0.57,32.035087719298254
2011-12-23,18.39,0.57,32.26315789473684
2011-12-27,18.15,0.57,31.842105263157894
2011-12-28,17.76,0.57,31.15789473684211
2011-12-29,17.95,0.57,31.49122807017544
2011-12-30,18.06,0.57,31.68421052631579
2012-01-03,18.64,0.57,32.70175438596492
2012-01-04,18.89,0.57,33.140350877192986
2012-01-05,18.56,0.57,32.56140350877193
2012-01-06,18.9,0.57,33.1578947368421
2012-01-09,19.04,0.57,33.40350877192983
2012-01-10,19.97,0.57,35.03508771929825
2012-01-11,20.08,0.57,35.228070175438596
2012-01-12,20.7,0.57,36.31578947368421
2012-01-13,20.79,0.57,36.473684210526315
2012-01-17,20.42,0.57,35.82456140350878
2012-01-18,20.54,0.57,36.03508771929825
2012-01-19,21.01,0.57,36.85964912280702
2012-01-20,21.04,0.57,36.91228070175439
2012-01-23,21.36,0.57,37.473684210526315
2012-01-24,21.63,0.57,37.94736842105263
2012-01-25,21.59,0.57,37.877192982456144
2012-01-26,21.75,0.57,38.15789473684211
2012-01-27,22.77,0.57,39.94736842105264
2012-01-30,22.7,0.57,39.824561403508774
2012-01-31,22.49,0.57,39.45614035087719
2012-02-01,23.96,0.57,42.035087719298254
2012-02-02,24.28,0.57,42.59649122807018
2012-02-03,25.78,0.57,45.2280701754386
2012-02-06,25.58,0.57,44.877192982456144
2012-02-07,25.21,0.57,44.2280701754386
2012-02-08,25.06,0.57,43.96491228070175
2012-02-09,24.98,0.57,43.824561403508774
2012-02-10,25.18,0.57,44.17543859649123
2012-02-13,25.16,0.57,44.140350877192986
2012-02-14,24.36,0.57,42.73684210526316
2012-02-15,24.63,0.57,43.21052631578947
2012-02-16,25.41,0.57,44.578947368421055
2012-02-17,26.23,0.57,46.01754385964913
2012-02-21,25.93,0.57,45.491228070175445
2012-02-22,26.0,0.57,45.6140350877193
2012-02-23,25.98,0.57,45.578947368421055
2012-02-24,26.31,0.57,46.15789473684211
2012-02-27,26.23,0.57,46.01754385964913
2012-02-28,26.72,0.57,46.877192982456144
2012-02-29,26.82,0.57,47.05263157894737
2012-03-01,26.82,0.57,47.05263157894737
2012-03-02,27.1,0.57,47.543859649122815
2012-03-05,26.52,0.57,46.526315789473685
2012-03-06,25.13,0.57,44.08771929824562
2012-03-07,25.16,0.57,44.140350877192986
2012-03-08,26.57,0.57,46.6140350877193
2012-03-09,26.68,0.57,46.80701754385965
2012-03-12,26.76,0.57,46.94736842105264
2012-03-13,26.78,0.57,46.982456140350884
2012-03-14,26.64,0.57,46.736842105263165
2012-03-15,26.59,0.57,46.64912280701755
2012-03-16,26.82,0.57,47.05263157894737
2012-03-19,26.45,0.57,46.40350877192983
2012-03-20,26.1,0.57,45.789473684210535
2012-03-21,26.2,0.57,45.96491228070176
2012-03-22,25.96,0.57,45.543859649122815
2012-03-23,25.96,0.57,45.543859649122815
2012-03-26,26.79,0.57,47.0
2012-03-27,26.75,0.57,46.929824561403514
2012-03-28,26.45,0.57,46.40350877192983
2012-03-29,26.63,0.57,46.719298245614034
2012-03-30,26.49,0.57,46.473684210526315
2012-04-02,26.45,0.57,46.40350877192983
2012-04-03,26.21,0.57,45.982456140350884
2012-04-04,26.51,0.57,46.50877192982457
2012-04-05,26.62,0.57,46.70175438596492
2012-04-09,26.21,0.57,45.982456140350884
2012-04-10,25.85,0.57,45.35087719298246
2012-04-11,26.4,0.57,46.31578947368421
2012-04-12,26.63,0.57,46.719298245614034
2012-04-13,26.7,0.57,46.8421052631579
2012-04-16,26.81,0.57,47.03508771929825
2012-04-17,26.92,0.57,47.2280701754386
2012-04-18,26.99,0.57,47.35087719298246
