date,IQV,IQV_EPS,PE Ratio
,,0.37,
2013-05-09,42.11,0.37,113.8108108108108
2013-05-10,42.39,0.37,114.56756756756756
2013-05-13,43.32,0.37,117.08108108108108
2013-05-14,44.43,0.42,105.78571428571429
2013-05-15,45.5,0.42,108.33333333333334
2013-05-16,45.85,0.42,109.16666666666667
2013-05-17,45.52,0.42,108.3809523809524
2013-05-20,45.38,0.42,108.04761904761905
2013-05-21,45.05,0.42,107.26190476190476
2013-05-22,44.65,0.42,106.30952380952381
2013-05-23,45.0,0.42,107.14285714285715
2013-05-24,45.03,0.42,107.21428571428572
2013-05-28,45.43,0.42,108.16666666666667
2013-05-29,44.47,0.42,105.88095238095238
2013-05-30,44.25,0.42,105.35714285714286
2013-05-31,44.04,0.42,104.85714285714286
2013-06-03,44.58,0.42,106.14285714285714
2013-06-04,43.19,0.42,102.83333333333333
2013-06-05,42.85,0.42,102.02380952380953
2013-06-06,43.23,0.42,102.92857142857143
2013-06-07,42.97,0.42,102.30952380952381
2013-06-10,43.64,0.42,103.90476190476191
2013-06-11,43.95,0.42,104.64285714285715
2013-06-12,43.0,0.42,102.38095238095238
2013-06-13,42.9,0.42,102.14285714285714
2013-06-14,43.09,0.42,102.5952380952381
2013-06-17,43.53,0.42,103.64285714285715
2013-06-18,43.89,0.42,104.5
2013-06-19,43.79,0.42,104.26190476190476
2013-06-20,43.34,0.42,103.1904761904762
2013-06-21,44.19,0.42,105.21428571428571
2013-06-24,43.32,0.42,103.14285714285715
2013-06-25,43.0,0.42,102.38095238095238
2013-06-26,42.02,0.42,100.04761904761907
2013-06-27,42.33,0.42,100.78571428571429
2013-06-28,42.56,0.42,101.33333333333334
2013-07-01,42.95,0.42,102.26190476190477
2013-07-02,43.06,0.42,102.52380952380953
2013-07-03,43.62,0.42,103.85714285714286
2013-07-05,43.24,0.42,102.95238095238096
2013-07-08,43.93,0.42,104.5952380952381
2013-07-09,43.69,0.42,104.02380952380952
2013-07-10,43.61,0.42,103.83333333333334
2013-07-11,43.27,0.42,103.02380952380953
2013-07-12,43.5,0.42,103.57142857142857
2013-07-15,43.65,0.42,103.92857142857143
2013-07-16,43.74,0.42,104.14285714285715
2013-07-17,43.83,0.42,104.35714285714286
2013-07-18,44.04,0.42,104.85714285714286
2013-07-19,44.07,0.42,104.92857142857143
2013-07-22,44.57,0.42,106.11904761904762
2013-07-23,44.32,0.42,105.52380952380953
2013-07-24,43.52,0.42,103.61904761904763
2013-07-25,43.48,0.42,103.52380952380952
2013-07-26,43.27,0.42,103.02380952380953
2013-07-29,43.47,0.42,103.5
2013-07-30,43.39,0.42,103.30952380952381
2013-07-31,44.85,0.42,106.78571428571429
2013-08-01,46.29,0.43,107.65116279069767
2013-08-02,45.22,0.43,105.16279069767442
2013-08-05,45.33,0.43,105.4186046511628
2013-08-06,45.95,0.43,106.86046511627907
2013-08-07,45.54,0.43,105.90697674418604
2013-08-08,45.38,0.43,105.53488372093024
2013-08-09,45.64,0.43,106.13953488372093
2013-08-12,45.58,0.43,106.0
2013-08-13,45.38,0.43,105.53488372093024
2013-08-14,45.3,0.43,105.34883720930232
2013-08-15,44.75,0.43,104.06976744186046
2013-08-16,44.16,0.43,102.69767441860465
2013-08-19,44.32,0.43,103.06976744186046
2013-08-20,44.29,0.43,103.0
2013-08-21,44.0,0.43,102.32558139534883
2013-08-22,43.66,0.43,101.53488372093022
2013-08-23,43.53,0.43,101.23255813953489
2013-08-26,43.43,0.43,101.0
2013-08-27,43.12,0.43,100.27906976744185
2013-08-28,43.98,0.43,102.27906976744185
2013-08-29,43.9,0.43,102.09302325581395
2013-08-30,43.26,0.43,100.60465116279069
2013-09-03,43.1,0.43,100.23255813953489
2013-09-04,43.23,0.43,100.53488372093022
2013-09-05,43.19,0.43,100.44186046511628
2013-09-06,42.82,0.43,99.5813953488372
2013-09-09,43.15,0.43,100.34883720930232
2013-09-10,43.77,0.43,101.79069767441861
2013-09-11,43.73,0.43,101.69767441860465
2013-09-12,44.47,0.43,103.4186046511628
2013-09-13,44.37,0.43,103.18604651162791
2013-09-16,44.45,0.43,103.37209302325583
2013-09-17,44.77,0.43,104.11627906976744
2013-09-18,45.09,0.43,104.86046511627907
2013-09-19,44.0,0.43,102.32558139534883
2013-09-20,44.72,0.43,104.0
2013-09-23,44.86,0.43,104.32558139534883
2013-09-24,44.76,0.43,104.09302325581395
2013-09-25,44.69,0.43,103.93023255813954
2013-09-26,45.1,0.43,104.88372093023256
2013-09-27,44.93,0.43,104.48837209302326
2013-09-30,44.88,0.43,104.37209302325581
2013-10-01,44.67,0.43,103.88372093023257
2013-10-02,44.04,0.43,102.4186046511628
2013-10-03,43.25,0.43,100.5813953488372
2013-10-04,43.98,0.43,102.27906976744185
2013-10-07,42.55,0.43,98.95348837209302
2013-10-08,41.58,0.43,96.69767441860465
2013-10-09,42.22,0.43,98.18604651162791
2013-10-10,42.57,0.43,99.0
2013-10-11,42.23,0.43,98.20930232558139
2013-10-14,42.02,0.43,97.72093023255815
2013-10-15,41.99,0.43,97.65116279069768
2013-10-16,43.12,0.43,100.27906976744185
2013-10-17,43.53,0.43,101.23255813953489
2013-10-18,43.93,0.43,102.16279069767442
