date,TMUS,TMUS_EPS,PE Ratio
2007-03-30,,0.11,
2007-04-09,,0.19,
2007-04-19,54.8,0.19,288.4210526315789
2007-04-20,57.1,0.19,300.5263157894737
2007-04-23,57.5,0.19,302.63157894736844
2007-04-24,58.4,0.19,307.36842105263156
2007-04-25,57.22,0.19,301.1578947368421
2007-04-26,56.4,0.19,296.84210526315786
2007-04-27,56.8,0.19,298.9473684210526
2007-04-30,56.1,0.19,295.2631578947368
2007-05-01,55.8,0.19,293.6842105263158
2007-05-02,56.32,0.19,296.42105263157896
2007-05-03,57.3,0.19,301.57894736842104
2007-05-04,57.6,0.19,303.1578947368421
2007-05-07,58.14,0.19,306.0
2007-05-08,58.6,0.19,308.42105263157896
2007-05-09,61.7,0.19,324.7368421052632
2007-05-10,60.82,0.19,320.10526315789474
2007-05-11,61.82,0.19,325.36842105263156
2007-05-14,63.84,0.19,336.0
2007-05-15,68.42,0.11,622.0
2007-05-16,68.72,0.11,624.7272727272727
2007-05-17,72.8,0.11,661.8181818181818
2007-05-18,73.16,0.11,665.090909090909
2007-05-21,69.08,0.11,628.0
2007-05-22,67.42,0.11,612.9090909090909
2007-05-23,67.16,0.11,610.5454545454545
2007-05-24,67.86,0.11,616.9090909090909
2007-05-25,70.02,0.11,636.5454545454545
2007-05-29,67.8,0.11,616.3636363636364
2007-05-30,71.64,0.11,651.2727272727273
2007-05-31,71.32,0.11,648.3636363636363
2007-06-01,73.18,0.11,665.2727272727274
2007-06-04,73.36,0.11,666.9090909090909
2007-06-05,70.52,0.11,641.090909090909
2007-06-06,67.78,0.11,616.1818181818182
2007-06-07,65.06,0.11,591.4545454545455
2007-06-08,65.1,0.11,591.8181818181818
2007-06-11,67.54,0.11,614.0
2007-06-12,66.24,0.11,602.1818181818181
2007-06-13,67.58,0.11,614.3636363636364
2007-06-14,65.86,0.11,598.7272727272727
2007-06-15,71.2,0.11,647.2727272727273
2007-06-18,71.24,0.11,647.6363636363636
2007-06-19,67.98,0.11,618.0
2007-06-20,65.28,0.11,593.4545454545455
2007-06-21,67.24,0.11,611.2727272727273
