date,RMD,RMD_EPS,PE Ratio
,,0.0,
1995-06-02,0.67,0.0,inf
1995-06-05,0.64,0.0,inf
1995-06-06,0.64,0.0,inf
1995-06-07,0.64,0.0,inf
1995-06-08,0.7,0.0,inf
1995-06-09,0.7,0.0,inf
1995-06-12,0.72,0.0,inf
1995-06-13,0.69,0.0,inf
1995-06-14,0.69,0.0,inf
1995-06-15,0.69,0.0,inf
1995-06-16,0.69,0.0,inf
1995-06-19,0.69,0.0,inf
1995-06-20,0.69,0.0,inf
1995-06-21,0.7,0.0,inf
1995-06-22,0.7,0.0,inf
1995-06-23,0.75,0.0,inf
1995-06-26,0.72,0.0,inf
1995-06-27,0.75,0.0,inf
1995-06-28,0.75,0.0,inf
1995-06-29,0.75,0.0,inf
1995-06-30,0.75,0.0,inf
1995-07-03,0.75,0.0,inf
1995-07-05,0.78,0.0,inf
1995-07-06,0.83,0.0,inf
1995-07-07,0.86,0.0,inf
1995-07-10,0.88,0.0,inf
1995-07-11,0.81,0.0,inf
1995-07-12,0.88,0.0,inf
1995-07-13,0.88,0.0,inf
1995-07-14,0.89,0.0,inf
1995-07-17,0.89,0.0,inf
1995-07-18,0.88,0.0,inf
1995-07-19,0.83,0.0,inf
1995-07-20,0.83,0.0,inf
1995-07-21,0.8,0.0,inf
1995-07-24,0.83,0.0,inf
1995-07-25,0.8,0.0,inf
1995-07-26,0.84,0.0,inf
1995-07-27,0.89,0.0,inf
1995-07-28,0.91,0.0,inf
1995-07-31,0.86,0.0,inf
1995-08-01,0.91,0.0,inf
1995-08-02,0.86,0.0,inf
1995-08-03,0.91,0.0,inf
1995-08-04,0.86,0.0,inf
1995-08-07,0.86,0.0,inf
1995-08-08,0.89,0.0,inf
1995-08-09,0.86,0.0,inf
1995-08-10,0.89,0.0,inf
1995-08-11,0.89,0.0,inf
1995-08-14,0.88,0.0,inf
1995-08-15,0.89,0.0,inf
1995-08-16,0.89,0.0,inf
1995-08-17,0.89,0.0,inf
1995-08-18,0.86,0.0,inf
1995-08-21,0.88,0.0,inf
1995-08-22,0.94,0.0,inf
1995-08-23,0.94,0.0,inf
1995-08-24,0.89,0.0,inf
1995-08-25,0.94,0.0,inf
1995-08-28,0.89,0.0,inf
1995-08-29,0.94,0.0,inf
1995-08-30,0.94,0.0,inf
1995-08-31,0.94,0.0,inf
1995-09-01,0.94,0.0,inf
1995-09-05,0.94,0.0,inf
1995-09-06,0.97,0.0,inf
1995-09-07,0.98,0.0,inf
1995-09-08,1.0,0.0,inf
1995-09-11,1.02,0.0,inf
1995-09-12,1.03,0.0,inf
1995-09-13,1.02,0.0,inf
1995-09-14,1.05,0.0,inf
1995-09-15,1.05,0.0,inf
1995-09-18,1.05,0.0,inf
1995-09-19,1.09,0.0,inf
1995-09-20,1.09,0.0,inf
