date,NLSN,NLSN_EPS,PE Ratio
2011-01-27,25.4,,
2011-01-28,25.0,,
2011-01-31,26.07,,
2011-02-01,25.75,,
2011-02-02,25.95,,
2011-02-03,25.95,,
2011-02-04,26.08,,
2011-02-07,25.79,,
2011-02-08,26.03,,
2011-02-09,25.58,,
2011-02-10,25.4,,
2011-02-11,25.22,,
2011-02-14,25.37,,
2011-02-15,25.38,,
2011-02-16,26.0,,
2011-02-17,27.01,,
2011-02-18,27.69,,
2011-02-22,26.42,,
2011-02-23,26.66,,
2011-02-24,25.95,,
2011-02-25,25.99,,
2011-02-28,26.59,,
2011-03-01,27.13,,
2011-03-02,26.92,,
2011-03-03,26.74,,
2011-03-04,26.55,,
2011-03-07,27.0,,
2011-03-08,27.1,,
2011-03-09,26.97,,
2011-03-10,26.02,,
2011-03-11,26.0,,
2011-03-14,26.46,,
2011-03-15,26.34,,
2011-03-16,26.03,,
2011-03-17,26.09,,
2011-03-18,26.64,,
2011-03-21,27.0,,
2011-03-22,27.15,,
2011-03-23,26.78,,
2011-03-24,27.06,,
2011-03-25,27.62,,
2011-03-28,27.49,,
2011-03-29,27.94,,
2011-03-30,27.82,,
2011-03-31,27.31,,
2011-04-01,27.29,,
2011-04-04,27.75,,
2011-04-05,27.41,,
2011-04-06,27.5,,
2011-04-07,27.48,,
2011-04-08,27.03,,
2011-04-11,27.65,,
2011-04-12,28.08,,
2011-04-13,28.07,,
2011-04-14,27.66,,
2011-04-15,28.02,,
2011-04-18,27.3,,
2011-04-19,27.6,,
2011-04-20,27.28,,
2011-04-21,28.75,,
2011-04-25,28.6,,
2011-04-26,28.47,,
2011-04-27,28.72,,
2011-04-28,29.32,-0.55,-53.309090909090905
2011-04-29,29.89,-0.55,-54.345454545454544
2011-05-02,29.83,-0.55,-54.23636363636363
2011-05-03,29.35,-0.55,-53.36363636363636
2011-05-04,28.85,-0.55,-52.45454545454545
2011-05-05,29.77,-0.55,-54.127272727272725
2011-05-06,29.83,-0.55,-54.23636363636363
2011-05-09,30.29,-0.55,-55.07272727272726
2011-05-10,30.22,-0.55,-54.94545454545454
2011-05-11,30.19,-0.55,-54.89090909090909
2011-05-12,30.27,-0.55,-55.03636363636363
2011-05-13,30.6,-0.55,-55.63636363636363
2011-05-16,30.9,-0.55,-56.18181818181817
2011-05-17,32.06,-0.55,-58.29090909090909
2011-05-18,32.03,-0.55,-58.236363636363635
2011-05-19,31.7,-0.55,-57.63636363636363
2011-05-20,31.94,-0.55,-58.07272727272727
2011-05-23,31.45,-0.55,-57.18181818181817
2011-05-24,30.61,-0.55,-55.65454545454545
2011-05-25,30.74,-0.55,-55.89090909090908
2011-05-26,31.02,-0.55,-56.39999999999999
2011-05-27,31.36,-0.55,-57.018181818181816
2011-05-31,31.49,-0.55,-57.25454545454545
2011-06-01,30.83,-0.55,-56.05454545454545
2011-06-02,32.0,-0.55,-58.18181818181818
2011-06-03,31.62,-0.55,-57.490909090909085
2011-06-06,31.15,-0.55,-56.636363636363626
2011-06-07,31.77,-0.55,-57.76363636363636
2011-06-08,31.44,-0.55,-57.163636363636364
2011-06-09,31.49,-0.55,-57.25454545454545
2011-06-10,30.56,-0.55,-55.563636363636355
2011-06-13,30.64,-0.55,-55.709090909090904
2011-06-14,30.61,-0.55,-55.65454545454545
2011-06-15,29.74,-0.55,-54.07272727272726
2011-06-16,29.13,-0.55,-52.963636363636354
2011-06-17,30.28,-0.55,-55.054545454545455
2011-06-20,29.54,-0.55,-53.709090909090904
2011-06-21,30.55,-0.55,-55.54545454545454
2011-06-22,30.01,-0.55,-54.56363636363636
2011-06-23,30.75,-0.55,-55.90909090909091
2011-06-24,29.97,-0.55,-54.490909090909085
2011-06-27,29.4,-0.55,-53.454545454545446
2011-06-28,29.93,-0.55,-54.418181818181814
2011-06-29,30.5,-0.55,-55.45454545454545
2011-06-30,31.16,-0.55,-56.65454545454545
2011-07-01,30.84,-0.55,-56.07272727272727
2011-07-05,30.9,-0.55,-56.18181818181817
2011-07-06,30.69,-0.55,-55.8
2011-07-07,31.36,-0.55,-57.018181818181816
2011-07-08,30.62,-0.55,-55.67272727272727
2011-07-11,30.08,-0.55,-54.69090909090908
2011-07-12,30.05,-0.55,-54.63636363636363
2011-07-13,30.1,-0.55,-54.72727272727273
2011-07-14,30.3,-0.55,-55.090909090909086
2011-07-15,31.04,-0.55,-56.43636363636363
