date,EVRG,EVRG_EPS,PE Ratio
,,1.0,
1973-02-21,13.06,1.0,13.06
1973-02-22,12.94,1.0,12.94
1973-02-23,12.63,1.0,12.63
1973-02-26,12.81,1.0,12.81
1973-02-27,12.81,1.0,12.81
1973-02-28,12.63,1.0,12.63
1973-03-01,12.56,1.0,12.56
1973-03-02,12.31,1.0,12.31
1973-03-05,12.38,1.0,12.38
1973-03-06,12.38,1.0,12.38
1973-03-07,12.5,1.0,12.5
1973-03-08,12.56,1.0,12.56
1973-03-09,12.38,1.0,12.38
1973-03-12,12.5,1.0,12.5
1973-03-13,12.38,1.0,12.38
1973-03-14,12.31,1.0,12.31
1973-03-15,12.31,1.0,12.31
1973-03-16,12.19,1.0,12.19
1973-03-19,12.5,1.0,12.5
1973-03-20,12.5,1.0,12.5
1973-03-21,12.44,1.0,12.44
1973-03-22,12.38,1.0,12.38
1973-03-23,12.38,1.0,12.38
1973-03-26,12.38,1.0,12.38
1973-03-27,12.44,1.0,12.44
1973-03-28,12.38,1.0,12.38
1973-03-29,12.31,1.0,12.31
1973-03-30,12.31,1.0,12.31
1973-04-02,12.06,1.0,12.06
1973-04-03,12.31,1.0,12.31
1973-04-04,12.38,1.0,12.38
1973-04-05,12.38,1.0,12.38
1973-04-06,12.31,1.0,12.31
1973-04-09,12.13,1.0,12.13
1973-04-10,12.31,1.0,12.31
1973-04-11,12.44,1.0,12.44
1973-04-12,12.31,1.0,12.31
1973-04-13,12.31,1.0,12.31
1973-04-16,12.56,1.0,12.56
1973-04-17,12.5,1.0,12.5
1973-04-18,12.44,1.0,12.44
1973-04-19,12.56,1.0,12.56
1973-04-23,12.5,1.0,12.5
1973-04-24,12.38,1.0,12.38
1973-04-25,12.19,1.0,12.19
1973-04-26,12.31,1.0,12.31
1973-04-27,12.38,1.0,12.38
1973-04-30,12.38,1.0,12.38
1973-05-01,12.38,1.0,12.38
1973-05-02,12.25,1.0,12.25
1973-05-03,12.44,1.0,12.44
1973-05-04,12.31,1.0,12.31
1973-05-07,12.38,1.0,12.38
1973-05-08,12.44,1.0,12.44
1973-05-09,12.38,1.0,12.38
1973-05-10,12.25,1.0,12.25
1973-05-11,12.25,1.0,12.25
1973-05-14,12.38,1.0,12.38
1973-05-15,12.44,1.0,12.44
1973-05-16,12.38,1.0,12.38
1973-05-17,12.38,1.0,12.38
1973-05-18,12.38,1.0,12.38
1973-05-21,12.13,1.0,12.13
1973-05-22,12.06,1.0,12.06
1973-05-23,11.94,1.0,11.94
1973-05-24,12.0,1.0,12.0
1973-05-25,12.06,1.0,12.06
1973-05-29,12.06,1.0,12.06
1973-05-30,12.0,1.0,12.0
1973-05-31,12.13,1.0,12.13
1973-06-01,12.06,1.0,12.06
1973-06-04,12.0,1.0,12.0
1973-06-05,12.19,1.0,12.19
1973-06-06,12.31,1.0,12.31
1973-06-07,12.44,1.0,12.44
1973-06-08,12.38,1.0,12.38
1973-06-11,12.19,1.0,12.19
1973-06-12,12.38,1.0,12.38
1973-06-13,12.44,1.0,12.44
1973-06-14,12.44,1.0,12.44
1973-06-15,12.19,1.0,12.19
1973-06-18,12.19,1.0,12.19
1973-06-19,12.31,1.0,12.31
1973-06-20,12.19,1.0,12.19
1973-06-21,12.19,1.0,12.19
1973-06-22,12.44,1.0,12.44
1973-06-25,12.31,1.0,12.31
1973-06-26,12.25,1.0,12.25
1973-06-27,12.19,1.0,12.19
1973-06-28,12.19,1.0,12.19
1973-06-29,12.0,1.0,12.0
1973-07-02,11.75,1.0,11.75
1973-07-03,11.88,1.0,11.88
1973-07-05,12.0,1.0,12.0
1973-07-06,12.06,1.0,12.06
1973-07-09,12.31,1.0,12.31
1973-07-10,12.25,1.0,12.25
1973-07-11,12.5,1.0,12.5
1973-07-12,12.31,1.0,12.31
1973-07-13,12.31,1.0,12.31
1973-07-16,12.06,1.0,12.06
1973-07-17,12.25,1.0,12.25
1973-07-18,12.13,1.0,12.13
1973-07-19,12.38,1.0,12.38
1973-07-20,12.25,1.0,12.25
1973-07-23,12.44,1.0,12.44
1973-07-24,12.13,1.0,12.13
1973-07-25,12.13,1.0,12.13
1973-07-26,12.19,1.0,12.19
1973-07-27,12.06,1.0,12.06
1973-07-30,12.06,1.0,12.06
1973-07-31,11.81,1.0,11.81
1973-08-01,11.63,1.0,11.63
1973-08-02,11.44,1.0,11.44
1973-08-03,11.38,1.0,11.38
1973-08-06,11.0,1.0,11.0
1973-08-07,11.0,1.0,11.0
1973-08-08,10.88,1.0,10.88
1973-08-09,11.0,1.0,11.0
1973-08-10,10.81,1.0,10.81
1973-08-13,10.75,1.0,10.75
1973-08-14,10.81,1.0,10.81
1973-08-15,10.81,1.0,10.81
1973-08-16,10.94,1.0,10.94
1973-08-17,10.94,1.0,10.94
1973-08-20,10.88,1.0,10.88
1973-08-21,10.94,1.0,10.94
1973-08-22,10.81,1.0,10.81
1973-08-23,10.69,1.0,10.69
1973-08-24,10.75,1.0,10.75
1973-08-27,10.81,1.0,10.81
1973-08-28,10.81,1.0,10.81
1973-08-29,11.13,1.0,11.13
1973-08-30,11.06,1.0,11.06
1973-08-31,10.81,1.0,10.81
1973-09-04,10.88,1.0,10.88
1973-09-05,10.75,1.0,10.75
1973-09-06,11.06,1.0,11.06
1973-09-07,11.13,1.0,11.13
1973-09-10,11.25,1.0,11.25
1973-09-11,11.38,1.0,11.38
1973-09-12,11.19,1.0,11.19
1973-09-13,11.25,1.0,11.25
1973-09-14,11.25,1.0,11.25
1973-09-17,10.94,1.0,10.94
1973-09-18,11.25,1.0,11.25
1973-09-19,11.19,1.0,11.19
1973-09-20,11.0,1.0,11.0
1973-09-21,11.13,1.0,11.13
1973-09-24,11.75,1.0,11.75
1973-09-25,12.0,1.0,12.0
1973-09-26,11.88,1.0,11.88
1973-09-27,11.81,1.0,11.81
1973-09-28,11.5,1.0,11.5
1973-10-01,11.63,1.0,11.63
1973-10-02,11.75,1.0,11.75
1973-10-03,11.5,1.0,11.5
1973-10-04,11.38,1.0,11.38
1973-10-05,11.44,1.0,11.44
1973-10-08,11.19,1.0,11.19
1973-10-09,11.25,1.0,11.25
1973-10-10,11.5,1.0,11.5
1973-10-11,11.5,1.0,11.5
1973-10-12,11.5,1.0,11.5
1973-10-15,11.69,1.0,11.69
1973-10-16,11.5,1.0,11.5
1973-10-17,11.06,1.0,11.06
1973-10-18,11.25,1.0,11.25
1973-10-19,11.0,1.0,11.0
1973-10-22,10.94,1.0,10.94
1973-10-23,10.88,1.0,10.88
1973-10-24,10.81,1.0,10.81
1973-10-25,10.88,1.0,10.88
1973-10-26,10.69,1.0,10.69
1973-10-29,10.88,1.0,10.88
1973-10-30,10.81,1.0,10.81
1973-10-31,10.63,1.0,10.63
1973-11-01,10.5,1.0,10.5
1973-11-02,10.63,1.0,10.63
1973-11-05,10.5,1.0,10.5
1973-11-06,10.44,1.0,10.44
1973-11-07,10.44,1.0,10.44
1973-11-08,10.63,1.0,10.63
1973-11-09,10.5,1.0,10.5
1973-11-12,10.5,1.0,10.5
1973-11-13,10.63,1.0,10.63
1973-11-14,10.31,1.0,10.31
1973-11-15,10.38,1.0,10.38
1973-11-16,10.38,1.0,10.38
1973-11-19,10.38,1.0,10.38
1973-11-20,10.25,1.0,10.25
1973-11-21,10.25,1.0,10.25
1973-11-23,10.06,1.0,10.06
1973-11-26,9.94,1.0,9.94
1973-11-27,9.75,1.0,9.75
1973-11-28,9.81,1.0,9.81
1973-11-29,9.56,1.0,9.56
1973-11-30,9.56,1.0,9.56
1973-12-03,9.63,1.0,9.63
1973-12-04,9.56,1.0,9.56
1973-12-05,9.69,1.0,9.69
1973-12-06,9.56,1.0,9.56
1973-12-07,9.81,1.0,9.81
1973-12-10,9.75,1.0,9.75
1973-12-11,9.75,1.0,9.75
1973-12-12,9.44,1.0,9.44
1973-12-13,9.31,1.0,9.31
1973-12-14,9.13,1.0,9.13
1973-12-17,9.25,1.0,9.25
1973-12-18,9.06,1.0,9.06
1973-12-19,9.19,1.0,9.19
1973-12-20,9.13,1.0,9.13
1973-12-21,9.13,1.0,9.13
1973-12-24,9.25,1.0,9.25
1973-12-26,9.94,1.0,9.94
1973-12-27,9.81,1.0,9.81
1973-12-28,9.38,1.0,9.38
1973-12-31,9.81,1.0,9.81
1974-01-02,9.81,1.0,9.81
1974-01-03,9.88,1.0,9.88
1974-01-04,9.88,1.0,9.88
1974-01-07,9.94,1.0,9.94
1974-01-08,9.94,1.0,9.94
1974-01-09,9.94,1.0,9.94
1974-01-10,9.81,1.0,9.81
1974-01-11,9.88,1.0,9.88
1974-01-14,9.88,1.0,9.88
1974-01-15,9.88,1.0,9.88
1974-01-16,9.75,1.0,9.75
1974-01-17,9.88,1.0,9.88
1974-01-18,9.88,1.0,9.88
1974-01-21,9.94,1.0,9.94
1974-01-22,10.19,1.0,10.19
1974-01-23,10.38,1.0,10.38
1974-01-24,10.5,1.0,10.5
1974-01-25,10.31,1.0,10.31
1974-01-28,10.44,1.0,10.44
1974-01-29,10.44,1.0,10.44
1974-01-30,10.5,1.0,10.5
1974-01-31,10.56,1.0,10.56
1974-02-01,10.44,1.0,10.44
1974-02-04,10.0,1.0,10.0
1974-02-05,10.0,1.0,10.0
1974-02-06,10.0,1.0,10.0
1974-02-07,10.31,1.0,10.31
1974-02-08,10.31,1.0,10.31
1974-02-11,10.38,1.0,10.38
1974-02-12,10.06,1.0,10.06
1974-02-13,10.19,1.0,10.19
1974-02-14,10.13,1.0,10.13
1974-02-15,10.19,1.0,10.19
1974-02-19,10.31,1.0,10.31
1974-02-20,10.06,1.0,10.06
1974-02-21,10.25,1.0,10.25
1974-02-22,10.25,1.0,10.25
1974-02-25,10.25,1.0,10.25
1974-02-26,10.5,1.0,10.5
1974-02-27,10.25,1.0,10.25
1974-02-28,10.25,1.0,10.25
1974-03-01,10.31,1.0,10.31
1974-03-04,10.0,1.0,10.0
1974-03-05,9.94,1.0,9.94
1974-03-06,9.88,1.0,9.88
1974-03-07,9.75,1.0,9.75
1974-03-08,9.63,1.0,9.63
1974-03-11,9.69,1.0,9.69
1974-03-12,9.63,1.0,9.63
1974-03-13,9.63,1.0,9.63
1974-03-14,9.56,1.0,9.56
1974-03-15,9.5,1.0,9.5
1974-03-18,9.44,1.0,9.44
1974-03-19,9.38,1.0,9.38
1974-03-20,9.31,1.0,9.31
1974-03-21,9.38,1.0,9.38
1974-03-22,9.31,1.0,9.31
1974-03-25,9.38,1.0,9.38
1974-03-26,9.38,1.0,9.38
1974-03-27,9.31,1.0,9.31
1974-03-28,9.31,1.0,9.31
1974-03-29,9.31,1.0,9.31
1974-04-01,9.31,1.0,9.31
1974-04-02,9.44,1.0,9.44
1974-04-03,9.44,1.0,9.44
1974-04-04,9.5,1.0,9.5
1974-04-05,9.5,1.0,9.5
1974-04-08,9.38,1.0,9.38
1974-04-09,9.44,1.0,9.44
1974-04-10,9.44,1.0,9.44
1974-04-11,9.44,1.0,9.44
1974-04-15,9.44,1.0,9.44
1974-04-16,9.56,1.0,9.56
1974-04-17,9.5,1.0,9.5
1974-04-18,9.5,1.0,9.5
1974-04-19,9.44,1.0,9.44
1974-04-22,9.5,1.0,9.5
1974-04-23,9.25,1.0,9.25
1974-04-24,9.0,1.0,9.0
1974-04-25,9.0,1.0,9.0
1974-04-26,8.88,1.0,8.88
1974-04-29,9.06,1.0,9.06
1974-04-30,9.19,1.0,9.19
1974-05-01,9.19,1.0,9.19
1974-05-02,9.13,1.0,9.13
1974-05-03,9.25,1.0,9.25
1974-05-06,9.25,1.0,9.25
1974-05-07,9.13,1.0,9.13
1974-05-08,9.13,1.0,9.13
1974-05-09,9.31,1.0,9.31
1974-05-10,9.31,1.0,9.31
1974-05-13,9.19,1.0,9.19
1974-05-14,9.19,1.0,9.19
1974-05-15,9.0,1.0,9.0
1974-05-16,8.5,1.0,8.5
1974-05-17,8.25,1.0,8.25
1974-05-20,7.94,1.0,7.94
1974-05-21,7.88,1.0,7.88
1974-05-22,7.75,1.0,7.75
1974-05-23,8.06,1.0,8.06
1974-05-24,8.31,1.0,8.31
1974-05-28,8.63,1.0,8.63
1974-05-29,8.5,1.0,8.5
1974-05-30,8.5,1.0,8.5
1974-05-31,8.5,1.0,8.5
1974-06-03,8.5,1.0,8.5
1974-06-04,8.38,1.0,8.38
1974-06-05,8.5,1.0,8.5
1974-06-06,8.5,1.0,8.5
1974-06-07,8.56,1.0,8.56
1974-06-10,8.38,1.0,8.38
1974-06-11,8.5,1.0,8.5
1974-06-12,8.38,1.0,8.38
1974-06-13,8.44,1.0,8.44
