date,MU,MU_EPS,PE Ratio
,,0.0,
1984-06-01,1.41,0.0,inf
1984-06-04,1.41,0.0,inf
1984-06-05,1.4,0.0,inf
1984-06-06,1.48,0.0,inf
1984-06-07,1.64,0.0,inf
1984-06-08,1.74,0.0,inf
1984-06-11,1.63,0.0,inf
1984-06-12,1.61,0.0,inf
1984-06-13,1.69,0.0,inf
1984-06-14,1.64,0.0,inf
1984-06-15,1.69,0.0,inf
1984-06-18,1.74,0.0,inf
1984-06-19,1.86,0.0,inf
1984-06-20,2.06,0.0,inf
1984-06-21,2.04,0.0,inf
1984-06-22,2.26,0.0,inf
1984-06-25,2.24,0.0,inf
1984-06-26,2.3,0.0,inf
1984-06-27,2.24,0.0,inf
1984-06-28,2.35,0.0,inf
1984-06-29,2.54,0.0,inf
1984-07-02,2.48,0.0,inf
1984-07-03,2.53,0.0,inf
1984-07-05,2.65,0.0,inf
1984-07-06,2.63,0.0,inf
1984-07-09,2.58,0.0,inf
1984-07-10,2.51,0.0,inf
1984-07-11,2.4,0.0,inf
1984-07-12,2.34,0.0,inf
1984-07-13,2.36,0.0,inf
1984-07-16,2.26,0.0,inf
1984-07-17,2.34,0.0,inf
1984-07-18,2.33,0.0,inf
1984-07-19,2.09,0.0,inf
1984-07-20,1.9,0.0,inf
1984-07-23,1.96,0.0,inf
1984-07-24,1.93,0.0,inf
1984-07-25,2.06,0.0,inf
1984-07-26,2.15,0.0,inf
1984-07-27,2.13,0.0,inf
1984-07-30,2.11,0.0,inf
1984-07-31,2.09,0.0,inf
1984-08-01,2.35,0.0,inf
1984-08-02,2.48,0.0,inf
1984-08-03,2.34,0.0,inf
1984-08-06,2.29,0.0,inf
1984-08-07,2.38,0.0,inf
1984-08-08,2.35,0.0,inf
1984-08-09,2.56,0.0,inf
1984-08-10,2.68,0.0,inf
1984-08-13,2.65,0.0,inf
1984-08-14,2.58,0.0,inf
1984-08-15,2.58,0.0,inf
1984-08-16,2.78,0.0,inf
1984-08-17,2.7,0.0,inf
1984-08-20,2.78,0.0,inf
1984-08-21,3.03,0.0,inf
1984-08-22,3.13,0.0,inf
1984-08-23,3.3,0.0,inf
1984-08-24,3.4,0.0,inf
1984-08-27,3.26,0.0,inf
1984-08-28,3.29,0.0,inf
1984-08-29,3.21,0.0,inf
1984-08-30,3.09,0.0,inf
1984-08-31,3.13,0.0,inf
1984-09-04,3.39,0.0,inf
1984-09-05,3.49,0.0,inf
1984-09-06,3.7,0.0,inf
1984-09-07,3.75,0.0,inf
1984-09-10,3.66,0.0,inf
1984-09-11,3.75,0.0,inf
1984-09-12,3.74,0.0,inf
1984-09-13,3.76,0.0,inf
1984-09-14,4.0,0.0,inf
1984-09-17,4.04,0.0,inf
1984-09-18,4.0,0.0,inf
1984-09-19,3.76,0.0,inf
1984-09-20,3.79,0.0,inf
1984-09-21,3.83,0.0,inf
1984-09-24,3.65,0.0,inf
1984-09-25,3.56,0.0,inf
1984-09-26,2.79,0.0,inf
1984-09-27,2.69,0.0,inf
1984-09-28,2.66,0.0,inf
1984-10-01,2.75,0.0,inf
1984-10-02,2.49,0.0,inf
1984-10-03,2.54,0.0,inf
1984-10-04,2.61,0.0,inf
1984-10-05,2.75,0.0,inf
1984-10-08,2.78,0.0,inf
1984-10-09,2.65,0.0,inf
1984-10-10,2.65,0.0,inf
1984-10-11,2.55,0.0,inf
1984-10-12,2.6,0.0,inf
1984-10-15,2.68,0.0,inf
1984-10-16,2.7,0.0,inf
1984-10-17,2.7,0.0,inf
1984-10-18,2.86,0.0,inf
1984-10-19,2.93,0.0,inf
1984-10-22,2.99,0.0,inf
1984-10-23,3.01,0.0,inf
1984-10-24,3.0,0.0,inf
1984-10-25,2.84,0.0,inf
1984-10-26,2.7,0.0,inf
1984-10-29,2.7,0.0,inf
1984-10-30,2.68,0.0,inf
1984-10-31,2.69,0.0,inf
1984-11-01,2.59,0.0,inf
1984-11-02,2.54,0.0,inf
1984-11-05,2.58,0.0,inf
1984-11-06,2.69,0.0,inf
1984-11-07,2.65,0.0,inf
1984-11-08,2.66,0.0,inf
1984-11-09,2.68,0.0,inf
1984-11-12,2.68,0.0,inf
1984-11-13,2.5,0.0,inf
1984-11-14,2.56,0.0,inf
1984-11-15,2.6,0.0,inf
1984-11-16,2.51,0.0,inf
1984-11-19,2.46,0.0,inf
1984-11-20,2.49,0.0,inf
1984-11-21,2.55,0.0,inf
1984-11-23,2.63,0.0,inf
1984-11-26,2.64,0.0,inf
1984-11-27,2.75,0.0,inf
1984-11-28,2.8,0.0,inf
1984-11-29,2.68,0.0,inf
1984-11-30,2.8,0.0,inf
1984-12-03,2.73,0.0,inf
1984-12-04,2.75,0.0,inf
1984-12-05,2.78,0.0,inf
